Path,length,all_abandoned,is_cross,lag,is_cross_service
"[863880, 396297, 616594, 833941, 740501, 566047, 619300, 619301, 619302, 554532, 740011, 740269, 848430, 848431, 848432, 848433, 779310, 849715, 778670, 744116, 706875, 860859, 832832, 740422, 402121, 660687, 645210, 740058, 860639, 821855, 740067, 401254, 552938, 645104, 508149, 592757, 404343, 739961, 592380]",39,False,True,52510.47,True
"[864571, 864566]",2,False,True,0.38,False
"[864553, 864419]",2,False,True,23.48,False
"[864421, 862150]",2,False,True,601.12,False
"[861729, 861788, 853029, 861790]",4,False,True,1596.92,True
"[862171, 862167]",2,False,True,0.08,False
"[860947, 860948]",2,False,True,0.1,False
"[863161, 863158]",2,False,True,0.25,True
"[855288, 831018, 827163, 830883]",4,False,True,5066.64,True
"[864160, 772273, 851621, 862416]",4,False,True,15690.62,True
"[864195, 864209, 864018, 863315, 864252, 864573, 864254]",7,False,True,314.79,True
"[836803, 836818, 836819, 836820, 836823, 836767]",6,False,True,2.88,True
"[841513, 824479]",2,True,True,2861.96,False
"[848668, 849038]",2,False,True,72.04,False
"[863041, 863036]",2,False,True,0.18,False
"[816790, 763414]",2,False,True,8414.78,False
"[656811, 843285]",2,False,True,26852.81,True
"[770126, 770127]",2,True,True,0.02,False
"[789625, 789626]",2,False,True,0.16,True
"[847329, 847010, 847357, 846474, 847437, 846287, 846159, 850676, 847222, 847257, 847323, 846557]",12,False,True,844.75,False
"[848208, 850131, 852437, 852435]",4,False,True,947.9,False
"[864068, 863957]",2,False,True,20.32,True
"[864067, 863955]",2,False,True,21.19,True
"[863954, 863958]",2,False,True,1.22,True
"[864008, 847404]",2,False,False,3306.97,False
"[809472, 784449, 840736, 848720, 864031]",5,False,True,14064.51,False
"[855978, 855982]",2,False,True,0.99,False
"[733961, 735430, 735431]",3,False,True,169.69,False
"[843776, 855557, 855563, 845197, 852878, 845199, 852879, 854807, 855454, 855455, 855458, 855459, 855460, 855461, 855462, 799651, 852644, 799654, 855466, 855463, 855465, 855464, 855337, 853291, 855344, 804400, 861620, 863797, 863796, 855349, 804408, 804291, 853829, 800198, 800717, 829390, 845275, 843356, 855260, 848482, 833122, 855524, 855140, 855270, 855141, 855526, 855525, 853668, 855146, 860656, 797809, 852850, 804209, 843764, 861051, 855550, 855551]",57,False,True,12051.06,True
"[863321, 863521]",2,False,False,22.29,False
"[843493, 814193, 863925, 863926, 855576]",5,False,True,9315.47,True
"[863083, 863101]",2,True,True,3.83,True
"[810457, 860812, 855876]",3,False,True,9185.03,True
"[859777, 829870, 859794, 859795, 863284, 863285, 863798, 863287, 863286, 863288, 837053]",11,False,True,6312.56,True
"[735465, 735434]",2,False,True,22.29,False
"[864042, 864043, 863029, 855711]",4,False,True,1612.14,True
"[780970, 780967]",2,True,True,0.04,False
"[854554, 852652]",2,False,True,374.34,True
"[863584, 863585]",2,False,True,0.14,True
"[790076, 790095]",2,False,True,1.81,True
"[793089, 793058, 793091, 793763, 793157, 792904, 793098, 796235, 794737, 793145]",10,False,True,478.43,False
"[711474, 711471]",2,False,True,0.02,True
"[843497, 844141]",2,False,True,125.42,False
"[861390, 860863]",2,False,True,91.94,True
"[857976, 857947]",2,False,True,1.13,True
"[788233, 787179]",2,False,True,167.22,False
"[863145, 863143]",2,False,True,0.07,False
"[863246, 863247, 862999, 863197, 863039]",5,False,True,45.59,True
"[863289, 858930, 858931, 863330]",4,False,True,984.7,False
"[862346, 862347, 861940, 862132]",4,False,True,30.05,False
"[863165, 863166]",2,False,True,0.04,True
"[861858, 768161, 768162, 756686]",4,False,True,17781.25,False
"[863076, 863077, 863079, 863085, 863086, 861886]",6,False,True,290.8,True
"[343980, 344671, 841015]",3,False,True,50844.88,False
"[760384, 862924, 760647]",3,False,True,17495.7,False
"[860435, 860436, 847197, 858781]",4,False,False,2517.8,False
"[848789, 862770, 862771, 861748, 843835, 843836, 840509, 840510, 854337, 849602, 848834, 849604, 862160, 846036, 845653, 776674, 848750, 842223, 852720, 842224, 848752, 849405, 850559]",23,False,True,14746.23,False
"[852688, 852796]",2,False,True,22.77,True
"[861794, 861730, 861831, 846120, 849225, 846122, 826444, 850350, 861742, 861744, 862104, 861849, 862234, 862173, 862233]",15,False,True,6429.21,True
"[860229, 860230]",2,False,True,0.08,False
"[854293, 853749]",2,False,True,115.74,True
"[834220, 859950, 859919]",3,False,True,4725.8,False
"[859858, 847347]",2,False,False,2352.63,False
"[812258, 812260]",2,False,True,0.08,False
"[854612, 854557]",2,False,True,3.66,False
"[862220, 862470]",2,False,True,75.24,False
"[858493, 852844, 852845, 852839]",4,False,True,958.67,True
"[857464, 853733, 859999, 842437]",4,False,True,3233.89,False
"[862484, 862487]",2,False,True,0.23,True
"[849024, 849844]",2,False,True,140.43,False
"[861354, 861584, 861589, 861718, 861175, 861758]",6,False,True,121.64,False
"[852068, 828412, 855837]",3,False,True,4997.86,False
"[862145, 862260]",2,False,True,18.54,True
"[861885, 860959]",2,False,True,190.1,True
"[802864, 802863]",2,False,True,0.07,False
"[861836, 858548, 861511]",3,False,True,695.56,False
"[835034, 837795, 835820]",3,False,True,501.56,False
"[858674, 858675]",2,False,True,0.02,False
"[840144, 855842, 847867]",3,False,True,3023.17,True
"[855841, 847865, 839829]",3,False,True,3098.3,True
"[854176, 854178]",2,False,True,0.09,False
"[851723, 851724, 851725, 851726, 851727, 851728, 851765, 851766]",8,False,True,15.12,True
"[859427, 859718, 861094, 859719, 859721, 859725, 859726, 859673, 858205]",9,False,True,622.08,True
"[835175, 835176, 664462, 660239, 664473]",5,False,True,24942.99,True
"[854744, 854759]",2,False,True,1.45,False
"[860803, 860804]",2,False,True,0.16,False
"[861771, 826925]",2,False,True,6309.88,True
"[860691, 861710]",2,False,True,258.39,False
"[619521, 619501]",2,False,False,0.68,False
"[765353, 767292, 847005, 847007]",4,False,True,13554.34,False
"[862147, 859110, 861610, 861100, 861101]",5,False,True,647.31,False
"[825986, 860195, 860194, 860196, 860432, 860433, 860185, 860186, 860187, 860188, 860189, 860190, 825983]",13,False,True,6109.36,True
"[860896, 860897, 860898, 860899, 860900, 860901, 841712, 841489, 860893, 860894, 860895]",11,False,True,3617.68,True
"[861592, 861593]",2,False,True,0.05,True
"[828275, 828276, 828487]",3,True,True,22.01,False
"[752640, 858525, 726334, 726335]",4,False,True,20761.97,False
"[854289, 854059]",2,False,True,18.45,False
"[856840, 856839]",2,False,True,0.12,True
"[840576, 861201, 840575]",3,False,True,3874.58,True
"[861044, 861046]",2,False,True,0.0,True
"[860961, 860963]",2,False,True,0.57,True
"[848000, 860609, 860610, 841801, 847402, 847999]",6,False,True,3505.87,True
"[861048, 861047]",2,False,True,0.09,False
"[856178, 850253, 852021]",3,False,False,1198.28,False
"[860614, 860615]",2,False,True,0.05,False
"[736096, 736098, 736099, 736100, 736101, 736102, 736103, 735850, 735856, 735828, 735829, 735831]",12,False,True,20.26,True
"[860824, 860815]",2,False,True,2.02,False
"[860874, 860876, 860903]",3,False,True,11.37,False
"[852164, 849417, 852172, 852248, 849501]",5,False,True,595.61,True
"[843730, 854837]",2,False,True,2162.85,False
"[857506, 860276, 860277]",3,False,True,500.35,False
"[860832, 860097, 860834, 860835, 860836, 860291, 860833, 860093, 860831]",9,False,False,162.86,False
"[857171, 857182]",2,True,True,0.07,False
"[860634, 854334]",2,False,False,1057.51,False
"[805010, 805395, 818067, 793618, 841118, 801066, 832811, 832812, 816306, 802486, 802487, 816447, 803905, 794306, 847176, 803914, 817356, 813660, 804203, 839147, 804210, 812662]",22,False,True,9357.62,True
"[856325, 856326]",2,False,True,0.06,True
"[859337, 859339]",2,False,True,0.6,False
"[803585, 797316, 748296, 767368, 841738, 841739, 841740, 796813, 841741, 818446, 796826, 770844, 753314, 802475, 790447, 770744, 770745, 602432, 820682, 635083, 797142, 864984, 797144, 798055, 797291, 798065, 857204, 828148, 797428, 756478]",30,False,True,36661.79,True
"[858882, 859059, 858878]",3,False,True,23.61,False
"[832769, 833090]",2,False,True,28.56,False
"[860333, 860334]",2,False,True,0.07,False
"[860332, 860204]",2,False,True,19.09,False
"[845536, 845535]",2,True,True,0.05,False
"[847468, 858765, 847470, 847471, 847472, 847469, 847474, 847475, 847476, 847477, 847478, 847480, 847481]",13,False,True,2150.35,True
"[858761, 805938]",2,False,True,9418.23,False
"[847494, 858919, 850215, 847497, 847498, 847499, 847500, 847495, 847496, 850216, 847504, 847505]",12,False,True,2171.64,True
"[802305, 807429, 807430, 807431, 807432, 807433, 807434, 807435, 807436, 807437, 807438, 807439, 807440, 807441, 807442, 807443, 807444, 807445, 807446, 828055, 807447, 807448, 807450, 807451, 807452, 807453, 807449, 807454, 802251, 860249, 860250, 860251, 860252, 802027]",34,False,True,10510.68,True
"[859784, 859828]",2,False,True,2.45,False
"[859248, 859249, 856408, 856407]",4,False,True,459.59,False
"[857252, 857253]",2,False,True,0.05,False
"[858937, 858938, 860155, 858922]",4,False,True,272.04,True
"[858612, 858611, 858284, 858283]",4,False,True,43.08,False
"[843659, 847030]",2,False,True,596.91,False
"[858752, 850188, 850189, 850190]",4,False,True,1561.47,True
"[857600, 857601]",2,False,True,0.0,False
"[859400, 859570]",2,False,True,25.77,False
"[838605, 851694]",2,False,True,2478.55,False
"[857560, 857554, 859422]",3,False,True,340.06,False
"[853282, 853252, 856487, 853224, 852808, 857096, 857128, 853934]",8,False,True,773.76,False
"[837616, 837613]",2,False,True,0.48,False
"[834442, 834443]",2,False,True,0.07,False
"[859443, 859444]",2,False,True,0.09,False
"[840674, 840677]",2,False,True,0.03,False
"[859800, 859867]",2,False,True,1.15,False
"[859773, 859774]",2,False,True,0.08,True
"[859840, 859841, 859844, 812429, 859839]",5,False,True,8621.96,True
"[856051, 859437]",2,False,False,505.77,False
"[850176, 858725]",2,False,False,1560.79,False
"[847512, 847513, 847514, 847511]",4,False,True,0.0,True
"[853483, 853484]",2,False,True,0.05,False
"[797966, 800022]",2,False,True,332.29,True
"[726789, 740936, 740937, 740938, 742667, 757036, 740939, 749326, 758833, 762834, 758834, 751090, 751089, 699543, 756443, 742719]",16,False,False,8024.4,False
"[859008, 859012]",2,False,True,0.69,True
"[855017, 854985, 855245, 855246, 855247, 855248, 855249, 855071]",8,False,True,33.31,False
"[682526, 677239]",2,True,True,683.53,True
"[540319, 539107, 539109, 539111]",4,False,True,74.26,True
"[858097, 858138]",2,False,True,2.73,False
"[763042, 747650, 752754, 747579, 747260]",5,False,True,2134.59,True
"[858864, 859072, 858508, 859071]",4,False,True,73.33,False
"[852897, 852674, 852675, 852784, 852470, 851449]",6,False,True,334.01,True
"[855873, 854568, 853481, 855532, 856046, 854360, 857881, 855485]",8,False,True,696.69,True
"[847087, 847086, 790535]",3,False,True,9762.48,True
"[774286, 775007]",2,False,False,123.08,False
"[858768, 858889, 858888]",3,False,True,19.66,False
"[854560, 858699, 854508, 858701, 858702, 858700, 858704, 858705, 858706]",9,False,True,654.38,True
"[854275, 852443]",2,False,True,365.0,True
"[842041, 842044, 856222]",3,False,True,2706.99,False
"[851904, 852178]",2,False,True,46.94,False
"[841996, 842005]",2,False,True,0.91,False
"[857960, 857961]",2,False,True,6.08,False
"[842287, 858513, 858324, 858325, 858326, 858327, 858328]",7,False,True,3002.28,False
"[858512, 858268]",2,False,True,24.88,True
"[838756, 838757, 823719, 848013, 805884]",5,False,True,7388.32,False
"[857607, 853589, 853947, 857436, 853503]",5,False,True,667.73,False
"[853007, 812678, 812679]",3,False,True,7443.18,False
"[851770, 850165]",2,False,True,342.54,False
"[854764, 845815]",2,False,True,1741.29,True
"[854375, 856903]",2,False,True,412.42,True
"[857680, 857315]",2,False,True,28.47,False
"[857492, 857493]",2,False,True,0.1,True
"[855505, 855506]",2,False,True,0.04,False
"[842216, 809004]",2,False,True,5879.07,False
"[821003, 829587, 824998]",3,False,True,1686.48,False
"[856096, 855713, 856120]",3,False,True,72.16,True
"[855330, 855331, 854958, 854959]",4,False,True,43.95,False
"[839722, 839725]",2,False,True,0.71,True
"[849563, 849564]",2,False,True,0.02,True
"[831844, 831917, 836846, 831921, 831607]",5,False,True,834.19,True
"[857544, 857545, 857546, 857547, 857548, 857549, 857550, 856982]",8,False,True,48.64,True
"[855886, 855887, 823823, 657170, 855891, 855897, 857499]",7,False,True,29467.47,False
"[857077, 857071]",2,False,True,16.12,False
"[854315, 854398]",2,False,True,8.15,False
"[852122, 852174, 854231]",3,False,True,462.17,False
"[850594, 853410, 853411, 850439, 850158, 853489, 840316]",7,False,True,2543.26,True
"[857072, 803780]",2,False,True,9646.83,False
"[854688, 854685]",2,False,True,0.13,True
"[643577, 643908, 643575]",3,False,True,69.2,False
"[857242, 857243]",2,True,True,0.12,False
"[856286, 856287]",2,False,True,0.02,True
"[821707, 820455]",2,False,True,217.06,False
"[831864, 831866, 821405, 821406]",4,False,True,2088.48,False
"[815313, 856998]",2,False,True,7721.07,False
"[849562, 850155, 850156]",3,False,True,140.44,True
"[848987, 856540]",2,False,True,1511.29,False
"[828449, 829222, 828295, 829164, 828211, 829236, 829238, 829242, 829246]",9,False,True,178.68,True
"[828922, 829143]",2,True,True,75.27,False
"[826297, 826124]",2,False,True,22.35,False
"[843537, 843508, 843662]",3,False,True,24.44,False
"[816991, 818078, 821951]",3,False,True,909.98,False
"[801385, 821261, 818766, 821262, 819663, 820086, 819833, 823615]",8,False,True,4085.84,True
"[811109, 809687]",2,False,True,236.98,False
"[835645, 835646]",2,True,True,0.06,False
"[855939, 855787]",2,False,True,42.15,False
"[855308, 856013, 856016, 855476, 856021, 856022, 855448, 855449]",8,False,True,145.53,True
"[847584, 845729, 847587, 847844, 850148, 850150, 847980, 846997]",8,False,True,815.05,False
"[833286, 833809, 833810, 833811, 833812, 833813, 833815, 833816, 833817, 833818, 833819, 833820, 833821, 833822, 833823, 833824, 833825, 833826, 833828, 833829, 833830, 833831, 833832, 833834, 833835, 834383, 834537]",27,False,True,247.31,True
"[840715, 841067, 840755, 840825, 840766]",5,False,True,84.79,True
"[855969, 855970, 855973, 855862, 855962, 856507, 856508, 855965, 855967]",9,False,True,79.01,True
"[854770, 854191]",2,False,True,69.52,True
"[840584, 840565]",2,False,True,4.75,False
"[800540, 800685]",2,False,True,21.99,False
"[789100, 789134]",2,False,True,14.01,False
"[762336, 762335]",2,True,True,0.45,False
"[852368, 827521, 827492]",3,False,True,4507.4,True
"[847792, 816157, 816158]",3,False,True,5715.94,True
"[855232, 855190, 855230, 855166, 855231]",5,False,True,5.17,True
"[850899, 851893]",2,False,True,192.03,True
"[844336, 844507]",2,False,True,20.76,False
"[742905, 749155, 781758, 854030]",4,False,True,18217.06,True
"[825155, 826991, 826928, 825110, 826462]",5,False,True,304.63,False
"[855440, 855435]",2,False,True,1.98,False
"[804288, 847821, 804269]",3,False,True,7698.68,False
"[850715, 850555]",2,False,True,0.04,True
"[854496, 859033, 853928]",3,False,False,768.41,False
"[852608, 852609, 859029, 840318]",4,False,True,3425.64,True
"[848194, 848323]",2,False,True,18.97,False
"[858895, 858896, 860306, 860307, 852756, 852757, 860308, 852250, 852635, 852636, 852253, 852637, 852506, 852507, 852508, 852509, 852774, 852656, 852657, 852662, 852797, 852802, 852803, 852676, 852805, 852678, 852806, 852804, 851802, 859482, 851950, 851952]",32,False,False,1528.4,False
"[841088, 831651, 831823, 831507, 831902]",5,False,True,1631.1,True
"[847009, 850538]",2,False,True,699.03,False
"[464953, 507078]",2,True,True,3173.06,False
"[853306, 850166, 850167]",3,False,True,696.77,False
"[854584, 854973]",2,False,True,13.11,True
"[769120, 764292, 769675, 769869, 769872, 770065, 768851, 768852, 769043, 768862]",10,False,True,1103.21,True
"[739778, 739942, 735638, 735640, 735641, 735519]",6,False,True,553.82,True
"[731973, 726762, 715762, 663542, 731388, 663549, 700799]",7,False,True,8623.15,True
"[356226, 319078, 350919, 375199, 343993, 342655]",6,False,True,3019.64,True
"[328280, 336414]",2,True,True,498.99,True
"[666616, 680777, 796880, 795951]",4,False,True,17471.74,True
"[548427, 548356, 550221, 548919]",4,False,True,170.29,True
"[851851, 851837, 851838, 851839]",4,False,True,1.6,False
"[854144, 853473, 853794, 853474, 853608, 652782, 853433]",7,False,True,29441.3,True
"[838168, 838167]",2,False,True,0.04,False
"[850656, 770215, 770216, 769385, 767370, 763634, 767475, 765780, 765781]",9,False,True,14544.3,False
"[854377, 854378, 854539, 854380, 854540, 854606, 854250, 853680, 854614]",9,False,True,164.12,False
"[851002, 851003, 850998]",3,False,True,0.83,True
"[853699, 854021, 854022, 853791]",4,False,True,94.81,False
"[841993, 842366]",2,False,False,42.22,False
"[835917, 849587, 852694, 853368, 858459]",5,False,True,4154.76,False
"[851744, 851752, 851753, 851507, 851612, 851743]",6,True,True,75.87,False
"[778915, 851555, 501987, 832767, 656935, 846152, 841549, 790670, 841550, 532914, 501810, 690038, 562207, 736990, 601599]",15,False,True,42862.12,False
"[854498, 852651]",2,False,True,371.64,True
"[749189, 616605, 749191]",3,False,False,15902.82,False
"[852580, 853607, 853936, 848758, 851958, 853336]",6,False,True,1146.65,False
"[852594, 852734]",2,False,True,21.61,False
"[848186, 848311]",2,False,True,19.84,False
"[854177, 849806]",2,False,True,960.62,False
"[836064, 836065, 836059, 843700]",4,False,True,1377.49,True
