antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift
['openstack/puppet-cinder'],['openstack/puppet-nova'],0.003614853762734144,0.007476174827472888,0.0018895826487019388,0.5227272727272727,69.91908091908093
['openstack/puppet-nova'],['openstack/puppet-cinder'],0.007476174827472888,0.003614853762734144,0.0018895826487019388,0.25274725274725274,69.91908091908093
['openstack/tripleo-quickstart-extras'],['openstack/tripleo-quickstart'],0.008954978639500493,0.011830430496220835,0.0018895826487019388,0.21100917431192662,17.836136595310908
['openstack/tripleo-quickstart'],['openstack/tripleo-quickstart-extras'],0.011830430496220835,0.008954978639500493,0.0018895826487019388,0.1597222222222222,17.836136595310908
['openstack/tripleo-quickstart'],['openstack/tripleo-ci'],0.011830430496220835,0.012076897798225435,0.0021360499507065396,0.18055555555555555,14.950491307634165
['openstack/tripleo-ci'],['openstack/tripleo-quickstart'],0.012076897798225435,0.011830430496220835,0.0021360499507065396,0.17687074829931973,14.950491307634165
['openstack/neutron-tempest-plugin'],['openstack/neutron'],0.004107788366743345,0.036312849162011177,0.0022182057180414067,0.54,14.870769230769232
['openstack/neutron'],['openstack/neutron-tempest-plugin'],0.036312849162011177,0.004107788366743345,0.0022182057180414067,0.06108597285067873,14.870769230769232
['openstack/puppet-tripleo'],['openstack/tripleo-heat-templates'],0.015198816956950379,0.05603023332237923,0.0052579691094314825,0.34594594594594597,6.174272806530872
['openstack/tripleo-heat-templates'],['openstack/puppet-tripleo'],0.05603023332237923,0.015198816956950379,0.0052579691094314825,0.093841642228739,6.174272806530872
['openstack/kolla'],['openstack/kolla-ansible'],0.012980611238908972,0.03204074926059809,0.002464673020046007,0.189873417721519,5.925998052580331
['openstack/kolla-ansible'],['openstack/kolla'],0.03204074926059809,0.012980611238908972,0.002464673020046007,0.07692307692307693,5.925998052580331
['openstack/python-tripleoclient'],['openstack/tripleo-ansible'],0.016841932303647715,0.025796910943148208,0.002464673020046007,0.14634146341463414,5.672828957588939
['openstack/tripleo-ansible'],['openstack/python-tripleoclient'],0.025796910943148208,0.016841932303647715,0.002464673020046007,0.09554140127388536,5.672828957588939
['openstack/tripleo-common'],['openstack/tripleo-heat-templates'],0.011091028590207032,0.05603023332237923,0.0030397633913900757,0.2740740740740741,4.891539046377757
['openstack/tripleo-heat-templates'],['openstack/tripleo-common'],0.05603023332237923,0.011091028590207032,0.0030397633913900757,0.054252199413489736,4.891539046377757
['openstack/tripleo-ansible'],['openstack/tripleo-heat-templates'],0.025796910943148208,0.05603023332237923,0.0060795267827801515,0.2356687898089172,4.206100453891701
['openstack/tripleo-heat-templates'],['openstack/tripleo-ansible'],0.05603023332237923,0.025796910943148208,0.0060795267827801515,0.10850439882697947,4.206100453891701
['openstack/tripleo-ci'],['openstack/tripleo-heat-templates'],0.012076897798225435,0.05603023332237923,0.002464673020046007,0.20408163265306123,3.6423484349751627
['openstack/tripleo-heat-templates'],['openstack/tripleo-ci'],0.05603023332237923,0.012076897798225435,0.002464673020046007,0.04398826979472141,3.6423484349751627
['openstack/tripleo-quickstart-extras'],['openstack/tripleo-heat-templates'],0.008954978639500493,0.05603023332237923,0.001807426881367072,0.2018348623853211,3.6022491861497485
['openstack/tripleo-heat-templates'],['openstack/tripleo-quickstart-extras'],0.05603023332237923,0.008954978639500493,0.001807426881367072,0.03225806451612903,3.6022491861497485
['openstack/tempest'],['openstack/nova'],0.016677620768977983,0.032287216562602694,0.001807426881367072,0.10837438423645321,3.3565725316185966
['openstack/nova'],['openstack/tempest'],0.032287216562602694,0.016677620768977983,0.001807426881367072,0.05597964376590331,3.3565725316185966
['openstack/tripleo-quickstart'],['openstack/tripleo-heat-templates'],0.011830430496220835,0.05603023332237923,0.0018895826487019388,0.1597222222222222,2.8506435320951446
['openstack/tripleo-heat-templates'],['openstack/tripleo-quickstart'],0.05603023332237923,0.011830430496220835,0.0018895826487019388,0.03372434017595308,2.8506435320951446
['openstack/python-tripleoclient'],['openstack/tripleo-heat-templates'],0.016841932303647715,0.05603023332237923,0.002546828787380874,0.15121951219512195,2.698891352549889
['openstack/tripleo-heat-templates'],['openstack/python-tripleoclient'],0.05603023332237923,0.016841932303647715,0.002546828787380874,0.045454545454545456,2.698891352549889
['openstack/nova'],['openstack/neutron'],0.032287216562602694,0.036312849162011177,0.001807426881367072,0.05597964376590331,1.5415932667841064
['openstack/neutron'],['openstack/nova'],0.036312849162011177,0.032287216562602694,0.001807426881367072,0.049773755656108594,1.5415932667841064
