project,archived_at,year,release
openstack/deb-trove-dashboard,2020-06-26,2020,victoria
openstack/deb-watcher,2020-06-26,2020,victoria
openstack/deb-websockify,2020-06-26,2020,victoria
openstack/deb-zaqar,2020-06-26,2020,victoria
openstack/deb-python-barbicanclient,2020-06-26,2020,victoria
openstack/deb-python-oslo.privsep,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery-migrate,2020-06-26,2020,victoria
openstack/openstack-ansible-os_watcher,2020-06-26,2020,victoria
openstack/deb-python-fixtures,2020-06-26,2020,victoria
openstack/openstack-ansible-os_monasca,2020-06-26,2020,victoria
openstack/deb-bandit,2020-06-26,2020,victoria
openstack/deb-python-hacking,2020-06-26,2020,victoria
openstack/deb-python-keystoneauth1,2020-06-26,2020,victoria
openstack/deb-python-requestsexceptions,2020-06-26,2020,victoria
openstack/deb-alembic,2020-06-26,2020,victoria
openstack/deb-python-keystonemiddleware,2020-06-26,2020,victoria
openstack/deb-fonts-materialdesignicons-webfont,2020-06-26,2020,victoria
openstack/deb-fonts-roboto-fontface,2020-06-26,2020,victoria
