year,project,dependent_projects
2016,openstack/devstack-plugin-nfs,2
2016,openstack/monasca-notification,0
2016,openstack/openstack-ansible-os_ceilometer,46
2016,openstack/oslo.serialization,2
2016,openstack/fuel-nailgun-extension-cluster-upgrade,3
2016,openstack/cookbook-openstack-telemetry,6
2016,openstack/murano-dashboard,26
2016,openstack/python-muranoclient,25
2016,openstack/networking-ovn,5
2016,openstack/puppet-openstack-guide,1
2016,openstack/manila-ui,3
2016,openstack/ec2-api,38
2016,openstack/tripleo-quickstart-extras,1
2016,openstack/openstack-ansible-repo_server,42
2016,openstack/python-solumclient,2
2016,openstack/puppet-openstacklib,16
2016,openstack/fairy-slipper,1
2016,openstack/congress,37
2016,openstack/monasca-ceilometer,0
2016,openstack/freezer,3
2016,openstack/osc-lib,23
2016,openstack/heat-cfntools,35
2016,openstack/openstack-ansible-os_watcher,42
2016,openstack/glance_store,26
2016,openstack/hacking,2
2016,openstack/oslo.policy,1
2016,openstack/monasca-transform,1
2016,openstack/tuning-box,0
2016,openstack/networking-bgpvpn,4
2016,openstack/charm-swift-storage,0
2016,openstack/openstack-ansible-os_keystone,43
2016,openstack/openstack-ansible-os_magnum,44
2016,openstack/devstack,31
2016,openstack/i18n,1
2016,openstack/puppet-panko,9
2016,openstack/charm-manila,3
2016,openstack/charm-swift-proxy,0
2016,openstack/networking-midonet,10
2016,openstack/openstacksdk,5
2016,openstack/castellan,1
2016,openstack/rpm-packaging,1
2016,openstack/governance,10
2016,openstack/freezer-dr,0
2016,openstack/zaqar,61
2016,openstack/python-ceilometerclient,35
2016,openstack/rpm-packaging-tools,1
2016,openstack/shade,4
2016,openstack/openstack-ansible-os_tempest,43
2016,openstack/python-cinderclient,37
2016,openstack/training-labs,0
2016,openstack/python-ironicclient,25
2016,openstack/puppet-openstack-integration,30
2016,openstack/cinder,39
2016,openstack/debtcollector,1
2016,openstack/sahara-image-elements,1
2016,openstack/oslo.messaging,6
2016,openstack/ha-guide,1
2016,openstack/stackviz,1
2016,openstack/openstack-chef-repo,11
2016,openstack/neutron-specs,3
2016,openstack/charm-ceph-fs,0
2016,openstack/oslo.config,66
2016,openstack/murano-agent,1
2016,openstack/openstack-ansible-os_cinder,42
2016,openstack/fuel-web,12
2016,openstack/charm-keystone,0
2016,openstack/solum-dashboard,1
2016,openstack/puppet-murano,26
2016,openstack/charms.ceph,2
2016,openstack/charm-rabbitmq-server,0
2016,openstack/charm-ceilometer,0
2016,openstack/karbor,2
2016,openstack/cookbook-openstack-ops-database,2
2016,openstack/sahara-tests,3
2016,openstack/cliff,1
2016,openstack/cookbook-openstack-common,12
2016,openstack/openstack-ansible-lxc_container_create,42
2016,openstack/sahara-specs,1
2016,openstack/liberasurecode,1
2016,openstack/osprofiler,4
2016,openstack/kolla-ansible,2
2016,openstack/openstack-ansible-os_nova,42
2016,openstack/puppet-heat,27
2016,openstack/openstack-ansible-os_glance,43
2016,openstack/python-dracclient,1
2016,openstack/puppet-ovn,1
2016,openstack/aodh,32
2016,openstack/charm-neutron-openvswitch,0
2016,openstack/glance,37
2016,openstack/puppet-oslo,5
2016,openstack/python-ironic-inspector-client,2
2016,openstack/monasca-agent,0
2016,openstack/charm-glance,0
2016,openstack/heat-templates,3
2016,openstack/charm-nova-lxd,0
2016,openstack/fuel-ostf,1
2016,openstack/neutron,58
2016,openstack/fuel-nailgun-extension-converted-serializers,0
2016,openstack/fuel-library,15
2016,openstack/openstack-ansible-os_cloudkitty,44
2016,openstack/designate,16
2016,openstack/neutron-lbaas-dashboard,1
2016,openstack/oslo.context,3
2016,openstack/puppet-mistral,30
2016,openstack/senlin-dashboard,1
2016,openstack/tap-as-a-service,3
2016,openstack/charm-designate-bind,0
2016,openstack/cookbook-openstack-database,2
2016,openstack/senlin,5
2016,openstack/monasca-log-api,3
2016,openstack/dib-utils,1
2016,openstack/blazar,25
2016,openstack/tricircle,1
2016,openstack/puppet-tempest,1
2016,openstack/searchlight-ui,3
2016,openstack/charm-cinder,0
2016,openstack/openstack-ansible-memcached_server,42
2016,openstack/openstack-ansible-os_barbican,44
2016,openstack/os-apply-config,35
2016,openstack/tripleo-validations,2
2016,openstack/trove-integration,3
2016,openstack/monasca-thresh,2
2016,openstack/charm-percona-cluster,0
2016,openstack/heat,50
2016,openstack/cookbook-openstack-integration-test,6
2016,openstack/charm-aodh,0
2016,openstack/fuxi,1
2016,openstack/openstack-ansible-tests,42
