release,count
austin,0
bexar,0
cactus,0
diablo,0
essex,18
folsom,111
grizzly,131
havana,277
icehouse,377
juno,625
kilo,1374
liberty,2660
mitaka,3669
newton,4305
ocata,3456
pike,4327
queens,5248
rocky,5104
stein,4058
train,3634
ussuri,3163
victoria,2712
wallaby,2262
xena,1615
yoga,1446
zed,1280
2023.1 antelope,217
2023.2 bobcat,0
