id,status,changes
14107,Core,1022
34232,Non core,4
34175,Non core,4
34940,Non core,11
34564,Non core,13
29307,Non core,6
34352,Non core,51
17216,Non core,543
34427,Non core,8
22623,Core,349
15993,Core,78
6773,Core,1386
7634,Core,782
7414,Core,73
16465,Core,90
33607,Non core,3
9976,Core,478
24245,Core,1094
35059,Non core,6
10058,Non core,106
18002,Non core,489
34621,Non core,3
30674,Non core,54
32927,Non core,24
22865,Non core,132
33307,Non core,6
31668,Non core,5
4694,Core,178
34076,Non core,9
25023,Core,1905
30623,Core,6
32102,Core,91
30247,Non core,7
308,Core,1447
32657,Non core,64
35007,Non core,4
14482,Core,193
26458,Core,384
28609,Non core,63
34411,Non core,17
35264,Non core,4
30742,Core,62
34423,Non core,15
6413,Core,214
34118,Non core,39
33340,Non core,3
30562,Core,48
25701,Core,148
9542,Core,577
10459,Core,1035
32919,Non core,37
33787,Non core,14
34451,Core,115
31792,Non core,15
20182,Non core,160
34952,Non core,7
19138,Non core,148
4257,Core,1490
30566,Non core,25
29974,Core,68
15519,Core,712
25402,Core,494
11297,Non core,82
16137,Core,2041
31779,Non core,4
35016,Non core,7
14288,Core,404
32586,Non core,63
31068,Non core,23
34226,Non core,6
13039,Non core,681
4523,Core,1141
17566,Core,6
34260,Non core,6
14119,Core,738
6476,Non core,1589
31721,Non core,36
19298,Core,97
8122,Core,354
6737,Non core,334
7166,Core,351
31581,Non core,9
16708,Core,312
34520,Non core,8
31033,Core,54
34750,Non core,6
32755,Non core,33
11536,Core,1584
33765,Non core,15
35058,Non core,79
34720,Non core,6
34346,Non core,9
5241,Non core,462
31857,Core,42
35067,Non core,43
6681,Non core,525
24828,Core,236
11166,Non core,415
34653,Non core,13
27565,Core,154
30455,Core,148
14394,Core,6
32148,Non core,7
16011,Core,101
9708,Core,941
33795,Non core,5
34107,Non core,5
31813,Non core,26
15527,Non core,35
167,Core,1436
33634,Non core,10
29775,Core,243
32671,Non core,3
34665,Non core,11
34340,Non core,27
32921,Non core,43
32020,Non core,23
23360,Non core,20
34543,Non core,8
9642,Non core,17
33492,Non core,39
23922,Non core,11
33473,Non core,6
5803,Core,431
7353,Core,2313
1179,Core,413
24777,Non core,6
28048,Core,176
30615,Non core,95
34712,Non core,3
30380,Core,62
33612,Non core,13
30077,Core,32
