reviewer,projects_nbr,rev_status
6094,6,Non core
6116,24,Non core
6124,9,Non core
6125,4,Non core
6133,80,Core
6139,2,Non core
6153,10,Non core
6156,7,Non core
6159,134,Core
6160,8,Non core
6162,19,Non core
6167,71,Core
6172,62,Core
6191,1,Non core
6198,14,Non core
6199,3,Non core
6223,10,Non core
6230,11,Non core
6237,1,Non core
6265,1,Non core
6268,9,Non core
6274,4,Non core
6282,21,Non core
6287,20,Core
6316,72,Non core
6318,1,Non core
6348,59,Core
6369,7,Non core
6390,1,Non core
6413,56,Core
6414,7,Non core
6423,1,Non core
6427,18,Core
6434,13,Non core
6437,13,Non core
6443,1,Non core
6447,7,Non core
6449,29,Core
6450,5,Non core
6455,1,Non core
6456,22,Core
6460,24,Core
6461,4,Non core
6462,1,Non core
6463,1,Non core
6466,9,Non core
6469,69,Core
6473,4,Non core
6476,377,Non core
6482,124,Core
6484,67,Core
6485,1,Non core
6486,88,Non core
6487,1,Non core
6488,65,Core
6489,1,Non core
6491,31,Non core
6493,11,Non core
6494,3,Non core
6495,7,Non core
6498,14,Non core
6500,1,Non core
6505,1,Non core
6506,11,Non core
6507,12,Non core
6508,10,Non core
6509,19,Non core
6511,1,Non core
6515,1,Non core
6522,6,Non core
6524,54,Non core
6525,23,Non core
6526,28,Non core
6528,1,Non core
6529,4,Non core
6530,15,Non core
6534,4,Non core
6536,4,Non core
6537,58,Core
6538,2,Non core
6539,1,Non core
6540,2,Non core
6541,2,Non core
6542,6,Non core
6547,621,Core
6549,37,Non core
6550,11,Non core
6553,1,Non core
6554,39,Non core
6555,1,Non core
6558,21,Core
6564,1,Non core
6565,1,Non core
6571,22,Non core
6574,1,Non core
6575,2,Non core
6577,44,Core
6578,3,Non core
6579,42,Non core
6582,5,Non core
6585,1,Non core
6587,10,Non core
6588,3,Non core
6589,25,Non core
6593,176,Core
6598,43,Core
6601,64,Non core
6603,3,Non core
6604,3,Non core
6607,1,Non core
6608,5,Non core
6609,39,Core
6610,45,Core
6613,1,Non core
6618,54,Core
6620,23,Non core
6623,31,Core
6624,6,Non core
6627,1,Non core
6631,5,Non core
6632,1,Non core
6633,3,Non core
6635,23,Non core
6637,51,Core
6638,16,Non core
6642,1,Non core
6645,12,Non core
6648,9,Core
6650,36,Core
6652,1,Non core
6655,1,Non core
6657,2,Non core
6659,18,Non core
6661,2,Non core
6662,13,Core
6667,1,Non core
6670,5,Non core
6671,13,Non core
6672,8,Non core
6676,67,Non core
6677,26,Core
6678,8,Non core
6681,81,Non core
6683,16,Non core
6684,3,Non core
6685,15,Non core
6687,5,Non core
6689,4,Non core
6690,1,Non core
6694,5,Non core
6695,10,Non core
6696,1,Non core
6697,18,Non core
6698,18,Non core
6699,8,Non core
6704,2,Non core
6705,1,Non core
6706,5,Non core
6707,3,Non core
6711,1,Non core
6714,16,Non core
6717,16,Non core
6718,4,Non core
6719,30,Non core
6721,20,Non core
6722,35,Non core
6724,8,Non core
6728,4,Non core
6731,4,Non core
6732,70,Core
6734,6,Non core
6735,19,Non core
6737,58,Non core
6738,5,Non core
6739,2,Non core
6742,1,Non core
6743,7,Non core
6754,34,Non core
6758,13,Non core
6759,1,Non core
6760,3,Non core
6761,2,Non core
6763,72,Core
6767,1,Non core
6769,3,Non core
6770,2,Non core
6771,5,Non core
6772,31,Non core
6773,85,Core
6779,1,Non core
6780,3,Non core
6781,2,Non core
6783,26,Non core
6785,9,Non core
6786,101,Non core
6788,16,Non core
6794,42,Core
6796,67,Non core
6798,2,Non core
6799,2,Non core
6800,7,Non core
6802,44,Non core
6804,61,Non core
6807,9,Non core
6814,1,Non core
6816,149,Core
6820,5,Non core
6823,8,Non core
6825,15,Non core
6828,7,Non core
6830,3,Non core
6834,2,Non core
6835,29,Core
6836,14,Non core
6838,13,Non core
6841,1,Non core
6843,12,Non core
6846,2,Non core
6847,1,Non core
6849,57,Non core
6850,4,Non core
6851,3,Non core
6852,2,Non core
6854,83,Core
6857,2,Non core
6859,14,Non core
6864,5,Non core
6873,150,Core
6874,1,Non core
6876,18,Non core
6877,2,Non core
6878,1,Non core
6880,2,Non core
6882,9,Core
6886,4,Non core
6889,14,Core
6890,10,Non core
6895,1,Non core
6896,15,Non core
6899,26,Non core
6901,1,Non core
6902,1,Non core
6904,19,Non core
6908,18,Non core
6912,2,Non core
6914,26,Core
6917,14,Non core
6918,4,Non core
6923,20,Non core
6924,53,Non core
6926,121,Core
6928,139,Core
6929,6,Non core
6930,1,Non core
6931,3,Non core
6932,4,Non core
6935,1,Non core
6938,13,Non core
6939,4,Non core
6940,1,Non core
6943,3,Non core
6944,10,Non core
6948,4,Non core
6949,3,Non core
6950,1,Non core
6951,25,Non core
6953,2,Non core
6955,1,Non core
6962,29,Non core
6967,20,Non core
6968,31,Core
6969,26,Non core
6971,3,Non core
6973,1,Non core
6975,1,Non core
6981,18,Non core
6983,32,Non core
6984,28,Core
6987,17,Non core
6989,2,Non core
6991,1,Non core
6992,2,Non core
6993,2,Non core
6994,47,Non core
6995,20,Core
6999,1,Non core
7002,59,Non core
7007,18,Core
7008,2,Non core
7010,8,Non core
7012,36,Core
7014,1,Non core
7016,31,Non core
7018,22,Core
7020,19,Non core
7021,11,Non core
7022,5,Non core
7028,3,Non core
7029,1,Non core
7035,1,Non core
7037,17,Non core
7038,2,Non core
7039,2,Non core
7040,8,Non core
7042,10,Non core
7044,4,Non core
7045,3,Non core
7047,1,Non core
7049,16,Non core
7051,10,Non core
7052,33,Non core
7055,4,Non core
7060,8,Non core
7062,1,Non core
7063,35,Core
7065,46,Non core
7066,1,Non core
7069,58,Core
7071,1,Non core
7073,17,Non core
7075,36,Non core
7080,26,Non core
7082,1,Non core
7083,1,Non core
7086,1,Non core
7094,3,Non core
7098,1,Non core
7102,99,Core
7104,1,Non core
7109,28,Non core
7111,25,Non core
7116,3,Non core
7117,1,Non core
7118,305,Core
7119,1,Non core
7121,9,Non core
7125,46,Non core
7126,25,Non core
7127,1,Non core
7128,48,Non core
7130,24,Non core
7132,23,Non core
7133,8,Non core
7134,4,Non core
7135,21,Non core
7136,15,Non core
7138,20,Non core
7139,7,Non core
7141,22,Non core
7144,68,Non core
7145,1,Non core
7146,1,Non core
7148,25,Non core
7150,1,Non core
7155,41,Non core
7156,60,Non core
7157,2,Non core
7160,37,Non core
7162,1,Non core
7166,58,Core
7170,4,Non core
7173,24,Non core
7175,6,Non core
7179,18,Non core
7181,1,Non core
7182,1,Non core
7183,18,Non core
7185,11,Non core
7186,17,Non core
7187,8,Non core
7189,6,Non core
7191,83,Non core
7192,1,Non core
7193,15,Core
7195,43,Core
7196,2,Non core
7198,81,Core
7201,1,Non core
7202,5,Non core
7203,20,Non core
7208,2,Non core
7217,63,Non core
7219,23,Non core
7220,11,Non core
7221,1,Non core
7223,5,Non core
7224,1,Non core
7225,41,Core
7226,26,Core
7227,51,Non core
7229,1,Non core
7230,22,Core
7231,3,Non core
7232,5,Core
7233,34,Core
7236,11,Non core
7237,5,Non core
7239,8,Non core
7244,95,Non core
7248,7,Non core
7249,42,Core
7253,19,Non core
7254,1,Non core
7256,21,Non core
7257,1,Non core
7260,6,Core
7262,8,Non core
7264,6,Non core
7265,1,Non core
7270,1,Non core
7272,4,Core
7273,1,Non core
7277,3,Non core
7278,9,Non core
7282,3,Non core
7289,5,Non core
7291,2,Non core
7293,34,Non core
7294,29,Non core
7302,3,Non core
7306,1,Non core
7307,69,Non core
7308,3,Non core
7309,2,Non core
7312,1,Non core
7317,10,Non core
7320,1,Non core
7322,1,Non core
7324,1,Non core
7328,1,Non core
7331,21,Non core
7336,10,Non core
7338,4,Non core
7345,1,Non core
7349,6,Non core
7350,41,Non core
7353,191,Core
7355,4,Non core
7357,2,Non core
7358,3,Non core
7359,4,Non core
7364,1,Non core
7366,12,Non core
7368,11,Non core
7369,28,Core
7370,1,Non core
7380,2,Non core
7384,1,Non core
7385,76,Core
7386,18,Non core
7387,3,Non core
7389,3,Non core
7392,4,Non core
7393,3,Non core
7395,5,Non core
7398,8,Non core
7399,1,Non core
7400,14,Non core
7401,2,Non core
7403,1,Non core
7404,42,Core
7405,3,Non core
7409,7,Non core
7411,2,Non core
7414,97,Core
7419,30,Core
7420,2,Non core
7422,1,Non core
7423,38,Non core
7425,1,Non core
7427,1,Non core
7428,30,Core
7431,30,Core
7433,4,Non core
7437,2,Non core
7439,2,Non core
7441,3,Non core
7447,1,Non core
7448,38,Non core
7450,23,Core
7455,3,Non core
7457,1,Non core
7461,11,Non core
7462,29,Non core
7464,2,Non core
7466,3,Non core
7468,25,Non core
7471,14,Non core
7472,10,Non core
7473,17,Non core
7474,6,Non core
7476,6,Non core
7478,32,Non core
7479,9,Non core
7481,1,Non core
7482,3,Non core
7484,1,Non core
7485,10,Core
7488,32,Core
7489,2,Non core
7491,60,Non core
7494,26,Non core
7498,13,Non core
7500,5,Non core
7504,2,Non core
7505,18,Non core
7509,32,Non core
7514,9,Core
7515,4,Non core
7518,1,Non core
7525,1,Non core
7531,3,Non core
7532,4,Non core
7534,8,Non core
7535,50,Core
7536,16,Non core
7537,12,Non core
7541,2,Non core
7542,1,Non core
7543,24,Non core
7546,5,Core
7549,29,Non core
7553,5,Non core
7555,19,Non core
7556,5,Non core
7557,1,Non core
7562,27,Non core
7563,3,Non core
7565,9,Core
7567,12,Non core
7570,2,Non core
7571,1,Non core
7575,23,Non core
7577,1,Non core
7579,11,Non core
7582,31,Non core
7583,1,Non core
7585,20,Non core
7586,2,Non core
7588,1,Non core
7589,5,Non core
7590,4,Non core
7591,4,Non core
7593,6,Non core
7600,32,Non core
7602,2,Non core
7604,60,Non core
7613,53,Non core
7614,4,Non core
7616,19,Non core
7617,3,Non core
7618,1,Non core
7619,1,Non core
7623,3,Non core
7624,4,Non core
7625,7,Non core
7627,1,Non core
7629,13,Non core
7631,1,Non core
7634,134,Core
7639,1,Non core
7641,15,Non core
7642,9,Non core
7653,8,Non core
7654,4,Non core
7655,2,Non core
7658,3,Non core
7661,3,Non core
7662,30,Non core
7664,14,Non core
7665,43,Core
7674,1,Non core
7675,1,Non core
7676,7,Non core
7677,12,Non core
7678,1,Non core
7679,1,Non core
7680,38,Non core
7687,15,Non core
7689,7,Non core
7693,5,Non core
7696,2,Non core
7699,3,Non core
7700,34,Non core
7701,4,Non core
7703,5,Non core
7706,6,Non core
7708,12,Non core
7710,35,Non core
7711,30,Non core
7714,6,Non core
7715,22,Non core
7718,6,Non core
7721,2,Non core
7725,49,Core
7727,3,Non core
7729,26,Non core
7730,83,Core
7731,1,Non core
7732,76,Core
7737,3,Non core
7740,3,Non core
7743,1,Non core
7745,82,Core
7746,6,Non core
7747,1,Non core
7750,1,Non core
7751,5,Non core
7752,5,Non core
7753,2,Non core
7761,26,Non core
7763,23,Non core
7764,42,Non core
7767,2,Non core
7769,28,Core
7770,28,Non core
7774,28,Non core
7776,22,Non core
7779,2,Non core
7780,3,Non core
7781,19,Non core
7784,6,Non core
7787,61,Core
7789,16,Non core
7794,8,Non core
7795,3,Non core
7796,4,Non core
7798,2,Non core
7800,2,Non core
7802,3,Non core
7805,29,Non core
7806,23,Non core
7808,11,Non core
7812,15,Non core
7817,6,Non core
7818,3,Non core
7820,1,Non core
7822,40,Non core
7823,17,Non core
7827,2,Non core
7833,25,Non core
7837,1,Non core
7838,5,Non core
7839,1,Non core
7840,1,Non core
7842,1,Non core
7847,23,Core
7848,2,Non core
7849,4,Non core
7850,3,Non core
7856,1,Non core
7858,16,Non core
7860,2,Non core
7867,1,Non core
7870,3,Non core
7872,41,Non core
7874,16,Non core
7878,8,Non core
7882,27,Non core
7884,8,Non core
7888,21,Non core
7890,2,Non core
7891,3,Non core
7892,3,Non core
7893,1,Non core
7895,3,Non core
7896,6,Non core
7900,6,Non core
7902,4,Non core
7903,9,Non core
7906,2,Non core
7909,8,Non core
7913,1,Non core
7915,3,Non core
7916,3,Non core
7921,15,Core
7922,1,Non core
7923,42,Non core
7924,5,Non core
7926,5,Non core
7929,1,Non core
7930,20,Non core
7932,2,Non core
7933,5,Non core
7934,1,Non core
7935,13,Non core
7937,1,Non core
7939,3,Non core
7946,1,Non core
7948,5,Non core
7952,4,Non core
7953,4,Non core
7956,2,Non core
7962,8,Non core
7963,1,Non core
7968,1,Non core
7972,1,Non core
7973,72,Core
7974,1,Non core
7975,7,Non core
7976,6,Non core
7977,1,Non core
7979,17,Non core
7980,3,Non core
7983,2,Non core
7984,14,Non core
7987,3,Non core
7988,1,Non core
7992,5,Non core
7993,1,Non core
7996,18,Non core
8000,4,Core
8001,10,Non core
8002,1,Non core
8003,27,Non core
8004,11,Non core
8005,29,Non core
8006,1,Non core
8010,1,Non core
8016,2,Non core
8021,16,Non core
8023,1,Non core
8027,8,Non core
8029,4,Non core
8035,8,Non core
8037,8,Non core
8040,48,Non core
8041,36,Non core
8042,54,Non core
8044,1,Non core
8046,4,Non core
8047,3,Non core
8049,1,Non core
8052,12,Non core
8053,11,Non core
8054,6,Non core
8056,19,Core
8064,28,Core
8067,2,Non core
8068,3,Non core
8069,2,Non core
8072,6,Non core
8073,1,Non core
8074,24,Non core
8076,4,Non core
8078,1,Non core
8083,15,Non core
8084,13,Non core
8085,4,Non core
8090,23,Non core
8091,25,Non core
8092,6,Non core
8093,3,Non core
8094,7,Non core
8096,1,Non core
8097,1,Non core
8098,3,Non core
8099,62,Core
8103,3,Non core
8104,1,Non core
8105,2,Non core
8106,36,Non core
8107,5,Non core
8108,29,Non core
8112,29,Non core
8116,19,Non core
8119,132,Core
8122,67,Core
8124,53,Non core
8125,43,Core
8126,26,Core
8127,33,Core
8128,3,Non core
8129,3,Non core
8130,4,Non core
8133,1,Non core
8134,1,Non core
8140,1,Non core
8143,12,Non core
8148,2,Non core
8149,1,Non core
8150,3,Non core
8151,14,Non core
8153,9,Non core
8155,5,Non core
8157,35,Non core
8158,15,Non core
8161,30,Non core
8163,5,Non core
8167,1,Non core
8169,1,Non core
8171,2,Non core
8172,10,Non core
8174,14,Non core
8175,63,Non core
8176,1,Non core
8177,2,Non core
8179,5,Non core
8180,3,Non core
8181,8,Non core
8182,1,Non core
8185,1,Non core
8186,2,Non core
8188,15,Core
8190,36,Non core
8199,1,Non core
8202,5,Non core
8205,10,Non core
8208,1,Non core
8212,2,Non core
8213,46,Core
8214,11,Non core
8215,10,Core
8216,1,Non core
8217,3,Non core
8224,1,Non core
8228,2,Non core
8229,10,Non core
8239,1,Non core
8244,1,Non core
8246,48,Core
8247,18,Non core
8253,5,Non core
8254,1,Non core
8255,5,Non core
8257,15,Non core
8258,2,Non core
8259,21,Non core
8262,2,Non core
8264,12,Core
8265,2,Non core
8267,1,Non core
8271,1,Non core
8276,38,Non core
8278,10,Non core
8279,24,Non core
8281,9,Non core
8282,14,Non core
8286,6,Non core
8287,1,Non core
8289,40,Non core
8290,51,Non core
8293,2,Non core
8296,1,Non core
8297,62,Core
8298,11,Non core
8300,14,Non core
8302,11,Non core
8303,1,Non core
8304,13,Non core
8305,1,Non core
8306,2,Non core
8307,1,Non core
8309,3,Non core
8311,4,Non core
8313,58,Core
8315,1,Non core
8318,19,Non core
8320,1,Non core
8321,5,Non core
8325,1,Non core
8328,14,Non core
8330,4,Core
8334,16,Core
