team,projects
adjutant,"['adjutant', 'adjutant-ui', 'python-adjutantclient']"
barbican,"['ansible-role-atos-hsm', 'ansible-role-lunasa-hsm', 'ansible-role-thales-hsm', 'barbican', 'barbican-tempest-plugin', 'python-barbicanclient', 'castellan-ui']"
blazar,"['blazar', 'blazar-dashboard', 'blazar-nova', 'blazar-tempest-plugin', 'python-blazarclient']"
cinder,"['cinder', 'cinder-tempest-plugin', 'cinderlib', 'os-brick', 'python-brick-cinderclient-ext', 'python-cinderclient']"
cloudkitty,"['cloudkitty', 'cloudkitty-dashboard', 'cloudkitty-tempest-plugin', 'python-cloudkittyclient']"
cyborg,"['cyborg', 'cyborg-tempest-plugin', 'python-cyborgclient', 'os-acc']"
designate,"['designate', 'designate-dashboard', 'designate-tempest-plugin', 'python-designateclient']"
documentation,"['openstack-doc-tools', 'openstackdocstheme', 'whereto']"
ec2_api,"['ec2-api', 'ec2api-tempest-plugin']"
freezer,"['freezer', 'freezer-tempest-plugin', 'freezer-web-ui', 'python-freezerclient']"
glance,"['glance', 'glance-store', 'glance-tempest-plugin', 'python-glanceclient']"
heat,"['heat', 'heat-agents', 'heat-dashboard', 'heat-tempest-plugin', 'heat-translator', 'python-heatclient', 'tosca-parser', 'heat-cfntools']"
horizon,"['horizon', 'tempest-horizon', 'django_openstack_auth', 'django-openstack-auth', 'manila-ui', 'django-openstack-auth-kerberos', 'xstatic-angular', 'xstatic-angular-bootstrap', 'xstatic-angular-gettext', 'xstatic-angular-lrdragndrop', 'xstatic-angular-material', 'xstatic-angular-notify', 'xstatic-angular-smart-table', 'xstatic-angular-uuid', 'xstatic-angular-vis', 'xstatic-bootstrap-datepicker', 'xstatic-bootstrap-scss', 'xstatic-bootswatch', 'xstatic-d3', 'xstatic-filesaver', 'xstatic-font-awesome', 'xstatic-hogan', 'xstatic-jasmine', 'xstatic-jquery-migrate', 'xstatic-jquery.quicksearch', 'xstatic-jquery.tablesorter', 'xstatic-js-yaml', 'xstatic-jsencrypt', 'xstatic-json2yaml', 'xstatic-magic-search', 'xstatic-mdi', 'xstatic-rickshaw', 'xstatic-roboto-fontface', 'xstatic-spin']"
ironic,"['bifrost', 'ironic', 'ironic-inspector', 'ironic-lib', 'ironic-prometheus-exporter', 'ironic-python-agent', 'ironic-python-agent-builder', 'ironic-tempest-plugin', 'ironic-ui', 'metalsmith', 'networking-baremetal', 'networking-generic-switch', 'python-ironic-inspector-client', 'python-ironicclient', 'sushy', 'sushy-cli', 'python-wsmanclient', 'sushy-tools', 'tenks', 'virtualbmc']"
keystone,"['keystone', 'keystone-tempest-plugin', 'keystoneauth', 'keystonemiddleware', 'python-keystoneclient', 'pycadf', 'ldappool', 'python-keystoneclient-kerberos']"
kolla,"['ansible-collection-kolla', 'kayobe', 'kolla', 'kolla-ansible', 'kolla-cli', 'kolla-kubernetes']"
kuryr,"['kuryr', 'kuryr-kubernetes', 'kuryr-libnetwork', 'kuryr-tempest-plugin', 'fuxi']"
magnum,"['magnum', 'magnum-tempest-plugin', 'magnum-ui', 'python-magnumclient']"
manila,"['manila', 'manila-tempest-plugin', 'manila-ui', 'python-manilaclient']"
masakari,"['masakari', 'masakari-dashboard', 'masakari-monitors', 'python-masakariclient']"
mistral,"['mistral', 'mistral-dashboard', 'mistral-extra', 'mistral-lib', 'mistral-tempest-plugin', 'python-mistralclient']"
monasca,"['monasca-agent', 'monasca-api', 'monasca-common', 'monasca-events-api', 'monasca-notification', 'monasca-persister', 'monasca-statsd', 'monasca-tempest-plugin', 'monasca-thresh', 'monasca-ui', 'python-monascaclient', 'monasca-transform', 'monasca-ceilometer', 'monasca-kibana-plugin', 'monasca-log-api', 'monasca-grafana-datasource']"
murano,"['murano', 'murano-agent', 'murano-dashboard', 'murano-tempest-plugin', 'python-muranoclient', 'murano-apps', 'murano-pkg-check', 'yaql']"
