team,projects,size,Dev,Rev
adjutant,"['adjutant', 'adjutant-ui', 'python-adjutantclient']",3,"{'Core': [62.5, 66.66666666666667, 55.55555555555556], 'Non-core': [29.41176470588235, 5.0, 10.0]}","{'Core': [32.35294117647059, 14.705882352941176, 12.0], 'Non-core': [29.41176470588235, 22.22222222222222, 20.0]}"
barbican,"['ansible-role-atos-hsm', 'ansible-role-lunasa-hsm', 'ansible-role-thales-hsm', 'barbican', 'barbican-tempest-plugin', 'python-barbicanclient', 'castellan-ui']",7,"{'Core': [25.0, 50.0, 2.4390243902439024, 5.0, 2.857142857142857, 14.285714285714286, 16.666666666666668, 2.4096385542168677, 15.789473684210526, 5.714285714285714, 28.571428571428573, 4.878048780487805, 9.523809523809524, 5.555555555555555, 11.11111111111111, 16.091954022988507, 34.883720930232556, 7.317073170731708, 23.25581395348837, 25.0, 14.285714285714286], 'Non-core': [0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 7.6502732240437155, 24.0, 0.0, 7.777777777777778, 0.0, 0.0]}","{'Core': [33.333333333333336, 31.57894736842105, 2.3684210526315788, 9.75609756097561, 4.294478527607362, 18.51851851851852, 18.75, 1.3227513227513228, 6.329113924050633, 3.1446540880503147, 18.181818181818183, 2.349869451697128, 5.681818181818182, 2.9761904761904763, 16.666666666666668, 13.681592039800995, 30.656934306569344, 5.555555555555555, 19.597989949748744, 17.647058823529413, 12.5], 'Non-core': [33.333333333333336, 50.0, 0.78125, 4.0, 1.8181818181818181, 20.0, 33.333333333333336, 0.39215686274509803, 2.0408163265306123, 0.9174311926605505, 11.11111111111111, 0.78125, 4.0, 1.8181818181818181, 20.0, 13.011152416356877, 29.537366548042705, 3.5294117647058822, 20.610687022900763, 18.367346938775512, 8.256880733944953]}"
blazar,"['blazar', 'blazar-dashboard', 'blazar-nova', 'blazar-tempest-plugin', 'python-blazarclient']",5,"{'Core': [25.0, 42.857142857142854, 21.62162162162162, 51.42857142857143, 28.571428571428573, 37.5, 36.36363636363637, 28.571428571428573, 52.17391304347826, 30.434782608695652], 'Non-core': [17.391304347826086, 18.309859154929576, 6.8493150684931505, 29.487179487179485, 14.814814814814815, 25.0, 17.073170731707318, 12.0, 18.6046511627907, 12.5]}","{'Core': [27.848101265822784, 33.97435897435897, 17.307692307692307, 35.97560975609756, 40.78947368421053, 39.6551724137931, 47.5609756097561, 31.34328358208955, 43.82022471910113, 29.11392405063291], 'Non-core': [22.857142857142858, 28.571428571428573, 8.653846153846153, 32.72727272727273, 33.333333333333336, 31.03448275862069, 44.89795918367347, 18.91891891891892, 37.5, 19.565217391304348]}"
cinder,"['os-brick', 'cinder', 'cinder-tempest-plugin', 'cinderlib', 'python-brick-cinderclient-ext', 'python-cinderclient']",6,"{'Core': [22.564102564102566, 26.41509433962264, 26.53061224489796, 28.571428571428573, 28.571428571428573, 9.743589743589743, 7.731958762886598, 7.6923076923076925, 31.25, 37.03703703703704, 26.666666666666668, 18.823529411764707, 32.0, 17.073170731707318, 18.29268292682927], 'Non-core': [11.91588785046729, 5.343511450381679, 4.132231404958677, 9.62962962962963, 12.052117263843648, 1.3048635824436536, 0.5973715651135006, 1.8867924528301887, 16.10076670317634, 10.0, 4.761904761904762, 2.5641025641025643, 6.666666666666667, 1.7857142857142858, 6.382978723404255]}","{'Core': [15.6957928802589, 9.63172804532578, 8.682634730538922, 16.666666666666668, 20.168067226890756, 2.7945205479452055, 1.87018701870187, 3.3516483516483517, 22.367049009384775, 28.767123287671232, 18.26923076923077, 5.9352517985611515, 25.31645569620253, 5.018587360594796, 9.191176470588236], 'Non-core': [14.185303514376997, 6.319702602230484, 3.9215686274509802, 12.741312741312742, 17.406749555950267, 1.949317738791423, 0.8469055374592834, 2.47234873129473, 19.852034525277436, 11.904761904761905, 10.447761194029852, 3.747072599531616, 10.416666666666666, 1.6867469879518073, 6.65083135391924]}"
cloudkitty,"['cloudkitty', 'cloudkitty-dashboard', 'cloudkitty-tempest-plugin', 'python-cloudkittyclient']",4,"{'Core': [28.94736842105263, 13.88888888888889, 28.205128205128204, 14.285714285714286, 37.5, 13.636363636363637], 'Non-core': [19.387755102040817, 7.608695652173913, 22.429906542056074, 15.0, 25.806451612903224, 13.20754716981132]}","{'Core': [32.240437158469945, 11.931818181818182, 25.925925925925927, 25.609756097560975, 42.57425742574257, 25.31645569620253], 'Non-core': [31.11111111111111, 10.687022900763358, 24.64788732394366, 23.333333333333332, 39.473684210526315, 25.423728813559322]}"
cyborg,"['python-cyborgclient', 'cyborg', 'cyborg-tempest-plugin', 'os-acc']",4,"{'Core': [46.875, 30.0, 11.764705882352942, 24.242424242424242, 9.67741935483871, 0.0], 'Non-core': [13.043478260869565, 12.0, 8.333333333333334, 14.285714285714286, 2.5, 0.0]}","{'Core': [24.475524475524477, 31.57894736842105, 35.55555555555556, 18.181818181818183, 13.138686131386862, 30.0], 'Non-core': [12.048192771084338, 4.0, 21.428571428571427, 9.411764705882353, 5.0, 6.25]}"
designate,"['designate', 'designate-dashboard', 'designate-tempest-plugin', 'python-designateclient']",4,"{'Core': [22.78481012658228, 21.794871794871796, 29.333333333333332, 41.1764705882353, 47.05882352941177, 45.45454545454545], 'Non-core': [9.803921568627452, 8.854166666666666, 20.28301886792453, 15.09433962264151, 11.458333333333334, 10.843373493975903]}","{'Core': [17.344173441734416, 11.048158640226628, 20.867208672086722, 17.96875, 26.54320987654321, 20.58823529411765], 'Non-core': [15.686274509803921, 9.75609756097561, 21.153846153846153, 14.117647058823529, 22.413793103448278, 15.841584158415841]}"
documentation,"['openstack-doc-tools', 'openstackdocstheme', 'whereto']",3,"{'Core': [31.818181818181817, 14.814814814814815, 11.428571428571429], 'Non-core': [15.068493150684931, 8.771929824561404, 6.976744186046512]}","{'Core': [22.5609756097561, 16.19047619047619, 15.74074074074074], 'Non-core': [13.131313131313131, 8.823529411764707, 9.803921568627452]}"
ecapi,"['ec2-api', 'ec2api-tempest-plugin']",2,"{'Core': [12.903225806451612], 'Non-core': [19.148936170212767]}","{'Core': [15.384615384615385], 'Non-core': [12.5]}"
freezer,"['freezer', 'freezer-tempest-plugin', 'freezer-web-ui', 'python-freezerclient']",4,"{'Core': [18.75, 42.592592592592595, 42.5531914893617, 23.529411764705884, 23.076923076923077, 44.44444444444444], 'Non-core': [8.24742268041237, 24.752475247524753, 19.23076923076923, 16.216216216216218, 13.88888888888889, 10.714285714285714]}","{'Core': [12.376237623762377, 31.01851851851852, 23.474178403755868, 28.735632183908045, 33.333333333333336, 42.30769230769231], 'Non-core': [6.040268456375839, 25.46583850931677, 17.72151898734177, 17.857142857142858, 19.047619047619047, 36.231884057971016]}"
