team,intersection,status
horizon,0.1479289940828402,Core
horizon,1.257396449704142,Core
horizon,1.183431952662722,Core
horizon,1.0355029585798816,Core
horizon,1.0355029585798816,Core
horizon,0.1479289940828402,Core
horizon,0.9608277900960828,Core
horizon,0.4437869822485207,Core
horizon,1.183431952662722,Core
horizon,0.5177514792899408,Core
horizon,0.4437869822485207,Core
horizon,0.4437869822485207,Core
horizon,0.2958579881656805,Core
horizon,1.183431952662722,Core
horizon,0.2218934911242603,Core
horizon,1.183431952662722,Core
horizon,0.9615384615384616,Core
horizon,0.9615384615384616,Core
horizon,1.0355029585798816,Core
horizon,0.4437869822485207,Core
horizon,6.432748538011696,Core
horizon,10.0,Core
horizon,17.647058823529413,Core
horizon,25.0,Core
horizon,23.529411764705884,Core
horizon,27.58620689655172,Core
horizon,15.625,Core
horizon,7.6923076923076925,Core
horizon,4.0,Core
horizon,24.0,Core
horizon,4.166666666666667,Core
horizon,4.166666666666667,Core
horizon,17.647058823529413,Core
horizon,25.806451612903224,Core
horizon,19.35483870967742,Core
horizon,19.35483870967742,Core
horizon,4.166666666666667,Core
horizon,23.33333333333333,Core
horizon,20.83333333333333,Core
horizon,18.181818181818183,Core
horizon,25.0,Core
horizon,20.83333333333333,Core
horizon,20.83333333333333,Core
horizon,12.5,Core
horizon,21.875,Core
horizon,8.333333333333334,Core
horizon,14.705882352941176,Core
horizon,16.129032258064516,Core
horizon,24.13793103448276,Core
horizon,23.33333333333333,Core
horizon,20.83333333333333,Core
horizon,6.639004149377594,Core
horizon,7.975460122699387,Core
horizon,11.042944785276074,Core
horizon,10.559006211180124,Core
horizon,6.134969325153374,Core
horizon,6.790123456790123,Core
horizon,1.2345679012345678,Core
horizon,0.6211180124223602,Core
horizon,5.031446540880503,Core
horizon,0.625,Core
horizon,0.625,Core
horizon,7.975460122699387,Core
horizon,8.695652173913043,Core
horizon,7.453416149068323,Core
horizon,8.125,Core
horizon,0.625,Core
horizon,6.790123456790123,Core
horizon,3.125,Core
horizon,8.024691358024691,Core
horizon,3.75,Core
horizon,3.125,Core
horizon,3.125,Core
horizon,1.875,Core
horizon,8.695652173913043,Core
horizon,1.25,Core
horizon,7.361963190184049,Core
horizon,7.5,Core
horizon,7.5,Core
horizon,7.453416149068323,Core
horizon,3.125,Core
horizon,6.481481481481482,Core
horizon,8.108108108108109,Core
horizon,8.333333333333334,Core
horizon,7.6923076923076925,Core
horizon,6.666666666666667,Core
horizon,1.98019801980198,Core
horizon,1.0,Core
horizon,4.950495049504951,Core
horizon,1.0101010101010102,Core
horizon,1.0101010101010102,Core
horizon,7.4766355140186915,Core
horizon,8.571428571428571,Core
horizon,4.672897196261682,Core
horizon,5.660377358490566,Core
horizon,1.0101010101010102,Core
horizon,5.660377358490566,Core
horizon,4.0,Core
horizon,6.542056074766355,Core
horizon,5.0,Core
horizon,4.0,Core
horizon,4.0,Core
horizon,3.0303030303030303,Core
horizon,5.555555555555555,Core
horizon,2.0202020202020203,Core
horizon,7.547169811320755,Core
horizon,4.716981132075472,Core
horizon,6.730769230769231,Core
horizon,4.672897196261682,Core
horizon,4.0,Core
horizon,25.806451612903224,Core
horizon,24.13793103448276,Core
horizon,24.0,Core
horizon,24.0,Core
horizon,4.761904761904762,Core
horizon,5.2631578947368425,Core
horizon,31.57894736842105,Core
horizon,5.555555555555555,Core
horizon,5.555555555555555,Core
horizon,17.24137931034483,Core
horizon,17.857142857142858,Core
horizon,24.0,Core
horizon,29.166666666666668,Core
horizon,5.555555555555555,Core
horizon,24.0,Core
horizon,15.0,Core
horizon,22.22222222222222,Core
horizon,14.285714285714286,Core
horizon,15.0,Core
horizon,15.0,Core
horizon,5.0,Core
horizon,32.0,Core
horizon,5.2631578947368425,Core
horizon,26.923076923076923,Core
horizon,30.43478260869565,Core
horizon,30.43478260869565,Core
horizon,19.23076923076923,Core
horizon,15.0,Core
horizon,36.66666666666666,Core
horizon,38.46153846153846,Core
horizon,28.571428571428573,Core
horizon,8.0,Core
horizon,4.166666666666667,Core
horizon,36.36363636363637,Core
horizon,4.3478260869565215,Core
horizon,4.3478260869565215,Core
horizon,39.285714285714285,Core
horizon,65.21739130434783,Core
horizon,44.0,Core
horizon,50.0,Core
horizon,4.3478260869565215,Core
horizon,38.46153846153846,Core
horizon,27.272727272727277,Core
horizon,35.714285714285715,Core
horizon,31.818181818181817,Core
horizon,27.272727272727277,Core
horizon,27.272727272727277,Core
horizon,13.043478260869565,Core
horizon,40.74074074074074,Core
horizon,8.695652173913043,Core
horizon,35.714285714285715,Core
horizon,52.17391304347826,Core
horizon,52.17391304347826,Core
horizon,44.0,Core
horizon,27.272727272727277,Core
horizon,57.142857142857146,Core
horizon,43.47826086956522,Core
horizon,9.090909090909092,Core
horizon,4.761904761904762,Core
horizon,35.0,Core
horizon,5.0,Core
horizon,5.0,Core
horizon,50.0,Core
horizon,45.833333333333336,Core
horizon,43.47826086956522,Core
horizon,43.47826086956522,Core
horizon,5.0,Core
horizon,57.142857142857146,Core
horizon,25.0,Core
horizon,40.0,Core
horizon,23.80952380952381,Core
horizon,25.0,Core
horizon,25.0,Core
horizon,15.0,Core
horizon,40.0,Core
horizon,10.0,Core
horizon,40.0,Core
horizon,33.333333333333336,Core
horizon,52.38095238095238,Core
horizon,37.5,Core
horizon,25.0,Core
horizon,40.0,Core
horizon,5.555555555555555,Core
horizon,6.25,Core
horizon,46.66666666666666,Core
horizon,6.666666666666667,Core
horizon,6.666666666666667,Core
horizon,47.61904761904762,Core
horizon,50.0,Core
horizon,55.55555555555556,Core
horizon,55.55555555555556,Core
horizon,6.666666666666667,Core
horizon,64.70588235294117,Core
horizon,33.333333333333336,Core
horizon,42.85714285714285,Core
horizon,31.25,Core
horizon,33.333333333333336,Core
horizon,33.333333333333336,Core
horizon,12.5,Core
horizon,50.0,Core
horizon,6.25,Core
horizon,50.0,Core
horizon,42.10526315789474,Core
horizon,58.8235294117647,Core
horizon,40.0,Core
horizon,33.333333333333336,Core
