intersect_rev,developer
2.6260504201680672,Core
3.711484593837535,Non core
6.96875,Core
16.40625,Non core
2.163887903511884,Core
2.5895707697765165,Non core
4.426229508196721,Core
10.0327868852459,Non core
7.565144298122724,Core
28.803586438778368,Non core
3.721841332027424,Core
10.414626183480248,Non core
7.984790874524715,Core
26.058301647655256,Non core
4.065311562812396,Core
7.030989670109963,Non core
3.847475094469255,Core
7.969769838543455,Non core
7.933521480087801,Core
20.947005330824712,Non core
1.825340014316392,Core
2.290622763063708,Non core
7.816091954022989,Core
23.218390804597703,Non core
4.5906132237067485,Core
7.571085988352174,Non core
7.090012330456228,Core
16.892725030826142,Non core
2.307692307692308,Core
4.72027972027972,Non core
3.505786249149081,Core
5.582028590878148,Non core
3.510601320820298,Core
5.839416058394161,Non core
1.765536723163842,Core
3.1073446327683616,Non core
2.365819209039548,Core
3.637005649717514,Non core
4.749073762209498,Core
9.195015156618387,Non core
3.7606837606837606,Core
7.726495726495726,Non core
4.037370704037371,Core
8.775442108775442,Non core
1.5536723163841808,Core
2.9661016949152543,Non core
2.986577181208054,Core
6.644295302013423,Non core
1.76678445229682,Core
2.897526501766784,Non core
1.56794425087108,Core
4.320557491289199,Non core
1.0364546104360255,Core
1.3581129378127232,Non core
6.763571640462771,Core
18.837140314446756,Non core
0.0,Core
0.5698005698005698,Non core
5.44127405441274,Core
13.437292634372929,Non core
2.3255813953488373,Core
5.548172757475083,Non core
2.1708683473389354,Core
5.847338935574229,Non core
1.5663069961712497,Core
3.09780717020536,Non core
0.644237652111668,Core
0.5010737294201861,Non core
1.4742014742014742,Core
3.790803790803791,Non core
3.250414593698176,Core
7.396351575456054,Non core
7.98537031392868,Core
20.603474550441938,Non core
0.6426276329882185,Core
1.178150660478401,Non core
2.834699453551913,Core
4.883879781420765,Non core
2.3011844331641287,Core
5.380710659898477,Non core
0.6426276329882185,Core
1.035344519814352,Non core
8.421052631578947,Core
13.652312599681022,Non core
6.885245901639345,Core
13.979135618479882,Non core
2.1076523994811933,Core
3.793774319066148,Non core
1.8014835747085836,Core
0.7771105616389968,Non core
4.672290720311486,Core
9.441920830629462,Non core
0.5294740557712672,Core
