repo,developers,devs_count
rpm-packaging-core,"[1955, 8482, 6593, 10384, 28522, 13294, 2062, 7102]",8
blazar-core,"[29100, 8878, 15197, 13192, 25625]",5
neutron-dynamic-routing-core,"[13252, 4187, 16137, 14605]",4
kayobe-core,"[23084, 17669, 782, 14826, 22629, 15197, 28048]",7
ansible-role-zookeeper-core,[4162],1
python-manilaclient-core,"[16643, 31213]",2
neutron-specs-core,"[4694, 11975]",2
tooz-core,"[1297, 1669, 2813, 16137, 7450, 6537]",6
openstack-ansible-os_neutron-core,"[16011, 21883]",2
keystoneauth-core,"[2, 2903]",2
grenade-core,"[4393, 8556, 6873]",3
networking-midonet-core,"[26127, 19307, 156, 6854]",4
diskimage-builder-core,"[2889, 21741, 3068, 6469, 6449, 6488, 7118, 11655, 12459, 4571, 9369, 10035]",12
masakari-core,"[32304, 30491, 8716, 1011, 30623]",5
ansible-role-container-registry-core,[3153],1
senlin-core,"[27224, 22623, 7404, 25674, 8246, 23401, 15857, 22998, 11034, 23517, 25395, 9323, 6348]",13
openstack-ansible-os_ironic-core,"[2799, 6816, 14288, 8125]",4
openstack-ansible-os_sahara-core,"[16310, 10459]",2
puppet-glance-core,[21129],1
cinder-tempest-plugin-core,[10459],1
venus-core,"[26458, 31412, 30562, 27565, 30455, 24061]",6
neutron-vpnaas-core,"[841, 15905, 12860, 4694, 1004, 6854]",6
vitrage-core,"[19122, 24635, 19194, 19233, 19134, 32577, 19184, 19159, 1736, 19209, 26339, 19210, 21414, 23133, 18783]",15
networking-bagpipe-core,"[8313, 12021]",2
api-site-core,[10607],1
aodh-core,"[6732, 14107]",2
ec2-api-core,"[9312, 10234, 10224]",3
security-doc-core,"[11397, 21420, 5263, 17893, 10670, 9098, 12325, 7063, 11861]",9
magnum-ui-core,[16352],1
ceilometer-powervm-core,"[13637, 14070, 16069, 10608, 28063]",5
neutron-fwaas-dashboard-core,[7787],1
pycadf-core,"[6460, 7725, 4, 2472, 1669, 7514, 6482, 6537]",8
election-core,"[14482, 12898]",2
openstack-ansible-os_tacker-core,"[17068, 21883]",2
whitebox-tempest-plugin-core,"[27478, 8864, 31033, 31239, 11604]",5
cliff-core,"[970, 2472]",2
devstack-gate-core,"[8556, 2750]",2
reno-core,"[6547, 5638, 2472, 15334, 4190]",5
project-team-guide-core,"[10607, 11564, 2472, 8556, 17068, 5263, 16708, 30491, 11904, 308]",10
ui-cookiecutter-core,"[19380, 16352]",2
networking-odl-core,"[107, 333, 8313, 17120, 26507, 7921, 11240]",7
shade-core,"[6488, 3099, 1106, 986, 11975]",5
js-openstack-lib-core,"[6287, 30491]",2
rally-core,"[10475, 9545, 19011, 6172, 11748, 22960, 1736, 6835, 4428, 5948, 12395, 7369, 20498, 7428, 21528]",15
cinder-specs-core,"[11904, 13425]",2
reviewday-core,"[360, 6609]",2
networking-powervm-core,"[16551, 13637, 14070, 10608, 28063, 14581]",6
freezer-core,"[21069, 11151, 14340, 14509, 16768, 13940, 27068, 22405, 21387, 22484, 14101]",11
zaqar-ui-core,"[16352, 9576]",2
zun-ui-core,[16352],1
puppet-manila-core,[21129],1
puppet-cinder-core,[21129],1
tenks-core,"[17669, 14826, 28048]",3
python-keystoneclient-core,"[8482, 27621]",2
ovsdbapp-core,"[11952, 8655, 20229, 1561, 5756]",5
castellan-core,[9796],1
kuryr-core,"[14352, 14885, 27032, 11600, 11536]",5
adjutant-core,[14394],1
ldappool-core,"[8482, 5046]",2
kuryr-libnetwork-core,"[14352, 11536]",2
cyborg-core,"[26458, 23950, 27458, 30759, 21672, 31412, 25738, 24872, 13629, 28748, 22899, 14131, 17813, 25847]",14
rally-openstack-core,[9545],1
os-win-core,"[12604, 3185, 8213, 8543]",4
ansible-role-redhat-subscription-core,"[14985, 3153, 27253]",3
oswin-tempest-plugin-core,"[3185, 8213, 8543]",3
large-scale-core,"[11583, 2033, 13252, 308]",4
neutron-fwaas-core,"[10850, 105, 8313, 13995, 6995, 30380, 13702]",7
metalsmith-core,"[10239, 24245]",2
networking-sfc-core,"[21883, 12021, 18955]",3
stevedore-core,"[9757, 2472]",2
storlets-core,"[8330, 11317, 9205, 17156, 4608, 9816, 15463]",7
heat-translator-core,"[31857, 16511, 6460, 33455, 26588, 10856, 31821, 7514, 6456, 7193, 9591, 9498, 27880, 12455, 15346]",15
tosca-parser-core,"[16511, 6460, 10856, 32102, 7514, 19724, 6456, 9591, 17255, 9498, 25701, 15346]",12
stackviz-core,"[8556, 22873, 5689, 5196, 17001]",5
pbr-core,"[15334, 4190]",2
ha-guide-core,"[128, 3153, 9040, 8560]",4
watcher-core,"[19055, 18971, 24872, 19457, 28748, 21692, 24501]",7
openstack-ansible-os_cloudkitty-core,[18014],1
openstack-health-core,"[5623, 7069, 5689, 5196, 11682, 17001]",6
openstack-ansible-os_swift-core,"[2799, 7233]",2
osprofiler-core,"[6172, 3012, 5950, 1297, 23630, 9171]",6
openstack-ansible-os_trove-core,[22981],1
os-api-ref-core,"[5754, 8099, 782]",3
devstack-plugin-container-core,"[14352, 9820, 11600, 14119, 11536]",5
manila-ui-core,[16643],1
devstack-plugin-nfs-core,"[4523, 9003]",2
zun-core,"[25695, 21428, 22076, 22406, 10206, 21785, 16277, 16352, 8264, 23365, 11536, 23055, 23829]",13
