id,changes,status
4264,2131,Core
24245,2404,Core
23567,1710,Core
32029,1093,Non core
18002,1853,Non core
20172,2681,Core
12898,4527,Core
32927,9,Non core
11583,103,Core
35199,8,Non core
6547,25428,Core
2472,12849,Core
12393,2728,Core
9414,6590,Non core
25701,895,Core
31857,373,Core
34712,12,Non core
24780,403,Core
34375,5,Non core
8992,1364,Non core
8648,1292,Core
29313,1469,Core
35414,12,Non core
11655,6449,Core
14826,7524,Core
20870,1876,Non core
12398,840,Non core
18575,2190,Non core
18904,189,Non core
34918,1,Non core
30002,1173,Core
9236,416,Core
28701,122,Non core
29974,282,Core
11536,3959,Core
6914,1344,Core
35153,2,Non core
30126,147,Non core
34429,217,Core
10459,2108,Core
11090,5815,Core
20634,1838,Non core
11805,1460,Non core
29074,16,Non core
32586,163,Non core
6796,4362,Non core
23804,1159,Core
8297,1875,Core
9562,1122,Core
16465,1018,Core
29775,817,Core
11292,511,Core
28543,1302,Non core
34451,105,Core
6773,4876,Core
32240,15,Non core
16312,672,Core
25600,382,Core
21129,1408,Core
7233,1063,Core
9531,1188,Core
30025,124,Core
30750,274,Non core
32458,241,Non core
34911,1,Non core
14611,895,Non core
29759,134,Non core
8064,196,Core
6618,3608,Core
4690,3299,Core
19234,147,Non core
14250,604,Core
20778,1060,Core
32053,1,Non core
17216,1102,Non core
32761,476,Non core
13095,1703,Core
16011,388,Core
29307,19,Non core
26304,154,Non core
28743,451,Non core
30356,520,Non core
35102,139,Non core
35191,71,Non core
34589,83,Non core
18250,489,Core
5572,288,Non core
30561,396,Non core
31746,26,Non core
10058,631,Non core
33543,48,Non core
23811,1020,Non core
28748,786,Core
19134,2004,Core
4608,804,Core
22998,873,Core
30077,128,Core
28062,557,Non core
8731,3727,Core
15895,1093,Core
20498,2048,Core
13692,682,Core
7414,1394,Core
13940,755,Core
21387,570,Core
13629,289,Core
28356,310,Core
7973,1999,Core
14394,8,Core
8846,817,Core
28410,20,Non core
28558,4,Non core
18008,5,Non core
9545,3109,Core
15206,23,Non core
31033,84,Core
34533,6,Non core
30380,92,Core
11600,2467,Core
27032,749,Core
20182,326,Non core
13686,1873,Non core
7353,14019,Core
34860,7,Non core
33196,180,Non core
35158,196,Non core
25277,106,Core
6413,1787,Core
34175,2,Non core
30742,171,Core
30576,7,Non core
7294,121,Non core
16523,361,Non core
34120,53,Non core
27623,53,Non core
14567,1595,Non core
14104,7,Non core
31863,6,Non core
28609,50,Non core
30695,39,Non core
18418,37,Core
15993,1632,Core
27442,62,Non core
31664,58,Non core
22165,3267,Non core
25402,1396,Core
15554,462,Non core
19118,121,Non core
31450,35,Non core
34621,3,Non core
26032,7,Non core
33307,5,Non core
4149,174,Non core
17255,657,Core
34226,10,Non core
34118,30,Non core
34653,1,Non core
6456,812,Core
15382,17,Non core
30566,23,Non core
22477,1103,Core
23950,171,Core
15025,62,Non core
18894,94,Non core
19298,762,Core
34067,18,Non core
32968,83,Non core
35133,1,Non core
34411,21,Non core
35390,1,Non core
6282,329,Non core
6484,2967,Core
10420,351,Core
11561,872,Core
21692,1068,Core
34598,28,Non core
31068,47,Non core
31075,116,Non core
21970,498,Core
29124,201,Core
13671,194,Non core
20104,69,Non core
26250,32,Non core
30597,129,Non core
22865,256,Non core
21040,19,Non core
28372,341,Core
34520,7,Non core
32177,40,Non core
27728,1,Non core
32102,403,Core
33292,55,Non core
34847,6,Non core
34750,1,Non core
7556,11,Non core
13425,188,Core
31072,193,Non core
32581,60,Non core
31779,33,Non core
33473,5,Non core
31581,7,Non core
34940,3,Non core
23266,85,Non core
34352,4,Non core
30615,408,Non core
9003,3524,Core
23365,804,Core
30623,75,Core
20733,1129,Non core
34201,11,Non core
9535,2287,Core
12670,409,Non core
14624,496,Non core
33502,8,Non core
34290,20,Non core
19262,199,Core
30407,155,Core
35125,4,Non core
28048,626,Core
5202,1839,Core
14482,1122,Core
35103,55,Non core
8864,625,Core
32613,35,Non core
24828,1167,Core
30555,89,Non core
1,3789,Core
3153,32121,Core
33634,2,Non core
34720,1,Non core
32736,21,Non core
25733,86,Core
33301,10,Non core
33648,29,Non core
1736,6077,Core
23279,16,Non core
7102,3861,Core
31213,98,Core
30455,178,Core
30562,89,Core
167,2962,Core
33455,54,Core
6962,463,Non core
4978,1225,Core
5241,713,Non core
8108,56,Non core
11075,119,Non core
28806,3,Non core
24824,562,Non core
31721,75,Non core
33765,3,Non core
11082,1095,Non core
29122,104,Non core
1955,1897,Core
18816,106,Non core
31730,57,Non core
29100,126,Core
28329,64,Non core
11816,534,Non core
31668,43,Non core
15527,34,Non core
35014,1,Non core
35024,29,Non core
8161,74,Non core
33081,1,Non core
13177,112,Non core
34564,2,Non core
28752,117,Non core
7249,1848,Core
34952,14,Non core
9642,287,Non core
29037,7,Non core
34378,1,Non core
32919,21,Non core
34647,2,Non core
32594,55,Non core
8104,1,Non core
32363,18,Non core
33536,2,Non core
35240,4,Non core
17119,171,Non core
32433,41,Non core
26220,11,Non core
29543,50,Non core
25738,506,Core
23928,2882,Core
32349,26,Non core
16708,2289,Core
26892,3,Non core
7953,8,Non core
597,1047,Core
17068,6981,Core
23599,1,Non core
25241,100,Non core
16339,70,Non core
13915,896,Non core
33612,8,Non core
35075,1,Non core
30893,26,Non core
13995,2750,Core
2033,288,Core
14885,888,Core
6062,3229,Non core
6854,5372,Core
9600,23,Non core
16352,1098,Core
23847,455,Core
14119,1605,Core
35010,1,Non core
9542,2010,Core
33732,1,Non core
34892,1,Non core
35458,1,Non core
29350,63,Non core
28719,132,Non core
19779,1380,Core
31733,14,Non core
679,4586,Core
33493,90,Non core
32074,14,Non core
2711,299,Non core
8042,3608,Non core
17686,5,Non core
9257,145,Non core
34988,4,Non core
33986,4,Non core
34489,1,Non core
35160,1,Non core
5803,2756,Core
34623,3,Non core
34668,11,Non core
34275,2,Non core
14151,1445,Non core
16068,69,Non core
2,7338,Core
34579,10,Non core
8056,221,Core
35116,12,Non core
8863,589,Core
14070,4760,Core
30984,5,Non core
33855,13,Non core
33341,7,Non core
16914,4,Non core
11810,25,Non core
28499,8,Non core
21991,15,Non core
21069,426,Core
4257,4274,Core
11076,2045,Core
29296,3,Non core
7488,2807,Core
32425,24,Non core
34760,1,Non core
35151,1,Non core
34775,17,Non core
32190,102,Non core
31813,45,Non core
34462,1,Non core
6683,110,Non core
14345,14,Non core
7549,2133,Non core
27419,436,Non core
28088,2,Non core
34153,1,Non core
32667,108,Non core
22997,55,Non core
30449,244,Core
21723,86,Non core
16511,587,Core
32411,30,Non core
17256,5,Non core
34777,2,Non core
33353,31,Core
5046,4541,Core
20466,2634,Non core
34984,1,Non core
31981,38,Non core
17042,31,Non core
782,5837,Core
34107,7,Non core
5805,1784,Core
5792,184,Non core
24791,896,Non core
30229,28,Non core
34460,5,Non core
7186,79,Non core
30523,490,Core
27446,7,Non core
16237,4625,Non core
16164,2,Non core
16768,219,Core
17130,3846,Non core
34057,1,Non core
16690,161,Non core
16282,254,Non core
28186,4,Non core
33822,4,Non core
10273,2278,Core
26721,51,Non core
8768,265,Non core
28459,12,Non core
28818,1,Non core
29088,23,Non core
8958,4,Non core
34637,2,Non core
27190,171,Non core
27329,106,Non core
31291,37,Non core
3031,220,Non core
9361,195,Non core
33273,8,Non core
33623,2,Non core
28008,881,Core
33038,6,Non core
32863,2,Non core
34127,1,Non core
33431,90,Non core
28722,3,Non core
20469,68,Non core
24965,1,Non core
6737,553,Non core
32114,53,Non core
21961,325,Core
31823,11,Non core
19316,3427,Non core
32291,594,Non core
15598,1,Non core
30777,516,Core
6968,919,Core
5196,4366,Core
13294,2352,Core
34125,1,Non core
16452,1,Non core
18256,222,Non core
6928,6252,Core
31945,4,Non core
2537,1427,Non core
18791,70,Non core
21909,923,Non core
28675,2,Non core
7130,90,Non core
13478,883,Non core
32288,8,Non core
6133,6096,Core
26832,11,Non core
21187,63,Non core
31660,5,Non core
20663,192,Non core
2874,2094,Core
11589,329,Non core
26693,24,Non core
29260,6,Non core
27380,362,Non core
26359,18,Non core
31906,1,Non core
33801,3,Non core
33688,16,Non core
33984,2,Non core
29771,1,Non core
26622,2924,Non core
18551,27,Non core
33786,5,Non core
34505,7,Non core
23078,700,Core
8212,2,Non core
14360,2,Non core
22331,1,Non core
26787,4,Non core
29466,12,Non core
34757,1,Non core
29605,13,Non core
23802,3,Non core
34076,1,Non core
11491,2546,Non core
16046,403,Non core
10278,29,Non core
23426,1,Non core
34423,4,Non core
32398,18,Non core
8099,2801,Core
26686,101,Non core
16207,5,Non core
32510,1,Non core
24162,1162,Core
1297,3013,Core
1669,7470,Core
2813,4714,Core
5638,9891,Core
