id,age
935,3689
9816,3147
16515,2538
11628,2985
11975,3070
17669,1868
27900,1659
6816,3572
22629,1938
28223,1641
10366,2038
33689,504
8556,3187
32968,667
27615,1771
4393,3800
15197,2274
24072,2107
8833,3201
9656,3239
7847,3421
1004,3836
16688,2718
32926,672
32666,592
28619,1588
8313,2688
34598,210
23851,2223
28522,1502
29074,617
23084,860
28706,1576
18418,2617
30073,1253
1131,3745
12549,3037
30074,374
20676,2454
34120,399
14826,2830
14250,2889
34375,327
13252,2918
25613,1376
16198,2716
5314,3727
5572,3648
8992,2907
17685,1907
20733,2382
27909,1704
30434,505
34208,310
32787,700
21129,2281
16207,253
5689,3621
34918,146
7118,3514
4690,3679
4146,3806
30002,1254
6593,3583
8297,3276
26285,1694
32962,667
10239,3185
34930,165
9414,2468
29632,1355
21420,2377
5756,3664
19065,2510
5263,3737
15382,2804
32240,698
12393,3041
15343,2805
30126,1313
15334,2776
29313,1453
7730,3343
22954,2228
16312,2734
34996,146
31412,941
14567,2828
12898,2935
32553,749
15554,2790
22873,2254
11604,3087
2424,3932
35025,136
33688,489
28806,146
28008,1638
35014,139
20870,2434
34329,335
32177,842
6914,3513
31245,1092
1,4092
6926,3302
10969,3037
4264,3670
8213,3366
30561,1190
19262,2513
33196,518
10342,3147
8367,3289
11805,3070
20634,2433
30463,293
27339,1621
8064,2825
4571,3783
34293,333
6796,3493
31542,904
23567,2163
28356,1294
34589,246
32458,707
8543,3341
33080,621
35227,59
23811,2198
11655,3036
8655,3308
8648,3311
34860,125
9914,3129
32053,873
8449,3262
30491,1249
9562,3236
14611,2805
29244,1322
11583,3065
13686,2881
25600,1871
13425,2662
13861,2895
7144,3490
7973,3402
13692,2711
28595,1572
14200,2584
34275,324
11600,3025
5202,3142
9531,3145
30695,1190
16643,2625
34647,215
35075,98
31075,896
34429,265
34671,207
14107,2763
34232,328
30539,717
34175,327
34940,135
34564,244
29307,709
34352,277
17216,2656
34427,246
22623,2219
15993,2733
6773,3543
7634,3250
7414,3455
16465,2401
33607,433
9976,3186
24245,2154
35059,53
10058,3122
18002,2215
34621,186
30674,1068
32927,625
22865,2123
33307,533
31668,356
4694,3485
34076,364
25023,1963
30623,190
32102,814
30247,1266
308,4044
32657,681
35007,104
14482,2638
26458,1888
28609,1506
34411,270
30742,1111
34423,223
6413,3588
34118,323
33340,530
30562,1210
25701,1995
9542,3213
10459,3109
32919,636
33787,432
28722,491
34451,246
31792,909
20182,2440
34952,99
19138,2356
4257,3737
30566,1187
29974,1313
15519,2665
25402,1350
11297,3022
16137,2504
31779,880
35016,33
14288,2842
32586,690
31068,1062
34980,94
34226,279
13039,2937
4523,3753
17566,2395
34260,143
14119,2854
33693,244
6476,3374
31721,845
19298,2149
8122,3354
6737,3427
7166,3379
31581,315
16708,2637
34520,189
31033,1088
34750,158
32755,644
11536,2985
33765,414
35058,52
34720,161
34346,274
5241,3418
31857,824
35067,51
6681,3516
24828,2010
11166,3072
34653,180
27565,1706
30455,1183
14394,2455
32148,796
16011,2082
9708,3176
33795,396
34107,329
31813,857
15527,739
167,3882
33634,451
29775,1156
32671,644
34665,97
34340,270
32921,616
32020,615
23360,2154
34543,204
9642,2744
33492,459
23922,1298
33473,318
5803,3607
7353,3390
1179,3666
24777,1981
28048,1623
30615,1172
34712,54
30380,1219
33612,267
30077,1208
32114,811
33240,524
21961,2297
13177,2588
12825,2930
28329,1556
33717,411
33244,471
6282,3567
34892,97
29543,1319
31746,888
24061,2115
4149,3160
6968,3468
12404,2884
9545,3192
34123,313
8846,3261
34319,190
8104,60
31737,895
28062,1608
32363,726
21387,2288
28748,1497
16164,97
15206,2747
9535,2750
19134,2486
7130,3443
32029,794
10234,3019
33594,445
32581,671
9311,3188
9303,3120
31072,1002
34271,114
32190,620
23866,2135
28743,1489
30750,1122
11075,2656
27418,1655
26922,1790
16339,2492
31450,953
30555,1145
34913,58
31683,854
6618,3485
20778,2324
31506,868
35024,50
17068,2566
14805,2753
27442,1498
5559,2572
31976,800
31652,698
15054,2673
33502,316
33648,349
30996,1050
597,3863
33881,223
8864,3225
14525,2683
32688,623
21785,2275
31213,1006
33525,427
21798,2227
10910,2980
27032,1751
34290,111
32667,601
13095,2720
6962,3431
32398,679
5112,2335
29122,1270
28701,1396
7233,3145
1955,3878
33292,460
33543,84
29759,1211
31664,763
28499,1335
32074,627
30409,1100
11090,3011
21991,2236
12640,2816
27427,1679
33732,339
