id,age,changes
21785,2275,50
13114,0,1
31213,1006,30
35090,0,1
33525,427,5
34585,0,1
21798,2227,400
35143,0,1
10910,2980,35
27032,1751,193
34290,111,3
32667,601,66
34320,0,1
13095,2720,482
6962,3431,123
32398,679,13
5112,2335,35
29122,1270,25
28701,1396,28
7233,3145,116
1955,3878,214
33292,460,13
33543,84,2
29759,1211,5
34583,0,1
35107,0,1
31664,763,9
28499,1335,5
35087,0,1
34602,0,1
32074,627,8
35038,0,1
30409,1100,44
35093,0,1
11090,3011,475
35050,0,1
21991,2236,9
12640,2816,21
27427,1679,69
33732,339,86
30568,0,1
31052,1014,6
33871,308,13
34181,124,2
34983,25,2
7549,3344,593
34951,0,1
34728,51,2
34997,0,1
30858,1042,15
8108,3282,121
9236,3169,86
7294,2364,32
1926,3896,902
34694,24,2
34668,24,3
34982,0,1
33455,397,37
34959,18,5
17097,2507,81
34533,46,13
35043,0,1
31730,828,8
34819,23,2
34934,0,1
34936,15,4
34933,28,3
17559,1946,3
27774,1606,5
34946,24,3
819,3584,73
33813,51,2
34868,2,5
33493,10,6
23618,1337,12
34921,5,3
32333,238,8
27446,1316,5
34067,171,4
29260,1211,11
31906,51,4
16768,2553,44
8161,3038,19
34794,5,2
20813,2284,74
34949,0,1
33905,274,2
33949,0,1
25241,1721,93
33121,222,7
21778,2110,21
9373,1419,97
28691,1127,20
32352,649,5
34064,0,1
8157,3047,322
34821,31,3
32717,559,3
34718,60,15
33950,78,4
31827,683,55
33161,396,16
33436,0,6
27190,1597,50
29870,989,8
34864,17,2
30102,0,1
32675,545,2
19234,2330,123
7369,3320,218
21107,2254,18
34584,84,2
29425,1237,42
33712,327,4
31719,625,6
5948,3445,363
18816,2169,65
13671,2540,104
34915,0,1
32288,605,18
841,3595,2320
9369,3109,242
34906,0,1
34902,0,1
32411,574,17
2711,3688,64
33898,272,5
32594,549,24
34781,9,3
32736,526,15
33301,166,3
34740,0,1
33249,0,1
18904,2385,136
21715,2204,14
33173,374,3
29071,1092,77
34861,0,1
21069,2075,221
34756,25,2
28056,0,1
34801,11,2
34579,76,5
28271,1418,14
24965,1928,3
31048,0,1
28719,1174,60
34807,0,1
33780,250,5
32433,143,9
29037,1179,6
30911,977,14
34046,0,1
33536,244,3
21528,2187,143
33271,0,1
34646,0,1
11290,2767,61
34213,112,3
33828,266,7
27256,1534,12
20498,2252,433
23266,744,3
13995,2568,270
8863,3124,314
29605,534,13
31039,718,15
33036,431,3
31291,816,40
29296,365,4
34780,0,1
20663,2203,111
33786,240,12
34772,0,1
20408,1130,2
34618,26,2
34452,13,2
7156,3290,435
33519,301,8
3153,3500,6958
29771,17,2
32881,476,6
30407,1061,65
33920,0,1
20248,0,1
12932,2568,22
27419,1544,361
3031,3664,161
5997,3410,293
34715,5,3
28759,1357,10
33125,69,3
34327,0,1
23804,1964,251
34642,0,1
34026,47,2
9139,2428,18
34734,0,1
28514,1386,4
32090,485,9
34588,0,1
7198,3269,418
32871,0,1
21757,1721,33
33618,10,2
30534,1035,7
2733,3201,64
30902,944,2
34650,0,1
33558,293,8
30696,781,40
34703,0,1
29568,990,6
31663,0,1
26693,1367,13
32349,572,35
34681,0,1
11292,2886,153
34680,0,1
33282,350,8
34644,0,2
28675,981,2
24744,1818,2
4727,3185,87
7488,3226,1111
30810,821,38
31289,853,847
33741,219,23
24824,1882,154
28088,154,2
19724,2280,50
11904,2768,2937
34643,0,1
18551,1770,11
9003,2744,665
11539,2514,2
34629,0,1
34600,9,5
34141,83,6
30893,925,32
34624,0,2
33986,97,2
7383,2,2
34525,0,1
34541,0,1
9247,2206,19
21247,2157,7
34201,121,4
31769,346,7
30744,792,3
29004,0,1
34211,0,1
29088,833,8
34591,0,1
33192,352,3
32219,566,51
34173,64,3
19391,1826,51
26686,1642,18
31749,699,25
33945,166,47
8726,3076,85
2033,3374,20
26343,1678,623
34558,0,2
32291,526,197
34017,140,29
34556,0,1
29350,1086,20
20104,1842,13
28510,1299,13
33284,231,2
33987,41,3
18279,1529,44
34462,24,3
27345,286,8
33816,192,2
19690,2248,7
34539,0,1
21909,2046,197
28295,395,10
15895,2069,89
34532,0,1
34538,0,1
34459,0,1
34205,92,2
33130,320,31
33380,275,9
30998,704,13
31288,626,2
13689,2620,146
33582,233,8
30859,568,2
32036,540,13
9200,2925,74
10135,2751,951
24501,1717,75
34369,0,1
18236,1141,34
31754,138,5
34373,0,1
33756,187,3
12670,2268,392
16282,2394,94
14675,2566,23
27086,1231,13
14985,2543,4164
9257,2897,56
34497,0,1
18575,2287,254
34437,0,1
11491,2762,966
34485,0,1
22312,616,6
23950,1897,82
34255,0,1
11928,2097,4
31080,0,1
30421,0,1
33636,195,98
34458,0,1
33410,0,1
33357,0,1
12907,1566,39
31280,728,28
33431,236,12
20775,2131,344
33453,0,1
34360,0,1
31503,720,5
27329,1378,54
32326,448,67
34306,0,1
28781,1138,2
32523,424,15
34392,0,1
10273,2787,378
34380,0,1
33826,141,10
30523,936,92
17440,88,3
30028,163,21
26250,1642,26
34125,70,3
16718,0,1
34367,0,1
30793,861,8
33608,0,3
33643,163,3
26721,1573,84
34308,0,1
28410,916,5
33006,44,2
26141,1610,166
33341,223,3
32203,313,3
14885,2493,147
19521,2030,23
34056,23,2
23871,1715,9
34060,13,2
32051,0,1
34311,0,1
34247,0,2
33892,0,1
34054,0,1
5046,3286,1416
34037,13,2
34041,39,7
29889,976,4
2463,3467,68
31335,729,5
20172,2102,1048
30609,880,18
27838,1350,29
33652,145,40
30678,865,3
34278,0,1
10338,1630,17
33774,116,2
34259,0,1
28982,0,1
24780,1248,84
24816,1722,6
34185,0,1
34110,0,1
31662,630,18
782,3589,332
29880,339,8
33708,0,1
11082,2763,214
34045,16,3
19904,2152,16
20746,1682,4
26220,1392,5
32110,495,2
31814,540,4
33910,0,1
33576,57,2
32266,462,15
6854,3191,1503
17255,1406,47
30495,714,13
33655,0,1
33761,0,1
34235,0,1
7386,3114,33
33379,195,21
34133,16,2
14624,2219,21
30314,905,6
32833,321,3
6484,3166,626
32537,334,2
34059,11,3
29982,4,2
33613,89,2
32814,0,2
34116,10,3
34200,0,1
13294,2548,523
33273,212,5
28403,897,26
16721,2078,12
28159,1257,39
33818,39,8
22636,1428,45
27676,502,2
34183,0,1
25738,1294,58
34189,0,1
10420,2526,162
34184,0,1
34187,0,1
29681,0,1
23279,1834,12
31616,139,8
12188,1972,2
28752,490,52
30229,926,33
29422,189,2
8042,2912,590
34063,10,2
20171,1398,11
23182,1854,58
31027,709,75
27809,884,27
28094,1088,5
32469,377,6
33859,0,1
17363,2281,28
34127,1,4
33832,16,3
32425,392,5
33836,5,2
6732,2998,1074
28275,1166,10
33760,84,3
33710,0,1
19743,1986,13
27498,237,3
33857,0,1
8318,2939,132
29500,0,1
34109,0,1
33835,30,2
22170,1908,2
34092,0,1
34091,0,1
34075,0,1
34095,0,1
34094,0,1
34078,0,1
28372,1134,113
34074,0,1
32578,343,7
27715,1332,15
33872,49,2
8212,2918,6
26274,0,1
17042,2222,32
30746,262,11
34050,0,2
29863,896,12
9592,1993,793
16347,846,21
33003,246,2
32617,139,2
14552,2317,125
33833,0,1
5805,3199,119
30855,756,5
16373,2310,13
30777,729,64
30449,231,84
33952,9,3
30262,696,7
8898,1568,143
32803,224,4
18810,2146,16
29058,1096,2
33725,24,3
32371,0,1
32531,310,19
29805,958,57
33145,0,1
21232,1895,11
33830,21,5
33848,0,1
24434,9,6
33856,2,2
30882,29,2
11582,0,1
28899,1093,16
24162,1607,370
33899,0,1
30906,726,3
16690,1815,39
33344,137,13
22998,1838,207
32842,4,3
30025,729,8
32493,314,21
13551,2099,2
18250,1081,23
33512,71,3
33673,0,2
19604,1786,24
30238,855,10
32238,337,91
7543,2959,54
6547,3091,8893
28690,0,1
33195,154,2
360,3634,1818
33742,18,2
32577,287,24
33544,0,1
6469,3160,800
31525,432,5
32712,187,2
30515,785,11
33592,0,1
33694,22,2
32075,126,2
33466,0,1
20805,1963,1403
32728,183,13
29865,903,90
33753,6,6
33602,39,2
33762,0,1
33776,0,1
25089,1588,3
33766,0,1
33759,0,1
31654,0,1
5575,3221,49
29911,885,69
30834,0,2
33370,84,19
33574,0,1
30474,6,2
31016,637,53
33675,0,1
18781,2002,25
32722,68,3
30075,261,5
9268,2796,95
27330,1190,27
28971,0,1
17119,2186,49
14972,826,35
33663,6,4
32070,327,3
28022,1151,296
31871,434,9
6994,2917,94
27499,878,10
30438,766,24
2,3618,3424
31268,589,2
21273,1885,39
32441,0,1
31510,334,45
33633,0,2
31425,245,3
11952,2558,200
31026,0,1
32845,0,1
30384,761,202
32432,256,16
30454,0,1
30395,698,16
32435,0,1
31511,0,1
22477,1792,56
33575,0,1
31828,152,72
32245,160,5
31455,524,6
31825,145,58
31479,504,16
2475,2789,23
23757,1636,33
20466,1931,378
30516,344,4
26032,413,5
33469,10,4
33503,0,1
33295,54,3
29585,828,21
31241,562,10
33484,0,1
4162,2797,1263
32635,200,4
33128,91,2
33476,0,1
32121,0,1
33353,5,2
30582,675,32
14352,2284,169
7102,2898,1283
25625,1379,227
32171,282,17
31821,309,27
33012,95,6
12398,2489,188
27478,922,24
27915,1160,4
28367,859,25
16308,1977,56
30171,773,3
31646,0,1
33250,0,2
33061,92,4
30092,717,128
33396,0,1
33420,0,1
33339,0,2
20865,1279,8
17031,188,3
33067,0,1
22997,1405,41
33375,10,3
8731,2779,1012
31933,2,2
33384,0,1
5196,3164,1170
31417,27,2
27880,321,29
26580,950,7
23847,1628,72
16186,334,9
32395,193,20
33362,0,1
18511,501,15
32637,147,3
33321,0,1
13852,2122,47
32533,174,23
1736,3421,631
16068,1131,9
28621,283,4
33330,0,1
29191,920,8
8770,2753,186
33032,30,5
31321,0,1
33299,0,1
29100,922,32
15921,2146,98
30963,550,10
33280,0,1
33272,0,1
32204,58,2
33148,29,7
29156,199,2
33176,20,6
13178,2386,19
30211,35,3
33268,0,1
31859,0,1
1669,3451,2584
33118,0,1
29349,876,7
20363,1829,69
25726,59,2
32880,77,3
33241,0,1
32158,37,2
33224,0,1
9555,2611,281
10086,2603,41
33135,0,1
28128,1023,16
17686,287,3
27252,872,5
21570,1690,18
33185,0,2
31557,0,1
33146,0,1
27224,1190,129
23078,1656,151
16957,1170,24
32690,65,2
33166,0,1
32930,7,2
33158,0,2
32281,200,2
9061,2682,394
6928,2885,1343
4491,3110,165
11564,2463,991
31882,12,8
33083,10,5
28332,962,27
30447,644,20
33105,0,1
31112,0,1
29018,0,1
32956,37,4
32802,45,5
27954,1045,97
32431,88,8
2472,3271,7166
28721,892,9
31713,225,14
11816,2436,154
32589,8,2
18256,751,21
30798,0,1
25635,324,2
32126,0,1
29268,852,61
32067,170,100
18031,1799,11
33082,0,1
25277,1410,12
32929,0,1
7654,2386,11
32205,145,7
5733,3008,97
31996,0,1
33045,0,1
33046,0,1
31239,437,16
10288,2182,115
19193,1889,66
15935,2005,6
28849,804,23
11534,0,1
33018,0,1
33014,0,1
27052,1181,10
31750,304,8
31928,202,2
32220,180,5
32999,0,1
32777,0,1
32834,0,1
32643,71,3
32677,26,2
31310,163,9
24872,1446,136
17927,951,9
4608,3121,299
28182,99,2
31537,125,2
23928,1525,917
22018,1672,18
31845,11,7
27380,115,132
32605,0,1
27399,1062,18
31319,0,1
27383,1083,33
32163,143,26
32898,0,1
32211,146,27
24849,884,10
32518,82,4
32324,0,1
6167,2964,1029
7249,2808,247
32858,0,1
9649,2513,8
32860,0,2
32857,0,1
30643,527,21
30533,118,57
8175,2572,229
2276,2065,86
28618,883,24
25877,1282,170
23650,1535,3
26581,853,5
8866,2373,74
32541,56,2
20190,1773,808
26584,1200,95
26272,1260,3
32745,0,2
31552,315,2
32673,3,2
32296,117,4
28654,867,98
12356,2338,282
26571,983,28
26118,1216,17
32674,0,1
31549,0,1
30095,632,4
32707,12,2
32519,49,5
12171,2345,182
30676,503,4
6683,2869,26
28735,265,6
26106,898,12
30165,586,47
11744,2029,5
21813,1649,68
22076,1637,103
11810,2298,8
9725,1934,62
28014,668,35
32704,0,1
32693,0,1
20944,608,7
14369,1852,40
8482,2650,1113
30705,146,3
31866,0,3
31959,154,5
32304,91,4
32662,0,1
30955,0,1
26647,948,22
32653,0,1
32656,0,1
32655,0,1
19779,1787,500
8988,2343,34
11929,2290,37
31823,209,5
8745,2536,182
29161,735,107
20312,1727,37
29157,533,37
8099,2622,528
32542,11,2
20754,510,41
29909,624,16
18058,1504,28
6062,2516,618
31902,147,3
17843,579,3
30837,0,1
32590,0,1
32522,13,2
32539,0,1
7888,2682,95
32471,19,29
10298,1794,16
2218,3158,253
31695,209,9
17130,1743,1862
17799,1790,771
6795,0,1
32417,33,2
32108,46,6
29702,646,18
5792,2923,87
32461,0,1
17813,1778,35
27180,437,16
32392,0,1
31806,70,2
30921,257,6
23267,1273,9
31735,0,1
9426,2434,14
31020,0,4
32447,0,2
32480,0,1
32375,0,2
32483,0,1
30755,420,24
32479,0,1
31558,0,1
32073,54,3
26617,1122,74
12860,1856,216
11076,2142,153
29139,523,9
21692,1560,374
16222,1924,589
32475,0,2
32450,0,1
32406,0,1
32260,59,2
31916,95,5
30408,390,92
23365,1450,262
29729,456,13
25666,1226,11
28211,0,1
4460,3031,104
28607,768,5
32455,0,1
32421,0,1
16771,1930,147
31706,186,5
32231,5,9
14232,2106,94
13702,2079,153
30617,450,2
30759,391,8
30081,557,3
31482,224,7
30054,448,5
32181,0,1
32415,0,1
32287,5,2
10379,2384,205
29144,565,47
28910,663,2
29466,530,10
31679,0,1
25001,1318,6
22271,1266,21
29360,645,9
32388,2,2
12988,2211,28
22093,1371,8
29131,607,74
25871,0,1
27619,970,3
32394,0,1
32307,0,1
30618,384,2
32389,0,1
30621,389,3
32386,0,1
21970,1564,40
23601,889,27
10250,2388,123
29298,594,10
9963,2164,52
32368,0,1
32353,0,1
32364,0,1
30192,116,2
30356,482,142
31960,78,6
27944,659,10
31835,137,5
30317,1,2
18736,1279,6
29685,0,1
17887,1695,17
16984,1867,24
32338,0,1
32274,16,3
28873,0,1
29397,398,11
31108,308,4
19184,1744,195
30670,361,69
25254,1267,137
27815,820,5
32322,0,2
27621,949,179
32309,0,1
20451,1596,7
24791,1267,307
29954,440,12
30176,0,1
10343,2373,644
31258,273,5
23598,1123,25
6633,2135,12
26498,1078,7
22406,1332,160
32252,0,1
23474,0,1
18742,1603,63
26689,32,6
28415,0,1
30905,79,2
32254,0,1
17264,1846,29
32246,0,1
11109,2299,728
23518,1383,25
32197,9,2
30660,380,4
26613,7,2
29586,601,2
31575,167,2
24604,1301,30
28032,846,13
23383,1399,2
24890,1218,10
29217,599,6
30209,379,23
30690,369,3
31752,96,2
31733,117,7
31420,215,8
18841,123,2
13988,1788,10
32192,0,1
22165,1451,786
26768,1048,7
18295,379,11
32176,0,1
31353,86,3
14892,701,111
25397,1210,4
28614,734,506
29891,514,3
11347,2225,26
27594,908,15
12597,2170,69
8037,1862,22
32065,0,1
11683,1546,3
11589,2196,101
14029,102,5
10806,2282,43
29631,36,3
31936,19,2
31983,27,2
26114,908,56
27057,932,43
1011,2720,52
20635,1573,1094
31869,0,1
8084,2477,37
31870,62,6
23829,918,52
31804,0,1
32084,0,1
29270,329,5
28664,357,4
16310,1560,41
12021,1932,758
31956,0,1
29647,554,2
31795,0,1
32068,0,1
31528,93,8
2792,2989,5
31763,0,1
19149,0,1
31671,0,1
4978,2884,389
31836,61,5
32079,0,1
31106,237,5
23314,1183,99
25011,1225,12
31903,41,3
31209,87,8
29303,0,1
30133,430,56
29671,56,3
20301,1586,5
31991,0,1
27336,805,89
31004,259,45
32057,0,1
31516,0,1
27420,512,18
30920,275,7
28470,539,3
28948,613,22
31648,90,3
29650,485,7
14287,1916,30
25251,1160,27
27141,317,2
30650,137,9
15237,1916,11
2592,2996,272
8878,2288,249
29405,526,17
29236,558,34
30575,0,1
30842,276,3
30458,248,2
31939,14,2
30456,0,3
23467,454,10
31256,194,4
31446,0,7
14070,1904,850
22799,1194,79
6873,2573,4357
30322,389,17
31988,0,1
22259,1332,22
27582,0,1
28354,535,3
30598,332,8
7923,2523,615
18795,1677,226
22595,1397,53
29147,183,2
31880,22,2
1916,3059,188
31971,0,2
31817,34,3
26463,925,45
31957,0,1
24580,1202,27
27302,826,37
970,3101,1111
29125,589,7
31943,0,2
30907,0,1
22437,1414,5
30110,420,4
13915,1981,78
31707,28,2
18955,1610,167
30009,404,7
16615,1791,43
11692,2164,27
31565,35,7
28050,735,6
30428,155,15
16211,14,2
31615,20,2
30636,6,3
19118,1595,13
18480,827,5
23312,962,47
31456,0,1
31892,0,1
28208,709,21
31643,37,2
31885,0,1
22290,947,13
27614,829,22
30357,357,11
31568,48,6
31872,0,2
30927,201,10
28570,326,6
29620,262,2
28917,0,1
11085,1139,17
26340,1020,253
21714,1151,31
10022,1515,131
5950,2656,143
29614,502,2
31416,57,2
29615,500,9
31675,0,1
10311,2073,77
29539,505,6
22578,1008,5
16668,1738,30
31674,0,1
31539,71,7
25837,814,35
31563,12,2
1523,2297,17
30418,334,2
11503,1883,9
21672,747,65
9921,0,1
31694,0,1
1446,2907,35
24999,1044,21
31790,0,1
6610,2580,362
10864,252,3
27068,898,121
27462,585,11
26588,712,19
21224,1221,153
31021,0,1
28613,602,71
31449,45,3
3099,2830,285
31418,27,2
23317,1163,284
6133,2690,298
29269,126,4
31464,84,2
17591,1574,540
28071,666,17
31500,0,2
27633,644,6
25817,46,8
14807,1615,28
28452,606,13
29503,471,26
28628,582,6
31562,48,2
31738,0,1
31619,0,1
6924,2503,588
25648,982,8
30728,135,3
26570,360,23
10108,174,2
29344,475,14
20322,0,1
31670,0,1
31693,0,1
31631,0,1
15362,1300,8
31182,136,7
31502,0,3
28375,0,1
31669,6,2
31647,14,2
28285,0,1
14570,1854,21
30735,146,3
8125,2348,74
21741,1394,44
31580,23,2
24100,534,17
29864,378,5
26546,917,24
21314,1354,28
31460,0,1
25113,942,23
30113,308,2
30547,130,6
15279,1741,12
20401,1414,91
22534,1189,14
31651,0,1
30857,6,3
30004,9,3
14131,1854,80
9712,2147,643
30442,111,6
31210,44,3
31572,10,10
26867,887,4
13734,1937,210
23924,581,6
30298,294,40
30173,291,2
29525,453,9
29013,110,5
26839,0,1
27589,552,15
25290,159,5
16845,1360,33
31012,138,4
29124,506,24
9057,2045,7
30687,209,8
12050,1825,16
9625,2035,145
290,2829,94
31556,0,1
31574,0,1
31577,0,1
29792,316,4
19956,1496,44
13438,1875,39
31536,0,1
11444,2081,52
31541,0,1
28718,330,8
19519,374,2
10873,2120,1398
25820,953,17
28714,440,31
30221,291,28
29874,315,10
8532,2280,130
18051,1511,10
28374,118,31
13009,1962,274
25591,1021,8
30669,134,3
31093,96,5
29201,474,7
30844,147,4
27781,689,254
22078,957,7
30736,12,2
23060,1244,263
26422,797,17
22098,0,1
17896,1056,29
31357,0,2
31467,0,1
26970,733,17
28988,0,1
31333,6,2
27822,624,633
10206,2121,223
30883,121,6
30657,171,3
2889,2764,408
13770,1868,13
27772,0,1
31204,54,4
19990,1444,64
31429,0,1
30717,84,29
31107,0,1
26931,763,8
28949,354,4
26628,773,2
12281,1557,117
28082,478,13
28402,230,2
31189,40,3
8716,1954,55
21914,538,4
26490,823,42
16006,806,66
19714,0,1
10237,2109,153
55,2946,82
27386,684,45
30107,263,2
20523,1388,191
31347,0,1
13478,1795,108
30679,139,2
31336,0,1
15064,237,25
24919,1041,7
30410,111,11
23781,56,2
31286,0,1
27941,619,5
26359,868,19
31314,0,1
21302,1284,47
12542,1925,109
31300,0,1
21284,1320,40
31293,0,1
30272,97,7
15692,1699,49
29579,351,4
31282,0,1
16036,251,9
22206,8,3
25138,563,9
17776,1543,236
30692,37,3
8749,2226,316
31246,0,1
29970,259,28
29745,195,12
31255,0,1
28502,83,5
22948,779,64
29834,181,6
29272,346,16
31243,0,1
26387,293,5
6577,2485,312
29239,395,7
2062,2846,120
28180,420,19
31221,0,1
12193,1912,62
22042,1201,10
29549,255,2
20100,1227,16
20191,1379,181
30942,0,1
30619,127,4
31216,0,1
8932,2206,192
27887,606,2
261,2914,423
31055,11,3
29291,312,11
31197,2,7
30944,46,2
2696,2793,42
10607,2055,317
21111,1294,23
30814,59,11
23125,741,2
30309,141,5
27079,662,7
16353,670,11
26936,737,93
19098,308,10
28471,99,4
330,2996,436
7016,2293,324
10413,1033,5
30775,68,2
31103,0,1
31071,0,1
30740,48,8
16511,1558,75
26916,733,5
28396,477,24
30722,80,4
30200,158,3
745,2578,2
9995,2032,64
30445,104,2
18591,1475,495
31074,0,1
30900,6,3
30960,19,6
30537,0,1
28777,126,11
4187,1720,69
30796,60,4
28063,76,7
29222,369,121
27316,2,2
30235,0,1
26449,617,14
31053,0,1
7186,2369,26
6876,2417,65
21883,805,76
29804,0,1
30220,110,3
31031,4,2
11880,1938,41
28258,63,4
2394,2728,173
29556,12,5
518,2894,29
29278,310,12
21922,1212,102
4128,2247,62
19316,1384,457
31019,0,2
28463,12,2
27978,504,5
29502,130,3
29062,87,9
30297,151,3
26233,669,10
31001,0,5
30159,174,3
27550,630,5
22321,565,3
29106,342,7
24817,1,2
29979,139,3
5754,2519,469
2903,2483,585
1653,2873,1394
9098,2050,89
30975,0,1
29941,210,3
14162,1644,49
25630,701,9
