project,team
puppet-gnocchi,puppetopenstack
puppet-heat,puppetopenstack
puppet-horizon,puppetopenstack
puppet-ironic,puppetopenstack
puppet-keystone,puppetopenstack
puppet-magnum,puppetopenstack
puppet-manila,puppetopenstack
puppet-mistral,puppetopenstack
puppet-murano,puppetopenstack
puppet-neutron,puppetopenstack
puppet-nova,puppetopenstack
puppet-octavia,puppetopenstack
puppet-openstack_extras,puppetopenstack
puppet-openstacklib,puppetopenstack
puppet-oslo,puppetopenstack
puppet-ovn,puppetopenstack
puppet-placement,puppetopenstack
puppet-qdr,puppetopenstack
puppet-sahara,puppetopenstack
puppet-swift,puppetopenstack
puppet-tempest,puppetopenstack
puppet-trove,puppetopenstack
puppet-vitrage,puppetopenstack
puppet-vswitch,puppetopenstack
puppet-watcher,puppetopenstack
puppet-zaqar,puppetopenstack
puppet-rally,puppetopenstack
puppet-tacker,puppetopenstack
puppet-freezer,puppetopenstack
puppet-monasca,puppetopenstack
puppet-senlin,puppetopenstack
puppet-glare,puppetopenstack
puppet-panko,puppetopenstack
puppet-congress,puppetopenstack
puppet-ceph,puppetopenstack
tempest,qualityassurance
patrole,qualityassurance
bashate,qualityassurance
devstack-tools,qualityassurance
eslint-config-openstack,qualityassurance
hacking,qualityassurance
karma-subunit-reporter,qualityassurance
os-testr,qualityassurance
rally,rally
rally-openstack,rally
release-test,releasemanagement
reno,releasemanagement
requirements,requirements
python-saharaclient,sahara
sahara,sahara
sahara-dashboard,sahara
sahara-extra,sahara
sahara-image-elements,sahara
sahara-plugin-ambari,sahara
sahara-plugin-cdh,sahara
sahara-plugin-mapr,sahara
sahara-plugin-spark,sahara
sahara-plugin-storm,sahara
sahara-plugin-vanilla,sahara
sahara-tests,sahara
python-senlinclient,senlin
senlin,senlin
senlin-dashboard,senlin
senlin-tempest-plugin,senlin
skyline-apiserver,skyline
skyline-console,skyline
python-solumclient,solum
solum,solum
solum-dashboard,solum
solum-tempest-plugin,solum
solum-infra-guestagent,solum
storlets,storlets
python-swiftclient,swift
swift,swift
swift-bench,swift
heat-translator,tacker
python-tackerclient,tacker
tacker,tacker
tacker-horizon,tacker
tosca-parser,tacker
python-aodhclient,telemetry
aodh,telemetry
ceilometer,telemetry
ceilometermiddleware,telemetry
telemetry-tempest-plugin,telemetry
panko,telemetry
python-pankoclient,telemetry
ceilometer-powervm,telemetry
python-ceilometerclient,telemetry
gnocchi,telemetry
python-gnocchiclient,telemetry
os-net-config,tripleo
puppet-tripleo,tripleo
python-tripleoclient,tripleo
tripleo-ansible,tripleo
tripleo-common,tripleo
tripleo-heat-templates,tripleo
tripleo-image-elements,tripleo
tripleo-puppet-elements,tripleo
tripleo-validations,tripleo
os-apply-config,tripleo
os-collect-config,tripleo
os-refresh-config,tripleo
tripleo-ipsec,tripleo
paunch,tripleo
tripleo-ui,tripleo
instack,tripleo
instack-undercloud,tripleo
tripleo-quickstart,tripleo
os-cloud-config,tripleo
ansible-role-chrony,tripleo
ansible-role-collect-logs,tripleo
ansible-role-container-registry,tripleo
ansible-role-redhat-subscription,tripleo
ansible-role-tripleo-modify-image,tripleo
openstack-virtual-baremetal,tripleo
puppet-pacemaker,tripleo
tripleo-operator-ansible,tripleo
tripleo-repos,tripleo
tripleo-upgrade,tripleo
validations-common,tripleo
validations-libs,tripleo
python-troveclient,trove
trove,trove
trove-dashboard,trove
trove-tempest-plugin,trove
python-venusclient,venus
venus,venus
venus-dashboard,venus
venus-tempest-plugin,venus
python-vitrageclient,vitrage
vitrage,vitrage
vitrage-dashboard,vitrage
vitrage-tempest-plugin,vitrage
xstatic-dagre,vitrage
xstatic-dagre-d3,vitrage
xstatic-graphlib,vitrage
xstatic-lodash,vitrage
xstatic-moment,vitrage
xstatic-moment-timezone,vitrage
python-watcherclient,watcher
watcher,watcher
watcher-dashboard,watcher
watcher-tempest-plugin,watcher
compute-hyperv,winstackers
networking-hyperv,winstackers
os-win,winstackers
oswin-tempest-plugin,winstackers
python-zaqarclient,zaqar
zaqar,zaqar
zaqar-tempest-plugin,zaqar
zaqar-ui,zaqar
python-zunclient,zun
zun,zun
zun-tempest-plugin,zun
zun-ui,zun
charms.ceph,openstackcharms
charms.openstack,openstackcharms
charm-aodh,openstackcharms
charm-barbican,openstackcharms
charm-barbican-softhsm,openstackcharms
charm-barbican-vault,openstackcharms
charm-ceilometer,openstackcharms
charm-ceilometer-agent,openstackcharms
charm-ceph-dashboard,openstackcharms
charm-ceph-iscsi,openstackcharms
charm-ceph-mon,openstackcharms
charm-ceph-nfs,openstackcharms
charm-ceph-osd,openstackcharms
charm-ceph-fs,openstackcharms
charm-ceph-radosgw,openstackcharms
charm-ceph-rbd-mirror,openstackcharms
charm-ceph-proxy,openstackcharms
charm-cinder,openstackcharms
charm-cinder-backup,openstackcharms
charm-cinder-backup-swift-proxy,openstackcharms
charm-cinder-ceph,openstackcharms
charm-cinder-lvm,openstackcharms
charm-cinder-netapp,openstackcharms
charm-cinder-nimblestorage,openstackcharms
charm-cinder-purestorage,openstackcharms
charm-cinder-solidfire,openstackcharms
charm-cinder-three-par,openstackcharms
charm-cloudkitty,openstackcharms
charm-deployment-guide,openstackcharms
charm-designate,openstackcharms
charm-designate-bind,openstackcharms
charm-gnocchi,openstackcharms
charm-panko,openstackcharms
charm-placement,openstackcharms
charm-glance,openstackcharms
charm-glance-simplestreams-sync,openstackcharms
charm-glusterfs,openstackcharms
charm-guide,openstackcharms
charm-hacluster,openstackcharms
charm-heat,openstackcharms
charm-interface-barbican-secrets,openstackcharms
charm-interface-bgp,openstackcharms
charm-interface-bind-rndc,openstackcharms
charm-interface-ceph-client,openstackcharms
charm-interface-ceph-mds,openstackcharms
charm-interface-ceph-rbd-mirror,openstackcharms
charm-interface-cinder-backend,openstackcharms
charm-interface-dashboard-plugin,openstackcharms
charm-interface-designate,openstackcharms
charm-interface-gnocchi,openstackcharms
charm-interface-hacluster,openstackcharms
charm-interface-keystone,openstackcharms
charm-interface-keystone-admin,openstackcharms
charm-interface-keystone-credentials,openstackcharms
charm-interface-keystone-domain-backend,openstackcharms
charm-interface-keystone-fid-service-provider,openstackcharms
charm-interface-keystone-notifications,openstackcharms
charm-interface-magpie,openstackcharms
charm-interface-manila-plugin,openstackcharms
charm-interface-mysql-innodb-cluster,openstackcharms
charm-interface-mysql-router,openstackcharms
charm-interface-mysql-shared,openstackcharms
charm-interface-neutron-load-balancer,openstackcharms
charm-interface-nova-cell,openstackcharms
charm-interface-nova-compute,openstackcharms
charm-interface-neutron-plugin,openstackcharms
charm-interface-neutron-plugin-api-subordinate,openstackcharms
charm-interface-odl-controller-api,openstackcharms
charm-interface-openstack-ha,openstackcharms
charm-interface-pacemaker-remote,openstackcharms
charm-interface-placement,openstackcharms
charm-interface-rabbitmq,openstackcharms
charm-interface-service-control,openstackcharms
charm-interface-websso-fid-service-provider,openstackcharms
charm-ironic,openstackcharms
charm-ironic-api,openstackcharms
charm-ironic-conductor,openstackcharms
charm-keystone,openstackcharms
charm-keystone-kerberos,openstackcharms
charm-keystone-ldap,openstackcharms
charm-keystone-openidc,openstackcharms
charm-keystone-saml-mellon,openstackcharms
charm-layer-ceph,openstackcharms
charm-layer-ceph-base,openstackcharms
charm-layer-openstack,openstackcharms
charm-layer-openstack-api,openstackcharms
charm-layer-openstack-principle,openstackcharms
charm-magnum,openstackcharms
charm-magnum-dashboard,openstackcharms
charm-magpie,openstackcharms
charm-manila,openstackcharms
charm-manila-dashboard,openstackcharms
charm-manila-ganesha,openstackcharms
charm-manila-generic,openstackcharms
charm-manila-glusterfs,openstackcharms
charm-manila-netapp,openstackcharms
charm-masakari,openstackcharms
charm-masakari-monitors,openstackcharms
charm-murano,openstackcharms
charm-mysql-innodb-cluster,openstackcharms
charm-mysql-router,openstackcharms
charm-nova-lxd,openstackcharms
charm-neutron-api,openstackcharms
charm-neutron-api-odl,openstackcharms
charm-neutron-api-plugin-arista,openstackcharms
charm-neutron-api-plugin-ironic,openstackcharms
charm-neutron-api-plugin-ovn,openstackcharms
charm-neutron-dynamic-routing,openstackcharms
charm-neutron-gateway,openstackcharms
charm-neutron-openvswitch,openstackcharms
charm-nova-cell-controller,openstackcharms
charm-nova-cloud-controller,openstackcharms
charm-nova-compute,openstackcharms
charm-nova-compute-nvidia-vgpu,openstackcharms
charm-nova-compute-proxy,openstackcharms
charm-octavia,openstackcharms
charm-octavia-dashboard,openstackcharms
charm-octavia-diskimage-retrofit,openstackcharms
charm-odl-controller,openstackcharms
charm-openstack-dashboard,openstackcharms
charm-openstack-loadbalancer,openstackcharms
charm-openvswitch-odl,openstackcharms
charm-ops-interface-ceph-client,openstackcharms
charm-ops-interface-tls-certificates,openstackcharms
charm-ops-openstack,openstackcharms
charm-pacemaker-remote,openstackcharms
charm-percona-cluster,openstackcharms
charm-rabbitmq-server,openstackcharms
charm-specs,openstackcharms
charm-swift-proxy,openstackcharms
charm-swift-storage,openstackcharms
charm-tempest,openstackcharms
charm-trilio-data-mover,openstackcharms
charm-trilio-dm-api,openstackcharms
charm-trilio-horizon-plugin,openstackcharms
charm-trilio-wlm,openstackcharms
charm-trove,openstackcharms
charm-vault,openstackcharms
charm-watcher,openstackcharms
charm-watcher-dashboard,openstackcharms
charm-zuul-jobs,openstackcharms
cookbook-openstack-application-catalog,openstackchef
cookbook-openstack-bare-metal,openstackchef
cookbook-openstack-block-storage,openstackchef
cookbook-openstack-client,openstackchef
cookbook-openstackclient,openstackchef
cookbook-openstack-common,openstackchef
cookbook-openstack-compute,openstackchef
cookbook-openstack-dashboard,openstackchef
cookbook-openstack-dns,openstackchef
cookbook-openstack-identity,openstackchef
cookbook-openstack-image,openstackchef
cookbook-openstack-integration-test,openstackchef
cookbook-openstack-network,openstackchef
cookbook-openstack-ops-database,openstackchef
cookbook-openstack-ops-messaging,openstackchef
cookbook-openstack-orchestration,openstackchef
cookbook-openstack-telemetry,openstackchef
openstack-chef,openstackchef
openstack-chef-repo,openstackchef
openstack-chef-specs,openstackchef
openstack-helm,openstackhelm
openstack-helm-images,openstackhelm
openstack-helm-infra,openstackhelm
loci,openstackhelm
