team,projects
openstackcharms,"['charms.ceph', 'charms.openstack', 'charm-aodh', 'charm-barbican', 'charm-barbican-softhsm', 'charm-barbican-vault', 'charm-ceilometer', 'charm-ceilometer-agent', 'charm-ceph-dashboard', 'charm-ceph-iscsi', 'charm-ceph-mon', 'charm-ceph-nfs', 'charm-ceph-osd', 'charm-ceph-fs', 'charm-ceph-radosgw', 'charm-ceph-rbd-mirror', 'charm-ceph-proxy', 'charm-cinder', 'charm-cinder-backup', 'charm-cinder-backup-swift-proxy', 'charm-cinder-ceph', 'charm-cinder-ceph-k8s', 'charm-cinder-k8s', 'charm-cinder-lvm', 'charm-cinder-netapp', 'charm-cinder-nimblestorage', 'charm-cinder-purestorage', 'charm-cinder-solidfire', 'charm-cinder-three-par', 'charm-cinder-dell-emc-powerstore', 'charm-cinder-ibm-storwize-svc', 'charm-cinder-infinidat', 'charm-cloudkitty', 'charm-deployment-guide', 'charm-designate', 'charm-designate-bind', 'charm-gnocchi', 'charm-panko', 'charm-placement', 'charm-placement-k8s', 'charm-glance', 'charm-glance-k8s', 'charm-glance-simplestreams-sync', 'charm-glusterfs', 'charm-guide', 'charm-hacluster', 'charm-heat', 'charm-horizon-k8s', 'charm-infinidat-tools', 'charm-interface-barbican-secrets', 'charm-interface-bgp', 'charm-interface-bind-rndc', 'charm-interface-ceph-client', 'charm-interface-ceph-mds', 'charm-interface-ceph-rbd-mirror', 'charm-interface-cinder-backend', 'charm-interface-cinder-backup', 'charm-interface-dashboard-plugin', 'charm-interface-designate', 'charm-interface-gnocchi', 'charm-interface-hacluster', 'charm-interface-ironic-api', 'charm-interface-keystone', 'charm-interface-keystone-admin', 'charm-interface-keystone-credentials', 'charm-interface-keystone-domain-backend', 'charm-interface-keystone-fid-service-provider', 'charm-interface-keystone-notifications', 'charm-interface-magpie', 'charm-interface-manila-plugin', 'charm-interface-mysql-innodb-cluster', 'charm-interface-mysql-router', 'charm-interface-mysql-shared', 'charm-interface-neutron-load-balancer', 'charm-interface-nova-cell', 'charm-interface-nova-compute', 'charm-interface-neutron-plugin', 'charm-interface-neutron-plugin-api-subordinate', 'charm-interface-odl-controller-api', 'charm-interface-openstack-ha', 'charm-interface-ovsdb-manager', 'charm-interface-pacemaker-remote', 'charm-interface-placement', 'charm-interface-rabbitmq', 'charm-interface-service-control', 'charm-interface-websso-fid-service-provider', 'charm-ironic', 'charm-ironic-api', 'charm-ironic-conductor', 'charm-keystone', 'charm-keystone-k8s', 'charm-keystone-kerberos', 'charm-keystone-ldap', 'charm-keystone-openidc', 'charm-keystone-saml-mellon', 'charm-layer-ceph', 'charm-layer-ceph-base', 'charm-layer-openstack', 'charm-layer-openstack-api', 'charm-layer-openstack-principle', 'charm-magnum', 'charm-magnum-dashboard', 'charm-magpie', 'charm-manila', 'charm-manila-dashboard', 'charm-manila-ganesha', 'charm-manila-generic', 'charm-manila-glusterfs', 'charm-manila-netapp', 'charm-manila-infinidat', 'charm-masakari', 'charm-masakari-monitors', 'charm-mistral', 'charm-murano', 'charm-mysql-innodb-cluster', 'charm-mysql-router', 'charm-nova-lxd', 'charm-neutron-api', 'charm-neutron-api-odl', 'charm-neutron-api-plugin-arista', 'charm-neutron-api-plugin-ironic', 'charm-neutron-api-plugin-ovn', 'charm-neutron-dynamic-routing', 'charm-neutron-gateway', 'charm-neutron-k8s', 'charm-neutron-openvswitch', 'charm-nova-cell-controller', 'charm-nova-cloud-controller', 'charm-nova-compute', 'charm-nova-compute-nvidia-vgpu', 'charm-nova-compute-proxy', 'charm-nova-k8s', 'charm-octavia', 'charm-octavia-dashboard', 'charm-octavia-diskimage-retrofit', 'charm-odl-controller', 'charm-openstack-dashboard', 'charm-openstack-loadbalancer', 'charm-openvswitch-odl', 'charm-ops-interface-ceph-client', 'charm-ops-interface-ceph-iscsi-admin-access', 'charm-ops-interface-openstack-loadbalancer', 'charm-ops-interface-tls-certificates', 'charm-ops-openstack', 'charm-ops-sunbeam', 'charm-pacemaker-remote', 'charm-percona-cluster', 'charm-rabbitmq-server', 'charm-specs', 'charm-swift-proxy', 'charm-swift-storage', 'charm-tempest', 'charm-trilio-data-mover', 'charm-trilio-dm-api', 'charm-trilio-horizon-plugin', 'charm-trilio-wlm', 'charm-trove', 'charm-vault', 'charm-watcher', 'charm-watcher-dashboard', 'charm-zuul-jobs']"
openstackchef,"['cookbook-openstack-application-catalog', 'cookbook-openstack-bare-metal', 'cookbook-openstack-block-storage', 'cookbook-openstack-client', 'cookbook-openstackclient', 'cookbook-openstack-common', 'cookbook-openstack-compute', 'cookbook-openstack-dashboard', 'cookbook-openstack-dns', 'cookbook-openstack-identity', 'cookbook-openstack-image', 'cookbook-openstack-integration-test', 'cookbook-openstack-network', 'cookbook-openstack-ops-database', 'cookbook-openstack-ops-messaging', 'cookbook-openstack-orchestration', 'cookbook-openstack-telemetry', 'openstack-chef', 'openstack-chef-repo', 'openstack-chef-specs']"
openstackhelm,"['openstack-helm', 'openstack-helm-images', 'openstack-helm-infra', 'loci']"
openstackansible,"['ansible-config_template', 'openstack-ansible', 'openstack-ansible-roles', 'openstack-ansible-nspawn_containers', 'openstack-ansible-galera_client', 'openstack-ansible-os_congress', 'openstack-ansible-os_karbor', 'openstack-ansible-os_panko', 'openstack-ansible-rsyslog', 'openstack-ansible-specs']"
openstacksdk,"['cliff', 'js-openstack-lib', 'openstackclient', 'openstacksdk', 'os-client-config', 'os-service-types', 'osc-lib', 'python-openstackclient', 'requestsexceptions', 'shade']"
oslo,"['automaton', 'castellan', 'cookiecutter', 'debtcollector', 'devstack-plugin-amqp1', 'devstack-plugin-kafka', 'etcd3gw', 'futurist', 'microversion-parse', 'openstack-doc-tools', 'openstackdocstheme', 'os-api-ref', 'oslo-cookiecutter', 'oslo-specs', 'oslo.cache', 'oslo.concurrency', 'oslo.config', 'oslo.context', 'oslo.db', 'oslo.i18n', 'oslo.limit', 'oslo.log', 'oslo.messaging', 'oslo.metrics', 'oslo.middleware', 'oslo.policy', 'oslo.privsep', 'oslo.reports', 'oslo.rootwrap', 'oslo.serialization', 'oslo.service', 'oslo.tools', 'oslo.upgradecheck', 'oslo.utils', 'oslo.versionedobjects', 'oslo.vmware', 'oslotest', 'osprofiler', 'pbr', 'sphinx-feature-classification', 'stevedore', 'taskflow', 'tooz', 'whereto']"
puppetopenstack,"['puppet-aodh', 'puppet-barbican', 'puppet-ceilometer', 'puppet-ceph', 'puppet-cinder', 'puppet-cloudkitty', 'puppet-designate', 'puppet-ec2api', 'puppet-glance', 'puppet-gnocchi', 'puppet-heat', 'puppet-horizon', 'puppet-ironic', 'puppet-keystone', 'puppet-magnum', 'puppet-manila', 'puppet-mistral', 'puppet-murano', 'puppet-neutron', 'puppet-nova', 'puppet-octavia', 'puppet-openstack-cookiecutter', 'puppet-openstack-guide', 'puppet-openstack-integration', 'puppet-openstack_extras', 'puppet-openstack_spec_helper', 'puppet-openstacklib', 'puppet-oslo', 'puppet-ovn', 'puppet-placement', 'puppet-qdr', 'puppet-rally', 'puppet-sahara', 'puppet-swift', 'puppet-tacker', 'puppet-tempest', 'puppet-trove', 'puppet-vitrage', 'puppet-vswitch', 'puppet-watcher', 'puppet-zaqar']"
qualityassurance,"['bashate', 'coverage2sql', 'devstack', 'devstack-plugin-ceph', 'devstack-plugin-cookiecutter', 'devstack-plugin-open-cas', 'devstack-tools', 'devstack-vagrant', 'eslint-config-openstack', 'grenade', 'hacking', 'karma-subunit-reporter', 'os-performance-tools', 'os-testr', 'patrole', 'qa-specs', 'stackviz', 'tempest', 'tempest-plugin-cookiecutter', 'tempest-stress', 'devstack-plugin-container', 'devstack-plugin-nfs', 'whitebox-tempest-plugin']"
rally,"['rally', 'rally-openstack', 'performance-docs']"
releasemanagement,"['release-test', 'releases', 'reno', 'specs-cookiecutter']"
