release,count
austin,0
bexar,0
cactus,0
diablo,0
essex,4
folsom,101
grizzly,101
havana,219
icehouse,210
juno,394
kilo,518
liberty,868
mitaka,1227
newton,1211
ocata,995
pike,1344
queens,1313
rocky,1102
stein,1116
train,948
ussuri,900
victoria,904
wallaby,663
xena,536
yoga,414
zed,438
2023.1 antelope,102
2023.2 bobcat,0
