release,project,dependent_projects
juno,openstack/heat-specs,25
juno,openstack/cookbook-openstack-compute,-1
juno,openstack/hacking,53
juno,openstack/grenade,3
juno,openstack/solum-specs,62
juno,openstack/glance_store,53
juno,openstack/designate-specs,60
juno,openstack/puppet-swift,-1
juno,openstack/heat,39
juno,openstack/tripleo-specs,25
juno,openstack/python-glanceclient,53
juno,openstack/oslosphinx,31
juno,openstack/taskflow,72
juno,openstack/trove-integration,1
juno,openstack/glance,72
juno,openstack/puppet-openstacklib,-1
juno,openstack/python-solumclient,-1
juno,openstack/neutron-specs,62
juno,openstack/cinder-specs,62
juno,openstack/cookbook-openstack-object-storage,2
juno,openstack/swift,71
juno,openstack/keystone-specs,62
juno,openstack/congress-specs,62
juno,openstack/oslo.messaging,72
juno,openstack/cookbook-openstack-image,3
juno,openstack/puppet-horizon,-1
juno,openstack/sahara-image-elements,-1
juno,openstack/cinder,72
juno,openstack/oslo.config,71
juno,openstack/zaqar-specs,25
juno,openstack/python-ironicclient,53
juno,openstack/oslo.db,31
juno,openstack/ironic-specs,62
juno,openstack/rally,51
juno,openstack/python-cinderclient,53
juno,openstack-attic/identity-api,2
juno,openstack/keystonemiddleware,31
juno,openstack/python-ceilometerclient,53
juno,openstack/zaqar,55
juno,openstack/octavia,51
juno,openstack/glance-specs,62
juno,openstack/governance,24
juno,openstack/murano-agent,-1
juno,openstack/trove-specs,24
juno,openstack/qa-specs,62
juno,openstack/oslo.utils,31
juno,openstack/astara-neutron,-1
juno,openstack/oslo.middleware,31
juno,openstack/fuel-web,4
juno,openstack/openstack-ansible,-1
juno,openstack/openstack-manuals,1
juno,openstack/puppet-heat,-1
juno,openstack/monasca-ui,24
juno,openstack/puppet-neutron,-1
juno,openstack/oslo.log,31
juno,openstack/osprofiler,53
juno,openstack/cookbook-openstack-orchestration,2
juno,openstack/solum,60
juno,openstack/oslotest,31
juno,openstack/sahara-specs,62
juno,openstack/barbican-specs,62
juno,openstack/nova,73
juno,openstack/python-manilaclient,63
juno,openstack/oslo-incubator,73
juno,openstack/cookbook-openstack-common,1
juno,openstack/cliff,31
juno,openstack-attic/oslo.version,53
juno,openstack/mistral,51
juno,openstack/puppet-vswitch,-1
juno,openstack/python-keystoneclient,72
juno,openstack/docs-specs,80
juno,openstack/oslo-cookiecutter,31
juno,openstack/puppet-nova,-1
juno,openstack/os-collect-config,-1
juno,openstack/solum-dashboard,62
juno,openstack/oslo.rootwrap,31
juno,openstack/puppet-keystone,-1
juno,openstack/nova-specs,62
juno,openstack/trove,59
juno,openstack/horizon,59
