release,project,dependent_projects
newton,openstack/charm-ceph-radosgw,-1
newton,openstack/gnocchi,3
ocata,openstack/puppet-tempest,1
ocata,openstack/tricircle,2
ocata,openstack/blazar,2
ocata,openstack/stevedore,-1
ocata,openstack/monasca-log-api,4
ocata,openstack/salt-formula-keystone,1
ocata,openstack/senlin,4
ocata,openstack/coverage2sql,1
ocata,openstack/cookbook-openstack-database,2
ocata,openstack/tap-as-a-service,2
ocata,openstack/puppet-mistral,28
ocata,openstack/senlin-dashboard,2
ocata,openstack/oslo.context,-1
ocata,openstack/neutron-lbaas-dashboard,-1
ocata,openstack/designate,1
ocata,openstack/openstack-ansible-os_cloudkitty,14
ocata,openstack/fuel-library,5
ocata,openstack/fuel-nailgun-extension-converted-serializers,1
ocata,openstack/neutron,25
ocata,openstack/fuel-ostf,1
ocata,openstack/charm-nova-lxd,-1
ocata,openstack/heat-templates,5
ocata,openstack/charm-glance,-1
ocata,openstack/charm-cinder,-1
ocata,openstack/openstack-ansible-os_barbican,15
ocata,openstack/barbican-tempest-plugin,2
ocata,openstack/os-apply-config,9
ocata,openstack/tempest,9
ocata,openstack/python-openstackclient,5
ocata,openstack/django_openstack_auth,1
ocata,openstack/magnum,5
ocata,openstack/python-heatclient,2
ocata,openstack/openstack-ansible-os_rally,24
ocata,openstack/salt-formula-kubernetes,1
ocata,openstack/project-team-guide,1
ocata,openstack/pyeclib,1
ocata,openstack/openstack-ansible-security,4
ocata,openstack/openstack-ansible-tests,44
ocata,openstack/fuxi,1
ocata,openstack/cookbook-openstack-integration-test,2
ocata,openstack/networking-generic-switch,-1
ocata,openstack/heat,5
ocata,openstack/charm-percona-cluster,-1
ocata,openstack/monasca-thresh,3
ocata,openstack/tripleo-validations,1
ocata,openstack/monasca-agent,-1
ocata,openstack/python-ironic-inspector-client,1
ocata,openstack/puppet-oslo,2
ocata,openstack/oslo.versionedobjects,1
ocata,openstack/glance,5
ocata,openstack/charm-ceph-fs,1
ocata,openstack/neutron-specs,-1
ocata,openstack/openstack-chef-repo,9
ocata,openstack/oslo.messaging,5
ocata,openstack/sahara-image-elements,-1
ocata,openstack/debtcollector,1
ocata,openstack/cinder,6
ocata,openstack/puppet-openstack-integration,41
ocata,openstack/oslo.config,3
ocata,openstack/python-ironicclient,4
ocata,openstack/python-cinderclient,-1
ocata,openstack/openstack-ansible-os_tempest,17
ocata,openstack/shade,3
ocata,openstack/rpm-packaging-tools,1
ocata,openstack/python-ceilometerclient,-1
ocata,openstack/zaqar,-1
ocata,openstack/freezer-dr,-1
ocata,openstack/salt-formula-ceilometer,1
ocata,openstack/governance,5
ocata,openstack/futurist,-1
ocata,openstack/rpm-packaging,2
ocata,openstack/castellan,2
ocata,openstack/murano-agent,1
ocata,openstack/training-labs,-1
ocata,openstack/openstack-ansible-os_cinder,18
ocata,openstack/fuel-web,4
ocata,openstack/aodh,1
ocata,openstack/puppet-ovn,2
ocata,openstack/python-dracclient,1
ocata,openstack/openstack-ansible-os_glance,19
ocata,openstack/puppet-heat,26
ocata,openstack/openstack-ansible-os_nova,19
ocata,openstack/kolla-ansible,2
ocata,openstack/osprofiler,-1
ocata,openstack/liberasurecode,1
ocata,openstack/openstack-ansible-lxc_container_create,2
ocata,openstack/cookbook-openstack-common,8
ocata,openstack/cliff,2
ocata,openstack/cookbook-openstack-ops-database,2
ocata,openstack/karbor,2
ocata,openstack/charm-rabbitmq-server,-1
ocata,openstack/charms.ceph,2
ocata,openstack/puppet-murano,23
ocata,openstack/solum-dashboard,1
ocata,openstack/charm-keystone,-1
ocata,openstack/openstack-ansible-memcached_server,2
ocata,openstack/heat-agents,3
ocata,openstack/trove,4
ocata,openstack/horizon,4
ocata,openstack/python-barbicanclient,1
ocata,openstack/oslo.reports,-1
ocata,openstack/salt-formula-glance,1
ocata,openstack/charm-nova-compute,-1
ocata,openstack/oslo.i18n,-1
ocata,openstack/puppet-glance,23
ocata,openstack/tooz,-1
ocata,openstack/python-novaclient,3
ocata,openstack/blazar-nova,2
ocata,openstack/charms.openstack,2
ocata,openstack/os-vif,1
ocata,openstack/networking-onos,-1
ocata,openstack/oslo.concurrency,-1
ocata,openstack/openstack-ansible-haproxy_server,14
ocata,openstack/openstack-ansible-os_swift,17
ocata,openstack/openstack-ansible-os_designate,14
ocata,openstack/puppet-sahara,23
ocata,openstack/fuel-docs,-1
ocata,openstack/python-monascaclient,1
ocata,openstack/freezer-api,2
ocata,openstack/python-saharaclient,-1
ocata,openstack/neutron-lib,6
ocata,openstack/os-net-config,9
ocata,openstack/charm-ceph,1
ocata,openstack/openstack-ansible-os_neutron,20
ocata,openstack/murano,5
ocata,openstack/nova-powervm,-1
ocata,openstack/openstack-ansible-ops,14
ocata,openstack/openstack-ansible-os_zaqar,14
ocata,openstack/tripleo-image-elements,10
ocata,openstack/fuel-astute,-1
ocata,openstack/networking-odl,6
ocata,openstack/api-site,1
ocata,openstack/puppet-cinder,29
ocata,openstack/openstack-ansible-rsyslog_client,1
ocata,openstack/salt-formula-heat,1
ocata,openstack/automaton,-1
ocata,openstack/vitrage-dashboard,-1
ocata,openstack/sahara,1
ocata,openstack/puppet-zaqar,1
ocata,openstack/magnum-ui,2
ocata,openstack/compute-hyperv,1
ocata,openstack/puppet-trove,23
ocata,openstack/kolla,2
ocata,openstack/puppet-watcher,23
ocata,openstack/networking-hyperv,2
ocata,openstack/cookbook-openstack-bare-metal,2
ocata,openstack/tripleo-ci,9
ocata,openstack/fuel-mirror,-1
ocata,openstack/fuel-main,-1
ocata,openstack/manila,8
ocata,openstack/charm-interface-neutron-plugin,1
ocata,openstack/cookbook-openstack-compute,3
ocata,openstack/salt-formula-neutron,1
ocata,openstack/python-glanceclient,1
ocata,openstack/vitrage,-1
ocata,openstack/oslosphinx,-1
ocata,openstack/searchlight,-1
ocata,openstack/python-watcherclient,1
ocata,openstack/dragonflow,3
ocata,openstack/swift,3
ocata,openstack/bifrost,1
ocata,openstack/python-freezerclient,1
ocata,openstack/puppet-horizon,3
ocata,openstack/monasca-analytics,1
ocata,openstack/python-fuelclient,-1
ocata,openstack/openstack-ansible-rsyslog_server,1
ocata,openstack/openstack-ansible-os_octavia,2
ocata,openstack/ironic-inspector-specs,-1
ocata,openstack/keystonemiddleware,-1
ocata,openstack/openstack-ansible-os_monasca,1
ocata,openstack/tripleo-puppet-elements,9
ocata,openstack/ceilometer-powervm,-1
ocata,openstack/monasca-kibana-plugin,1
ocata,openstack/cookbook-openstack-block-storage,3
ocata,openstack/puppet-magnum,25
ocata,openstack/openstack-ansible-galera_client,3
ocata,openstack/oslo.middleware,-1
ocata,openstack/openstack-ansible,30
ocata,openstack/openstack-manuals,8
ocata,openstack/monasca-ui,2
ocata,openstack/fuel-qa,-1
ocata,openstack/monasca-common,3
ocata,openstack/patrole,-1
ocata,openstack/cookbook-openstack-orchestration,-1
ocata,openstack/openstack-ansible-os_sahara,16
ocata,openstack/python-blazarclient,1
ocata,openstack/nova,10
ocata,openstack/openstack-ansible-pip_install,2
ocata,openstack/python-zunclient,1
ocata,openstack/mistral,5
ocata,openstack/python-keystoneclient-kerberos,1
ocata,openstack/docs-specs,1
ocata,openstack/instack-undercloud,20
ocata,openstack/puppet-nova,33
ocata,openstack/neutron-dynamic-routing,5
ocata,openstack/oslo.vmware,-1
ocata,openstack/openstacksdk,4
ocata,openstack/searchlight-ui,-1
ocata,openstack/fuel-stats,1
ocata,openstack/openstack-ansible-os_ironic,25
ocata,openstack/python-designateclient,-1
ocata,openstack/puppet-vitrage,22
ocata,openstack/keystoneauth,1
ocata,openstack/devstack-gate,6
ocata,openstack/puppet-gnocchi,12
ocata,openstack/puppet-pacemaker,4
ocata,openstack/python-troveclient,3
ocata,openstack/puppet-ceilometer,27
ocata,openstack/sahara-dashboard,-1
ocata,openstack/python-congressclient,1
ocata,openstack/cookbook-openstack-ops-messaging,2
ocata,openstack/salt-formula-cinder,1
ocata,openstack/openstack-ansible-plugins,21
ocata,openstack/fuel-agent,2
ocata,openstack/python-mistralclient,1
ocata,openstack/requirements,31
ocata,openstack/os-brick,2
ocata,openstack/monasca-api,6
ocata,openstack/charm-interface-manila-plugin,2
ocata,openstack/keystone,3
ocata,openstack/monasca-persister,3
ocata,openstack/mistral-extra,1
ocata,openstack/python-neutronclient,2
ocata,openstack/openstack-doc-tools,1
ocata,openstack/fuel-devops,-1
ocata,openstack/cookbook-openstack-dashboard,3
ocata,openstack/tacker-horizon,1
ocata,openstack/puppet-aodh,27
ocata,openstack/monasca-statsd,1
ocata,openstack/oslo.service,-1
ocata,openstack/networking-sfc,4
ocata,openstack/pycadf,1
ocata,openstack/python-swiftclient,1
ocata,openstack/zaqar-ui,1
ocata,openstack/grenade,6
ocata,openstack/kolla-kubernetes,1
ocata,openstack/barbican,4
ocata,openstack/mistral-dashboard,1
ocata,openstack/puppet-congress,23
ocata,openstack/puppet-swift,25
ocata,openstack/ironic-python-agent,4
ocata,openstack/openstack-ansible-os_horizon,17
ocata,openstack/fuel-nailgun-agent,2
ocata,openstack/neutron-fwaas,10
ocata,openstack/os-win,3
ocata,openstack/taskflow,1
ocata,openstack/python-karborclient,1
ocata,openstack/python-magnumclient,1
ocata,openstack/ironic-inspector,3
ocata,openstack/fuel-menu,-1
ocata,openstack/neutron-lbaas,11
ocata,openstack/cookbook-openstack-object-storage,2
ocata,openstack/cookbook-openstack-image,2
ocata,openstack/openstack-ansible-os_almanach,2
ocata,openstack/puppet-ironic,29
ocata,openstack/ironic-ui,-1
ocata,openstack/magnum-specs,1
ocata,openstack/puppet-openstack_extras,1
ocata,openstack/networking-calico,-1
ocata,openstack/tosca-parser,1
ocata,openstack/devstack-plugin-ceph,1
ocata,openstack/tripleo-quickstart,3
ocata,openstack/qa-specs,-1
ocata,openstack/openstack-ansible-lxc_hosts,3
ocata,openstack/oslo.cache,-1
ocata,openstack/puppet-manila,24
ocata,openstack/charm-ceph-osd,-1
ocata,openstack/karbor-dashboard,-1
ocata,openstack/solum,1
ocata,openstack/watcher-dashboard,2
ocata,openstack/zun,3
ocata,openstack/oslotest,-1
ocata,openstack/python-manilaclient,1
ocata,openstack/puppet-ceph,3
ocata,openstack/fuel-ui,1
ocata,openstack/project-config,107
ocata,openstack/diskimage-builder,2
ocata,openstack/puppet-vswitch,2
ocata,openstack/python-keystoneclient,-1
ocata,openstack/python-brick-cinderclient-ext,-1
ocata,openstack/ceilometermiddleware,-1
ocata,openstack/tripleo-ui,1
ocata,openstack/ironic-lib,2
ocata,openstack/oslo.rootwrap,-1
ocata,openstack/puppet-octavia,23
ocata,openstack/python-tripleoclient,14
ocata,openstack/kuryr-kubernetes,3
ocata,openstack/networking-l2gw,2
ocata,openstack/watcher,2
ocata,openstack/cookbook-openstack-identity,5
ocata,openstack/salt-formula-nova,1
ocata,openstack/fuel-octane,-1
ocata,openstack/openstack-ansible-rabbitmq_server,2
ocata,openstack/openstack-ansible-galera_server,15
ocata,openstack/ironic,13
ocata,openstack/ceilometer,4
ocata,openstack/tripleo-heat-templates,32
ocata,openstack/puppet-openstack-guide,1
ocata,openstack/charm-ceph-proxy,-1
ocata,openstack/cookbook-openstack-network,-1
ocata,openstack/python-muranoclient,2
ocata,openstack/cookbook-openstack-telemetry,1
ocata,openstack/murano-dashboard,2
ocata,openstack/fuel-nailgun-extension-cluster-upgrade,1
ocata,openstack/oslo.serialization,1
ocata,openstack/openstack-ansible-os_ceilometer,27
ocata,openstack/monasca-notification,-1
ocata,openstack/devstack-plugin-nfs,2
ocata,openstack/release-tools,2
ocata,openstack/networking-midonet,4
ocata,openstack/openstack-ansible-os_trove,10
ocata,openstack/tacker,3
ocata,openstack/cookbook-openstack-data-processing,2
ocata,openstack/openstack-ansible-os_gnocchi,17
ocata,openstack/kuryr,1
ocata,openstack/charm-manila-generic,2
ocata,openstack/puppet-ec2api,1
ocata,openstack/kuryr-libnetwork,3
ocata,openstack/python-zaqarclient,-1
ocata,openstack/oslo.privsep,-1
ocata,openstack/tripleo-docs,3
ocata,openstack/networking-ovn,5
ocata,openstack/manila-ui,1
ocata,openstack/charm-manila,3
ocata,openstack/salt-formula-horizon,1
ocata,openstack/ec2-api,1
ocata,openstack/puppet-panko,10
ocata,openstack/i18n,1
ocata,openstack/devstack,12
ocata,openstack/openstack-ansible-os_magnum,25
ocata,openstack/puppet-qdr,1
ocata,openstack/openstack-ansible-os_keystone,22
ocata,openstack/networking-bgpvpn,5
ocata,openstack/tuning-box,1
ocata,openstack/monasca-transform,1
ocata,openstack/oslo.policy,-1
ocata,openstack/glance_store,-1
ocata,openstack/openstack-ansible-os_watcher,1
ocata,openstack/osc-lib,1
ocata,openstack/freezer,-1
ocata,openstack/storlets,-1
ocata,openstack/monasca-ceilometer,-1
ocata,openstack/congress,4
ocata,openstack/fairy-slipper,1
ocata,openstack/puppet-openstacklib,12
ocata,openstack/openstack-ansible-repo_server,2
ocata,openstack/tripleo-quickstart-extras,4
ocata,openstack/puppet-tripleo,23
ocata,openstack/networking-bagpipe,2
ocata,openstack/openstack-ansible-os_aodh,26
ocata,openstack/python-tackerclient,1
ocata,openstack/openstack-ansible-openstack_hosts,3
ocata,openstack/python-gnocchiclient,1
ocata,openstack/charm-neutron-api,-1
ocata,openstack/oslo.db,2
ocata,openstack/ironic-specs,2
ocata,openstack/rally,1
ocata,openstack/openstackdocstheme,1
ocata,openstack/python-senlinclient,3
ocata,openstack/ansible-hardening,2
ocata,openstack/octavia,7
ocata,openstack/puppet-openstack_spec_helper,3
ocata,openstack/panko,1
ocata,openstack/oslo.utils,1
ocata,openstack/openstack-ansible-repo_build,3
ocata,openstack/openstack-ansible-ceph_client,1
ocata,openstack/cloudkitty,-1
ocata,openstack/tripleo-common,19
ocata,openstack/molteniron,1
ocata,openstack/releases,8
ocata,openstack/puppet-neutron,26
ocata,openstack/puppet-barbican,26
ocata,openstack/charm-neutron-gateway,-1
ocata,openstack/oslo.log,-1
ocata,openstack/masakari,-1
ocata,openstack/kayobe,-1
ocata,openstack/openstack-ansible-os_heat,16
ocata,openstack/puppet-designate,23
ocata,openstack/networking-powervm,-1
ocata,openstack/designate-tempest-plugin,1
ocata,openstack/openstack-ansible-apt_package_pinning,1
ocata,openstack/salt-formula-swift,1
ocata,openstack/heat-translator,1
ocata,openstack/os-api-ref,1
ocata,openstack/django-openstack-auth-kerberos,1
ocata,openstack/openstack-ansible-openstack_openrc,2
ocata,openstack/os-collect-config,9
ocata,openstack/charm-ceph-mon,2
ocata,openstack/neutron-vpnaas,5
ocata,openstack/puppet-keystone,24
ocata,openstack/puppet-tacker,23
ocata,openstack/freezer-web-ui,-1
ocata,openstack/fuel-nailgun-extension-iac,1
ocata,openstack/gnocchi,2
ocata,openstack/salt-formula-opencontrail,1
pike,openstack/puppet-tempest,1
pike,openstack/octavia-tempest-plugin,-1
pike,openstack/tricircle,-1
pike,openstack/blazar,4
pike,openstack/stevedore,-1
pike,openstack/monasca-log-api,4
pike,openstack/senlin,3
pike,openstack/coverage2sql,2
pike,openstack/charm-designate-bind,12
pike,openstack/tap-as-a-service,-1
pike,openstack/puppet-mistral,6
pike,openstack/charm-murano,12
pike,openstack/senlin-dashboard,12
pike,openstack/congress-dashboard,-1
pike,openstack/oslo.context,1
pike,openstack/neutron-lbaas-dashboard,-1
pike,openstack/designate,3
pike,openstack/openstack-ansible-os_cloudkitty,1
pike,openstack/fuel-library,1
pike,openstack/neutron,20
pike,openstack/charm-nova-lxd,27
pike,openstack/charm-interface-bind-rndc,1
pike,openstack/heat-templates,3
pike,openstack/sushy,2
pike,openstack/charm-glance,27
pike,openstack/charm-cinder,27
pike,openstack/openstack-ansible-os_barbican,1
pike,openstack/barbican-tempest-plugin,-1
pike,openstack/os-apply-config,10
pike,openstack/python-openstackclient,11
pike,openstack/tempest,9
pike,openstack/django_openstack_auth,2
pike,openstack/magnum,5
pike,openstack/service-types-authority,2
pike,openstack/python-heatclient,1
pike,openstack/openstack-ansible-os_rally,2
pike,openstack/openstack-ansible-security,1
pike,openstack/charm-designate,15
pike,openstack/openstack-ansible-tests,48
pike,openstack/fuxi,1
pike,openstack/charm-aodh,13
pike,openstack/cookbook-openstack-integration-test,1
pike,openstack/networking-generic-switch,1
pike,openstack/heat,22
pike,openstack/charm-percona-cluster,27
pike,openstack/monasca-thresh,-1
pike,openstack/tripleo-validations,2
pike,openstack/monasca-agent,2
pike,openstack/python-ironic-inspector-client,-1
pike,openstack/puppet-oslo,15
pike,openstack/oslo.versionedobjects,1
pike,openstack/glance,13
pike,openstack/neutron-specs,2
pike,openstack/charm-ceph-fs,-1
pike,openstack/openstack-chef-repo,10
pike,openstack/oslo.messaging,1
pike,openstack/sahara-image-elements,1
pike,openstack/debtcollector,-1
pike,openstack/cinder,11
pike,openstack/puppet-openstack-integration,36
pike,openstack/oslo.config,5
pike,openstack/python-ironicclient,1
pike,openstack/python-cinderclient,2
pike,openstack/ovsdbapp,4
pike,openstack/kayobe-config-dev,-1
pike,openstack/openstack-ansible-os_tempest,15
pike,openstack/shade,3
pike,openstack/zaqar,-1
pike,openstack/freezer-dr,1
pike,openstack/governance,14
pike,openstack/futurist,-1
pike,openstack/charm-cinder-ceph,27
pike,openstack/rpm-packaging,12
pike,openstack/castellan,1
pike,openstack/training-labs,-1
pike,openstack/openstack-ansible-os_cinder,16
pike,openstack/fuel-web,1
pike,openstack/charm-neutron-openvswitch,27
pike,openstack/aodh,2
pike,openstack/puppet-ovn,1
pike,openstack/python-dracclient,1
pike,openstack/openstack-ansible-os_glance,15
pike,openstack/openstack-ansible-os_nova,17
pike,openstack/puppet-heat,4
pike,openstack/tripleo-upgrade,-1
pike,openstack/devstack-plugin-kafka,-1
pike,openstack/kolla-ansible,3
pike,openstack/osprofiler,1
pike,openstack/openstack-ansible-lxc_container_create,3
pike,openstack/cookbook-openstack-common,3
pike,openstack/cliff,5
pike,openstack/cookbook-openstack-ops-database,2
pike,openstack/karbor,-1
pike,openstack/charm-ceilometer,27
pike,openstack/openstack-ansible-os_monasca-agent,-1
pike,openstack/charm-rabbitmq-server,27
pike,openstack/charms.ceph,27
pike,openstack/puppet-murano,1
pike,openstack/openstack-ansible-os_molteniron,1
pike,openstack/charm-keystone,27
pike,openstack/openstack-ansible-memcached_server,2
pike,openstack/heat-agents,2
pike,openstack/trove,5
pike,openstack/horizon,11
pike,openstack/oslo.reports,1
pike,openstack/python-barbicanclient,-1
pike,openstack/charm-nova-cloud-controller,27
pike,openstack/pbr,22
pike,openstack/charm-nova-compute,27
pike,openstack/oslo.i18n,-1
pike,openstack/puppet-glance,3
pike,openstack/tooz,-1
pike,openstack/charm-layer-openstack-api,3
pike,openstack/python-novaclient,3
pike,openstack/instack,1
pike,openstack/blazar-nova,1
pike,openstack/charms.openstack,39
pike,openstack/os-vif,1
pike,openstack/networking-onos,-1
pike,openstack/oslo.concurrency,-1
pike,openstack/openstack-ansible-os_swift,15
pike,openstack/openstack-ansible-haproxy_server,2
pike,openstack/openstack-ansible-os_designate,14
pike,openstack/puppet-sahara,2
pike,openstack/python-monascaclient,3
pike,openstack/freezer-api,-1
pike,openstack/python-saharaclient,2
pike,openstack/neutron-lib,9
pike,openstack/os-net-config,10
pike,openstack/charm-ceph,27
pike,openstack/openstack-ansible-os_neutron,15
pike,openstack/murano,13
pike,openstack/nova-powervm,3
pike,openstack/openstack-ansible-ops,2
pike,openstack/os-client-config,3
pike,openstack/openstack-ansible-os_zaqar,-1
pike,openstack/tripleo-image-elements,10
pike,openstack/fuel-astute,-1
pike,openstack/networking-odl,14
pike,openstack/puppet-cinder,6
pike,openstack/openstack-ansible-rsyslog_client,1
pike,openstack/automaton,-1
pike,openstack/sahara,3
pike,openstack/python-pankoclient,1
pike,openstack/puppet-zaqar,3
pike,openstack/neutron-fwaas-dashboard,3
pike,openstack/magnum-ui,1
pike,openstack/compute-hyperv,2
pike,openstack/puppet-trove,1
pike,openstack/kolla,6
pike,openstack/puppet-watcher,1
pike,openstack/networking-hyperv,-1
pike,openstack/tripleo-ci,14
pike,openstack/fuel-mirror,-1
pike,openstack/fuel-main,-1
pike,openstack/manila,8
pike,openstack/cookbook-openstack-compute,2
pike,openstack/security-analysis,-1
pike,openstack/python-glanceclient,5
pike,openstack/vitrage,2
pike,openstack/oslosphinx,-1
pike,openstack/searchlight,2
pike,openstack/python-watcherclient,2
pike,openstack/charm-openstack-dashboard,27
pike,openstack/charm-glusterfs,-1
pike,openstack/dragonflow,14
pike,openstack/cinder-specs,1
pike,openstack/designate-dashboard,-1
pike,openstack/swift,3
pike,openstack/keystone-specs,4
pike,openstack/bifrost,2
pike,openstack/openstack-ansible-os_panko,-1
pike,openstack/python-freezerclient,-1
pike,openstack/puppet-horizon,2
pike,openstack/python-fuelclient,-1
pike,openstack/charm-cinder-backup,27
pike,openstack/openstack-ansible-rsyslog_server,1
pike,openstack/openstack-ansible-os_octavia,2
pike,openstack/keystonemiddleware,2
pike,openstack/openstack-ansible-os_monasca,1
pike,openstack/tripleo-puppet-elements,10
pike,openstack/ceilometer-powervm,1
pike,openstack/charm-openvswitch-odl,12
pike,openstack/monasca-kibana-plugin,2
pike,openstack/glance-specs,1
pike,openstack/cookbook-openstack-block-storage,1
pike,openstack/charm-trove,12
pike,openstack/puppet-magnum,1
pike,openstack/openstack-chef,-1
pike,openstack/trove-dashboard,-1
pike,openstack/openstack-ansible-galera_client,2
pike,openstack/oslo.middleware,2
pike,openstack/openstack-ansible,22
pike,openstack/openstack-manuals,17
pike,openstack/monasca-ui,2
pike,openstack/fuel-qa,-1
pike,openstack/monasca-common,-1
pike,openstack/patrole,5
pike,openstack/cookbook-openstack-orchestration,-1
pike,openstack/openstack-ansible-os_sahara,3
pike,openstack/blazar-dashboard,1
pike,openstack/python-blazarclient,1
pike,openstack/nova,29
pike,openstack/python-qinlingclient,-1
pike,openstack/openstack-ansible-pip_install,4
pike,openstack/mistral,9
pike,openstack/python-zunclient,3
pike,openstack/docs-specs,33
pike,openstack/instack-undercloud,27
pike,openstack/puppet-nova,6
pike,openstack/neutron-dynamic-routing,13
pike,openstack/nova-specs,14
pike,openstack/openstacksdk,4
pike,openstack/openstack-zuul-roles,2
pike,openstack/searchlight-ui,-1
pike,openstack/charm-swift-proxy,27
pike,openstack/election,1
pike,openstack/openstack-ansible-os_ironic,15
pike,openstack/python-designateclient,-1
pike,openstack/puppet-vitrage,2
pike,openstack/keystoneauth,3
pike,openstack/charm-keystone-ldap,-1
pike,openstack/devstack-gate,6
pike,openstack/puppet-gnocchi,3
pike,openstack/puppet-pacemaker,1
pike,openstack/python-troveclient,1
pike,openstack/puppet-ceilometer,5
pike,openstack/sahara-dashboard,3
pike,openstack/cookbook-openstack-ops-messaging,-1
pike,openstack/loci,1
pike,openstack/openstack-ansible-plugins,5
pike,openstack/fuel-agent,-1
pike,openstack/mistral-lib,-1
pike,openstack/os-service-types,1
pike,openstack/python-mistralclient,1
pike,openstack/requirements,65
pike,openstack/os-brick,3
pike,openstack/monasca-api,7
pike,openstack/charm-layer-ceph-base,27
pike,openstack/keystone,8
pike,openstack/monasca-persister,1
pike,openstack/mistral-extra,-1
pike,openstack/osc-placement,1
pike,openstack/python-neutronclient,1
pike,openstack/openstack-doc-tools,2
pike,openstack/fuel-devops,-1
pike,openstack/cookbook-openstack-dashboard,1
pike,openstack/tacker-horizon,-1
pike,openstack/puppet-aodh,3
pike,openstack/reno,3
pike,openstack/charm-neutron-api-odl,38
pike,openstack/charm-hacluster,27
pike,openstack/oslo.service,-1
pike,openstack/networking-sfc,7
pike,openstack/python-swiftclient,2
pike,openstack/zaqar-ui,13
pike,openstack/grenade,2
pike,openstack/barbican,2
pike,openstack/mistral-dashboard,-1
pike,openstack/puppet-congress,1
pike,openstack/puppet-swift,3
pike,openstack/python-octaviaclient,2
pike,openstack/ironic-python-agent,-1
pike,openstack/openstack-ansible-os_horizon,16
pike,openstack/fuel-nailgun-agent,-1
pike,openstack/neutron-fwaas,16
pike,openstack/os-win,3
pike,openstack/taskflow,-1
pike,openstack/python-karborclient,1
pike,openstack/python-magnumclient,1
pike,openstack/ironic-inspector,2
pike,openstack/neutron-lbaas,15
pike,openstack/keystone-tempest-plugin,2
pike,openstack/cookbook-openstack-image,1
pike,openstack/openstack-ansible-os_almanach,1
pike,openstack/puppet-ironic,5
pike,openstack/neutron-vpnaas-dashboard,3
pike,openstack/ironic-ui,-1
pike,openstack/openstack-helm,-1
pike,openstack/kuryr-tempest-plugin,2
pike,openstack/python-masakariclient,-1
pike,openstack/puppet-openstack_extras,1
pike,openstack/ui-cookiecutter,12
pike,openstack/openstack-zuul-jobs,3
pike,openstack/tripleo-quickstart,11
pike,openstack/openstack-ansible-lxc_hosts,7
pike,openstack/oslo.cache,1
pike,openstack/puppet-manila,3
pike,openstack/charm-ceph-osd,27
pike,openstack/os-testr,2
pike,openstack/solum,1
pike,openstack/oslotest,1
pike,openstack/zun,4
pike,openstack/python-aodhclient,1
pike,openstack/python-manilaclient,2
pike,openstack/puppet-ceph,2
pike,openstack/fuel-ui,-1
pike,openstack/project-config,78
pike,openstack/diskimage-builder,5
pike,openstack/puppet-vswitch,1
pike,openstack/python-keystoneclient,5
pike,openstack/cookbook-openstackclient,-1
pike,openstack/ceilometermiddleware,-1
pike,openstack/tripleo-ui,3
pike,openstack/ironic-lib,-1
pike,openstack/oslo.rootwrap,-1
pike,openstack/puppet-octavia,1
pike,openstack/charm-barbican-softhsm,12
pike,openstack/python-tripleoclient,24
pike,openstack/kuryr-kubernetes,11
pike,openstack/networking-l2gw,-1
pike,openstack/watcher,1
pike,openstack/cookiecutter,1
pike,openstack/cookbook-openstack-identity,1
pike,openstack/networking-baremetal,-1
pike,openstack/openstack-ansible-os_tacker,-1
pike,openstack/openstack-ansible-rabbitmq_server,1
pike,openstack/openstack-ansible-galera_server,5
pike,openstack/ironic,9
pike,openstack/ceilometer,3
pike,openstack/manila-image-elements,2
pike,openstack/charm-heat,27
pike,openstack/tripleo-heat-templates,33
pike,openstack/puppet-openstack-guide,2
pike,openstack/charm-ceph-proxy,27
pike,openstack/cookbook-openstack-network,1
pike,openstack/python-muranoclient,1
pike,openstack/qinling,-1
pike,openstack/cookbook-openstack-telemetry,1
pike,openstack/murano-dashboard,13
pike,openstack/oslo.serialization,2
pike,openstack/openstack-ansible-os_ceilometer,15
pike,openstack/monasca-notification,2
pike,openstack/release-tools,1
pike,openstack/monasca-events-api,1
pike,openstack/networking-midonet,12
pike,openstack/openstack-ansible-os_trove,1
pike,openstack/tacker,1
pike,openstack/openstack-ansible-os_gnocchi,15
pike,openstack/kuryr,10
pike,openstack/charm-manila-generic,12
pike,openstack/puppet-ec2api,1
pike,openstack/kuryr-libnetwork,12
pike,openstack/python-zaqarclient,-1
pike,openstack/oslo-specs,1
pike,openstack/oslo.privsep,-1
pike,openstack/tripleo-docs,12
pike,openstack/networking-ovn,17
pike,openstack/manila-ui,1
pike,openstack/charm-manila,13
pike,openstack/ec2-api,1
pike,openstack/puppet-panko,5
pike,openstack/i18n,1
pike,openstack/devstack,23
pike,openstack/openstack-ansible-os_magnum,2
pike,openstack/openstack-ansible-os_keystone,19
pike,openstack/charm-swift-storage,27
pike,openstack/networking-bgpvpn,3
pike,openstack/monasca-transform,-1
pike,openstack/oslo.policy,1
pike,openstack/hacking,-1
pike,openstack/glance_store,1
pike,openstack/openstack-ansible-os_watcher,1
pike,openstack/osc-lib,4
pike,openstack/freezer,-1
pike,openstack/monasca-ceilometer,-1
pike,openstack/congress,4
pike,openstack/puppet-openstacklib,15
pike,openstack/openstack-ansible-repo_server,2
pike,openstack/tripleo-quickstart-extras,11
pike,openstack/puppet-tripleo,24
pike,openstack/networking-bagpipe,4
pike,openstack/openstack-ansible-os_aodh,14
