is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
True,True,releasemanagement,,0.06,True
True,False,openstackansible,openstackansible,0.6,True
True,False,octavia,octavia,587.81,True
False,False,manila,manila,2150.34,True
True,False,manila,manila,9418.23,False
False,False,octavia,octavia,1583.83,True
True,False,kolla,kolla,2.45,True
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,0.04,True
False,False,ironic,ironic,1561.47,True
True,False,kolla,kolla,25.77,True
True,False,tripleo,tripleo,2478.55,True
True,False,tripleo,tripleo,125.06,True
True,False,tripleo,tripleo,339.53,True
True,False,tripleo,tripleo,118.85,True
True,False,tripleo,tripleo,120.72,True
True,False,tripleo,tripleo,265.97,True
True,False,tripleo,tripleo,676.49,True
True,False,tripleo,tripleo,773.52,False
True,False,tripleo,tripleo,773.76,False
True,False,openstacksdk,openstacksdk,0.48,True
True,False,openstacksdk,openstacksdk,0.07,True
True,False,tripleo,tripleo,0.09,True
False,False,tripleo,tripleo,505.77,True
True,False,kolla,kolla,1.84,True
True,True,telemetry,aodh,427.3,True
True,True,qualityassurance,aodh,139.15,True
False,False,openstackcharms,openstackcharms,1560.79,True
True,False,openstackcharms,openstackcharms,0.0,True
True,True,telemetry,aodh,1705.93,False
True,True,qualityassurance,aodh,1878.78,False
True,False,tripleo,tripleo,0.54,True
True,False,manila,manila,11.38,True
True,True,openstackcharms,keystone,0.69,True
False,False,kolla,kolla,4.5,True
True,False,neutron,neutron,2.73,True
True,False,tripleo,tripleo,26.27,True
True,False,tripleo,tripleo,26.1,True
True,False,tripleo,tripleo,47.06,False
True,False,cinder,cinder,290.26,True
True,False,cinder,cinder,0.14,True
True,True,tempest,cinder,23.39,True
True,True,qualityassurance,cinder,21.08,True
True,True,barbican,cinder,43.74,True
True,False,tripleo,tripleo,266.87,True
True,False,tripleo,tripleo,23.36,True
True,True,puppetopenstack,tripleo,174.96,False
True,True,puppetopenstack,tripleo,291.22,False
True,False,tripleo,tripleo,508.92,True
True,False,tripleo,tripleo,0.24,True
True,True,openstackcharms,neutron,654.38,True
True,True,openstackcharms,glance,654.36,True
True,True,openstackcharms,horizon,654.37,True
True,True,openstackcharms,cinder,654.37,True
