is_cross,is_cross_service,lag
False,False,41.83
True,False,3195.54
True,False,477.61
True,True,0.12
True,True,148.29
False,False,333.41
True,False,0.0
True,False,23.22
True,False,0.42
True,True,0.13
True,False,70.71
True,False,4.4
True,False,143.53
True,True,50.01
True,False,1988.14
True,True,1605.68
True,False,12255.47
True,False,0.05
True,False,138.44
True,False,6023.83
True,False,14189.98
True,False,0.0
True,False,0.0
True,True,46.97
True,False,1127.72
True,True,415.3
True,False,387.94
True,False,56.93
True,False,2.14
True,False,1386.93
True,False,0.1
True,False,0.22
True,False,322.8
True,True,2922.94
True,True,5896.76
True,True,2646.0
True,True,0.08
True,False,0.19
True,True,4.21
True,False,0.01
True,False,220.12
True,False,3579.16
True,True,0.01
True,False,4.28
True,True,24.81
True,False,0.02
True,True,3.12
True,True,12716.7
False,False,17.71
False,False,1439.73
True,False,533.72
True,True,204.31
True,True,7861.49
True,True,0.02
True,True,690.87
True,True,47.01
True,True,42.29
True,False,141.6
True,False,2350.49
True,True,144.84
True,False,1.17
True,False,3976.99
True,True,164.36
True,True,2928.8
True,False,1339.24
True,True,95.97
True,True,240.2
True,False,2493.16
True,True,8045.62
True,False,119.4
True,False,3358.81
True,True,1578.92
True,True,141.42
True,False,61.57
True,False,2468.99
True,False,3293.31
True,True,16704.02
True,True,735.7
True,True,0.88
True,False,6411.07
True,False,2644.51
True,False,8833.94
True,True,436.99
True,False,56.68
True,True,15996.48
True,False,413.7
True,True,407.13
True,True,21.8
True,False,2639.08
True,True,0.2
True,False,22.27
True,True,138.34
True,False,190.61
True,True,4703.73
True,False,54.68
True,False,0.03
True,False,324.8
True,False,289.27
True,False,0.03
True,False,478.42
True,True,0.02
True,False,0.06
True,True,2393.92
True,True,22.53
True,True,625.2
True,False,356.06
True,False,4509.91
True,True,544.72
True,True,21.88
False,False,13967.48
False,False,1871.94
False,False,2.29
True,False,0.05
True,True,0.02
True,False,0.04
True,False,0.02
True,False,2792.53
True,False,2.9
True,False,19.73
True,False,1706.66
True,False,0.04
True,True,0.61
True,False,0.01
False,False,22.23
True,False,76.87
True,False,27.13
True,False,577.59
True,False,550.53
True,False,1209.02
True,False,865.69
True,True,2609.22
True,False,963.59
True,False,433.32
True,True,378.41
True,True,4105.42
True,True,31.92
True,False,394.81
True,False,0.13
True,True,1.39
True,False,0.08
True,False,1.51
True,False,1.1
True,True,133.11
True,False,1.01
True,True,24.51
True,False,0.99
True,True,1601.2
True,True,42.77
True,True,16744.77
True,False,0.04
True,True,363.16
True,False,0.03
True,False,0.0
True,True,1039.27
True,False,1134.72
True,True,2186.92
True,True,0.04
True,True,11588.88
True,True,0.11
True,False,6202.0
True,True,1579.39
True,False,681.15
False,False,15.63
True,False,0.12
True,False,0.04
True,False,82.91
True,False,95.92
True,False,42977.42
True,True,907.51
True,True,37307.94
True,False,1463.94
True,False,217.34
True,False,334.73
True,False,2932.58
True,True,0.33
True,True,1103.29
True,False,8.72
True,True,95.21
False,False,956.39
True,True,4924.88
True,True,0.06
True,False,220.29
True,True,0.02
True,False,771.2
True,False,4225.23
True,False,0.03
True,True,643.74
True,False,27.63
True,True,0.76
True,True,136.83
True,False,3070.43
True,True,1613.88
True,True,4345.43
True,True,3652.84
True,False,0.18
True,False,26353.79
True,False,339.59
True,False,2928.14
True,True,288.87
True,True,4601.37
True,True,64.59
True,False,1.8
True,False,889.13
True,True,0.12
False,False,2397.17
False,False,12098.63
True,False,54.5
True,True,1.23
True,True,0.05
False,False,844.06
True,True,3194.93
True,True,142.43
True,True,9094.15
True,False,667.6
True,False,4338.57
True,False,526.1
True,True,6962.17
True,True,6.51
True,True,137.31
True,False,699.15
True,False,3.4
True,True,19415.64
True,True,1.27
False,False,18.93
True,False,0.15
True,False,165.85
True,True,0.04
True,True,1267.45
False,False,633.53
True,False,630.62
True,True,203.5
True,False,38.65
True,True,2064.38
True,True,87.58
True,False,168.17
True,False,1682.46
True,False,0.09
True,True,96.92
True,False,0.48
True,True,9077.35
True,True,439.79
True,True,643.97
True,False,87.65
True,False,385.9
True,False,2352.22
True,False,0.03
True,False,22.32
True,False,0.91
True,True,837.47
True,False,122.71
True,False,652.64
True,False,18.57
False,False,1654.69
True,True,94.1
True,False,0.87
True,True,0.44
True,False,1176.57
True,False,0.14
True,False,713.39
True,False,1014.12
True,False,309.33
True,True,429.26
True,False,6382.2
True,False,79.68
True,True,117.0
True,True,1433.87
True,False,142.83
True,False,1369.48
True,False,0.25
True,False,0.39
True,False,4.75
True,True,5348.05
False,False,2996.58
True,True,0.0
True,True,145.56
True,True,973.61
True,True,0.04
True,True,71.45
True,True,2999.46
True,False,643.86
True,True,70.97
True,True,3002.77
True,True,36.17
True,True,1404.77
True,False,879.81
True,False,0.3
True,True,39.96
True,False,170.84
True,True,152.64
True,True,9206.93
True,False,7433.78
False,False,504.95
True,False,462.28
True,True,2066.25
True,False,10801.08
True,False,4191.84
False,False,5904.24
True,False,1.7
True,False,893.01
True,False,446.72
True,False,190.4
True,False,2870.45
True,False,500.25
True,True,6219.72
True,True,27.42
True,True,167.46
True,True,16679.6
False,False,42.55
False,False,287.49
True,False,317.26
True,True,0.1
True,True,3721.54
True,False,4014.27
True,False,261.37
True,True,125.58
True,False,2081.17
True,True,0.1
True,False,3262.43
True,True,14276.79
True,False,1287.71
True,True,11.25
True,False,1637.63
True,False,0.58
True,False,186.15
True,False,0.75
