Source,Target,Source_repo,Target_repo
I75a6bd7985fce66b3e8a4cb81320b22d71f6bc4a,I899822fec863f43cd6c58b25cf4688c6a3ac1e9b,openstack/tempest,openstack/devstack-plugin-ceph
Idbfa3998930374b8de1e65d586ab54f85707c713,I4b400d499b9f594798f2da6d16f21204371a9f42,openstack/neutron-lib,openstack/nova
I9e37971291b1153f3e30a84f96a1caebedd24ee4,If4e74edb03037fa156dbc765e1b665d4b9b5b192,openstack/python-tripleoclient,openstack/tripleo-heat-templates
I2e37603b098880b778100613800496b01167b22f,I8164d76b28904cde88f4de7da08d647f6bd98a10,openstack/tempest,openstack/neutron
Ie181478ff4979aaf5ef889b26ee6025cd801dc7b,I8164d76b28904cde88f4de7da08d647f6bd98a10,openstack/rally-openstack,openstack/neutron
I2adc76e3025fadf994bab2e2e1fd608e688874fc,I8164d76b28904cde88f4de7da08d647f6bd98a10,openstack/devstack,openstack/neutron
Ifbd990f15b9d85260ab20a2004fe79bafda929d9,I61f80b11c9394f34e09297ca1aa93d7000bb8047,openstack/tripleo-heat-templates,openstack/tripleo-ansible
I1d391b871fc9bfa825db30db9434922226b94d8a,Id940833a5c4c2eb6a487b9159b670efb508fd188,openstack/devstack,openstack/neutron-tempest-plugin
I301282c97a14ade4b650353f2f5a3af729b65f16,I3105633acab3e3f9918fae8a81d4e6ca8a72f339,openstack/openstack-helm-infra,openstack/openstack-helm
I6f5d5c6bf6c30045752064c666dd8892adbad643,I06398428f82b3617a0e8b04d86cd6a839b143263,openstack/cinder-tempest-plugin,openstack/cinder
I26b4784a4d772abbf8572f6273bda37f2fec5336,I2e37603b098880b778100613800496b01167b22f,openstack/devstack,openstack/tempest
If9bab60107ea2f049f0940766cf44ce3ebb002ee,I2e37603b098880b778100613800496b01167b22f,openstack/openstack-zuul-jobs,openstack/tempest
I05f4989b0f14d56d3c33f91b3cccb85b729987cb,I540267b22756ba64763ee2cb8f78720b7e22e7ac,openstack/tripleo-upgrade,openstack/tripleo-common
Ia2b18f88652f144d5b593c5d209a9acf2d0374c8,Iebba70821f7aec02dc97477f49148064da9aa743,openstack/tripleo-ci,openstack/ansible-role-collect-logs
Ib001e2b4d1347754c2b46730bc10d86e8cdab7ad,Ib04e49dac9fdabd81809ca389553ce3638bb9bbf,openstack/os-brick,openstack/cinder
Id242a20b7f1193ca2d9a0d7508e12f0f68cfc018,I2072e07b8ab77b8fe435402cda7b02d7c2d261b5,openstack/tripleo-common,openstack/tripleo-heat-templates
I63fa6b0699450d9a4439d31db190d1d01cbc71d5,I0f0e3634490e71d979cfa32589cd4200767e09a2,openstack/tripleo-ci,openstack/tripleo-heat-templates
I9c30cf332a419946516cba776b8a3ecdb3cbd3c2,I83621804da9f70832c8662ba6d2f1122e94ad37b,openstack/tempest,openstack/nova
If337a91abeb3727bc6649e36608c42d7bc48ce6a,I4896f1508e34785864c260e64484ae0138100ef4,openstack/requirements,openstack/barbican
I6161a8b387812808c4d679f882a3193c93235647,I714bcb81d9446f14c909707f09eda44f60c651c1,openstack/neutron,openstack/networking-midonet
I0255c6acce72a8376dbc6d8f8d0314a7dabf019c,I2c8489ff1068e6471ae13272f555ce52237c0c6e,openstack/devstack,openstack/networking-midonet
I27fdd7dfffeb15965b66dbb3f6b1568c11ff9ad4,I7e05dcb343c932cc7fec8d395919053d0a1801ce,openstack/manila-tempest-plugin,openstack/manila
