index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
67,635476,635779,cloudkitty-specs,cloudkitty,True,Depends-On,Add configuration,Add config file that allows cloudkitty to handle variables from different data source + add its implementation in other project + tests
68,776341,776344,charm-ceph-radosgw,charm-cinder-backup,True,Change-Id,Add configuration,"Add new config file to both projects as preparation to migrate Ubuntu OpenStack CI from ""jenkins"" to ""zuul"""
69,536489,536567,diskimage-builder,python-tripleoclient,True,Related-Bug,Remove configuration,"Remove job config values (tripleo-ci-centos-7-ovb-ha-oooq, tripleo-ovb-check and tripleo-ovb-experiemental) from the zuul file in both projects."
70,779389,779395,openstack-chef,cookbook-openstack-image,True,Depends-On,Upgrade library,"Major upgrade of an Chef Workstation related to ""openstack-chef"" project  from ""20.9.158"" to ""21.2.303"" and update the docs in the 2nd project."
71,724825,728001,neutron,networking-ovn,False,Change-Id,Code enhancements,"Fix a bug to adding control statements (if conditions, exceptions) and populating params"
72,288128,288129,releases,requirements,True,Depends-On,Upgrade library,"Minor upgrade of an OpenStack project ("" python-manilaclient"") from 1.7.0 to 1.8.0 in ""requirement"" repo and add 1.8.0 releate in ""releases"" repo"
73,690755,691015,openstacksdk,python-senlinclient,True,Depends-On,New features,Add a new data model field and employ it across multiple files (production and test code) in both projects
74,491362,491364,puppet-sahara,puppet-openstack-integration,True,Depends-On,Remove configuration,"Remove a deprecated config parameter (""rpc_backend"") from both projects"
75,829428,831540,tripleo-heat-templates,tripleo-ansible,True,Depends-On,Unknown,Unknown
76,117182,128405,solum-specs,solum,True,Change-Id,Remove library,"Remove a library (""docutils"") from both projects because it is implemented in a new release of ""sphinx"" library."
77,674243,675023,nova,python-novaclient,True,Depends-On,New features,"Add two new fields to data model (``user_id`` and ``project_id``), adjust them in production and test code such as exposing them via APIs as dynamic parameters, and make the use of this feature in the second project (production and test file changed as well)"
78,685335,687320,puppet-ironic,python-tripleoclient,True,Depends-On,Add configurable parameter,"Fix a network bug by adding a new parameter (""mtu"") and use it in the 2nd project"
79,802537,802544,tripleo-ci,tripleo-heat-templates,True,Depends-On,Renaming,Rename a config option from tripleo-upgrades-victoria-pipeline to tripleo-periodic-upgrades-victoria-pipeline and declare it in the 2nd project
80,516519,519930,puppet-openstack-integration,puppet-ceilometer,True,Depends-On,Add configuration,"Add a new configuration job (""puppet-openstack-unit-base"") and make use of it in the 2nd project"
81,271980,271983,project-config,requirements,True,Depends-On,Add configuration,"Add ""tacker-horizon"" project in requirements repo, and integrate a job (""name=check-requirements"") for it in the 2nd project"
82,633246,634443,tripleo-heat-templates,puppet-tripleo,True,Related-Bug,Code enhancements,Fixing a bug by creating a script and its corresponding cmd execution across the two projects
83,731859,731869,cookbook-openstack-identity,cookbook-openstack-bare-metal,True,Depends-On,Upgrade library,Upgrade new libraries' versions ('openstack-common': from '>= 19.0.0' to '>= 20.0.0' and 'apache2': from '~> 8.0' to '~> 8.1') as a preparation for the next release
84,238444,238459,fuel-menu,fuel-main,True,Related-Bug,Remove library,"a package was moved to a separate project (""fuel-web/fuelmenu"") which caused the second project to remove its decalartions"
85,831547,841580,tripleo-ansible,tripleo-heat-templates,True,Related-Bug,Add configuration,Add a large amount of config options to define new firewall rules and make use of them in the other project
86,98898,105521,ceilometer,nova,False,Related-Bug,Code enhancements,Fix a bug by modifying source code to specify a correct address
87,535458,537447,tripleo-quickstart,tripleo-quickstart-extras,True,Depends-On,Add configuration,Create new config file which was imported in the second project
88,619508,620303,tripleo-ci,tripleo-common,True,Depends-On,Renaming,"Rename a zuul job (""tripleo-ci-centos-7-scenario001-standalone"") and employ it in the other project"
89,529772,530250,puppet-qdr,puppet-openstack-integration,True,Depends-On,Add configuration,"Implement a new zuul job (""puppet-openstack-beaker-jobs"") in a config file and employ it in the other project"
90,804416,805978,ironic,python-ironicclient,True,Depends-On,New features,Add a new fields (``fields``) and expose them via APIs
91,764527,764539,searchlight-specs,openstack-manuals,True,Needed-By,Remove library,"Add the retired ""searchlight-spec"" project and remove all its related source code files from repository"
92,558278,558574,charm-cinder-backup,charm-ceph-osd,True,Related-Bug,Code enhancements,"Remove a no-longer supported flag (""--allow-unverified"") in tox.ini (""config file"") as of pip v10.0 in both projects"
93,838051,843709,devstack,designate,True,Depends-On,Unknown,Unknown
