index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
190,536577,537263,os-collect-config,tripleo-heat-templates,False,,,
191,813192,815199,tripleo-ansible,tripleo-heat-templates,True,,,
192,513106,513797,openstack-ansible-memcached_server,openstack-ansible-tests,True,,,
193,776971,777002,tripleo-common,tripleo-heat-templates,True,,,
194,675561,675600,tosca-parser,tacker,True,,,
195,22711,22771,nova,neutron,True,,,
196,117164,117171,qa-specs,governance,True,,,
197,814057,814059,cookbook-openstack-network,cookbook-openstack-dns,True,,,
198,782770,827148,puppet-tripleo,tripleo-ansible,False,,,
199,777228,786233,tripleo-common,tripleo-ansible,False,,,
200,701523,701561,paunch,tripleo-heat-templates,True,,,
201,378724,386248,puppet-openstack-cookiecutter,puppet-tacker,True,,,
202,432864,435143,tripleo-heat-templates,puppet-nova,False,,,
203,349341,364472,neutron-fwaas,neutron-lbaas,False,,,
204,351052,351576,puppet-tripleo,instack-undercloud,True,,,
205,682943,688201,python-tripleoclient,tripleo-common,False,,,
206,530250,530367,puppet-openstack-integration,puppet-barbican,True,,,
207,611893,611896,project-config,governance,True,,,
208,699879,699880,tripleo-common,tripleo-heat-templates,True,,,
209,558850,559311,tripleo-upgrade,python-tripleoclient,True,,,
210,536461,536575,tripleo-ci,os-collect-config,True,,,
211,448565,449383,releases,openstack-manuals,False,,,
212,577660,577664,shade,openstacksdk,True,,,
213,643625,643887,horizon,designate-dashboard,False,,,
214,280267,281920,ironic,devstack,True,,,
215,815468,815470,openstack-ansible-os_heat,openstack-ansible-os_tempest,True,,,
216,558275,558300,charm-ceph-proxy,charm-openvswitch-odl,True,,,
217,185640,607510,heat,puppet-tripleo,False,,,
218,524962,525552,openstack-ansible-openstack_hosts,openstack-ansible-os_heat,True,,,
219,812334,812339,neutron,networking-ovn,True,,,
220,152156,161302,keystone,python-openstackclient,True,,,
221,315142,315168,fuel-web,python-fuelclient,True,,,
222,358792,361779,murano,murano-dashboard,True,,,
223,776358,776359,charm-keystone-kerberos,charm-keystone-ldap,True,,,
224,121303,121308,nova-specs,python-cinderclient,True,,,
225,501204,506957,puppet-tripleo,tripleo-heat-templates,True,,,
226,756245,759365,puppet-neutron,neutron,False,,,
227,437671,440337,murano-dashboard,python-tripleoclient,False,,,
228,606035,629786,kayobe,kayobe-config-dev,True,,,
229,833995,834055,ovn-octavia-provider,networking-ovn,True,,,
230,529143,531455,neutron,networking-ovn,True,,,
231,826986,826989,octavia-dashboard,ironic-ui,True,,,
232,739659,739891,openstack-helm-infra,openstack-helm,True,,,
233,206672,206675,heat,keystone,True,,,
