Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/cinder-tempest-plugin' 'openstack/ceilometer'
 'openstack/designate' 'openstack/manila' 'openstack/kuryr-kubernetes'
 'openstack/keystone' 'openstack/devstack-plugin-ceph' 'openstack/cinder'
 'openstack/grenade' 'openstack/cyborg-tempest-plugin' 'openstack/octavia'
 'openstack/networking-bgpvpn' 'openstack/manila-tempest-plugin'
 'openstack/requirements' 'openstack/cliff' 'openstack/storlets'
 'openstack/horizon' 'openstack/tripleo-quickstart'
 'openstack/project-config' 'openstack/ovn-octavia-provider'
 'openstack/ironic' 'openstack/octavia-tempest-plugin'
 'openstack/python-manilaclient' 'openstack/ironic-python-agent'
 'openstack/metalsmith' 'openstack/openstacksdk' 'openstack/masakari'
 'openstack/swift' 'openstack/diskimage-builder' 'openstack/magnum'
 'openstack/devstack-gate' 'openstack/glance_store'
 'openstack/python-cinderclient' 'openstack/barbican'
 'openstack/keystoneauth' 'openstack/python-novaclient' 'openstack/shade'
 'openstack/python-openstackclient' 'openstack/cinderlib'
 'openstack/freezer-tempest-plugin' 'openstack/sahara-tests'
 'openstack/python-senlinclient' 'openstack/python-muranoclient'
 'openstack/python-heatclient' 'openstack/keystonemiddleware'
 'openstack/heat-tempest-plugin' 'openstack/openstack-zuul-jobs'
 'openstack/solum' 'openstack/networking-ovn' 'openstack/neutron-fwaas'
 'openstack/watcher' 'openstack/networking-baremetal'
 'openstack/networking-odl' 'openstack/sahara' 'openstack/vitrage'
 'openstack/patrole' 'openstack/heat' 'openstack/tacker'
 'openstack/os-brick' 'openstack/kolla' 'openstack/zun'
 'openstack/python-keystoneclient' 'openstack/tripleo-quickstart-extras'
 'openstack/murano' 'openstack/tripleo-ci' 'openstack/oslo.service'
 'openstack/oslo.messaging' 'openstack/oslo.config'
 'openstack/devstack-plugin-kafka' 'openstack/devstack-plugin-amqp1'
 'openstack/python-brick-cinderclient-ext' 'openstack/nova-powervm'
 'openstack/placement' 'openstack/neutron-lib'
 'openstack/kuryr-tempest-plugin' 'openstack/python-glanceclient'
 'openstack/rally' 'openstack/ironic-inspector' 'openstack/osc-placement'
 'openstack/mistral' 'openstack/tap-as-a-service'
 'openstack/neutron-lbaas' 'openstack/neutron-vpnaas'
 'openstack/manila-ui' 'openstack/castellan' 'openstack/oslo.cache'
 'openstack/karbor' 'openstack/neutron-dynamic-routing'
 'openstack/gnocchi' 'openstack/trove' 'openstack/networking-l2gw'
 'openstack/os-vif' 'openstack/networking-generic-switch'
 'openstack/osprofiler' 'openstack/ec2-api' 'openstack/glance-specs'
 'openstack/api-site' 'openstack/oslo.privsep' 'openstack/oslo.reports'
 'openstack/oslo.utils' 'openstack/oslo.versionedobjects'
 'openstack/taskflow' 'openstack/trove-integration']"
"['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'
 'openstack/tripleo-quickstart' 'openstack/tripleo-common'
 'openstack/networking-ovn' 'openstack/tripleo-quickstart-extras'
 'openstack/python-tripleoclient' 'openstack/puppet-tripleo'
 'openstack/neutron' 'openstack/tripleo-ci'
 'openstack/tripleo-puppet-elements' 'openstack/pbr'
 'openstack/tripleo-upgrade' 'openstack/tripleo-docs'
 'openstack/puppet-designate' 'openstack/openstack-tempest-skiplist'
 'openstack/ansible-role-redhat-subscription'
 'openstack/tripleo-operator-ansible' 'openstack/puppet-octavia'
 'openstack/tripleo-validations' 'openstack/puppet-keystone'
 'openstack/paunch' 'openstack/mistral'
 'openstack/ansible-role-container-registry'
 'openstack/instack-undercloud' 'openstack/project-config'
 'openstack/puppet-ceph' 'openstack/tripleo-ui' 'openstack/puppet-neutron'
 'openstack/puppet-nova' 'openstack/puppet-pacemaker'
 'openstack/os-cloud-config' 'openstack/tripleo-image-elements'
 'openstack/tripleo-incubator']"
"['openstack/openstack-helm-infra' 'openstack/openstack-helm'
 'openstack/openstack-helm-images' 'openstack/openstack-helm-addons'
 'openstack/openstack-zuul-jobs']"
"['openstack/cinder-tempest-plugin' 'openstack/cinder' 'openstack/tempest'
 'openstack/devstack' 'openstack/os-brick' 'openstack/nova'
 'openstack/openstack-ansible-os_cinder']"
"['openstack/openstack-zuul-jobs' 'openstack/tempest' 'openstack/horizon'
 'openstack/cliff' 'openstack/ldappool' 'openstack/project-config'
 'openstack/heat-translator' 'openstack/validations-common'
 'openstack/glance' 'openstack/neutron' 'openstack/os-resource-classes'
 'openstack/taskflow' 'openstack/os-testr' 'openstack/yaql'
 'openstack/os-service-types' 'openstack/oslotest'
 'openstack/openstack-doc-tools' 'openstack/tooz'
 'openstack/sphinx-feature-classification' 'openstack/openstackclient'
 'openstack/os-traits' 'openstack/debtcollector'
 'openstack/oslo.concurrency' 'openstack/osprofiler'
 'openstack/oslo.reports' 'openstack/oslo.log' 'openstack/futurist'
 'openstack/oslo.i18n' 'openstack/whereto' 'openstack/os-api-ref'
 'openstack/os-client-config' 'openstack/oslo.rootwrap' 'openstack/shade'
 'openstack/reno' 'openstack/hacking' 'openstack/tripleo-ci'
 'openstack/nova' 'openstack/charm-cinder'
 'openstack/python-tripleoclient' 'openstack/osc-placement'
 'openstack/eslint-config-openstack' 'openstack/heat'
 'openstack/python-swiftclient' 'openstack/placement' 'openstack/devstack'
 'openstack/heat-tempest-plugin' 'openstack/python-barbicanclient'
 'openstack/magnum' 'openstack/networking-ovn' 'openstack/qinling'
 'openstack/python-masakariclient' 'openstack/manila'
 'openstack/charm-ceph-osd' 'openstack/charm-barbican'
 'openstack/charm-heat' 'openstack/reviewstats' 'openstack/keystone'
 'openstack/diskimage-builder' 'openstack/requirements'
 'openstack/networking-bgpvpn' 'openstack/zun-ui' 'openstack/releases'
 'openstack/neutron-vpnaas' 'openstack/manila-tempest-plugin'
 'openstack/networking-bagpipe' 'openstack/networking-odl'
 'openstack/manila-ui' 'openstack/cinder' 'openstack/freezer-api'
 'openstack/i18n' 'openstack/charm-ceph-mon' 'openstack/js-openstack-lib'
 'openstack/sahara' 'openstack/pbr' 'openstack/tripleo-common'
 'openstack/tripleo-quickstart' 'openstack/trove' 'openstack/murano'
 'openstack/designate' 'openstack/neutron-lib'
 'openstack/sahara-plugin-vanilla' 'openstack/sahara-plugin-storm'
 'openstack/sahara-plugin-mapr' 'openstack/sahara-plugin-spark'
 'openstack/sahara-plugin-ambari' 'openstack/sahara-plugin-cdh'
 'openstack/ceilometer' 'openstack/ironic' 'openstack/networking-midonet'
 'openstack/watcher' 'openstack/tricircle' 'openstack/neutron-fwaas'
 'openstack/masakari' 'openstack/oslo.limit' 'openstack/os-brick'
 'openstack/kuryr-libnetwork' 'openstack/vitrage'
