Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/python-ceilometerclient' 'openstack/debtcollector'
 'openstack/oslo.i18n']"
"['openstack/neutron' 'openstack/networking-midonet'
 'openstack/neutron-vpnaas' 'openstack/tempest' 'openstack/nova'
 'openstack/neutron-dynamic-routing' 'openstack/neutron-lib'
 'openstack/networking-bgpvpn' 'openstack/kuryr-tempest-plugin'
 'openstack/neutron-tempest-plugin' 'openstack/puppet-neutron'
 'openstack/devstack' 'openstack/kuryr-kubernetes'
 'openstack/python-openstackclient' 'openstack/requirements'
 'openstack/openstacksdk' 'openstack/networking-baremetal'
 'openstack/tripleo-heat-templates' 'openstack/networking-ovn'
 'openstack/horizon' 'openstack/kolla-ansible' 'openstack/oslo.policy'
 'openstack/networking-odl' 'openstack/project-config' 'openstack/os-vif'
 'openstack/tripleo-validations' 'openstack/networking-bagpipe'
 'openstack/ovn-octavia-provider' 'openstack/ovsdbapp'
 'openstack/tap-as-a-service' 'openstack/dragonflow'
 'openstack/neutron-fwaas' 'openstack/tripleo-quickstart-extras'
 'openstack/rpm-packaging' 'openstack/patrole' 'openstack/heat'
 'openstack/networking-sfc' 'openstack/python-neutronclient'
 'openstack/rally-openstack' 'openstack/networking-l2gw'
 'openstack/neutron-lbaas' 'openstack/ironic' 'openstack/nova-specs'
 'openstack/openstack-manuals' 'openstack/kuryr-libnetwork'
 'openstack/zun' 'openstack/congress' 'openstack/ceilometer'
 'openstack/octavia' 'openstack/heat-tempest-plugin' 'openstack/manila'
 'openstack/sahara' 'openstack/designate' 'openstack/openstack-ansible'
 'openstack/tricircle' 'openstack/openstack-zuul-jobs' 'openstack/rally'
 'openstack/devstack-gate' 'openstack/tripleo-docs' 'openstack/senlin'
 'openstack/openstackdocstheme' 'openstack/tripleo-quickstart'
 'openstack/tripleo-ci' 'openstack/networking-hyperv' 'openstack/shade'
 'openstack/openstack-ansible-os_neutron' 'openstack/neutron-specs'
 'openstack/api-site' 'openstack/magnum' 'openstack/networking-ofagent'
 'openstack/governance' 'openstack/diskimage-builder'
 'openstack/ironic-python-agent' 'openstack/ec2-api'
 'openstack/oslo.messaging']"
"['openstack/manila-tempest-plugin' 'openstack/manila'
 'openstack/tripleo-quickstart' 'openstack/tempest']"
"['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-docs'
 'openstack/tripleo-validations' 'openstack/tripleo-operator-ansible'
 'openstack/tripleo-ci' 'openstack/python-tripleoclient'
 'openstack/tripleo-quickstart' 'openstack/puppet-tripleo'
 'openstack/tripleo-common' 'openstack/tripleo-upgrade' 'openstack/paunch'
 'openstack/project-config']"
"['openstack/ansible-collection-kolla' 'openstack/kolla-ansible'
 'openstack/kayobe' 'openstack/releases']"
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ansible'
 'openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci' 'openstack/tripleo-common'
 'openstack/ansible-collections-openstack'
 'openstack/neutron-tempest-plugin' 'openstack/heat-tempest-plugin'
 'openstack/validations-libs' 'openstack/validations-common'
 'openstack/python-tripleoclient' 'openstack/tripleo-validations'
 'openstack/openstack-tempest-skiplist' 'openstack/tripleo-repos'
 'openstack/ansible-role-collect-logs'
 'openstack/tripleo-operator-ansible' 'openstack/puppet-tripleo'
 'openstack/puppet-nova' 'openstack/ansible-role-tripleo-modify-image'
 'openstack/tripleo-upgrade' 'openstack/puppet-horizon'
 'openstack/tempest-tripleo-ui' 'openstack/puppet-neutron'
 'openstack/puppet-swift' 'openstack/puppet-cinder' 'openstack/heat'
 'openstack/project-config' 'openstack/instack-undercloud']"
"['openstack/neutron-tempest-plugin' 'openstack/neutron-vpnaas'
 'openstack/neutron' 'openstack/designate'
 'openstack/neutron-dynamic-routing' 'openstack/designate-tempest-plugin'
 'openstack/networking-bgpvpn' 'openstack/networking-bagpipe'
 'openstack/networking-sfc' 'openstack/networking-midonet'
 'openstack/neutron-fwaas' 'openstack/networking-ovn'
 'openstack/project-config' 'openstack/kolla' 'openstack/patrole'
 'openstack/devstack-gate' 'openstack/tempest']"
"['openstack/octavia' 'openstack/octavia-tempest-plugin'
 'openstack/openstacksdk' 'openstack/tripleo-heat-templates'
 'openstack/python-octaviaclient' 'openstack/puppet-octavia'
 'openstack/requirements' 'openstack/octavia-dashboard'
 'openstack/diskimage-builder' 'openstack/project-config'
 'openstack/kuryr-kubernetes' 'openstack/octavia-lib' 'openstack/heat'
 'openstack/neutron-lbaas' 'openstack/openstack-ansible'
 'openstack/governance']"
"['openstack/puppet-tripleo' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci' 'openstack/tripleo-ansible'
 'openstack/openstack-tempest-skiplist' 'openstack/releases'
 'openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/puppet-pacemaker' 'openstack/tripleo-quickstart-extras'
 'openstack/paunch' 'openstack/puppet-octavia'
 'openstack/tripleo-quickstart' 'openstack/puppet-nova'
 'openstack/instack-undercloud' 'openstack/project-config'
 'openstack/tripleo-image-elements' 'openstack/puppet-glance'
 'openstack/diskimage-builder' 'openstack/os-cloud-config']"
"['openstack/openstacksdk' 'openstack/python-openstackclient'
 'openstack/ansible-collections-openstack' 'openstack/project-config'
 'openstack/nova' 'openstack/octavia-dashboard'
 'openstack/openstack-ansible-plugins' 'openstack/devstack'
 'openstack/heat' 'openstack/cyborg' 'openstack/osc-lib'
 'openstack/ironic' 'openstack/senlin' 'openstack/neutron'
 'openstack/python-senlinclient' 'openstack/keystoneauth'
 'openstack/diskimage-builder' 'openstack/metalsmith' 'openstack/releases'
 'openstack/requirements' 'openstack/shade' 'openstack/bifrost'
 'openstack/os-client-config']"
"['openstack/kolla' 'openstack/kolla-ansible' 'openstack/bifrost'
 'openstack/tripleo-common' 'openstack/tripleo-ci'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-heat-templates'
 'openstack/kolla-kubernetes' 'openstack/requirements'
 'openstack/puppet-tripleo' 'openstack/project-config']"
"['openstack/project-config' 'openstack/governance'
 'openstack/openstack-ansible-rsyslog_server'
 'openstack/openstack-ansible-rsyslog_client' 'openstack/ec2-api'
 'openstack/oslo.concurrency' 'openstack/openstack-zuul-jobs'
 'openstack/ansible-config_template' 'openstack/neutron'
 'openstack/security-analysis' 'openstack/os-testr'
 'openstack/openstack-ansible' 'openstack/skyline-console'
 'openstack/tripleo-ci' 'openstack/openstack-manuals'
 'openstack/training-labs' 'openstack/releases' 'openstack/pyeclib'
 'openstack/tripleo-ansible' 'openstack/nova' 'openstack/devstack'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-nspawn_container_create'
 'openstack/openstack-ansible-nspawn_hosts' 'openstack/devstack-gate'
 'openstack/monasca-log-api' 'openstack/swift' 'openstack/tempest-horizon'
 'openstack/karbor' 'openstack/karbor-dashboard'
 'openstack/python-karborclient'
 'openstack/openstack-ansible-galera_client' 'openstack/qinling-dashboard'
 'openstack/python-qinlingclient' 'openstack/qinling'
 'openstack/searchlight-specs' 'openstack/searchlight-ui'
 'openstack/python-searchlightclient' 'openstack/searchlight'
 'openstack/monasca-analytics' 'openstack/os-loganalyze'
 'openstack/monasca-transform' 'openstack/devstack-plugin-zmq'
 'openstack/devstack-plugin-pika' 'openstack/kolla-cli' 'openstack/pbr'
 'openstack/openstack-ansible-os_congress' 'openstack/networking-onos'
 'openstack/solum-infra-guestagent' 'openstack/openstack-ux'
 'openstack/networking-l2gw' 'openstack/dragonflow'
 'openstack/puppet-congress' 'openstack/requirements'
 'openstack/python-tricircleclient' 'openstack/tricircle'
 'openstack/murano-apps' 'openstack/swift-specs'
 'openstack/networking-ovn' 'openstack/i18n-specs'
 'openstack/openstack-ansible-pip_install'
 'openstack/openstack-ansible-repo_build' 'openstack/faafo'
 'openstack/service-types-authority' 'openstack/ideas'
 'openstack/ironic-python-agent-builder' 'openstack/election'
 'openstack/js-openstack-lib' 'openstack/fuel-devops'
 'openstack/fuel-dev-tools' 'openstack/fuel-stats'
 'openstack/fuel-nailgun-extension-converted-serializers'
 'openstack/fuel-nailgun-extension-iac'
 'openstack/fuel-plugin-murano-tests' 'openstack/fuel-plugin-murano'
 'openstack/fuel-qa' 'openstack/fuel-menu' 'openstack/fuel-ui'
 'openstack/fuel-nailgun-agent' 'openstack/fuel-main'
 'openstack/fuel-astute' 'openstack/fuel-library' 'openstack/fuel-mirror'
 'openstack/fuel-virtualbox' 'openstack/fuel-ostf'
 'openstack/fuel-plugins' 'openstack/fuel-agent' 'openstack/fuel-docs'
 'openstack/fuel-nailgun-extension-cluster-upgrade' 'openstack/fuel-web'
 'openstack/fuel-specs' 'openstack/fuel-octane' 'openstack/tuning-box'
 'openstack/python-fuelclient' 'openstack/kolla'
 'openstack/charm-neutron-api-genericswitch' 'openstack/os-acc'
 'openstack/kayobe' 'openstack/kayobe-config'
 'openstack/kayobe-config-dev' 'openstack/governance-sigs'
 'openstack/adjutant' 'openstack/ossa' 'openstack/project-team-guide'
 'openstack/contributor-guide' 'openstack/tenks' 'openstack/arch-design'
 'openstack/ha-guide' 'openstack/operations-guide'
 'openstack/security-doc' 'openstack/training-guides' 'openstack/api-site'
 'openstack/puppet-crane' 'openstack/tempest-tripleo-ui'
 'openstack/docs-specs' 'openstack/tripleo-ui'
 'openstack-infra/opendev-website' 'openstack/neutron-lbaas-dashboard'
 'openstack/neutron-lbaas' 'openstack/barbican' 'openstack/oslosphinx'
 'openstack/heat-templates' 'openstack/openstack-ansible-os_monasca-ui'
 'openstack/release-test' 'openstack/fuxi-golang'
 'openstack/fuxi-kubernetes' 'openstack/fuxi' 'openstack/ironic-inspector'
 'openstack/eslint-config-openstack' 'openstack/openstack-chef-repo'
 'openstack-infra/puppet-odsreg' 'openstack/releasestatus'
 'openstack-infra/puppet-docker_registry' 'openstack-infra/vinz-webclient'
 'openstack/activity-board' 'openstack-infra/beaker-localhost'
 'openstack-infra/beaker-nodepool' 'openstack/zuul-packaging'
 'openstack/oslo.messaging' 'openstack/rst2bash' 'openstack/monasca-api'
 'openstack/devstack-plugin-kafka' 'openstack/pymod2pkg'
 'openstack/octavia' 'openstack/sahara-extra' 'openstack/reno'
 'openstack/whereto' 'openstack/shade' 'openstack/release-tools'
 'openstack/tripleo-docs' 'openstack/kolla-kubernetes'
 'openstack/devstack-plugin-ceph' 'openstack/oslo.service'
 'openstack/magnum-ui' 'openstack/tripleo-incubator'
 'openstack/trove-dashboard' 'openstack/openstack-ansible-tests'
 'openstack/monasca-ui' 'openstack/senlin'
 'openstack/python-openstackclient' 'openstack/watcher-dashboard'
 'openstack/murano-dashboard' 'openstack/solum-dashboard'
 'openstack/zaqar-ui' 'openstack/zun-ui' 'openstack/senlin-dashboard'
 'openstack/cue-dashboard' 'openstack/python-cueclient' 'openstack/cue'
 'openstack/ironic' 'openstack/horizon-cisco-ui'
 'openstack/python-ceilometerclient' 'openstack/ironic-tempest-plugin'
 'openstack/octavia-dashboard'
 'openstack/ansible-role-redhat-subscription' 'openstack/app-catalog'
 'openstack/app-catalog-common' 'openstack/app-catalog-ui'
 'openstack/python-appcatalogclient' 'openstack/magnum-tempest-plugin'
 'openstack/charm-ceph-mon' 'openstack/manila-tempest-plugin'
 'openstack/puppet-openstack-integration' 'openstack/sahara-dashboard'
 'openstack/monasca-events-api' 'openstack/ironic-specs'
 'openstack/neutron-vpnaas-dashboard' 'openstack/neutron-dynamic-routing'
 'openstack/tripleo-heat-templates' 'openstack/diskimage-builder'
 'openstack/magnum' 'openstack/openstack-ansible-security'
 'openstack/python-swiftclient' 'openstack/puppet-cinder'
 'openstack/puppet-ceph' 'openstack/ansible-hardening' 'openstack/solum'
 'openstack/patrole' 'openstack/heat' 'openstack/kuryr-kubernetes'
 'openstack/sushy' 'openstack/keystone' 'openstack/openstack-zuul-roles'
 'openstack/designate' 'openstack/python-barbicanclient'
 'openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/gnocchi' 'openstack/bifrost' 'openstack/tempest'
 'openstack/manila' 'openstack/mistral' 'openstack/trove' 'openstack/loci'
 'openstack/ceilometer' 'openstack/neutron-lib' 'openstack/mistral-extra'
 'openstack/zun' 'openstack/murano'
 'openstack/openstack-ansible-os_keystone' 'openstack/horizon'
 'openstack/fairy-slipper' 'openstack/networking-sfc'
 'openstack/rpm-packaging-tools' 'openstack/glance'
 'openstack/openstack-ansible-pip_lock_down'
 'openstack/django-openstack-auth-kerberos' 'openstack/kolla-ansible'
 'openstack/networking-odl' 'openstack/networking-midonet'
 'openstack/freezer-api' 'openstack/congress'
 'openstack/python-muranoclient' 'openstack/keystoneauth-saml2'
 'openstack/openstacksdk' 'openstack/heat-translator'
 'openstack/networking-bgpvpn' 'openstack/cinder'
 'openstack/neutron-vpnaas' 'openstack/aodh' 'openstack/neutron-fwaas'
 'openstack/rally' 'openstack/ironic-python-agent'
 'openstack/puppet-openstack-cookiecutter' 'openstack/networking-ofagent'
 'openstack/python-keystoneclient' 'openstack/keystonemiddleware'
 'openstack/django_openstack_auth' 'openstack/openstack-doc-tools'
 'openstack/sahara' 'openstack/openstackdocstheme'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-repo_server'
 'openstack/openstack-ansible-memcached_server'
 'openstack/openstack-ansible-apt_package_pinning'
 'openstack/python-novaclient' 'openstack/python-neutronclient'
 'openstack/oslo.privsep' 'openstack/futurist'
 'openstack/oslo.versionedobjects' 'openstack/taskflow'
 'openstack/automaton' 'openstack/tooz' 'openstack/grenade'
 'openstack/zaqar']"
"['openstack/designate' 'openstack/designate-tempest-plugin'
 'openstack/python-designateclient' 'openstack/requirements'
 'openstack/tempest' 'openstack/project-config' 'openstack/oslo.log'
 'openstack/shade' 'openstack/designate-dashboard']"
"['openstack/devstack-plugin-ceph' 'openstack/devstack' 'openstack/cinder'
 'openstack/glance' 'openstack/manila-tempest-plugin'
 'openstack/cinder-tempest-plugin' 'openstack/nova' 'openstack/tempest'
 'openstack/manila' 'openstack/project-config']"
"['openstack/python-barbicanclient' 'openstack/octavia'
 'openstack/castellan' 'openstack/barbican' 'openstack/heat']"
"['openstack/nova' 'openstack/tempest' 'openstack/python-novaclient'
 'openstack/devstack-plugin-nfs' 'openstack/tripleo-ci' 'openstack/os-vif'
 'openstack/requirements' 'openstack/whitebox-tempest-plugin'
 'openstack/puppet-nova' 'openstack/placement' 'openstack/devstack'
 'openstack/ironic' 'openstack/neutron' 'openstack/grenade'
 'openstack/python-tripleoclient' 'openstack/os-brick'
 'openstack/os-api-ref' 'openstack/tripleo-heat-templates'
 'openstack/python-openstackclient' 'openstack/glance' 'openstack/cinder'
 'openstack/devstack-plugin-ceph' 'openstack/designate'
 'openstack/compute-hyperv' 'openstack/octavia' 'openstack/tripleo-common'
 'openstack/openstack-zuul-jobs' 'openstack/patrole'
 'openstack/openstack-virtual-baremetal' 'openstack/heat'
 'openstack/tripleo-validations' 'openstack/ec2-api'
 'openstack/rpm-packaging' 'openstack/project-config' 'openstack/barbican'
 'openstack/oslo.service' 'openstack/os-traits' 'openstack/nova-specs'
 'openstack/tripleo-quickstart' 'openstack/releases'
 'openstack/nova-powervm' 'openstack/kolla' 'openstack/kolla-ansible'
 'openstack/oslo.log' 'openstack/openstack-helm'
 'openstack/ironic-inspector' 'openstack/ironic-tempest-plugin'
 'openstack/fuel-library' 'openstack/openstack-ansible-os_nova'
 'openstack/instack-undercloud' 'openstack/kolla-kubernetes'
 'openstack/tripleo-docs' 'openstack/tripleo-incubator'
 'openstack/barbican-tempest-plugin' 'openstack/tripleo-quickstart-extras'
 'openstack/murano' 'openstack/trove' 'openstack/rally'
 'openstack/python-cinderclient' 'openstack/openstack-manuals'
 'openstack/devstack-gate' 'openstack/oslo.config' 'openstack/ceilometer'
 'openstack/manila' 'openstack/networking-ovn'
 'openstack/python-ironicclient' 'openstack/tacker']"
"['openstack/tripleo-quickstart' 'openstack/tripleo-ci'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart-extras'
 'openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/tripleo-ansible' 'openstack/ansible-role-collect-logs'
 'openstack/tripleo-upgrade' 'openstack/tripleo-validations'
 'openstack/releases' 'openstack/ansible-role-tripleo-modify-image'
 'openstack/paunch' 'openstack/openstack-ansible-os_tempest'
 'openstack/instack-undercloud' 'openstack/puppet-tripleo'
 'openstack/mistral' 'openstack/tempest' 'openstack/heat'
 'openstack/tripleo-ipsec' 'openstack/networking-ovn'
 'openstack/project-config']"
['openstack/glance-tempest-plugin' 'openstack/glance']
"['openstack/puppet-ovn' 'openstack/tripleo-heat-templates'
 'openstack/puppet-tripleo' 'openstack/releases']"
"['openstack/puppet-nova' 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack-integration' 'openstack/puppet-tripleo'
 'openstack/tripleo-ansible' 'openstack/puppet-openstack_spec_helper'
 'openstack/tripleo-common' 'openstack/tripleo-quickstart-extras'
 'openstack/puppet-placement' 'openstack/instack-undercloud'
 'openstack/puppet-trove' 'openstack/tripleo-quickstart'
 'openstack/tripleo-ci' 'openstack/project-config' 'openstack/puppet-oslo'
 'openstack/python-tripleoclient' 'openstack/fuel-library'
 'openstack/puppet-openstack_extras' 'openstack/puppet-octavia'
 'openstack/puppet-keystone']"
"['openstack/governance' 'openstack/openstack-zuul-jobs'
 'openstack/project-config' 'openstack/requirements' 'openstack/election'
 'openstack/openstack-manuals' 'openstack/neutron-vpnaas'
 'openstack/governance-sigs' 'openstack/releases'
 'openstack/project-team-guide' 'openstack/openstacksdk'
 'openstack/openstack-ansible' 'openstack/ironic' 'openstack/horizon'
 'openstack/ossa']"
"['openstack/openstack-ansible' 'openstack/ansible-role-zookeeper'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_barbican' 'openstack/governance'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_masakari'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_murano'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-repo_server' 'openstack/ansible-role-pki'
 'openstack/openstack-ansible-os_cloudkitty'
 'openstack/ansible-role-systemd_mount'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-os_tempest' 'openstack/ansible-role-uwsgi'
 'openstack/ansible-role-systemd_service'
 'openstack/openstack-ansible-plugins' 'openstack/sahara'
 'openstack/openstack-ansible-haproxy_server'
 'openstack/ansible-role-systemd_networkd'
 'openstack/openstack-ansible-os_senlin'
 'openstack/openstack-ansible-os_trove' 'openstack/ansible-role-vault'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_blazar'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_placement'
 'openstack/openstack-ansible-ceph_client'
 'openstack/openstack-ansible-os_adjutant'
 'openstack/openstack-ansible-os_swift'
 'openstack/ansible-role-python_venv_build' 'openstack/ansible-hardening'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-os_congress'
 'openstack/openstack-ansible-galera_client' 'openstack/releases'
 'openstack/openstack-manuals' 'openstack/openstack-ansible-pip_install'
 'openstack/project-config']"
"['openstack/os-vif' 'openstack/nova' 'openstack/networking-ovn'
 'openstack/kolla' 'openstack/neutron' 'openstack/releases'
 'openstack/octavia']"
"['openstack/manila' 'openstack/manila-tempest-plugin'
 'openstack/python-manilaclient' 'openstack/requirements'
 'openstack/manila-ui' 'openstack/manila-image-elements'
 'openstack/devstack-plugin-ceph' 'openstack/osprofiler'
 'openstack/puppet-manila' 'openstack/openstack-zuul-jobs'
 'openstack/tempest' 'openstack/governance' 'openstack/project-config'
 'openstack/rally']"
"['openstack/ironic' 'openstack/bifrost' 'openstack/requirements'
 'openstack/ironic-tempest-plugin' 'openstack/ironic-python-agent'
 'openstack/ironic-lib' 'openstack/ironic-inspector' 'openstack/sushy'
 'openstack/python-ironicclient' 'openstack/ironic-python-agent-builder'
 'openstack/ironic-prometheus-exporter' 'openstack/ironic-ui'
 'openstack/sushy-tools' 'openstack/virtualbmc'
 'openstack/tripleo-ansible' 'openstack/puppet-ironic'
 'openstack/python-ironic-inspector-client'
 'openstack/networking-baremetal' 'openstack/grenade'
 'openstack/networking-generic-switch' 'openstack/metalsmith'
 'openstack/nova' 'openstack/devstack' 'openstack/neutron'
 'openstack/tripleo-heat-templates' 'openstack/puppet-neutron'
 'openstack/project-config' 'openstack/instack-undercloud'
 'openstack/tempest' 'openstack/python-novaclient']"
"['openstack/openstack-ansible-os_octavia' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-tests']"
"['openstack/openstack-ansible-os_barbican' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_magnum']"
"['openstack/openstack-ansible-os_ironic' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-tests']"
"['openstack/puppet-cinder' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack-integration' 'openstack/releases'
 'openstack/puppet-oslo' 'openstack/fuel-library'
 'openstack/puppet-keystone']"
"['openstack/openstack-tempest-skiplist' 'openstack/tripleo-quickstart'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci']"
"['openstack/releases' 'openstack/tempest' 'openstack/project-config'
 'openstack/election' 'openstack/openstack-manuals'
 'openstack/openstack-zuul-jobs' 'openstack/neutron-tempest-plugin'
 'openstack/barbican' 'openstack/requirements'
 'openstack/python-tripleoclient' 'openstack/openstack-ansible'
 'openstack/devstack-gate' 'openstack/kolla' 'openstack/rpm-packaging'
 'openstack/neutron' 'openstack/patrole' 'openstack/tripleo-ci'
 'openstack/project-team-guide' 'openstack/nova'
 'openstack/networking-ovn' 'openstack/puppet-openstack-guide'
 'openstack/keystone' 'openstack/ironic' 'openstack/networking-odl'
 'openstack/kuryr-kubernetes' 'openstack/heat'
 'openstack/puppet-openstack-integration' 'openstack/devstack'
 'openstack/mistral' 'openstack/sushy' 'openstack/release-tools'
 'openstack/shade' 'openstack/python-heatclient'
 'openstack/puppet-keystone' 'openstack/astara-appliance'
 'openstack/astara-horizon' 'openstack/astara' 'openstack/astara-neutron'
 'openstack/manila' 'openstack/mistral-dashboard' 'openstack/zaqar'
 'openstack/designate' 'openstack/designate-dashboard'
 'openstack/murano-dashboard' 'openstack/murano' 'openstack/murano-agent'
 'openstack/trove' 'openstack/neutron-lbaas' 'openstack/horizon'
 'openstack/sahara' 'openstack/neutron-vpnaas'
 'openstack/sahara-image-elements' 'openstack/sahara-extra'
 'openstack/neutron-fwaas' 'openstack/ceilometer'
 'openstack/python-novaclient' 'openstack/glance']"
"['openstack/ansible-role-systemd_service'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-plugins'
 'openstack/openstack-ansible-galera_server' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_cinder' 'openstack/openstack-ansible-ops']"
"['openstack/keystone' 'openstack/keystone-tempest-plugin'
 'openstack/ec2-api' 'openstack/glance-tempest-plugin'
 'openstack/python-keystoneclient' 'openstack/tempest'
 'openstack/oslo.policy' 'openstack/requirements' 'openstack/openstacksdk'
 'openstack/nova' 'openstack/tripleo-common' 'openstack/devstack'
 'openstack/keystoneauth' 'openstack/keystonemiddleware'
 'openstack/oslo.context' 'openstack/neutron' 'openstack/sahara'
 'openstack/patrole' 'openstack/releases' 'openstack/openstack-zuul-jobs'
 'openstack/project-config' 'openstack/tripleo-heat-templates'
 'openstack/openstack-ansible-os_keystone' 'openstack/grenade'
 'openstack/openstack-ansible' 'openstack/keystone-specs'
 'openstack/devstack-gate' 'openstack/python-openstackclient']"
"['openstack/glance_store' 'openstack/glance' 'openstack/bandit'
 'openstack/python-swiftclient' 'openstack/project-config'
 'openstack/devstack' 'openstack/openstack-manuals']"
"['openstack/devstack-plugin-nfs' 'openstack/glance' 'openstack/cinder'
 'openstack/project-config']"
"['openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-tests' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_magnum'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_congress'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_blazar'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_zun']"
"['openstack/cinder' 'openstack/tempest' 'openstack/devstack'
 'openstack/cinder-tempest-plugin' 'openstack/devstack-plugin-nfs'
 'openstack/python-cinderclient' 'openstack/manila' 'openstack/os-brick'
 'openstack/puppet-openstack-integration' 'openstack/openstack-manuals'
 'openstack/devstack-plugin-ceph' 'openstack/kolla' 'openstack/nova'
 'openstack/puppet-cinder' 'openstack/requirements'
 'openstack/tripleo-validations' 'openstack/cinderlib'
 'openstack/python-openstackclient' 'openstack/castellan'
 'openstack/rally-openstack' 'openstack/horizon' 'openstack/neutron'
 'openstack/patrole' 'openstack/openstack-zuul-jobs'
 'openstack/tripleo-ci' 'openstack/ec2-api' 'openstack/project-config'
 'openstack/barbican' 'openstack/oslo.service' 'openstack/murano'
 'openstack/openstack-ansible-os_cinder' 'openstack/devstack-gate'
 'openstack/api-site' 'openstack/glance' 'openstack/rally'
 'openstack/grenade' 'openstack/taskflow']"
"['openstack/oslo.log' 'openstack/neutron' 'openstack/oslo.privsep'
 'openstack/cinder' 'openstack/puppet-oslo'
 'openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/nova' 'openstack/oslo.context' 'openstack/ironic']"
"['openstack/oslo.privsep' 'openstack/neutron' 'openstack/requirements'
 'openstack/releases' 'openstack/os-brick']"
"['openstack/puppet-pacemaker' 'openstack/puppet-tripleo'
 'openstack/releases' 'openstack/tripleo-heat-templates'
