main_project,related_projects
freezer,"['freezer-tempest-plugin', 'freezer-web-ui', 'freezer', 'python-freezerclient', 'freezer-dr', 'freezer-specs', 'freezer-api']"
ecapi,"['ec2api-tempest-plugin', 'ec2-api']"
horizon,"['xstatic-angular', 'horizon', 'xstatic-magic-search', 'xstatic-bootstrap-datepicker', 'horizon-cisco-ui', 'xstatic-bootstrap-scss', 'xstatic-mdi', 'xstatic-hogan', 'xstatic-rickshaw', 'xstatic-angular-notify', 'xstatic-js-yaml', 'xstatic-angular-smart-table', 'django-openstack-auth-kerberos', 'salt-formula-horizon', 'xstatic-json2yaml', 'xstatic-roboto-fontface', 'deb-horizon', 'xstatic-jasmine', 'xstatic-font-awesome', 'astara-horizon', 'xstatic-jquery.tablesorter', 'xstatic-angular-material', 'xstatic-jquery.quicksearch', 'ui-cookiecutter', 'xstatic-bootswatch', 'django_openstack_auth', 'xstatic-angular-lrdragndrop', 'charm-horizon-k8s', 'xstatic-angular-vis', 'xstatic-angular-bootstrap', 'xstatic-jsencrypt', 'xstatic-angular-gettext', 'xstatic-jquery-migrate', 'xstatic-filesaver', 'xstatic-d3', 'xstatic-spin', 'xstatic-angular-uuid', 'tempest-horizon']"
skyline,"['skyline-console', 'skyline-apiserver']"
ceilometer,"['deb-python-ceilometermiddleware', 'deb-ceilometermiddleware', 'deb-ceilometer', 'deb-python-ceilometerclient', 'salt-formula-ceilometer', 'ceilometer']"
monasca,"['python-monascaclient', 'monasca-analytics', 'monasca-api', 'monasca-events-api', 'monasca-ceilometer', 'monasca-agent', 'deb-python-monascaclient', 'monasca-notification', 'monasca-thresh', 'monasca-kibana-plugin', 'monasca-transform', 'monasca-ui', 'monasca-grafana-datasource', 'monasca-specs', 'monasca-tempest-plugin', 'monasca-persister', 'monasca-log-api', 'monasca-statsd', 'monasca-common']"
watcher,"['watcher-specs', 'python-watcherclient', 'deb-watcher', 'watcher', 'deb-python-watcherclient', 'watcher-dashboard', 'watcher-tempest-plugin']"
vitrage,"['python-vitrageclient', 'xstatic-dagre-d3', 'xstatic-moment', 'vitrage-dashboard', 'xstatic-dagre', 'xstatic-graphlib', 'xstatic-moment-timezone', 'xstatic-lodash', 'vitrage-tempest-plugin', 'vitrage-specs', 'vitrage']"
adjutant,"['python-adjutantclient', 'adjutant-ui', 'adjutant']"
cloudkitty,"['cloudkitty-dashboard', 'python-cloudkittyclient', 'cloudkitty-specs', 'cloudkitty-tempest-plugin', 'cloudkitty']"
rally,"['deb-rally', 'rally', 'performance-docs', 'rally-openstack']"
tempest,"['deb-tempest', 'congress-tempest-plugin', 'networking-generic-switch-tempest-plugin', 'networking-l2gw-tempest-plugin', 'tempest-lib', 'tempest']"
patrole,['patrole']
storlets,['storlets']
kuryr,"['kuryr-libnetwork', 'kuryr', 'fuxi', 'kuryr-kubernetes', 'kuryr-tempest-plugin']"
tacker,"['tacker', 'python-tackerclient', 'deb-python-tackerclient', 'tacker-horizon', 'tacker-specs']"
openstackclient,"['openstackclient', 'deb-python-openstackclient']"
openstacksdk,"['openstacksdk', 'osc-lib', 'cliff', 'os-client-config', 'js-openstack-lib', 'os-service-types', 'requestsexceptions', 'shade', 'deb-python-openstacksdk', 'python-openstackclient']"
tripleo,"['ansible-role-tripleo-sensu', 'tripleo-specs', 'ansible-role-tripleo-rsyslog-sidecar', 'tripleo-docs', 'ansible-role-tripleo-modify-image', 'puppet-tripleo', 'ansible-role-tripleo-qdrouterd', 'ansible-role-container-registry', 'tripleo-ui', 'ansible-role-tripleo-ui', 'validations-libs', 'instack-undercloud', 'validations-common', 'ansible-role-tripleo-memcached', 'tripleo-ci', 'tripleo-quickstart', 'python-tripleoclient', 'tripleo-image-elements', 'tripleo-quickstart-extras', 'ansible-role-collect-logs', 'ansible-role-tripleo-gnocchi', 'ansible-role-tripleo-haproxy', 'tripleo-heat-templates', 'openstack-virtual-baremetal', 'tripleo-operator-ansible', 'tripleo-ha-utils', 'openstack-tempest-skiplist', 'paunch', 'os-cloud-config', 'ansible-role-tripleo-opendaylight', 'tripleo-common', 'tripleo-validations', 'tripleo-ipsec', 'ansible-role-tripleo-cookiecutter', 'ansible-role-tripleo-panko', 'ansible-role-tripleo-keepalived', 'ansible-role-chrony', 'ansible-role-tripleo-rabbitmq', 'ansible-role-tripleo-ovn', 'instack', 'puppet-pacemaker', 'tripleo-repos', 'ansible-role-redhat-subscription', 'tripleo-ansible', 'ansible-role-k8s-tripleo', 'ansible-role-openstack-operations', 'tripleo-ci-health-queries', 'tripleo-upgrade', 'dib-utils', 'os-net-config', 'tripleo-puppet-elements', 'tripleo-incubator']"
openstackhelm,"['openstack-helm-addons', 'openstack-helm-deployments', 'openstack-helm-images', 'openstack-helm-infra', 'openstack-helm-docs', 'openstack-helm']"
kayobe,"['kayobe', 'kayobe-config', 'kayobe-config-dev']"
openstackansible,"['ansible-config_template', 'openstack-ansible-lxc_container_create', 'openstack-ansible-ceph_client', 'openstack-ansible-memcached_server', 'openstack-ansible-rsyslog_server', 'openstack-ansible-repo_server', 'openstack-ansible-rabbitmq_server', 'openstack-ansible-nspawn_hosts', 'openstack-ansible-rsyslog_client', 'openstack-ansible-tests', 'openstack-ansible', 'openstack-ansible-os_panko', 'openstack-ansible-nspawn_container_create', 'openstack-ansible-os_molteniron', 'openstack-ansible-pip_install', 'openstack-ansible-repo_build', 'openstack-ansible-openstack_openrc', 'openstack-ansible-specs', 'openstack-ansible-lxc_hosts', 'openstack-ansible-pip_lock_down', 'openstack-ansible-os_gnocchi', 'openstack-ansible-os_almanach', 'openstack-ansible-os_searchlight', 'openstack-ansible-os_karbor', 'openstack-ansible-haproxy_server', 'openstack-ansible-os_congress', 'openstack-ansible-ops', 'openstack-ansible-plugins', 'openstack-ansible-galera_client', 'openstack-ansible-openstack_hosts', 'openstack-ansible-security', 'openstack-ansible-galera_server', 'openstack-ansible-apt_package_pinning']"
