Source,Target
865314,865315
803905,865335
860524,860525
861110,862492
862219,862492
862479,862492
865175,865206
859773,859774
864299,864576
835512,750782
860795,861110
861116,861110
865243,861890
859526,859401
864617,865164
865144,865145
865050,865052
865300,865302
865139,865141
865300,865301
865276,864226
859403,859435
674044,674132
670611,670633
483173,483174
697948,697748
857933,859241
865047,865048
864041,865156
864041,865155
864993,864920
864838,865150
863935,863590
860761,860767
864617,864185
847005,765353
847007,765353
865041,837780
865040,614484
858930,858931
841996,842005
865047,842005
865040,864673
848198,839066
812258,812260
865185,865186
863139,863142
863140,863142
864041,857857
865243,861804
865197,859142
861110,861572
861110,861571
660239,835175
861110,861635
862664,862985
656811,843285
862150,864421
864247,864248
864838,864994
830373,856610
826948,861687
864201,864250
863165,863166
863954,863958
863955,864067
863957,864068
826948,828464
864340,864341
861352,861364
864948,860795
862359,858369
855952,864308
865050,865053
865050,865057
865050,865051
865050,865054
865050,865056
864673,864595
865040,864595
861110,861609
864948,861609
829711,829713
864005,863944
864005,864865
863170,864180
864997,864005
864997,864844
861110,862189
863524,862189
861110,862183
826958,864964
861110,861471
861110,861053
861110,861467
861110,862799
860599,864464
738641,814055
864051,814055
864750,864752
860611,860631
864392,864409
859574,859577
859573,859577
861876,861880
804578,804589
864690,864500
864690,864474
861110,861325
851681,851682
831607,860087
855711,859877
864196,864197
864690,864499
864419,864424
864420,864424
864423,864424
843832,858351
825008,827925
825008,803424
862356,862359
863814,829711
831799,800964
759855,755775
861110,861140
862393,864371
863880,860639
861350,828120
864566,864571
864553,864419
843103,863977
763516,863977
862104,862377
853029,861790
863170,864239
863170,864237
862167,862171
860947,860948
863158,863161
830883,831018
855288,831018
861110,864384
864160,862416
864018,863315
864018,864209
864209,864195
864018,864195
863170,863171
836803,836823
824479,841513
849038,848668
831799,800541
863036,863041
816790,763414
863796,863797
770126,770127
789625,789626
847323,847010
850131,848208
860540,860549
862594,860549
809472,864031
829711,861363
829713,861363
863814,861363
863597,861363
809472,848720
855978,855982
733961,735430
853829,863796
855344,863796
735430,735431
814193,863925
814193,863926
863083,863101
810457,860812
863284,837053
735465,735434
863029,855711
780967,780970
740601,863783
854554,852652
863584,863585
790095,790076
793098,793058
711471,711474
844141,843497
857933,859240
861110,861369
861390,860863
861110,863532
857947,857976
787179,788233
863143,863145
863197,863039
861110,861320
862219,861320
862479,861320
862346,862347
857933,859239
857933,859238
861858,768162
863076,863079
863076,863077
861886,863076
863085,863087
863086,863087
863079,863086
863079,863085
855952,858057
861110,862810
861110,862805
861110,862803
861110,862812
861110,862816
861110,862820
861110,862814
861110,862797
853829,855458
855146,855458
853829,855524
854807,855524
343980,344671
862924,760647
843836,849602
862104,847966
843836,862771
843836,862770
840509,843836
862160,843836
861748,843836
852796,852688
861940,862132
862233,862104
750782,862757
860230,860229
861110,862809
861110,862811
861110,862806
861110,862801
861110,862802
861110,862798
854293,853749
853829,843356
854807,843356
859950,834220
854612,854557
862220,862470
857933,859237
857933,859236
862564,849522
842437,853733
817462,817459
852839,858493
852845,858493
859999,842437
862484,862487
849024,849844
861584,861758
861354,861758
861175,861758
862256,861758
852068,855837
861794,861858
861849,861858
853029,861729
862173,861849
853029,861788
861730,853029
862143,853029
862145,862260
862233,862234
862104,862234
861794,861855
861885,860959
802863,802864
861836,861511
835820,835034
858674,858675
861110,861366
840144,855842
839829,855841
857933,859235
854176,854178
861831,861794
861742,861744
861742,861730
860656,861620
851728,851766
861094,859721
854744,854759
860803,860804
861771,826925
861354,861589
861175,861589
861718,861589
861710,860691
851231,851244
861110,861158
861110,861136
861610,861100
861610,859110
825983,860432
841489,860895
845197,861051
841489,860898
841489,860899
841489,860897
841489,860896
861592,861593
828487,828275
828275,828276
861352,861353
854289,854059
856839,856840
861110,861319
860433,860187
861110,861208
840575,861201
841489,860894
841489,860893
861046,861044
855952,859112
850131,852435
841489,860901
841489,860900
825983,860433
860961,860963
860609,860610
861047,861048
843835,849604
843836,849604
842223,849604
843835,849405
840509,849405
854337,849405
842223,849405
776674,849405
853829,860656
854807,860656
816158,847792
810457,855876
860812,855876
860614,860615
735829,736100
860824,860815
860874,860876
842223,842224
849501,852172
854837,843730
858555,857506
860276,857506
860277,857506
860349,857506
860356,857506
860358,857506
845681,830741
857171,857182
812662,847176
839147,847176
856325,856326
726334,730370
860063,860064
859618,859442
854287,835384
859942,859937
860424,778396
860480,778396
859339,859337
756478,790447
756478,797144
756478,797291
756478,797316
858878,858882
859059,858882
850215,847499
858981,859054
832769,833090
860333,860334
860204,860332
845535,845536
726334,726335
858761,805938
802305,860251
802251,860252
802305,860249
859828,859784
859248,859249
857252,857253
860155,858938
858922,858938
858937,858938
842437,857464
858611,858612
843659,847030
857601,857600
859570,859400
851694,838605
852808,853282
857560,859422
853224,852808
853252,852808
853934,852808
856487,852808
857096,852808
857128,852808
837613,837616
834442,834443
859443,859444
840677,840674
840509,840510
859800,859867
859839,859844
859840,859844
859841,859844
855017,854985
853291,852878
853829,852878
854807,852878
853829,855563
855344,855563
847513,847514
859162,859231
853483,853484
797966,800022
853829,845197
854807,845197
857560,857554
853291,855550
853829,855550
855146,855550
814193,855576
843493,855576
857933,857807
859008,859012
843832,854312
677239,682526
539109,540319
858097,858138
858258,857897
747579,752754
859241,859171
858864,859072
858864,859071
858864,858508
851449,852675
852674,852675
852470,852675
852784,852675
852897,852675
855873,854568
854360,854568
855532,854568
856046,854568
857881,854568
847087,790535
847086,790535
858768,858889
857096,857128
858768,858888
854508,858705
854508,858701
854508,858702
854508,858700
854508,858704
854508,858699
854508,858706
852443,854275
842041,842044
856222,842044
852178,851904
854508,854560
856407,856408
857961,857960
852567,852563
852569,852563
858513,858328
858268,858512
726334,858525
852839,852844
852845,852844
858283,858284
848013,805884
857436,853503
812678,853007
851770,850165
854764,845815
854375,856903
857680,857315
852720,776674
857492,857493
855505,855506
848013,823719
842216,809004
829587,824998
856096,856120
855330,855331
853589,857607
839722,839725
849563,849564
831607,831844
856982,857550
856982,857546
856982,857549
856982,857548
856982,857547
856982,857544
856982,857545
855887,857499
855891,857499
857071,857077
854398,854315
852174,852122
854231,852122
853503,853947
853411,850158
853489,850158
857072,803780
856296,839715
854685,854688
643575,643577
643908,643577
857242,857243
856287,856286
820455,821707
831866,831864
827492,852368
815313,856998
850155,850156
849562,850156
848987,856540
660239,664462
855886,855897
826061,826141
829236,829242
829143,828922
826124,826297
843508,843537
843662,843537
853481,855485
854360,855485
816991,818078
819663,801385
818766,801385
811109,809687
835645,835646
836803,836818
836803,836820
836803,836819
849562,850155
855939,855787
855308,856016
855308,855449
855308,856013
855308,856022
855308,855476
855308,856021
855308,855448
850439,850594
850150,850148
847980,850148
833286,833812
854787,854810
840825,841067
855962,855973
855965,855973
855967,855973
855969,855973
855970,855973
855862,855973
854770,854191
853291,845199
830883,827163
840584,840565
853829,855459
855344,855459
853829,855466
855344,855466
853829,852644
855344,852644
800540,800685
789100,789134
779662,777195
762335,762336
827521,827492
853829,855463
855349,855463
853829,855557
855349,855557
853829,855270
855349,855270
853291,855551
853829,855551
855344,855551
839829,847865
840144,847867
816157,816158
835175,835176
855166,855190
660239,664473
850899,851893
844336,844507
749155,742905
854030,742905
825110,826928
855435,855440
853829,855465
855455,855465
853829,855140
855146,855140
853829,853668
854807,853668
853829,852850
855344,852850
853829,855461
855454,855461
853829,855462
855455,855462
853829,855460
855349,855460
853829,855464
855454,855464
804269,847821
831651,831902
853829,855526
855344,855526
853829,855525
855146,855525
853829,855337
855146,855337
853829,855260
854807,855260
853291,855141
853829,855141
855344,855141
831929,841322
850555,850715
804578,804579
840318,852608
848323,848194
