Source,Target
854959,854958
831507,841088
853291,852879
843295,843708
851449,852674
850538,847009
507078,464953
853306,850167
854973,854584
820668,820530
764292,769120
663542,715762
663549,715762
700799,715762
731973,715762
350919,356226
328280,336414
666616,680777
550221,548356
851837,851839
853794,853608
854144,853608
838167,838168
769385,770216
765781,770216
854614,854539
851002,851003
852608,852609
854614,854606
854614,854540
854021,854022
853368,835917
852694,835917
849587,835917
851612,851507
790670,778915
851555,778915
852651,854498
854250,853680
853607,853936
852734,852594
848311,848186
849806,854177
852897,852784
836064,836065
836059,836065
836065,843700
842822,842825
854021,853699
44455,849856
741801,741802
785218,741802
805613,805616
847788,851730
853211,853661
852531,852542
852532,852542
853652,853655
851001,851000
850994,851000
852580,853336
726497,726724
843269,851739
759878,760455
851889,851888
852731,852715
844574,844575
853261,837812
851193,851433
853167,852990
852733,852990
851757,851758
848178,848184
848284,848184
837105,835324
848282,848183
848758,851958
843346,846176
853204,853205
851612,851743
843618,843622
817459,817462
851954,851955
851758,842120
849520,849578
812678,812679
852460,852474
748158,748159
852531,852572
851951,851954
790447,802475
840712,840969
852531,852568
845812,840950
831929,841324
849227,851380
847668,846777
850350,851439
850477,851439
849227,851387
850477,850350
849227,851379
829236,829238
852039,852243
849501,852248
851597,851877
852068,828412
849501,852164
849227,851067
848452,844466
851450,851452
851909,849986
842034,843096
850415,850064
851342,851345
849996,849997
850760,850761
814174,813086
851597,851608
745605,748221
850233,847993
850478,847993
846123,847993
851516,851384
772273,851621
827145,827146
849133,851231
831507,831651
851838,851851
846838,846807
851612,851744
769385,770215
765781,770215
850656,770215
850306,849145
675103,722182
850943,851018
509655,618908
851500,851501
851549,851196
851516,851705
847762,845587
847766,845587
847788,845587
839216,768528
850307,850046
849876,849839
833847,851058
851233,851203
843870,844036
850233,849630
851066,851347
849690,849841
842070,825112
836070,836063
846070,839585
851002,850998
831842,833675
831842,833639
800753,803308
850307,850309
842432,842433
849881,849102
851001,850297
850994,850297
842070,825111
840316,850439
848284,850332
850507,850508
850398,850502
850308,850398
850233,848004
850480,848004
845617,845619
850664,850666
850229,850649
848284,828139
850629,850665
849807,850389
850301,850633
850336,846070
831929,788296
831929,841320
846391,846371
850233,848003
849574,849575
850233,849575
810364,810559
845729,846997
847844,846997
850233,849977
850233,847435
845998,848063
850033,850118
850233,849574
850233,848006
847999,848000
850233,849797
850342,850343
846145,846932
850233,846932
850233,849641
849501,849417
848284,850333
822138,846031
849807,849780
752677,840228
838907,838904
838508,838507
849717,850021
849517,849580
847419,844859
828723,828179
841246,843469
849855,849799
843226,843220
849414,849418
840727,832734
847584,847587
847844,847587
849732,849755
849760,849761
837438,837626
848300,846338
846473,848005
849518,849519
846122,849494
846145,846964
849000,849528
849462,849528
845737,845681
847600,847601
681476,681483
846364,846288
849225,849493
849326,849327
848718,849225
848657,848659
817198,849077
849126,849077
849517,843544
848894,848895
848878,848893
848733,848893
849284,849285
848733,848878
822138,846032
848760,848778
848827,848936
848827,848935
848827,848937
849356,849358
848855,848896
840386,840387
847272,848732
840509,848834
848589,847272
848666,847272
799671,802792
792959,794356
676722,729962
827537,827538
825112,825115
827537,825115
848932,848933
848933,848934
848666,848760
803431,803325
848834,848789
841902,842354
847803,847804
829108,829107
828169,829107
848178,848182
822601,822324
822318,822324
848663,848766
848260,848825
847062,848663
847063,848663
847598,848332
848260,848820
848260,848819
845559,845569
43578,845569
848178,810953
711513,746675
842980,843837
828169,829108
777232,776265
770593,763283
848598,848681
533792,531498
845054,848279
848131,845683
845646,845181
839974,840451
848375,848376
851001,836277
850994,836277
848457,848459
848361,848458
848568,848523
848569,848523
839937,848574
839937,848572
848568,848569
826505,827308
848350,848289
848111,844632
844610,844632
834352,844632
839937,842073
842079,842073
848345,845371
847560,743492
809472,840736
839973,839974
835742,839974
847193,847089
847538,847773
848396,848397
846943,848293
846942,846943
848119,846943
848118,848119
846941,846942
845595,845482
848350,847959
847994,847984
841445,847002
826719,828545
847623,847189
826484,729766
834269,729766
834269,826484
846166,843787
842273,843106
846188,846360
842273,843105
842273,843104
833213,848039
843769,843772
847219,847389
848002,848062
847257,847329
847437,847329
847366,847399
827671,827684
827683,827684
847362,847363
715224,711601
833021,833425
844463,848010
846473,847653
847668,847653
847550,847552
847323,847357
845687,847660
847402,841801
840433,838990
847128,847129
845687,845638
846059,845755
844408,844409
831842,816178
834279,834280
828902,845601
845854,845855
838536,836877
846473,844815
846196,846389
844490,844501
844500,844490
842976,844950
818717,819418
833286,834537
847219,847355
837251,840386
845652,845854
824926,824927
836350,836351
843856,843857
843841,843842
799958,816179
845586,845603
841911,842083
841414,841445
841107,841105
838610,838611
845776,845782
821733,821734
842546,844060
841445,842546
841414,843152
838110,838229
838110,838315
838110,838314
822482,822483
822482,822706
744447,740662
596295,587830
822344,823465
845586,845589
831935,844680
818542,817718
817552,817718
799958,816180
844361,846544
848291,846149
846347,846010
845690,846010
846145,845993
845690,845913
845690,846033
845690,846035
845994,846035
845894,846035
845859,846104
846224,844021
846287,846159
845690,846030
846349,846347
845994,845798
845894,845798
844048,844049
846135,844049
846162,846147
845690,846163
845690,846037
846142,846037
846151,846153
845690,823005
823009,823005
845717,823005
845708,823005
848291,846209
845690,846046
845690,846041
845690,846019
845690,846044
845690,846051
846194,846125
845690,846040
845690,845708
841762,841713
842273,841713
846120,846117
845998,845917
845690,845904
845903,845904
798638,798819
845690,823009
845987,845997
845690,846043
845690,846029
845690,845903
845690,846026
845690,845717
845690,846015
845690,846050
845690,846013
845690,846049
843346,823449
845715,845661
845171,845661
837742,837734
845189,845081
842380,842370
826193,832837
836202,832837
794258,794774
825178,845679
738641,738450
839952,839954
839359,841435
839359,841413
844905,844904
845889,845890
827147,827149
843354,843305
843295,843305
835073,845047
828089,827950
826089,826114
822482,822707
845268,844366
831929,841321
845293,845294
823000,749036
845018,841264
837550,837551
811195,844367
839334,836141
839362,836141
839407,836141
844477,836141
845057,845018
811194,844380
845268,844364
843764,845275
843764,843776
844441,844442
829182,829228
843752,843417
844477,844779
843864,844588
820586,486156
838713,839068
843711,839068
832771,525771
836217,836218
834975,834981
841762,842048
842273,842048
842973,844833
834269,834223
840353,841716
827129,844472
830615,830618
839362,839407
844645,844646
838415,838416
842436,842438
840353,835733
821732,821423
840771,840773
844342,844343
843989,843252
843534,843535
844077,844117
838836,839483
838830,839483
838832,839483
839521,839483
840278,839483
840313,839483
840518,839483
831929,841313
839985,843113
808577,800338
838051,843329
821632,823581
843295,843710
838053,843710
843295,843296
843295,843306
843295,843302
843295,843304
843295,843301
838051,843301
843295,843299
843295,843303
838053,843300
838053,838052
838051,843087
838051,843088
838051,843090
838051,843091
838051,843047
838051,843086
843329,843046
838051,843707
843355,843092
843319,843092
838051,838053
843295,838053
843981,843982
843822,842125
838051,843709
843689,843709
844037,844053
843182,843187
843182,843185
843182,843186
838053,843186
843182,843188
838051,843188
843295,843188
838051,843355
840765,840767
843045,838051
836191,839714
837303,839714
843713,843714
843740,843714
843931,843714
842273,843807
843978,843969
843740,843741
843570,843571
843293,843295
843354,843295
843256,842578
843739,843740
823983,823417
823985,823417
841620,823417
841619,823417
841862,823417
842236,823417
842988,823417
843637,843638
819814,843869
819814,843867
841911,842085
823128,843815
843027,843029
843418,843029
843547,843029
710559,444186
712657,444186
841653,843560
343980,841015
843629,826379
481111,479392
828863,828705
843027,843030
843418,843030
843547,843030
843393,842674
563732,563801
564461,563801
842999,843011
842571,837588
843040,843041
842758,840672
843257,842907
843006,842991
842086,840353
843148,843149
842219,842220
816434,820668
843175,842407
842567,842571
827155,826876
841482,841484
842254,842113
842134,842113
836871,836872
836903,836872
836952,836872
821388,777061
842368,842332
779382,778357
791819,786772
842153,842102
840717,840718
679416,834890
711625,843145
838098,838106
831929,841319
834456,842742
834456,842741
834456,842740
831929,841317
842273,843110
836049,836051
842238,842219
842799,842800
842799,842733
839937,842079
585198,571744
799782,802456
841368,842595
842843,842844
831929,841325
842646,842843
834456,834459
830806,842324
812391,812473
812925,812473
841664,842661
842799,842732
834889,824405
840724,824405
842672,842673
841086,841714
842256,842258
841664,841665
831929,841318
831912,831929
695855,695730
838947,838934
838947,842367
837750,837589
839411,837589
837582,837589
830806,842325
840954,841219
838906,836644
831607,831921
840112,842095
841562,841563
841553,841396
789827,789838
841478,841434
802055,802794
790670,690038
841549,690038
815392,818709
815783,815659
841489,841712
841949,841660
843637,841660
839100,839427
841458,841463
841381,841384
817868,811028
841354,841356
835073,834176
676722,729770
787199,787336
830806,830793
837845,839028
839518,841243
839518,841242
839518,840946
839518,840945
839518,841244
839518,841245
840322,840323
841381,841283
840575,840576
839910,839739
806246,840319
839862,840186
839985,839955
838863,839329
839957,831259
841252,840763
823905,832201
830549,823905
836642,836645
839149,839152
839149,839150
839942,839868
813767,823646
809472,784449
794792,823645
803761,823645
840777,840778
837782,837781
830670,831437
774303,774317
774172,774174
782200,788963
789289,788963
839989,824399
840460,840491
840438,840491
840311,840491
837706,837587
839989,827436
839988,824325
837706,837750
841484,838003
840412,783747
840413,783747
783720,783747
837930,837582
840445,840428
840514,840428
836335,836168
838870,840346
829553,829559
811518,811513
811519,811540
811457,811491
811511,811457
811542,811519
811512,811518
811303,811542
811303,811512
732840,730851
771252,771071
771070,771071
838004,838807
782574,823644
824960,823644
837263,823644
839988,835714
827495,827485
827501,827485
839050,838910
838870,835511
564104,564681
841482,837999
826976,838804
503026,503028
623233,503028
837430,837431
837251,837430
840175,827653
835839,835873
839989,835703
838839,838451
838840,838451
838729,837845
839498,839500
42300,839500
837769,839498
829142,830439
829142,830523
803475,837571
837576,837571
826647,838879
836945,834183
804482,839884
739371,739369
839167,838836
838762,838836
835742,835833
833247,828738
732821,839803
826647,838878
804482,839883
804482,839885
804482,834204
838762,838832
835091,833259
839647,839653
839647,839648
839647,839654
782799,782990
783413,782990
782734,782990
782734,783304
782990,783304
825166,803477
631644,633580
838735,838745
838762,838830
833615,833616
833362,833616
839274,839275
838972,838974
831810,839330
825166,825164
779624,779702
829502,835837
830794,830179
829502,839228
837263,835962
838762,838657
839196,836952
829421,829426
829247,829386
831935,829247
838230,838231
838230,838886
838965,838970
838780,838781
838368,838369
838362,838366
838360,838364
838361,838365
838363,838367
838855,838858
32615,827643
838099,837897
835021,835022
815750,837579
830308,837579
833451,837579
809198,824605
826719,825914
834120,834274
828776,838356
838735,838739
826976,826205
823719,838757
823719,838756
838557,838597
811951,813426
835749,835750
808046,800949
809978,800949
811951,810286
835013,836615
836871,836951
838401,830974
838559,837842
836701,836703
835245,835078
837620,837287
804913,836592
835508,835377
804913,836591
837872,838177
837834,837835
836596,837455
837500,837091
836988,837091
837500,837658
836988,837658
835507,835508
836706,836709
834015,834016
828870,828881
828739,833103
803716,838179
831810,831813
833286,833831
688546,711275
837706,837716
820860,823371
809978,808046
818216,818218
601336,794841
836708,836706
835072,835073
835430,835429
832159,837793
834511,837793
837069,837793
837706,837739
837706,837718
837706,837722
834631,836988
837706,837713
832892,832823
836701,836704
832159,836203
834511,836203
837069,836203
828866,828879
832163,837068
833633,833634
836307,837094
837259,836759
827148,827150
818542,822493
817552,822493
813767,823643
794792,823642
828870,828880
827811,827722
831607,836846
824733,824674
824746,824674
834188,834276
834320,834466
825292,825306
834047,834063
836041,836042
836377,827090
825292,827090
803716,836925
760541,758461
835425,835249
836803,836767
836134,836171
836040,836041
832163,832159
834287,834288
834287,834310
834287,834311
829502,835835
810267,810268
800721,829732
834186,834192
834186,834190
834186,834191
826995,836869
827683,827671
836307,837093
834512,836201
836585,836378
832797,833803
832797,833804
832797,833805
831543,831648
831543,831587
831543,831588
836671,836681
836377,827100
825292,827100
810059,811802
816975,816181
826995,832775
779168,778951
827155,826875
792998,796511
796511,796512
792998,796512
835548,833867
835548,833863
835548,833865
830986,826711
830988,826711
826369,820191
804913,835342
804913,835973
835475,835974
828078,828210
836114,836116
835977,836088
824444,809523
824438,809523
835776,835796
835776,835678
835516,835517
834761,834767
835219,835152
830806,830794
830320,830115
833022,833023
825357,825359
829225,825359
835507,835376
835448,835454
835382,835383
834556,834678
831266,831828
822039,835433
834659,834660
834658,834659
822039,835431
835178,835180
833701,833704
833701,833703
833701,833702
833700,833701
833702,833705
833703,833705
833704,833705
806562,807704
835232,835351
835233,835351
835232,835350
835233,835350
835092,835089
835126,835191
834352,835210
835193,835203
835178,835192
835215,835231
833286,834383
833286,833835
833852,833853
834761,834773
834761,834777
834761,834775
834761,834771
763628,762654
597148,597145
790670,832767
834761,812734
834761,834772
834761,834776
834761,834774
834761,834770
834761,834769
834761,834768
793795,823222
834631,833228
830869,830868
834678,834785
833847,831057
834631,834626
833286,833825
833286,833823
833286,833815
828197,828089
834102,834103
833286,833832
825113,825292
826318,825539
833286,833830
833286,833813
833286,833826
834144,834341
732821,833938
732821,834084
830504,825357
834421,833221
834101,834102
799782,802099
802551,802478
807388,802478
834239,834251
834245,834251
834238,834250
834238,834249
834238,834247
834239,834246
834241,834246
834241,834245
834239,834242
834241,834242
834238,834241
834239,834240
834238,834239
834237,834238
834236,834238
833698,834237
833698,834236
833698,834235
833881,833698
822482,822708
830670,831438
785664,785666
833286,833809
833286,833818
833286,833824
833286,833821
833286,833820
833286,833810
833286,833819
832672,828894
833286,833834
833286,833816
829502,829510
833749,833850
833286,833817
833286,833822
833286,833829
833286,833828
804400,833122
833182,833337
832756,833337
833286,833811
822901,822905
834016,832868
815750,808215
819697,808215
820056,808215
828146,808215
828147,808215
833528,832747
729132,729117
732821,833937
834015,832846
830476,830478
831525,833119
831603,833119
833118,833119
831525,831528
827533,827683
822714,822716
831525,831530
833596,831530
831525,833118
831603,833118
833705,833706
831525,831526
831525,831603
807851,816624
807851,816623
833021,833421
739053,738445
772839,772840
833021,833424
833021,833422
833021,833423
845595,833341
832810,832756
833021,833022
820551,820562
826684,826930
828508,827128
827124,827128
816622,816637
816626,816637
816632,816637
816633,816637
826100,830277
831206,832889
830956,830957
737135,737137
803716,832642
828435,823573
864201,825816
696774,696775
697631,696775
697733,696775
820379,820244
831538,831540
820170,820273
797190,832819
797190,832820
822482,822705
826193,826395
831245,832656
832640,832654
832629,832588
798529,798540
829979,829980
831227,831228
826995,829494
831932,831934
822190,822455
822188,822455
822189,822455
831206,831502
831206,831403
831206,831401
831206,831503
831206,831404
831206,831501
831206,831504
800061,800063
800060,800063
830670,831229
829579,829687
831265,831266
830795,830740
830182,644271
830675,644271
789962,789963
790186,789963
804311,789963
804035,825870
679486,802133
231289,239832
523499,525792
846421,824459
845482,830572
815143,821942
815750,821942
819123,821942
819697,821942
820056,821942
822040,831446
831607,831917
831206,831402
831206,831499
831206,831406
831019,831023
831206,831352
831651,831823
754924,708317
782634,708317
715271,789962
824490,825688
825669,825688
825440,830421
831642,815104
807851,826636
829225,830176
827667,827553
829655,829656
831578,831614
821036,831268
828550,830579
743869,742522
819430,820907
820221,820907
828723,827895
822760,822703
830716,830724
831538,830889
828149,828443
805628,805632
827733,827734
828752,827896
830336,829655
830716,830723
833749,830687
829202,829054
827479,830069
814730,815035
821036,830691
827008,830372
829461,830372
829459,830372
829457,830372
830336,829677
830132,830796
826501,826502
828877,830563
833852,830654
830132,830165
830132,830156
830132,830160
830960,829576
830132,830135
830132,830166
830717,830825
830336,830132
828776,828782
827494,828999
829393,830799
829393,830798
829393,829394
829393,830797
829393,830743
800753,801424
829236,828211
821603,821606
828409,828559
831538,830220
827844,830701
825695,826200
826723,826739
822039,821993
830336,830437
829000,824426
825983,825986
828174,814518
828409,828557
829899,829937
813897,813264
830179,830474
828174,808961
824833,808961
825669,825875
828091,828263
819430,820221
820165,824997
827340,827500
818623,818643
826097,826100
800753,802644
820168,819430
829021,829111
827479,830067
827479,830068
835013,822280
828409,828558
827479,827667
827882,827340
830132,830133
828087,828085
828550,829596
826870,829462
812092,812095
821396,821435
826870,829460
826869,829459
826870,829466
807851,826637
826869,829463
826870,829464
826869,829465
826870,829458
826869,829457
826869,829461
828266,827293
831538,829450
804966,813591
822138,813052
826881,824457
829717,829718
829236,828449
829236,829164
822716,823966
827137,827664
830716,829132
826828,826851
829523,829538
825064,827739
824438,824444
828174,828220
829236,828295
828122,828121
789610,789614
829419,829420
826284,829215
828852,828857
830716,828887
831538,827551
827494,828998
829309,829237
816103,816245
816419,816245
816103,816246
802395,802401
816103,816247
829234,829235
829236,829246
826470,826465
829171,829172
829173,829174
826317,828299
829227,829221
826345,826347
824731,824734
828840,828997
828841,828997
826317,827859
829025,829155
826317,827858
826317,827857
826317,828454
828562,828561
826317,828076
826317,828296
826317,826670
826317,828484
826317,828491
826317,828456
826317,828865
846421,824704
828346,828237
829006,782273
828551,828552
828548,828549
826116,826119
803716,827863
756478,602432
822222,828987
825682,825686
828769,825735
828461,828462
826092,828804
828550,815071
828245,827017
823726,823827
827486,827479
828245,827016
828594,827656
586452,587276
39181,828171
828386,827483
827576,816933
827578,816933
828409,828408
826088,826094
817644,828550
827955,826695
826091,826118
826317,828259
826317,828258
826317,828262
826317,828260
828562,825416
827260,827261
817644,828393
827472,827609
804523,805618
804988,805618
824914,827037
824914,827038
824914,827039
817644,816756
826647,824022
826602,824042
828189,816369
827647,827968
820377,806274
827553,827669
826995,827613
787474,787304
824989,824992
794860,827174
824987,824988
822560,797537
802305,828055
827307,827312
827659,827661
809198,824607
816531,824731
819293,819517
827544,823688
827618,827604
805631,805636
805630,805634
805629,805633
779146,779148
803716,827033
824538,824570
527798,528079
527814,528079
527827,528079
527829,528079
528001,528079
528007,528079
528018,528079
528031,528079
528040,528079
528041,528079
528044,528079
528047,528079
528051,528079
528057,528079
528062,528079
528065,528079
528068,528079
827410,827303
827733,826151
806254,806016
801470,806016
824985,824986
824983,824984
825229,825433
825676,825433
827141,827142
827257,827268
827088,826619
823734,823735
824630,821624
807851,816626
824725,824492
826995,826594
826870,827044
826869,827008
824744,824725
825053,823860
825054,823860
620071,620074
822244,822313
826121,826129
821603,821602
822829,822835
758364,737221
827129,827036
827231,827232
823515,823683
824565,761364
826672,761364
807851,816622
802625,800670
826928,826991
824424,824517
810796,810566
828144,818625
824309,824424
807851,816633
825229,825432
825676,825432
823943,823944
795476,801632
818228,823007
824363,823007
807851,826640
825695,826198
826271,826272
814245,812236
807851,816632
826649,826650
803716,807851
826321,816597
822339,816597
822339,825246
822339,816596
822339,825241
822339,822504
822339,818844
822339,822340
822339,825245
822339,825243
822339,825242
822339,825247
822339,825244
822339,816598
823155,821695
824564,824567
824535,824567
826060,824567
797190,822491
799621,821163
810808,810782
822380,822339
825708,822339
823943,823945
825228,825225
815141,815143
826464,826033
823071,823161
823943,823946
823993,823989
826090,826117
799625,822292
799625,824560
798638,798816
824044,824050
823093,823071
823094,823071
813171,813082
820036,820479
819620,820390
820513,820390
826133,826061
807465,807617
817528,817529
732821,734321
732821,734320
825034,824136
824659,824136
822560,790519
823533,823537
823536,823537
823704,823537
822858,822792
824537,824569
824909,823961
816736,816738
820672,820674
813709,813575
824635,824069
824996,824069
824208,824069
825002,825003
798747,796533
35995,796533
492241,431229
798664,798443
824540,824564
824541,824538
782574,823641
793797,823641
825444,825107
816815,816816
823426,821503
741529,824866
810528,810529
813767,823640
794792,823638
803761,823638
799621,821132
795672,825353
825372,825353
824590,824593
824592,824593
808207,798948
820992,820993
822542,822544
816318,820072
816435,814742
818228,814742
824539,824572
816732,816737
810261,811319
823557,823555
782574,823604
793797,823604
824092,822528
824590,824592
782624,819158
823475,823492
823538,823539
818542,822495
817552,822495
824563,824574
739915,739806
739987,739806
823606,823721
810783,814648
810809,814648
810782,814648
824189,824179
824584,824585
824646,824650
824184,824650
822717,822719
824115,820999
821093,820999
823803,823805
824530,824531
824520,824525
824148,824184
824183,824184
824195,824184
824198,824184
824197,824184
824196,824184
804979,815506
824148,824183
754105,754045
821009,821093
824535,820982
823351,823352
824243,824236
824258,824236
824257,824236
824256,824236
824240,824236
806257,811746
811396,811746
784751,792199
818548,818391
806257,811748
805391,811748
805391,806257
824530,817816
816855,823487
820270,823487
810782,823487
815143,823487
815750,823487
819123,823487
819697,823487
820056,823487
821009,820998
782624,782392
822724,822725
822601,822318
845401,822726
822212,822777
