Number,is_same_dev,Churn,Revisions,Duration,Label,Project_type
97088,Different,13,2.0,24.58,R-B,Source
97090,Different,13,3.0,24.55,R-B,Source
97090,Different,13,3.0,24.55,R-B,Source
122342,Different,14,2.0,544.73,R-B,Source
122342,Different,14,2.0,544.73,R-B,Source
122342,Different,14,2.0,544.73,R-B,Source
125150,Different,2,1.0,4.21,R-B,Source
125150,Different,2,1.0,4.21,R-B,Source
125150,Different,2,1.0,4.21,R-B,Source
161763,Same,7,1.0,27.28,R-B,Source
161768,Same,3,3.0,366.14,R-B,Source
161768,Same,3,3.0,366.14,R-B,Source
96075,Same,6,1.0,7.75,R-B,Source
178666,Same,28,7.0,845.44,R-B,Source
179314,Different,73,6.0,784.2,R-B,Source
179390,Different,125,20.0,2765.96,R-B,Source
103153,Same,3,1.0,96.42,R-B,Source
104520,Same,2,2.0,0.69,R-B,Source
102643,Different,5,4.0,16.82,R-B,Source
150639,Different,16,4.0,236.15,R-B,Source
168392,Same,2,2.0,90.95,R-B,Source
168392,Different,2,2.0,90.95,R-B,Source
168399,Different,183,3.0,91.05,R-B,Source
104119,Different,81,5.0,197.71,R-B,Source
133645,Same,32,7.0,27.71,R-B,Source
120938,Same,1,2.0,17.54,R-B,Source
109115,Different,10,6.0,144.48,R-B,Source
112800,Different,1,1.0,79.14,R-B,Source
112800,Different,1,1.0,79.14,R-B,Source
112800,Different,1,1.0,79.14,R-B,Source
112800,Different,1,1.0,79.14,R-B,Source
112800,Different,1,1.0,79.14,R-B,Source
118914,Different,4,2.0,53.44,R-B,Source
118914,Different,4,2.0,53.44,R-B,Source
118914,Different,4,2.0,53.44,R-B,Source
118914,Different,4,2.0,53.44,R-B,Source
132558,Same,3,2.0,183.82,R-B,Source
132558,Different,3,2.0,183.82,R-B,Source
132558,Different,3,2.0,183.82,R-B,Source
133957,Different,1,1.0,9.39,R-B,Source
133957,Different,1,1.0,9.39,R-B,Source
185858,Different,2,3.0,84.89,R-B,Source
110384,Same,28,3.0,37.59,R-B,Source
112480,Same,5,1.0,449.99,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124132,Same,8,4.0,357.92,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124134,Same,6,3.0,93.17,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124135,Same,6,2.0,93.04,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124137,Same,7,2.0,93.03,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124138,Same,9,3.0,92.1,R-B,Source
124139,Same,6,2.0,92.82,R-B,Source
124139,Same,6,2.0,92.82,R-B,Source
124139,Same,6,2.0,92.82,R-B,Source
124139,Same,6,2.0,92.82,R-B,Source
124139,Same,6,2.0,92.82,R-B,Source
124140,Same,9,3.0,92.81,R-B,Source
124140,Same,9,3.0,92.81,R-B,Source
124140,Same,9,3.0,92.81,R-B,Source
124140,Same,9,3.0,92.81,R-B,Source
124142,Same,8,2.0,92.7,R-B,Source
124142,Same,8,2.0,92.7,R-B,Source
124142,Same,8,2.0,92.7,R-B,Source
124165,Same,9,4.0,92.32,R-B,Source
124165,Same,9,4.0,92.32,R-B,Source
124175,Same,7,2.0,91.68,R-B,Source
122986,Different,73,8.0,83.43,R-B,Source
122986,Different,73,8.0,83.43,R-B,Source
122986,Different,73,8.0,83.43,R-B,Source
126908,Different,6,3.0,216.55,R-B,Source
126908,Different,6,3.0,216.55,R-B,Source
144306,Different,2,2.0,0.55,R-B,Source
117279,Different,9,2.0,122.89,R-B,Source
117279,Different,9,2.0,122.89,R-B,Source
117763,Same,12,9.0,747.06,R-B,Source
126706,Different,2,4.0,162.74,R-B,Source
126711,Different,2,3.0,165.09,R-B,Source
120138,Same,92,1.0,301.81,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121200,Different,6,4.0,6.0,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Different,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121223,Same,11,1.0,81.13,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Different,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121224,Same,6,1.0,130.14,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Different,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121227,Same,7,1.0,646.98,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Different,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121228,Same,6,1.0,767.58,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Different,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121229,Same,5,1.0,217.14,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Different,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121230,Same,1,1.0,62.1,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Different,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121231,Same,1,1.0,20.66,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Different,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121291,Same,1,1.0,221.7,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Different,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121292,Same,1,1.0,777.6,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Same,1,1.0,659.3,R-B,Source
121294,Different,1,1.0,659.3,R-B,Source
121294,Different,1,1.0,659.3,R-B,Source
121294,Different,1,1.0,659.3,R-B,Source
