Number,is_same_dev,Churn,Revisions,Duration,Label,Project_type
848323,Same,33,1.0,1487.46,D-O/N-B,Source
854959,Same,13,1.0,28.71,D-O/N-B,Source
831507,Same,809,19.0,3528.13,D-O/N-B,Source
851449,Same,534,7.0,801.22,D-O/N-B,Source
850538,Same,3,2.0,188.17,D-O/N-B,Source
853306,Same,1,1.0,0.3,D-O/N-B,Source
820668,Same,9,3.0,4069.06,D-O/N-B,Source
851837,Same,9,1.0,525.81,D-O/N-B,Source
853794,Same,4,7.0,169.54,D-O/N-B,Source
854144,Different,4,1.0,27.99,D-O/N-B,Source
769385,Same,273,30.0,6401.0,D-O/N-B,Source
765781,Same,36,24.0,12008.14,D-O/N-B,Source
854614,Same,71,1.0,9.12,D-O/N-B,Source
854614,Same,71,1.0,9.12,D-O/N-B,Source
854614,Same,71,1.0,9.12,D-O/N-B,Source
854021,Same,98,2.0,35.89,D-O/N-B,Source
853791,Different,98,10.0,80.35,D-O/N-B,Source
854250,Same,2,3.0,18.09,D-O/N-B,Source
853607,Same,440,3.0,126.54,D-O/N-B,Source
852734,Same,1,2.0,310.3,D-O/N-B,Source
849806,Same,2,8.0,960.63,D-O/N-B,Source
852897,Same,194,1.0,266.86,D-O/N-B,Source
836064,Same,79,2.0,1361.3,D-O/N-B,Source
836059,Same,179,9.0,2770.25,D-O/N-B,Source
836065,Different,62,4.0,3472.74,D-O/N-B,Source
842822,Same,27,6.0,2257.37,D-O/N-B,Source
854021,Different,98,2.0,35.89,D-O/N-B,Source
853791,Different,98,10.0,80.35,D-O/N-B,Source
805613,Same,22,2.0,386.41,D-O/N-B,Source
847788,Same,101,3.0,1270.41,D-O/N-B,Source
852531,Same,5,3.0,195.32,D-O/N-B,Source
852532,Same,3,6.0,218.08,D-O/N-B,Source
851001,Same,3,3.0,221.38,D-O/N-B,Source
850292,Same,3,1.0,68.82,D-O/N-B,Source
836190,Same,4,3.0,2080.25,D-O/N-B,Source
850994,Same,67,1.0,239.08,D-O/N-B,Source
850035,Same,67,1.0,93.55,D-O/N-B,Source
836189,Same,67,7.0,2107.43,D-O/N-B,Source
852580,Same,399,3.0,183.15,D-O/N-B,Source
843269,Same,385,9.0,2042.17,D-O/N-B,Source
759878,Same,20,2.0,2684.45,D-O/N-B,Source
851889,Same,45,4.0,344.38,D-O/N-B,Source
852731,Same,14,4.0,186.86,D-O/N-B,Source
853261,Different,23,1.0,26.67,D-O/N-B,Source
851193,Same,6,1.0,5.52,D-O/N-B,Source
848178,Same,37,4.0,148.94,D-O/N-B,Source
848284,Different,109,7.0,980.8,D-O/N-B,Source
837105,Same,2,1.0,39.24,D-O/N-B,Source
848282,Different,77,4.0,767.29,D-O/N-B,Source
848758,Same,401,41.0,831.33,D-O/N-B,Source
843346,Different,849,3.0,547.85,D-O/N-B,Source
853204,Same,3224,1.0,0.5,D-O/N-B,Source
851954,Same,11,1.0,163.26,D-O/N-B,Source
812678,Same,30,3.0,3716.6,D-O/N-B,Source
852460,Same,1611,1.0,1.23,D-O/N-B,Source
851951,Same,31,3.0,164.32,D-O/N-B,Source
840712,Same,174,6.0,1827.36,D-O/N-B,Source
845812,Different,4,6.0,160.51,D-O/N-B,Source
831929,Same,56,4.0,1818.53,D-O/N-B,Source
851597,Same,6,1.0,53.22,D-O/N-B,Source
852068,Same,6,1.0,4.02,D-O/N-B,Source
848452,Same,53,2.0,69.81,D-O/N-B,Source
851450,Same,45,2.0,134.85,D-O/N-B,Source
842034,Same,152,18.0,1015.49,D-O/N-B,Source
850415,Same,133,5.0,143.19,D-O/N-B,Source
851342,Same,39,1.0,153.04,D-O/N-B,Source
849996,Same,86,6.0,459.28,D-O/N-B,Source
851597,Same,6,1.0,53.22,D-O/N-B,Source
850478,Different,4,3.0,288.5,D-O/N-B,Source
846123,Different,2,2.0,1139.16,D-O/N-B,Source
851516,Same,13,1.0,92.54,D-O/N-B,Source
827145,Same,4,2.0,1415.21,D-O/N-B,Source
849133,Same,404,8.0,480.28,D-O/N-B,Source
831507,Same,809,19.0,3528.13,D-O/N-B,Source
846838,Same,28,4.0,185.61,D-O/N-B,Source
