Source,Target,Source_repo,Target_repo
839216,768528,openstack/kuryr-libnetwork,openstack/zun
865015,865821,openstack/devstack,openstack/tempest
866978,866980,openstack/tripleo-ansible,openstack/tripleo-heat-templates
861110,862797,openstack/tempest,openstack/adjutant
867059,867056,openstack/devstack,openstack/tempest
862924,760647,openstack/openstack-ansible,openstack/openstack-ansible-os_neutron
867020,867021,openstack/puppet-neutron,openstack/tripleo-heat-templates
867017,867021,openstack/puppet-neutron,openstack/tripleo-heat-templates
841996,842005,openstack/tripleo-ansible,openstack/tripleo-heat-templates
865047,842005,openstack/tripleo-ansible,openstack/tripleo-heat-templates
864750,865518,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
865805,865518,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
862924,866694,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
865144,865145,openstack/tripleo-common,openstack/tripleo-heat-templates
866847,866848,openstack/openstack-ansible,openstack/openstack-ansible-haproxy_server
862924,865973,openstack/openstack-ansible,openstack/openstack-ansible-os_neutron
865197,859142,openstack/tripleo-ansible,openstack/tripleo-docs
862924,866684,openstack/openstack-ansible,openstack/openstack-ansible-os_keystone
862924,866697,openstack/openstack-ansible,openstack/openstack-ansible-os_nova
842240,835512,openstack/tempest,openstack/cinder-tempest-plugin
866809,866447,openstack/tripleo-common,openstack/python-tripleoclient
865014,866976,openstack/devstack,openstack/neutron-tempest-plugin
815093,665155,openstack/neutron,openstack/tempest
841838,665155,openstack/neutron,openstack/tempest
865050,866970,openstack/tripleo-ci,openstack/tripleo-heat-templates
863955,864067,openstack/project-config,openstack/governance
866124,864422,openstack/openstack-ansible,openstack/openstack-ansible-os_sahara
866790,866797,openstack/charm-ops-interface-openstack-loadbalancer,openstack/charm-ceph-dashboard
866603,861635,openstack/manila-tempest-plugin,openstack/manila
861110,861635,openstack/tempest,openstack/manila
866382,861635,openstack/devstack-plugin-ceph,openstack/manila
865449,865537,openstack/ansible-role-zookeeper,openstack/openstack-ansible-os_designate
864750,865537,openstack/openstack-ansible,openstack/openstack-ansible-os_designate
862393,864371,openstack/releases,openstack/tempest
865040,614484,openstack/neutron,openstack/tempest
865991,866015,openstack/tripleo-common,openstack/tripleo-heat-templates
865420,865449,openstack/ansible-role-pki,openstack/ansible-role-zookeeper
864750,864752,openstack/openstack-ansible,openstack/ansible-role-zookeeper
