Source,Target,Source_repo,Target_repo
863165,863166,openstack/project-config,openstack/governance
863954,863958,openstack/project-config,openstack/governance
863955,864067,openstack/project-config,openstack/governance
864948,860795,openstack/devstack-plugin-ceph,openstack/devstack
864993,864920,openstack/ansible-collection-kolla,openstack/kolla-ansible
864946,860795,openstack/swift,openstack/devstack
863158,863161,openstack/project-config,openstack/governance
863581,851099,openstack/requirements,openstack/swift
844850,843573,openstack/openstack-ansible-ops,openstack/openstack-ansible-ops
853589,853503,openstack/tripleo-upgrade,openstack/tripleo-quickstart
858606,858554,openstack/diskimage-builder,openstack/project-config
855017,854985,openstack/kolla-ansible,openstack/ansible-collection-kolla
540319,539111,openstack/ec2-api,openstack/openstack-zuul-jobs
839715,836664,openstack/kolla-ansible,openstack/kolla
839715,836664,openstack/kolla-ansible,openstack/kolla
839715,836664,openstack/kolla-ansible,openstack/kolla
852935,852769,openstack/requirements,openstack/aodh
851839,851838,openstack/kayobe,openstack/kolla-ansible
849229,847272,openstack/openstack-ansible-os_rally,openstack/openstack-ansible
848718,847272,openstack/openstack-ansible-os_rally,openstack/openstack-ansible
848666,847272,openstack/openstack-ansible-os_rally,openstack/openstack-ansible
848589,847272,openstack/openstack-ansible-os_horizon,openstack/openstack-ansible
844501,844463,openstack/project-config,openstack/governance
844490,844501,openstack/security-analysis,openstack/project-config
844500,844490,openstack/project-config,openstack/security-analysis
843534,843535,openstack/project-config,openstack/governance
821388,777061,openstack/requirements,openstack/openstack-ansible
829258,658473,openstack/openstack-ansible,openstack/openstack-ansible
840321,840322,openstack/tripleo-ansible,openstack/tripleo-heat-templates
838907,838904,openstack/tripleo-ansible,openstack/tripleo-heat-templates
838906,836644,openstack/tripleo-ansible,openstack/tripleo-heat-templates
840677,840674,openstack/tripleo-ansible,openstack/tripleo-heat-templates
838508,838507,openstack/tripleo-ansible,openstack/tripleo-heat-templates
765781,770215,openstack/kolla,openstack/kolla-ansible
836708,836706,openstack/openstack-health,openstack/governance
836701,836704,openstack/tempest-lib,openstack/governance
832163,832159,openstack/kolla,openstack/kolla-ansible
836707,836706,openstack/project-config,openstack/governance
834692,832159,openstack/kolla,openstack/kolla-ansible
830504,825357,openstack/ansible-collection-kolla,openstack/kolla-ansible
769201,766100,openstack/tripleo-quickstart-extras,openstack/puppet-ironic
820196,658473,openstack/openstack-ansible,openstack/openstack-ansible
826675,812111,openstack/nova,openstack/nova
826675,822053,openstack/nova,openstack/nova
825054,823860,openstack/bifrost,openstack/kolla-ansible
825053,823860,openstack/bifrost,openstack/kolla-ansible
826601,808961,openstack/nova,openstack/neutron
818514,812111,openstack/os-traits,openstack/nova
