Change
133212
606092
217809
257144
315597
744638
529011
446865
305462
288743
700545
827038
744363
586660
336304
132237
800731
238222
843185
864803
840228
749119
630736
221300
772099
843091
766100
319040
187427
376011
848397
308135
803140
748760
778346
700091
597291
304125
747262
626953
416707
822493
800691
744639
762994
588336
230975
316862
849102
634866
220295
627319
860239
471479
523961
561043
394298
775239
643154
257115
296546
610035
121088
571036
518015
310042
523355
521729
367022
681370
847425
325761
358839
508781
668938
843708
509829
260876
572309
624671
841435
563970
499523
230039
704712
343497
804914
659931
550463
602154
427429
476979
744294
556029
321577
754440
740737
743112
370810
801550
458058
256659
363216
716876
739323
710050
584556
669306
586662
232686
810078
152224
504394
836823
635371
586664
294270
519898
744344
532958
789758
836872
345047
814537
489790
489671
824248
811512
301843
440299
446111
609947
239832
489782
768334
407689
584760
306237
377008
612386
847459
798176
298979
676899
623332
730107
701106
591418
847497
787468
813202
833937
298795
368284
427423
296432
252284
193532
712640
344390
387812
649617
847464
616916
539520
258617
489792
427422
706135
450925
640627
623193
571321
540588
335137
178504
837512
745621
743119
623306
492588
586261
747460
487865
744353
591997
607021
590257
446168
536745
693338
567153
586654
744622
687533
247278
374849
850196
462744
583179
758461
187533
677483
681213
731739
642343
638078
756694
497810
439996
773979
551336
743124
565858
653038
467539
660904
597233
848039
561046
256576
443095
498575
584761
701958
849776
339701
730634
773554
199519
658896
250532
489672
257117
230046
676814
359266
643518
509762
209728
583851
628003
532099
579504
575809
588252
723545
606908
637235
382585
513084
231486
686959
413545
843815
750326
754726
427397
414059
755180
296528
414619
301905
445681
771224
250648
306018
173758
536322
789634
76160
509286
474935
412488
679228
753303
618181
290418
504237
660928
489132
306246
278778
517772
411501
840743
747269
355679
201240
90628
742293
559437
490079
716594
539417
725215
99392
855260
552526
521333
682453
760700
385683
687384
560048
299851
470312
786075
100791
637617
349204
117380
510796
744631
593397
729359
478645
769542
442016
224744
556787
433601
654925
96943
441548
563956
51042
429043
723634
705576
741962
601440
637320
472714
625253
347830
690527
710838
624778
219196
571028
336092
583690
586658
433228
615529
576225
511620
476109
421636
649645
611461
558380
400208
240208
719553
673279
682731
512674
678019
744091
505774
229087
581343
