Revs_intersect,Count
0,44
2,1
4,2
5,7
6,7
7,10
8,7
9,9
10,9
11,11
12,19
13,10
14,14
15,13
16,26
17,2
18,15
19,4
20,21
21,12
22,11
23,15
24,2
25,24
26,6
27,9
28,8
29,3
30,8
31,4
33,14
35,3
36,3
37,5
38,1
39,1
40,7
41,2
42,4
44,3
45,1
46,1
48,1
50,7
55,1
56,1
62,1
66,3
81,1
100,2
