Duration,Reviewer_sharing,Project_type
6.57,At least one,Source
44.0,At least one,Source
37.91,At least one,Source
1215.57,At least one,Source
522.17,At least one,Source
348.91,At least one,Source
1405.82,At least one,Source
574.9,At least one,Source
216.33,At least one,Source
3380.1,At least one,Source
3525.86,At least one,Source
148.94,At least one,Source
38.37,At least one,Source
232.66,At least one,Source
219.88,At least one,Source
148.94,At least one,Source
120.19,At least one,Source
916.98,At least one,Source
3525.86,At least one,Source
643.26,At least one,Source
494.38,At least one,Source
1507.19,At least one,Source
221.38,At least one,Source
2080.25,At least one,Source
239.08,At least one,Source
93.55,At least one,Source
2107.43,At least one,Source
65.65,At least one,Source
65.7,At least one,Source
8.04,At least one,Source
20.78,At least one,Source
5.63,At least one,Source
236.33,At least one,Source
2128.97,At least one,Source
150.03,At least one,Source
20.15,At least one,Source
3795.33,At least one,Source
629.11,At least one,Source
2009.08,At least one,Source
19.11,At least one,Source
96.28,At least one,Source
214.57,At least one,Source
208.0,At least one,Source
17.06,At least one,Source
27.54,At least one,Source
167.98,At least one,Source
375.89,At least one,Source
32.41,At least one,Source
978.9,At least one,Source
622.51,At least one,Source
2478.88,At least one,Source
309.63,At least one,Source
339.97,At least one,Source
18.93,At least one,Source
172.18,At least one,Source
119.2,At least one,Source
20.62,At least one,Source
138.28,At least one,Source
16.87,At least one,Source
107.76,At least one,Source
1305.02,At least one,Source
135.17,At least one,Source
138.28,At least one,Source
16.87,At least one,Source
3183.75,At least one,Source
204.85,At least one,Source
537.48,At least one,Source
535.46,At least one,Source
341.87,At least one,Source
586.08,At least one,Source
78.47,At least one,Source
225.85,At least one,Source
345.43,At least one,Source
1011.07,At least one,Source
1496.09,At least one,Source
345.43,At least one,Source
1147.98,At least one,Source
31.94,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
33.95,At least one,Source
21.58,At least one,Source
131.57,At least one,Source
49.0,At least one,Source
3.43,At least one,Source
33.95,At least one,Source
189.85,At least one,Source
23.1,At least one,Source
23.53,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
22.38,At least one,Source
20.31,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
335.98,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
238.1,At least one,Source
388.26,At least one,Source
16.73,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
49.0,At least one,Source
1455.39,At least one,Source
24.02,At least one,Source
470.99,At least one,Source
192.56,At least one,Source
501.74,At least one,Source
1027.29,At least one,Source
18.54,At least one,Source
1818.53,At least one,Source
1517.24,At least one,Source
124.96,At least one,Source
237.26,At least one,Source
73.03,At least one,Source
193.04,At least one,Source
18.54,At least one,Source
1937.33,At least one,Source
83.43,At least one,Source
1.79,At least one,Source
123.59,At least one,Source
95.95,At least one,Source
4188.3,At least one,Source
956.0,At least one,Source
248.54,At least one,Source
3051.46,At least one,Source
4.75,At least one,Source
210.34,At least one,Source
238.1,At least one,Source
388.26,At least one,Source
