Path,length,all_abandoned,is_cross,lag,is_cross_service,team_size
"[843293, 843295, 843296, 843299, 843300, 838053, 843046, 843302, 843301, 843304, 843305, 843306, 843303, 838052, 843045, 843689, 843182, 843047, 843185, 843186, 843187, 843188, 843319, 843707, 843708, 843709, 843710, 843329, 843086, 843087, 843088, 843090, 843091, 843092, 843354, 843355, 838051]",37,False,True,1039.27,True,5
"[844364, 844366, 837681, 845268, 833015]",5,False,True,2186.92,True,2
"[823000, 749036]",2,False,True,11588.88,True,2
"[832771, 525771]",2,False,True,37307.94,True,2
"[830618, 830615]",2,False,True,0.33,True,2
"[842310, 842311, 842312, 842313, 841628, 841949, 842740, 842741, 842742, 843637, 843638, 841657, 841656, 834459, 841660, 834456]",16,False,True,1613.88,True,2
"[843040, 843041]",2,False,True,0.12,True,2
"[816434, 820530, 833978, 833979, 820668]",5,False,True,3194.93,True,2
"[827392, 828769, 819777, 825734, 825735, 821072, 821073, 821074, 827155, 827413, 827414, 827415, 772853, 826874, 826875, 826876, 827421]",17,False,True,9094.15,True,2
"[842368, 842391, 842392, 842393, 842394, 842395, 842332]",7,False,True,6.51,True,2
"[841313, 841317, 841318, 841319, 831912, 841321, 841322, 841320, 841324, 788296, 841325, 831929]",12,False,True,9077.35,True,10
"[813888, 813792, 813767, 794792, 824304, 824305, 824306, 794577, 803761, 823638, 823640, 823642, 823643, 823645, 823646, 823679]",16,False,True,5348.05,True,3
"[831437, 830670, 831229, 831438]",4,False,True,145.56,True,4
"[774313, 774315, 774317, 781235, 774303]",5,False,True,973.61,True,2
"[824960, 793797, 783610, 782574, 837263, 786450, 823604, 825013, 792278, 823641, 835962, 823644, 782621, 824958, 824959]",15,False,True,9206.93,True,2
"[804482, 839883, 839884, 839885, 834204]",5,False,True,6219.72,True,2
"[739369, 739306, 739371]",3,False,True,27.42,True,3
"[839274, 839275]",2,False,True,0.1,True,2
"[836449, 835973, 836590, 836591, 836592, 804913, 835342, 835345, 835344, 835343, 835441, 804978, 804914, 836317]",14,False,True,5534.76,True,2
"[828866, 828870, 828872, 763916, 828879, 828880, 828881, 763895]",8,False,True,10668.3,True,2
"[832642, 803716, 832773, 826636, 826637, 826640, 827033, 838179, 807851, 828725, 836925, 826569, 827863, 827611, 816622, 816623, 816624, 816626, 816632, 816633, 816637, 836862]",22,False,True,6052.64,True,3
"[830401, 830182, 831055, 644271, 832849, 831411, 830675, 832823, 832892]",9,False,True,26104.01,True,2
"[835203, 835972, 838281, 838282, 849426, 836373, 840743, 835759, 835249, 835776, 840897, 797896, 835790, 835791, 835792, 835793, 835794, 835795, 835796, 835537, 835410, 835409, 835797, 835677, 835678, 835680, 835425, 835681, 835682, 835683, 835685, 835686, 835687, 835688, 835689, 835684, 835427, 835193]",38,False,True,9171.29,True,2
"[826594, 836869, 832775, 824944, 825427, 826995, 829494, 827256, 827613]",9,False,True,1898.87,True,2
"[836800, 836033, 837090, 837507, 839083, 837292, 836143, 836144, 837268, 843477, 837270, 837271, 837369, 839070]",14,False,True,1343.97,True,2
"[825539, 826318]",2,False,True,120.28,True,2
"[807388, 802478, 802551]",3,False,True,986.04,True,2
"[827683, 827684, 827533, 827671]",4,False,True,21.56,True,2
"[826930, 826684]",2,False,True,27.81,True,2
"[715271, 790186, 789962, 789963, 804311]",5,False,True,12079.94,True,2
"[688802, 805797, 804458, 799635, 799636, 802133, 805590, 679486]",8,False,True,17391.99,True,2
"[525792, 481223, 523499, 554327, 507962]",5,False,True,6142.99,True,2
"[780804, 784870, 714439, 782634, 754924, 708317]",6,False,True,9905.27,True,2
"[830691, 831268, 821768, 821131, 821036, 817806, 820886, 821752]",8,False,True,2611.48,True,2
"[816868, 829575, 829576, 826032, 830960, 825946, 825947]",7,False,True,2680.57,True,2
"[821602, 821603, 821606]",3,False,True,0.2,True,2
"[828554, 828555, 828556, 828557, 828558, 828559, 806192, 806193, 828408, 828409]",10,False,True,4010.86,True,2
"[808961, 824833, 828452, 826601, 828174, 814518, 828220]",7,False,True,3543.27,True,3
"[830277, 831174, 844202, 826097, 826100]",5,False,True,3074.66,True,2
"[826595, 827015, 827016, 827017, 828245]",5,False,True,297.13,True,2
"[828550, 828393, 817644, 830579, 816756, 829596, 815071]",7,False,True,2994.61,True,2
"[805618, 804523, 804988, 814765]",4,False,True,1650.24,True,2
"[824914, 824915, 818548, 824916, 818391, 827037, 827038, 827039]",8,False,True,1772.14,True,2
"[830656, 827659, 827851, 827661, 828542]",5,False,True,483.37,True,2
"[827553, 827403, 827404, 830067, 830068, 830069, 827667, 827479, 827669, 827486]",10,False,True,458.44,True,2
"[806016, 807876, 806254, 819414, 801470]",5,False,True,3092.17,True,2
"[823555, 823557, 823559, 823860, 825053, 825054]",6,False,True,306.32,True,2
"[818844, 822339, 822340, 822504, 825708, 822380, 826321, 816596, 816597, 816598, 825241, 825242, 825243, 825244, 825245, 825246, 825247]",17,False,True,1983.61,True,3
"[820513, 819620, 820390]",3,False,True,167.48,True,2
"[807465, 807617]",2,False,True,47.53,True,2
"[819648, 816200, 823533, 823536, 823537, 823702, 823704, 816894, 816895]",9,False,True,1581.26,True,2
"[512656, 488849, 512660, 563606, 565532, 446111, 446626, 509861, 559782, 446631, 559792, 446643, 560052, 512312, 446136, 513081, 427970, 492241, 465746, 461139, 433372, 487902, 565598, 513392, 513394, 432498, 513783, 463865, 513786, 431229]",30,False,True,10894.03,True,3
"[816737, 810790, 810791, 810792, 815862, 816732]",6,False,True,1002.99,True,2
"[823721, 823606]",2,False,True,5.83,True,2
"[811746, 811396, 811748, 811407, 805391, 806257, 811416]",7,False,True,961.91,True,3
"[819679, 787541, 783605, 783623]",4,False,True,5905.38,True,2
"[790656, 790275, 782250, 785131, 789868, 790927, 790929, 780919]",8,False,True,1361.5,True,2
"[818725, 807559, 822319, 804980, 812469, 812468, 815837, 815838]",8,False,True,2979.55,True,2
"[796059, 790899]",2,False,True,734.46,True,2
"[806890, 806891, 801455, 801459, 817108, 816955, 816956, 816669, 816958, 816959]",10,False,True,2689.81,True,2
"[787712, 787714, 787903, 774701, 787901, 787902, 787839]",7,False,True,1803.12,True,2
"[804983, 806449, 818901, 818902, 804982, 804984, 807069]",7,False,True,2332.69,True,2
"[818614, 819055]",2,False,True,107.93,True,2
"[617602, 581890, 580229, 580554, 579485, 641204, 641205, 579669, 587351, 580984, 617593, 617594, 580470, 634588, 634589, 617597]",16,False,True,5925.74,True,3
"[778753, 778719, 772915, 775742, 778079]",5,False,True,840.72,True,3
"[331840, 257135, 253363, 251254, 326681, 365050, 369116, 261886]",8,False,True,6904.44,True,2
"[816835, 816837, 817799, 817685, 817688, 817530, 816831]",7,False,True,175.92,True,2
"[811520, 811521, 812617, 811242, 842581]",5,False,True,5611.03,True,2
"[803911, 814568, 815113, 803915, 787884, 814000, 814001, 785305]",8,False,True,4734.68,True,2
"[813600, 813601, 813602, 813603, 813605, 813582, 813583, 813584, 804220, 804223]",10,False,True,1488.41,True,2
"[712592, 815537, 815570, 814641, 815540, 815572, 815798, 815799, 815800, 815801]",10,False,True,14288.21,True,2
"[800280, 800291, 800293]",3,False,True,1.76,True,2
"[813664, 813377, 835672, 835671]",4,False,True,4066.22,True,2
"[807248, 806681, 807571, 807174]",4,False,True,149.48,True,2
"[809217, 808583, 809229, 808589, 809357, 808595, 809620, 808601, 808857, 809627, 809499, 809370, 809371, 809375, 809372, 809505, 809506, 809373, 808607, 809638, 809641, 809524, 808757, 809397, 809653, 808504, 808505, 808506, 808507, 809652, 808509, 809536, 809412, 808656, 808657, 808658, 808659, 808660, 808661, 808662, 808663, 809559, 809553, 809554, 809555, 809556, 809557, 809558, 809560, 808692, 808059]",51,False,True,191.87,True,3
"[806170, 806146]",2,False,True,0.93,True,2
"[818311, 818312, 818164, 818169, 803868, 803869]",6,False,True,2422.35,True,2
"[559110, 792839, 746521, 746779, 746523, 746524, 746525, 746144, 746530, 746532, 558887, 790825, 436526, 746545, 703797, 703798, 746170, 746171, 746173, 744768, 704192, 746176, 436673, 746180, 746182, 746183, 746184, 746185, 746186, 747726, 747727, 704592, 745685, 745558, 745560, 745947, 745691, 745693, 745948, 746207, 746976, 746975, 746208, 738925, 790513]",45,False,True,37273.78,True,2
"[804377, 804275, 805022]",3,False,True,165.23,True,2
"[806921, 806917, 778550]",3,False,True,4361.4,True,2
"[803935, 764115, 804167, 811535]",4,False,True,7392.54,True,2
"[815235, 795300, 813129, 794993, 794994, 813078, 807134]",7,False,True,3381.25,True,2
"[758944, 798249, 768324, 758942]",4,False,True,6000.2,True,3
"[785337, 784020, 784023]",3,False,True,192.66,True,2
"[798842, 803819]",2,False,True,909.4,True,2
"[799344, 799343]",2,False,True,0.01,True,2
"[768129, 774529, 793110, 791255, 774360, 777567]",6,False,True,3729.57,True,2
"[728920, 730150, 731188, 730148]",4,False,True,213.67,True,2
"[694534, 691721, 694288, 694551, 694552, 694687, 694688, 694433, 694434, 694435, 694564, 694565, 694437, 694695, 694438, 694439, 694696, 694443, 694441, 694442, 692010, 694440, 692269, 692012, 694701, 694700, 694577, 694578, 692005, 692020, 692277, 692278, 692279, 694449, 694586, 694587, 694588, 695866, 692031, 692287, 694593, 694594, 694597, 694988, 692053, 694999, 692058, 694699, 694646, 694647, 694649, 694651, 693631]",53,False,True,664.71,True,20
"[769729, 774919]",2,False,True,820.43,True,2
"[794816, 794817, 789698, 790883, 794184, 797101, 797103, 799482, 799483, 794815]",10,False,True,1475.95,True,2
"[760160, 760552, 756432, 756434, 756151, 753848, 756153, 756157, 756158]",9,False,True,880.73,True,4
"[794757, 797675, 794766, 795992, 795994, 795997]",6,False,True,461.95,True,2
"[801924, 780395, 802766, 801939, 801144]",5,False,True,3306.65,True,3
"[770208, 797348, 776517, 771270, 777021, 773552, 773554, 778484, 774869, 777020, 770205, 778046]",12,False,True,3862.49,True,2
"[797638, 797639, 797640, 797641, 797454, 797051]",6,False,True,122.64,True,3
"[800960, 800961, 786401, 799102, 800959]",5,False,True,2186.37,True,2
"[794247, 788056, 788345, 788346, 788349]",5,False,True,885.53,True,2
"[789384, 792848, 792850, 792849]",4,False,True,506.67,True,3
"[797521, 798130]",2,False,True,71.44,True,2
"[797048, 797027, 795261, 795270]",4,False,True,240.95,True,2
"[852099, 788488, 790797, 789916, 789921, 789922, 788407, 790216, 790220, 792019, 792663, 792295, 794862, 792303, 795506, 788339, 788471, 789370, 792059]",19,False,True,11150.14,True,6
"[786755, 672804, 705191, 697212, 739817, 697385, 690123, 786737, 698236, 698237]",10,False,True,15159.56,True,2
"[793141, 793142]",2,False,True,0.18,True,2
"[793568, 750314, 750637, 632310, 607159, 793564]",6,False,True,23257.55,True,2
"[795618, 795619, 795620, 795621, 682533, 795161, 795162, 795708, 795709]",9,False,True,15171.15,True,2
"[779713, 779714, 783215, 783858, 783859, 779796, 783930, 783931, 783932]",9,False,True,500.19,True,2
"[778705, 778709, 762582, 778716, 762622]",5,False,True,2681.5,True,2
"[795532, 795533]",2,False,True,0.07,True,2
"[788288, 788295, 784062, 785877, 788282, 788283, 788284, 788285, 788286, 788287]",10,False,True,651.51,True,10
"[787242, 782124, 781807, 788303, 788305, 778065, 778077, 780895]",8,False,True,1361.26,True,2
"[755201, 792196, 792197, 792330, 792332, 792208, 792221, 792223, 792225, 752041, 752299, 752437, 772795, 778816, 778817, 750662, 778695, 753480, 750666, 752076, 750671, 750672, 772816]",23,False,True,6066.77,True,2
"[785027, 785575, 785682, 788467, 793044, 788469, 788468, 786483]",8,False,True,1190.38,True,2
"[785957, 787977, 787978, 787979, 785962, 787246, 787247, 787248, 787249, 785438]",10,False,True,430.73,True,2
"[682946, 671490, 649186, 768334, 768463, 669647, 655827, 671769, 720761]",9,False,True,15182.02,True,3
"[775104, 774689, 774245, 786056, 775838, 775099, 775100, 775101, 775102, 775103]",10,False,True,1607.39,True,3
"[762578, 761850, 762580]",3,False,True,89.94,True,2
"[751278, 751279]",2,False,True,0.0,True,2
"[775264, 775266, 774835, 775257, 775258, 775260, 775261, 775262, 775263]",9,False,True,31.93,True,4
"[782754, 781956, 782249, 781934, 781935, 781971]",6,False,True,102.66,True,2
"[776260, 778982, 776264, 776267, 781196, 775798, 779000, 783865, 783866, 779005]",10,False,True,1012.23,True,3
"[513520, 513521, 511026, 511027]",4,False,True,216.7,True,3
"[781953, 773699, 782022, 777128, 780429, 781070, 780880, 778419, 778101, 773688, 774201, 776890]",12,False,True,1145.27,True,2
"[780139, 773715, 779700, 774844, 754429]",5,False,True,4019.6,True,2
"[781954, 781955, 773731, 775655, 775756, 718572, 775578, 778102, 773722, 780090]",10,False,True,8336.23,True,2
"[764408, 764407, 764311]",3,False,True,10.31,True,2
"[732453, 740103, 739981, 860239, 738488, 741628]",6,False,True,20510.3,True,2
"[779808, 779814, 779815, 780104, 780108, 779516]",6,False,True,53.01,True,3
"[776497, 780482, 776498, 776508]",4,False,True,590.97,True,2
"[774414, 774415, 769440, 762410, 762415, 765131, 774476, 774477, 774478, 762579, 718552, 769134, 769135, 769136, 769138, 774260, 774261, 774262, 774263, 774264]",20,False,True,7336.79,True,2
"[776922, 776923]",2,False,True,0.02,True,2
"[742050, 776620, 776621, 776687]",4,False,True,5128.81,True,2
"[770474, 760043, 760047]",3,False,True,1841.24,True,2
"[779178, 779179, 708701, 775630]",4,False,True,9183.57,True,2
"[700512, 700545, 700770, 700544, 699908, 700488, 700585, 700744, 592074, 700120, 686962, 687252, 699671, 700760, 708569]",15,False,True,13264.54,True,3
"[774913, 775052, 776815, 776816, 774714, 774711, 773335, 774715, 774716, 774717]",10,False,True,472.03,True,2
"[769976, 770487, 770629, 770520]",4,False,True,116.42,True,2
"[773274, 772460, 775045]",3,False,True,382.55,True,2
"[752736, 777025, 776998, 750475, 752340, 778070, 778071, 753118]",8,False,True,4177.94,True,2
"[766963, 766965]",2,False,True,0.42,True,2
"[755138, 759941, 755143, 776811, 754604, 774060, 776722, 775902, 775903]",9,False,True,3516.96,True,3
"[673281, 673286, 673287, 673291, 677524, 671899, 671900, 671901, 671902, 671903, 671904, 671907, 671908, 671909, 671910, 678601, 671231, 673266, 673274, 673279]",20,False,True,965.85,True,9
"[774042, 773556]",2,False,True,52.73,True,2
"[774915, 774917]",2,False,True,0.1,True,2
"[635142, 688271, 622611, 688286, 628003, 624163, 624164, 624166, 634028, 688691, 688692, 627514, 688829, 624194, 624195, 624324, 627150, 622415, 624849, 623058, 624467, 624600, 623065, 623193, 624859, 624359, 626921, 627436, 627319, 628093]",30,False,True,7566.07,True,5
"[773009, 773010, 753972, 753966]",4,False,True,3054.74,True,2
"[770684, 772168, 772169, 773436, 770687]",5,False,True,446.86,True,2
"[773408, 772805, 771365, 773266, 773267, 771223, 773404, 773406]",8,False,True,336.35,True,2
"[772362, 772363, 772365, 771727, 771761, 772373, 771737]",7,False,True,114.92,True,2
"[772714, 773675, 772684, 772685, 774227, 773908, 773909, 775640, 775641]",9,False,True,459.1,True,3
"[773192, 764074]",2,False,True,1582.92,True,2
"[767922, 767588, 767594, 767586]",4,False,True,24.57,True,2
"[706880, 707593, 843699, 706900, 714295, 706904, 707227, 707228]",8,False,True,20099.9,True,3
"[771234, 771249, 771252, 771990, 771070, 771071]",6,False,True,163.34,True,3
"[770144, 767587, 768068, 771398, 770282, 748363, 755180, 750349, 753230, 743695, 770512, 741452, 769726, 748279, 748507, 769885, 747774]",17,False,True,4483.58,True,2
"[771835, 771836, 771837, 771958]",4,False,True,18.51,True,3
"[761829, 763621, 763626, 770031, 770032, 770033, 770034, 770035]",8,False,True,1537.79,True,2
"[768256, 768257, 768258, 768259, 712068, 767364, 766214, 766487, 766489, 766491, 766492, 766494, 769439, 766495, 766497, 767526, 770598, 770599, 768174, 768175, 767287, 767291, 713049, 766171, 768248]",25,False,True,7414.06,True,4
"[758211, 755644, 751110]",3,False,True,811.35,True,2
"[739332, 740362, 740364, 740365, 740366, 740367, 752654, 750610, 740370, 740374, 738328, 740376, 743086, 806943, 743088, 743089, 739324, 743090, 739325, 743091, 737848, 757305, 739386, 757306, 757307, 817209, 817210, 817215, 817214, 817212, 817211, 731207, 752711, 743095, 758971, 743510, 755799, 737370, 750171, 743099, 741984, 743102, 743103, 760950, 744059, 744066, 744582, 744583, 744586, 752789, 744599, 744601, 744606, 744609, 744611, 744613, 752294, 744614, 744616, 744615, 744618, 744619, 744620, 743077, 744622, 743081, 744624, 743083, 743084, 744627, 743085, 744629, 744630, 744631, 743087, 744633, 744634, 752315, 744636, 743094, 744638, 752319, 744639, 743096, 743106, 743107, 743108, 743100, 743101, 743111, 743112, 743104, 743105, 770246, 769741, 743118, 743119, 743121, 743122, 743124, 743126, 743127, 743129, 743130, 743131, 745180, 743133, 743136, 743137, 743138, 743139, 751852, 788720, 788721, 788723, 754939, 749827, 772381, 772383, 772384, 754977, 769827, 769832, 769833, 755525, 755526, 748367, 743249, 807767, 752482, 744294, 744295, 816486, 749929, 744298, 744299, 744300, 744302, 744304, 744305, 744306, 738163, 744308, 744307, 744309, 744311, 744312, 744313, 744314, 744315, 744320, 756097, 744322, 744324, 744330, 756107, 744331, 744332, 744334, 744335, 744337, 756114, 744338, 744340, 744341, 744344, 744346, 744348, 744349, 744350, 750495, 760734, 744353, 744354, 744355, 744358, 744359, 744360, 744361, 744363, 777151, 754114, 750534, 777159, 753108, 739285, 744408, 744411, 744412, 738269, 765411, 765412, 765413, 739307, 734700, 739309, 739308, 739312, 739313, 739314, 739315, 739316, 739317, 739318, 739319, 739320, 739321, 739322, 739323, 740348, 753149, 750591]",212,False,True,12744.47,True,17
"[768189, 762998]",2,False,True,838.14,True,2
"[770209, 770220]",2,False,True,2.04,True,2
"[767961, 767034, 767238, 767435, 767436, 767246, 767057, 767636, 767030, 767639, 767032, 767033, 767962, 767963, 767964, 767062]",16,False,True,94.72,True,2
"[748136, 764021, 747118, 748135]",4,False,True,2312.68,True,2
"[738274, 745594, 747279]",3,False,True,1319.06,True,2
"[740674, 739270, 770552, 770839, 720242, 712659, 710996, 740917, 740916, 720311, 720312, 740918, 712634, 770555]",14,False,True,7612.07,True,6
"[760162, 760163, 759080, 759096, 760155, 760158, 760159]",7,False,True,167.38,True,2
"[759319, 760136, 765006, 760974, 760976, 765007, 765008, 760631]",8,False,True,961.53,True,2
