Path,length,service_length
"['openstack/python-aodhclient', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/python-aodhclient', 'openstack/python-aodhclient', 'openstack/aodh', 'openstack/ceilometer', 'openstack/aodh', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/aodh', 'openstack/ceilometer', 'openstack/devstack', 'openstack/telemetry-tempest-plugin', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer', 'openstack/devstack', 'openstack/ceilometer', 'openstack/telemetry-tempest-plugin', 'openstack/aodh', 'openstack/python-aodhclient', 'openstack/python-aodhclient', 'openstack/aodh', 'openstack/ceilometer', 'openstack/aodh', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/telemetry-tempest-plugin', 'openstack/ceilometer', 'openstack/tacker', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer']",6,5
"['openstack/devstack', 'openstack/nova', 'openstack/glance', 'openstack/cinder-tempest-plugin', 'openstack/cinder']",5,4
"['openstack/horizon', 'openstack/requirements']",2,2
"['openstack/devstack', 'openstack/cinder-tempest-plugin', 'openstack/cinder']",3,2
"['openstack/aodh', 'openstack/ceilometer', 'openstack/aodh', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/aodh']",2,2
"['openstack/ironic', 'openstack/ironic', 'openstack/requirements', 'openstack/ironic']",2,2
"['openstack/requirements', 'openstack/horizon']",2,2
"['openstack/charm-nova-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/ansible-collections-openstack', 'openstack/openstacksdk']",2,2
"['openstack/project-config', 'openstack/openstacksdk']",2,2
"['openstack/nova', 'openstack/tempest']",2,2
"['openstack/openstacksdk', 'openstack/ansible-collections-openstack']",2,2
"['openstack/ceilometer', 'openstack/aodh', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/aodh']",2,2
"['openstack/project-config', 'openstack/governance']",2,2
"['openstack/project-config', 'openstack/requirements', 'openstack/governance', 'openstack/openstack-ansible', 'openstack/openstack-ansible-rsyslog_server', 'openstack/openstack-ansible-rsyslog_client']",6,4
"['openstack/charm-glance-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-lxc_hosts', 'openstack/openstack-ansible-lxc_hosts', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-lxc_hosts', 'openstack/openstack-ansible-os_rally', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-rabbitmq_server', 'openstack/openstack-ansible-rabbitmq_server']",4,2
"['openstack/ansible-collections-openstack', 'openstack/openstacksdk']",2,2
