Path,length,service_length
"['openstack/octavia-tempest-plugin', 'openstack/nova', 'openstack/placement']",3,3
"['openstack/cookbook-openstack-integration-test', 'openstack/cookbook-openstack-dns', 'openstack/cookbook-openstack-telemetry', 'openstack/cookbook-openstack-dashboard', 'openstack/cookbook-openstack-compute', 'openstack/cookbook-openstack-orchestration', 'openstack/cookbook-openstack-network', 'openstack/cookbook-openstack-block-storage', 'openstack/cookbook-openstack-image', 'openstack/cookbook-openstack-identity', 'openstack/cookbook-openstack-ops-messaging', 'openstack/openstack-chef', 'openstack/cookbook-openstackclient', 'openstack/cookbook-openstack-ops-database', 'openstack/cookbook-openstack-common']",15,2
"['openstack/octavia', 'openstack/devstack-gate']",2,2
"['openstack/neutron-tempest-plugin', 'openstack/neutron-tempest-plugin', 'openstack/tempest']",2,2
"['openstack/neutron', 'openstack/tempest']",2,2
"['openstack/oslo.vmware', 'openstack/requirements', 'openstack/oslo.vmware', 'openstack/requirements']",2,2
"['openstack/nova', 'openstack/devstack-plugin-ceph', 'openstack/devstack', 'openstack/devstack-plugin-ceph', 'openstack/devstack']",3,2
"['openstack/charm-guide', 'openstack/charm-barbican']",2,2
"['openstack/manila-tempest-plugin', 'openstack/devstack-plugin-ceph']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/openstack-ansible-galera_server', 'openstack/ansible-role-pki']",2,2
"['openstack/tempest', 'openstack/nova', 'openstack/python-novaclient']",3,2
"['openstack/tempest', 'openstack/nova']",2,2
"['openstack/os-api-ref', 'openstack/nova', 'openstack/nova']",2,2
"['openstack/devstack', 'openstack/nova']",2,2
"['openstack/validations-common', 'openstack/validations-common', 'openstack/requirements', 'openstack/validations-common']",2,2
"['openstack/devstack', 'openstack/nova']",2,2
"['openstack/cinder', 'openstack/networking-generic-switch', 'openstack/tempest']",3,3
"['openstack/nova', 'openstack/neutron', 'openstack/tempest']",3,3
"['openstack/glance', 'openstack/tempest']",2,2
"['openstack/openstack-helm-images', 'openstack/openstack-helm-images', 'openstack/loci']",2,2
"['openstack/nova', 'openstack/tempest']",2,2
"['openstack/charm-deployment-guide', 'openstack/charm-nova-compute', 'openstack/charm-deployment-guide']",2,2
"['openstack/tripleo-image-elements', 'openstack/tripleo-image-elements', 'openstack/diskimage-builder']",2,2
"['openstack/cinder', 'openstack/requirements']",2,2
"['openstack/python-manilaclient', 'openstack/devstack']",2,2
"['openstack/mistral', 'openstack/aodh', 'openstack/barbican', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer', 'openstack/panko', 'openstack/zaqar', 'openstack/networking-bgpvpn', 'openstack/networking-bgpvpn', 'openstack/networking-ovn', 'openstack/networking-ovn', 'openstack/networking-ovn', 'openstack/heat', 'openstack/ansible-role-container-registry', 'openstack/puppet-tripleo', 'openstack/puppet-tripleo', 'openstack/aodh', 'openstack/tripleo-ci', 'openstack/panko', 'openstack/panko', 'openstack/panko', 'openstack/panko', 'openstack/barbican', 'openstack/panko', 'openstack/barbican', 'openstack/mistral', 'openstack/ceilometer', 'openstack/zaqar', 'openstack/python-mistralclient', 'openstack/barbican', 'openstack/zaqar', 'openstack/panko', 'openstack/panko', 'openstack/ceilometer', 'openstack/mistral', 'openstack/heat', 'openstack/mistral', 'openstack/mistral', 'openstack/mistral', 'openstack/heat', 'openstack/ceilometer', 'openstack/aodh', 'openstack/aodh', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/ceilometer', 'openstack/aodh', 'openstack/aodh']",13,9
"['openstack/ironic-python-agent-builder', 'openstack/diskimage-builder', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent-builder']",3,2
"['openstack/ironic-python-agent', 'openstack/devstack', 'openstack/ironic']",3,2
"['openstack/devstack', 'openstack/ironic']",2,2
"['openstack/tempest', 'openstack/neutron']",2,2
"['openstack/charm-guide', 'openstack/charm-cinder']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/ironic', 'openstack/sushy-oem-idrac']",2,2
"['openstack/ironic', 'openstack/sushy-oem-idrac']",2,2
"['openstack/puppet-keystone', 'openstack/puppet-keystone', 'openstack/puppet-keystone', 'openstack/puppet-keystone', 'openstack/tripleo-heat-templates', 'openstack/puppet-keystone']",2,2
"['openstack/requirements', 'openstack/tripleo-ansible']",2,2
"['openstack/tripleo-ansible', 'openstack/project-config', 'openstack/project-config']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-cinder', 'openstack/puppet-cinder', 'openstack/puppet-cinder', 'openstack/puppet-octavia', 'openstack/puppet-octavia', 'openstack/puppet-heat', 'openstack/puppet-octavia', 'openstack/puppet-heat', 'openstack/puppet-cinder', 'openstack/puppet-heat', 'openstack/puppet-barbican', 'openstack/puppet-barbican', 'openstack/puppet-gnocchi', 'openstack/puppet-gnocchi', 'openstack/puppet-manila', 'openstack/puppet-manila', 'openstack/puppet-ironic', 'openstack/puppet-ironic', 'openstack/puppet-mistral', 'openstack/puppet-placement', 'openstack/puppet-cinder', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-barbican', 'openstack/puppet-gnocchi', 'openstack/puppet-placement', 'openstack/puppet-mistral', 'openstack/puppet-manila', 'openstack/puppet-cinder', 'openstack/puppet-placement', 'openstack/puppet-nova', 'openstack/puppet-aodh', 'openstack/puppet-ironic', 'openstack/puppet-mistral', 'openstack/puppet-aodh', 'openstack/puppet-aodh', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-heat', 'openstack/puppet-heat', 'openstack/puppet-keystone', 'openstack/puppet-openstacklib', 'openstack/puppet-openstack-integration', 'openstack/puppet-zaqar']",16,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-keystone', 'openstack/puppet-keystone']",2,2
"['openstack/devstack', 'openstack/placement']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/nova', 'openstack/project-config']",2,2
"['openstack/diskimage-builder', 'openstack/ironic-python-agent-builder']",2,2
"['openstack/nova', 'openstack/cinder']",2,2
"['openstack/governance', 'openstack/election']",2,2
"['openstack/tripleo-heat-templates', 'openstack/openstack-tempest-skiplist', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates']",2,2
"['openstack/tripleo-quickstart', 'openstack/tripleo-ci', 'openstack/tripleo-ci', 'openstack/openstack-tempest-skiplist', 'openstack/tripleo-quickstart-extras', 'openstack/tripleo-quickstart-extras']",4,2
"['openstack/tripleo-heat-templates', 'openstack/nova']",2,2
"['openstack/puppet-designate', 'openstack/tripleo-heat-templates', 'openstack/puppet-tripleo']",3,2
"['openstack/python-openstackclient', 'openstack/python-novaclient', 'openstack/nova']",3,2
"['openstack/neutron-dynamic-routing', 'openstack/networking-bgpvpn', 'openstack/neutron', 'openstack/dragonflow']",4,2
"['openstack/python-openstackclient', 'openstack/python-novaclient', 'openstack/nova']",3,2
"['openstack/devstack', 'openstack/devstack', 'openstack/cinder-tempest-plugin']",2,2
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/ironic', 'openstack/sushy-oem-idrac']",2,2
"['openstack/keystone', 'openstack/oslo.cache']",2,2
"['openstack/manila', 'openstack/devstack']",2,2
"['openstack/ansible-role-collect-logs', 'openstack/tripleo-ci-health-queries']",2,2
"['openstack/sushy-oem-idrac', 'openstack/sushy']",2,2
"['openstack/tripleo-quickstart', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/neutron', 'openstack/requirements']",2,2
"['openstack/octavia-tempest-plugin', 'openstack/devstack']",2,2
"['openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/ironic-inspector', 'openstack/ironic-inspector']",2,2
"['openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/oslo.privsep']",2,2
"['openstack/nova', 'openstack/nova', 'openstack/cyborg', 'openstack/neutron-lib']",3,3
"['openstack/neutron-lib', 'openstack/osc-placement', 'openstack/placement']",3,3
"['openstack/openstack-zuul-jobs', 'openstack/python-tripleoclient']",2,2
"['openstack/sushy-oem-idrac', 'openstack/sushy']",2,2
"['openstack/devstack', 'openstack/devstack', 'openstack/ironic']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-ovn']",2,2
"['openstack/tripleo-ci', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-common', 'openstack/tripleo-common', 'openstack/tripleo-common', 'openstack/tripleo-common', 'openstack/tripleo-common', 'openstack/openstack-tempest-skiplist']",4,2
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/nova', 'openstack/openstack-zuul-jobs']",2,2
"['openstack/openstack-ansible', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible']",2,2
"['openstack/kolla', 'openstack/masakari-dashboard']",2,2
"['openstack/cliff', 'openstack/requirements']",2,2
"['openstack/neutron-tempest-plugin', 'openstack/tripleo-heat-templates', 'openstack/neutron-tempest-plugin', 'openstack/devstack', 'openstack/neutron', 'openstack/neutron']",4,3
"['openstack/ansible-collections-openstack', 'openstack/openstacksdk']",2,2
"['openstack/nova', 'openstack/devstack-gate']",2,2
"['openstack/glance', 'openstack/glance', 'openstack/requirements']",2,2
"['openstack/keystoneauth', 'openstack/keystoneauth', 'openstack/keystoneauth', 'openstack/requirements']",2,2
"['openstack/keystone', 'openstack/keystone', 'openstack/ironic', 'openstack/tempest', 'openstack/devstack']",4,4
"['openstack/tacker', 'openstack/masakari-monitors', 'openstack/congress-tempest-plugin', 'openstack/masakari', 'openstack/qinling', 'openstack/karbor', 'openstack/karbor-dashboard', 'openstack/python-cloudkittyclient', 'openstack/tacker', 'openstack/storlets', 'openstack/sahara', 'openstack/sahara-tests', 'openstack/barbican', 'openstack/zaqar', 'openstack/congress', 'openstack/congress-dashboard', 'openstack/designate', 'openstack/panko', 'openstack/monasca-api', 'openstack/ceilometer', 'openstack/monasca-events-api', 'openstack/designate-dashboard', 'openstack/monasca-log-api', 'openstack/monasca-notification', 'openstack/neutron-vpnaas-dashboard', 'openstack/monasca-agent', 'openstack/monasca-ui', 'openstack/monasca-transform', 'openstack/monasca-persister', 'openstack/senlin-dashboard', 'openstack/magnum-ui', 'openstack/zaqar-ui', 'openstack/solum', 'openstack/murano', 'openstack/cloudkitty-tempest-plugin', 'openstack/cloudkitty', 'openstack/solum-dashboard', 'openstack/murano-agent', 'openstack/murano-dashboard', 'openstack/murano-pkg-check', 'openstack/watcher', 'openstack/magnum', 'openstack/zun', 'openstack/senlin', 'openstack/searchlight-ui', 'openstack/qinling-dashboard', 'openstack/mistral-extra', 'openstack/sahara-dashboard', 'openstack/mistral-dashboard', 'openstack/kuryr-kubernetes', 'openstack/kuryr-libnetwork', 'openstack/kuryr', 'openstack/requirements']",52,23
"['openstack/glance', 'openstack/tempest']",2,2
"['openstack/neutron', 'openstack/tempest']",2,2
"['openstack/cinder-tempest-plugin', 'openstack/requirements']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/osprofiler', 'openstack/manila']",2,2
"['openstack/openstack-helm-images', 'openstack/openstack-helm', 'openstack/loci', 'openstack/openstack-helm-infra']",4,2
"['openstack/tripleo-validations', 'openstack/tripleo-validations', 'openstack/tripleo-validations', 'openstack/tripleo-validations', 'openstack/tripleo-validations', 'openstack/oslo.config', 'openstack/oslo.config', 'openstack/oslo.config', 'openstack/oslo.config', 'openstack/oslo.config']",2,2
"['openstack/project-config', 'openstack/devstack', 'openstack/project-config']",2,2
"['openstack/octavia', 'openstack/glance_store', 'openstack/glance', 'openstack/nova', 'openstack/cinder', 'openstack/os-brick', 'openstack/oslo.versionedobjects', 'openstack/tooz', 'openstack/requirements']",9,6
"['openstack/tempest', 'openstack/nova', 'openstack/tempest', 'openstack/nova', 'openstack/nova', 'openstack/nova']",2,2
"['openstack/openstacksdk', 'openstack/ansible-collections-openstack']",2,2
"['openstack/nova', 'openstack/tripleo-heat-templates', 'openstack/puppet-nova', 'openstack/nova', 'openstack/nova']",3,3
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/tripleo-heat-templates', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/devstack', 'openstack/tempest']",2,2
"['openstack/tempest', 'openstack/devstack', 'openstack/nova', 'openstack/project-config', 'openstack/neutron', 'openstack/os-vif']",6,5
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/keystone', 'openstack/oslo.policy']",2,2
"['openstack/openstack-ansible-os_panko', 'openstack/project-config']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/tripleo-heat-templates', 'openstack/puppet-nova']",2,2
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/tripleo-ci', 'openstack/requirements']",2,2
"['openstack/tripleo-heat-templates', 'openstack/hacking']",2,2
"['openstack/nova-specs', 'openstack/placement']",2,2
"['openstack/neutron', 'openstack/nova', 'openstack/tempest']",3,3
"['openstack/ironic', 'openstack/metalsmith', 'openstack/devstack']",3,2
"['openstack/devstack', 'openstack/ironic', 'openstack/ironic']",2,2
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/requirements', 'openstack/keystone']",2,2
"['openstack/tempest', 'openstack/tempest', 'openstack/devstack', 'openstack/glance', 'openstack/tempest']",3,3
"['openstack/tripleo-heat-templates', 'openstack/puppet-tripleo', 'openstack/puppet-manila', 'openstack/manila']",4,3
"['openstack/nova', 'openstack/tempest']",2,2
"['openstack/cookbook-openstack-integration-test', 'openstack/openstack-chef', 'openstack/cookbook-openstack-integration-test', 'openstack/cookbook-openstack-integration-test', 'openstack/openstack-chef', 'openstack/cookbook-openstack-image', 'openstack/cookbook-openstack-block-storage', 'openstack/cookbook-openstack-network', 'openstack/cookbook-openstack-identity', 'openstack/cookbook-openstack-compute', 'openstack/cookbook-openstack-telemetry', 'openstack/openstack-chef', 'openstack/cookbook-openstack-orchestration', 'openstack/cookbook-openstack-dashboard', 'openstack/cookbook-openstack-bare-metal', 'openstack/cookbook-openstack-dns', 'openstack/cookbook-openstackclient', 'openstack/cookbook-openstack-ops-database', 'openstack/cookbook-openstack-ops-messaging', 'openstack/cookbook-openstack-common', 'openstack/cookbook-openstack-integration-test']",16,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/cinder', 'openstack/tempest']",2,2
"['openstack/horizon', 'openstack/devstack']",2,2
"['openstack/ironic-tempest-plugin', 'openstack/tempest']",2,2
"['openstack/devstack', 'openstack/keystone', 'openstack/keystone-tempest-plugin']",3,2
"['openstack/openstack-ansible-os_keystone', 'openstack/openstack-ansible-os_keystone', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-os_keystone', 'openstack/openstack-ansible-os_keystone']",2,2
"['openstack/tempest', 'openstack/devstack']",2,2
"['openstack/puppet-cinder', 'openstack/cinder']",2,2
"['openstack/openstacksdk', 'openstack/openstacksdk', 'openstack/ansible-collections-openstack']",2,2
"['openstack/neutron', 'openstack/python-openstackclient', 'openstack/networking-bgpvpn', 'openstack/neutron-lib']",4,2
"['openstack/tripleo-validations', 'openstack/requirements', 'openstack/tripleo-validations', 'openstack/requirements']",2,2
"['openstack/nova', 'openstack/manila', 'openstack/nova', 'openstack/requirements', 'openstack/keystone', 'openstack/blazar', 'openstack/manila', 'openstack/placement', 'openstack/nova', 'openstack/cinder', 'openstack/manila', 'openstack/manila', 'openstack/manila', 'openstack/placement', 'openstack/masakari', 'openstack/nova', 'openstack/masakari', 'openstack/neutron', 'openstack/releases']",10,10
"['openstack/tripleo-quickstart-extras', 'openstack/puppet-ironic', 'openstack/tripleo-quickstart-extras', 'openstack/ironic-lib', 'openstack/ironic-lib', 'openstack/ironic-lib', 'openstack/ironic-lib']",3,3
"['openstack/cinder', 'openstack/nova', 'openstack/cinder', 'openstack/devstack-plugin-nfs']",3,3
"['openstack/charm-cinder-purestorage', 'openstack/charm-guide', 'openstack/charm-cinder-purestorage']",2,2
"['openstack/openstack-ansible', 'openstack/requirements']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/ansible-role-qdrouterd', 'openstack/openstack-ansible-ceph_client', 'openstack/ansible-role-qdrouterd', 'openstack/openstack-ansible-tests', 'openstack/ansible-role-pki', 'openstack/ansible-role-pki', 'openstack/ansible-role-pki', 'openstack/openstack-ansible-tests', 'openstack/ansible-role-pki', 'openstack/ansible-role-pki', 'openstack/ansible-role-pki']",4,3
"['openstack/nova', 'openstack/neutron', 'openstack/tempest']",3,3
"['openstack/os-brick', 'openstack/cinder-tempest-plugin', 'openstack/os-brick', 'openstack/cinder', 'openstack/cinder-tempest-plugin', 'openstack/os-brick', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican']",4,2
"['openstack/python-openstackclient', 'openstack/neutron']",2,2
"['openstack/governance', 'openstack/js-openstack-lib', 'openstack/project-config']",3,3
"['openstack/project-config', 'openstack/puppet-openstack-specs']",2,2
"['openstack/governance', 'openstack/project-config', 'openstack/scientific-wg']",3,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/openstack-ansible', 'openstack/openstack-ansible', 'openstack/ansible-role-uwsgi']",2,2
"['openstack/charm-nova-compute', 'openstack/charm-nova-compute', 'openstack/charm-deployment-guide']",2,2
"['openstack/openstack-ansible-os_heat', 'openstack/heat']",2,2
"['openstack/openstacksdk', 'openstack/devstack', 'openstack/tempest', 'openstack/nova']",4,4
"['openstack/nova', 'openstack/tempest']",2,2
"['openstack/neutron', 'openstack/devstack']",2,2
"['openstack/kolla-ansible', 'openstack/kolla', 'openstack/bifrost', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla']",3,2
"['openstack/openstack-ansible-os_neutron', 'openstack/openstack-ansible-os_nova', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_placement']",4,2
"['openstack/tacker', 'openstack/tempest', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/masakari', 'openstack/vitrage', 'openstack/devstack']",5,5
"['openstack/neutron', 'openstack/devstack', 'openstack/diskimage-builder']",3,3
"['openstack/puppet-vswitch', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-vswitch', 'openstack/puppet-vswitch', 'openstack/puppet-vswitch', 'openstack/tripleo-heat-templates', 'openstack/puppet-ovn']",3,2
"['openstack/releases', 'openstack/project-config']",2,2
"['openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/tempest']",2,2
"['openstack/releases', 'openstack/puppet-tripleo']",2,2
"['openstack/devstack', 'openstack/devstack', 'openstack/neutron', 'openstack/devstack']",2,2
"['openstack/nova', 'openstack/requirements']",2,2
"['openstack/releases', 'openstack/puppet-ovn']",2,2
"['openstack/openstack-ansible', 'openstack/ansible-role-uwsgi']",2,2
"['openstack/releases', 'openstack/project-config']",2,2
"['openstack/designate-dashboard', 'openstack/octavia-dashboard', 'openstack/heat-dashboard', 'openstack/murano-dashboard', 'openstack/ironic-ui', 'openstack/vitrage-dashboard', 'openstack/zun-ui', 'openstack/zaqar-ui', 'openstack/senlin-dashboard', 'openstack/horizon']",10,10
"['openstack/neutron', 'openstack/devstack']",2,2
"['openstack/diskimage-builder', 'openstack/octavia']",2,2
"['openstack/keystone', 'openstack/keystone', 'openstack/devstack-gate', 'openstack/keystone']",2,2
"['openstack/tempest', 'openstack/keystone', 'openstack/python-keystoneclient']",3,2
"['openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-barbican', 'openstack/puppet-barbican', 'openstack/puppet-barbican', 'openstack/puppet-barbican']",2,2
"['openstack/manila', 'openstack/devstack-plugin-ceph']",2,2
"['openstack/tripleo-common', 'openstack/tripleo-heat-templates', 'openstack/tripleo-common', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-common', 'openstack/tripleo-heat-templates', 'openstack/heat', 'openstack/heat', 'openstack/heat', 'openstack/tripleo-heat-templates', 'openstack/tripleo-common', 'openstack/python-tripleoclient', 'openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/tripleo-specs', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/heat', 'openstack/tripleo-heat-templates', 'openstack/tripleo-common']",6,2
"['openstack/releases', 'openstack/xstatic-angular']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/cinder', 'openstack/nova', 'openstack/devstack']",3,3
"['openstack/tempest', 'openstack/devstack']",2,2
"['openstack/devstack', 'openstack/devstack', 'openstack/nova', 'openstack/devstack']",2,2
"['openstack/charm-cinder', 'openstack/charm-cinder-purestorage', 'openstack/charm-interface-cinder-backend', 'openstack/charm-keystone-ldap', 'openstack/charm-layer-openstack', 'openstack/charm-interface-keystone-domain-backend', 'openstack/charms.openstack']",7,3
"['openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible']",2,2
"['openstack/devstack', 'openstack/devstack-plugin-ceph', 'openstack/cinder']",3,2
"['openstack/nova', 'openstack/cinder', 'openstack/glance', 'openstack/ironic', 'openstack/keystone', 'openstack/swift', 'openstack/manila-tempest-plugin', 'openstack/devstack', 'openstack/kuryr-kubernetes', 'openstack/magnum', 'openstack/neutron', 'openstack/neutron-tempest-plugin', 'openstack/nova', 'openstack/keystone', 'openstack/ironic']",12,11
"['openstack/networking-odl', 'openstack/neutron', 'openstack/networking-odl', 'openstack/dragonflow', 'openstack/networking-ovn']",4,2
"['openstack/ansible-collections-openstack', 'openstack/openstacksdk']",2,2
"['openstack/kayobe', 'openstack/tenks']",2,2
"['openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/tempest', 'openstack/nova']",2,2
"['openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible']",2,2
"['openstack/manila-tempest-plugin', 'openstack/devstack-tools']",2,2
"['openstack/osc-placement', 'openstack/placement', 'openstack/placement', 'openstack/nova', 'openstack/openstack-zuul-jobs']",4,3
"['openstack/python-tripleoclient', 'openstack/releases', 'openstack/python-tripleoclient']",2,2
"['openstack/diskimage-builder', 'openstack/tripleo-image-elements']",2,2
"['openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/tripleo-heat-templates']",2,2
"['openstack/releases', 'openstack/project-config']",2,2
"['openstack/openstack-zuul-jobs', 'openstack/requirements', 'openstack/requirements', 'openstack/requirements', 'openstack/project-config']",3,2
"['openstack/openstack-tempest-skiplist', 'openstack/tripleo-quickstart-extras']",2,2
"['openstack/ironic-python-agent', 'openstack/ironic-python-agent-builder', 'openstack/diskimage-builder']",3,2
"['openstack/tempest', 'openstack/devstack']",2,2
"['openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/tripleo-quickstart-extras', 'openstack/tripleo-heat-templates', 'openstack/nova', 'openstack/nova']",3,2
"['openstack/devstack', 'openstack/tempest', 'openstack/nova']",3,3
"['openstack/nova', 'openstack/devstack']",2,2
"['openstack/openstack-ansible-os_senlin', 'openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible-os_senlin', 'openstack/openstack-ansible']",3,2
"['openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/tripleo-heat-templates']",2,2
"['openstack/ansible-collections-openstack', 'openstack/bifrost']",2,2
"['openstack/charm-guide', 'openstack/charm-nova-cloud-controller']",2,2
"['openstack/ironic', 'openstack/ironic', 'openstack/python-dracclient', 'openstack/python-dracclient', 'openstack/python-dracclient', 'openstack/python-dracclient', 'openstack/python-dracclient']",2,2
"['openstack/openstack-ansible', 'openstack/openstack-ansible-os_cloudkitty', 'openstack/openstack-ansible']",2,2
"['openstack/openstack-ansible-tests', 'openstack/openstack-ansible-lxc_hosts', 'openstack/openstack-ansible-tests']",2,2
"['openstack/bifrost', 'openstack/bifrost', 'openstack/bifrost', 'openstack/kolla']",2,2
"['openstack/openstack-ansible-os_tempest', 'openstack/openstack-ansible-os_tempest', 'openstack/openstack-ansible-tests', 'openstack/openstack-ansible-os_tempest', 'openstack/openstack-ansible-os_tempest']",2,2
"['openstack/openstack-ansible-lxc_hosts', 'openstack/ansible-role-systemd_networkd', 'openstack/openstack-ansible-lxc_hosts', 'openstack/openstack-ansible']",3,2
"['openstack/openstack-ansible-os_sahara', 'openstack/sahara']",2,2
"['openstack/nova', 'openstack/nova', 'openstack/cinder', 'openstack/devstack-plugin-nfs', 'openstack/nova']",3,3
"['openstack/nova', 'openstack/project-config', 'openstack/nova', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_tempest', 'openstack/devstack', 'openstack/nova', 'openstack/tempest', 'openstack/openstack-ansible']",6,5
"['openstack/tempest', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova']",2,2
"['openstack/devstack-plugin-ceph', 'openstack/nova']",2,2
"['openstack/nova', 'openstack/nova', 'openstack/python-openstackclient']",2,2
"['openstack/governance', 'openstack/election']",2,2
"['openstack/neutron', 'openstack/tempest', 'openstack/devstack', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/nova', 'openstack/neutron']",4,4
"['openstack/puppet-nova', 'openstack/tripleo-heat-templates']",2,2
"['openstack/tripleo-docs', 'openstack/tripleo-ansible', 'openstack/metalsmith']",3,2
"['openstack/devstack', 'openstack/grenade', 'openstack/grenade', 'openstack/grenade', 'openstack/grenade', 'openstack/grenade', 'openstack/nova', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack']",3,2
"['openstack/puppet-designate', 'openstack/tripleo-ansible', 'openstack/puppet-tripleo', 'openstack/tripleo-heat-templates', 'openstack/puppet-designate']",4,2
"['openstack/devstack-gate', 'openstack/devstack-gate', 'openstack/tempest', 'openstack/devstack']",3,3
"['openstack/nova', 'openstack/devstack']",2,2
"['openstack/cyborg', 'openstack/releases', 'openstack/cyborg', 'openstack/cyborg']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-swift']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-keystone', 'openstack/puppet-keystone']",2,2
"['openstack/releases', 'openstack/governance']",2,2
"['openstack/ironic-python-agent-builder', 'openstack/diskimage-builder']",2,2
"['openstack/diskimage-builder', 'openstack/tripleo-ci']",2,2
"['openstack/neutron-tempest-plugin', 'openstack/cinder-tempest-plugin', 'openstack/magnum-tempest-plugin', 'openstack/vitrage-tempest-plugin', 'openstack/ovn-octavia-provider', 'openstack/tripleo-ci', 'openstack/neutron', 'openstack/networking-bagpipe', 'openstack/tempest']",9,6
"['openstack/charm-openstack-dashboard', 'openstack/charm-keystone']",2,2
