id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fkeystone~master~Ia4f91a097d888a77e01c96c4969fd0f31ae56847,openstack/keystone,master,Ia4f91a097d888a77e01c96c4969fd0f31ae56847,Flow diagram to support keystone service registration.,MERGED,2011-07-26 22:56:50.000000000,2011-07-28 16:07:13.000000000,2011-07-27 23:27:34.000000000,96,0,0,93,a4f91a097d888a77e01c96c4969fd0f31ae56847,7,3,1,1,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"Flow diagram to support keystone service registration.
"
openstack%2Fkeystone~master~I63ea2fccd2cf026661cd08ebb5f4b92e092cbd0a,openstack/keystone,master,I63ea2fccd2cf026661cd08ebb5f4b92e092cbd0a,Trying to fix existing merge issue.Change-Id: I9cae7b2af4d22994eaff20e7fe6bb4e0eb7c1ba0,ABANDONED,2011-07-28 15:28:51.000000000,2011-07-28 15:31:26.000000000,,0,6,0,106,63ea2fccd2cf026661cd08ebb5f4b92e092cbd0a,1,0,1,1,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"Trying to fix existing merge issue.Change-Id: I9cae7b2af4d22994eaff20e7fe6bb4e0eb7c1ba0
"
openstack%2Fkeystone~master~I03899a3cc842f8f8ddaaa26c7681dcda43c2bc17,openstack/keystone,master,I03899a3cc842f8f8ddaaa26c7681dcda43c2bc17,Restored identity.wadl w/ system test,MERGED,2011-07-27 19:58:24.000000000,2011-07-27 23:33:12.000000000,2011-07-27 23:33:12.000000000,1045,1,0,102,8cbb2a37821ae3c1cc67bf5797dc2e1b7629cd01,5,2,1,3,4,Dolph Mathews,dolph,"Restored identity.wadl w/ system test

Change-Id: I03899a3cc842f8f8ddaaa26c7681dcda43c2bc17
"
openstack%2Fkeystone~master~Id39a117a49ebc560b6e50fb0ed4db7691794899c,openstack/keystone,master,Id39a117a49ebc560b6e50fb0ed4db7691794899c,pylint fixes for role api,MERGED,2011-07-27 17:32:04.000000000,2011-07-27 23:32:07.000000000,2011-07-27 23:32:07.000000000,48,42,0,99,300b7d92cec3f6ddb36abb62fa19fda813b80560,5,2,1,1,4,Dolph Mathews,dolph,"pylint fixes for role api

Change-Id: Id39a117a49ebc560b6e50fb0ed4db7691794899c
"
openstack%2Fkeystone~master~I9241b3d0869a4e37910c7de57ff04da0f98f74d8,openstack/keystone,master,I9241b3d0869a4e37910c7de57ff04da0f98f74d8,Removing attribute duplicated from superclass; causes an issue in py 2.7,MERGED,2011-07-27 16:07:21.000000000,2011-07-27 23:31:04.000000000,2011-07-27 23:31:03.000000000,0,6,0,97,0e97d57c165a870159f2414988615cabaaba6558,6,3,1,1,4,Dolph Mathews,dolph,"Removing attribute duplicated from superclass; causes an issue in py 2.7

Change-Id: I9241b3d0869a4e37910c7de57ff04da0f98f74d8
"
openstack%2Fkeystone~master~I1ec37fca7f815c17dc8efce1ed6e177d0de95b95,openstack/keystone,master,I1ec37fca7f815c17dc8efce1ed6e177d0de95b95,pylint fixes for tenant-group unit tests,MERGED,2011-07-27 03:34:38.000000000,2011-07-27 23:28:43.000000000,2011-07-27 23:25:05.000000000,213,313,0,95,1dc7baf2436bf9adfac674ceb241fa82f6bc7843,9,3,1,1,4,Dolph Mathews,dolph,"pylint fixes for tenant-group unit tests

Change-Id: I1ec37fca7f815c17dc8efce1ed6e177d0de95b95
"
openstack%2Fkeystone~master~I4806897a0a61f2900ba14a2d1f3aa0348207fd78,openstack/keystone,master,I4806897a0a61f2900ba14a2d1f3aa0348207fd78,pylint fixes for server unit tests,MERGED,2011-07-27 03:34:38.000000000,2011-07-27 23:28:43.000000000,2011-07-27 23:28:43.000000000,18,14,0,94,333ed20a011a05a3ef4d0d5355bf2114883236b5,6,3,1,1,4,Dolph Mathews,dolph,"pylint fixes for server unit tests

Change-Id: I4806897a0a61f2900ba14a2d1f3aa0348207fd78
"
openstack%2Fkeystone~master~I54f85d8d8780dc563bf0bfc9241bc92141156685,openstack/keystone,master,I54f85d8d8780dc563bf0bfc9241bc92141156685,Update README with instructions to fix segfault.,MERGED,2011-07-26 17:43:49.000000000,2011-07-26 22:13:40.000000000,2011-07-26 22:13:39.000000000,17,0,0,82,54f85d8d8780dc563bf0bfc9241bc92141156685,5,2,1,1,5,Ziad Sawalha,ziad-sawalha,"Update README with instructions to fix segfault.
"
openstack%2Fkeystone~master~I03bcc2ae265aa691495671c1e5880dca1550f4b6,openstack/keystone,master,I03bcc2ae265aa691495671c1e5880dca1550f4b6,Sigh. Proofreading...,MERGED,2011-07-26 17:43:49.000000000,2011-07-26 22:13:39.000000000,2011-07-26 22:09:09.000000000,1,1,0,83,03bcc2ae265aa691495671c1e5880dca1550f4b6,5,2,1,1,5,Ziad Sawalha,ziad-sawalha,"Sigh. Proofreading...
"
openstack%2Fkeystone~master~I7f08cc317b9e8e339277f102191e8e5201bf60ae,openstack/keystone,master,I7f08cc317b9e8e339277f102191e8e5201bf60ae,Remove the old db files relative to curdir.,ABANDONED,2011-07-26 17:55:23.000000000,2011-07-26 18:09:30.000000000,,8,8,0,89,c956046a3a987ef0a6abb1360a915b863270c2e8,1,0,1,1,2,Monty Taylor,mordred,"Remove the old db files relative to curdir.

Change-Id: I7f08cc317b9e8e339277f102191e8e5201bf60ae
"
