antecedent,consequent,supp,conf
openstack/openstack-ansible-os_ironic,openstack/openstack-ansible-os_designate,5.021870244916612e-05,0.05514705882352941
openstack/openstack-ansible-os_ironic,openstack/openstack-ansible-os_glance,5.021870244916612e-05,0.05514705882352941
openstack/openstack-ansible-os_swift,openstack/openstack-ansible,6.026244293899934e-05,0.0549618320610687
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_neutron,0.00010043740489833224,0.054945054945054944
openstack/puppet-openstacklib,openstack/puppet-keystone,5.691452944238827e-05,0.05466237942122187
openstack/python-magnumclient,openstack/magnum,6.863222668052703e-05,0.05408970976253298
openstack/networking-bagpipe,openstack/networking-bgpvpn,6.863222668052703e-05,0.05394736842105263
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_horizon,5.8588486190693806e-05,0.05343511450381679
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_designate,5.8588486190693806e-05,0.05343511450381679
openstack/openstack-ansible-os_horizon,openstack/openstack-ansible-os_neutron,5.356661594577719e-05,0.05324459234608985
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-os_keystone,6.863222668052703e-05,0.052496798975672214
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_aodh,5.691452944238827e-05,0.051908396946564885
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_tempest,5.691452944238827e-05,0.051908396946564885
openstack/grenade,openstack/devstack-gate,6.193639968730488e-05,0.05182072829131653
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible,5.356661594577719e-05,0.05128205128205128
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-os_nova,6.695826993222149e-05,0.05121638924455826
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-os_neutron,6.695826993222149e-05,0.05121638924455826
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-lxc_container_create,6.863222668052703e-05,0.05118601747815231
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-tests,6.863222668052703e-05,0.05118601747815231
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_neutron,7.365409692544365e-05,0.05116279069767442
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_nova,5.524057269408273e-05,0.050381679389312976
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_cinder,9.206762115680455e-05,0.05036630036630037
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_nova,7.19801401771381e-05,0.05
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-tests,6.528431318391596e-05,0.0499359795134443
openstack/puppet-ceph,openstack/puppet-openstack-integration,5.356661594577719e-05,0.0499219968798752
openstack/openstack-ansible-os_horizon,openstack/openstack-ansible-os_nova,5.021870244916612e-05,0.04991680532445923
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_aodh,5.189265919747166e-05,0.049679487179487176
openstack/python-mistralclient,openstack/mistral,5.691452944238827e-05,0.049635036496350364
openstack/neutron-fwaas,openstack/neutron-vpnaas,8.369783741527686e-05,0.049358341559723594
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_glance,5.356661594577719e-05,0.04885496183206107
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_swift,5.356661594577719e-05,0.04885496183206107
openstack/ironic-python-agent,openstack/ironic,0.00012889466961952636,0.048549810844892814
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_heat,6.193639968730488e-05,0.04780361757105943
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_keystone,8.369783741527686e-05,0.04775549188156638
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_tempest,6.863222668052703e-05,0.047674418604651166
openstack/openstack-helm-infra,openstack/openstack-helm,0.00024439768525260844,0.047510575984380084
