Path,length,length_service
"['openstack/tripleo-ansible' 'openstack/tripleo-quickstart-extras'
 'openstack/python-tripleoclient' 'openstack/tripleo-ci']",4,1
['openstack/python-openstackclient' 'openstack/openstacksdk'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-ci' 'openstack/ansible-role-collect-logs'],2,1
"['openstack/neutron' 'openstack/tempest' 'openstack/nova'
 'openstack/requirements' 'openstack/neutron-tempest-plugin']",5,4
['openstack/tripleo-ansible' 'openstack/tripleo-common'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ansible'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/openstacksdk' 'openstack/python-openstackclient'],2,1
"['openstack/designate-tempest-plugin' 'openstack/designate'
 'openstack/python-designateclient']",3,1
['openstack/cinder'],1,1
"['openstack/octavia' 'openstack/python-barbicanclient'
 'openstack/castellan']",3,3
['openstack/tripleo-heat-templates' 'openstack/puppet-ovn'],2,2
['openstack/devstack' 'openstack/glance' 'openstack/glance-tempest-plugin'],3,2
['openstack/puppet-nova' 'openstack/tripleo-heat-templates'],2,2
['openstack/openstack-zuul-jobs' 'openstack/governance'],2,2
['openstack/neutron' 'openstack/neutron-dynamic-routing'],2,1
['openstack/openstack-ansible' 'openstack/ansible-role-zookeeper'],2,2
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/os-vif' 'openstack/nova' 'openstack/neutron-lib'],3,2
['openstack/manila' 'openstack/manila-tempest-plugin'],2,1
['openstack/horizon' 'openstack/openstack-zuul-jobs'],2,2
"['openstack/manila-tempest-plugin' 'openstack/python-manilaclient'
 'openstack/manila']",3,1
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
"['openstack/manila-tempest-plugin' 'openstack/python-manilaclient'
 'openstack/manila']",3,1
"['openstack/manila-tempest-plugin' 'openstack/python-manilaclient'
 'openstack/manila']",3,1
"['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'
 'openstack/puppet-cinder']",3,2
['openstack/cinder' 'openstack/cinder-tempest-plugin'],2,1
"['openstack/tripleo-ci' 'openstack/tripleo-quickstart'
 'openstack/openstack-tempest-skiplist' 'openstack/tripleo-heat-templates']",4,2
['openstack/openstack-helm-images' 'openstack/requirements'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tempest' 'openstack/releases'],2,2
['openstack/nova-specs'],1,1
"['openstack/neutron-specs' 'openstack/neutron'
 'openstack/neutron-tempest-plugin' 'openstack/neutron-lib'
 'openstack/python-openstackclient' 'openstack/openstacksdk'
 'openstack/os-traits']",7,3
['openstack/keystone' 'openstack/keystone-tempest-plugin'],2,1
['openstack/openstack-ansible' 'openstack/openstack-ansible-os_octavia'],2,1
['openstack/tripleo-validations' 'openstack/tripleo-ansible'],2,1
"['openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-tests' 'openstack/openstack-ansible']",4,2
['openstack/openstack-ansible-os_glance' 'openstack/openstack-ansible'],2,1
['openstack/openstack-ansible-os_nova' 'openstack/openstack-ansible'],2,1
['openstack/governance' 'openstack/project-config'],2,2
"['openstack/tempest' 'openstack/cinder' 'openstack/python-novaclient'
 'openstack/nova']",4,3
['openstack/nova' 'openstack/devstack' 'openstack/whitebox-tempest-plugin'],3,3
"['openstack/requirements' 'openstack/oslo.log' 'openstack/neutron'
 'openstack/oslo.privsep']",4,3
"['openstack/manila' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci' 'openstack/puppet-pacemaker']",4,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ci'],2,1
['openstack/openstack-helm-infra' 'openstack/openstack-helm'],2,1
['openstack/puppet-pacemaker' 'openstack/puppet-tripleo'],2,1
['openstack/python-openstackclient' 'openstack/openstacksdk'],2,1
['openstack/tripleo-heat-templates' 'openstack/octavia'],2,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'],2,1
"['openstack/tripleo-quickstart-extras'
 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-common'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-ansible']",4,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-common'],2,1
['openstack/project-config' 'openstack/governance'],2,2
['openstack/project-config' 'openstack/governance'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/manila'],1,1
['openstack/manila' 'openstack/manila-tempest-plugin'],2,1
['openstack/charm-ceph-osd' 'openstack/charms.ceph'],2,1
['openstack/osc-lib' 'openstack/python-openstackclient' 'openstack/cliff'],3,1
"['openstack/python-aodhclient' 'openstack/aodh' 'openstack/ceilometer'
 'openstack/devstack' 'openstack/telemetry-tempest-plugin'
 'openstack/tacker']",6,5
['openstack/kolla-ansible'],1,1
"['openstack/devstack' 'openstack/nova' 'openstack/glance'
 'openstack/cinder-tempest-plugin' 'openstack/cinder']",5,4
['openstack/horizon' 'openstack/requirements'],2,2
['openstack/devstack' 'openstack/cinder-tempest-plugin' 'openstack/cinder'],3,2
['openstack/aodh' 'openstack/ceilometer'],2,2
['openstack/cliff' 'openstack/python-openstackclient'],2,1
['openstack/ironic' 'openstack/requirements'],2,2
['openstack/kolla' 'openstack/kolla-ansible'],2,1
['openstack/requirements' 'openstack/horizon'],2,2
['openstack/charm-nova-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/ansible-collections-openstack' 'openstack/openstacksdk'],2,2
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'
 'openstack/tripleo-quickstart' 'openstack/tripleo-repos']",4,1
['openstack/project-config' 'openstack/openstacksdk'],2,2
['openstack/tripleo-quickstart' 'openstack/tripleo-ci'],2,1
['openstack/nova' 'openstack/tempest'],2,2
['openstack/openstacksdk' 'openstack/ansible-collections-openstack'],2,2
['openstack/glance-specs' 'openstack/glance_store'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/ceilometer' 'openstack/aodh'],2,2
['openstack/tripleo-common' 'openstack/tripleo-heat-templates'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/project-config' 'openstack/governance'],2,2
['openstack/openstack-ansible-os_barbican' 'openstack/openstack-ansible'],2,1
