Path,length,length_service
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-quickstart']",3,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/python-heatclient']",3,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/devstack-gate' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,1
['openstack/nova' 'openstack/requirements'],2,2
['openstack/cloudkitty'],1,1
"['openstack/networking-odl' 'openstack/dragonflow'
 'openstack/networking-ovn' 'openstack/neutron']",4,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/cyborg']",3,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/python-novaclient']",3,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/murano-apps' 'openstack/murano']",4,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/storlets']",3,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'],2,1
['openstack/zun' 'openstack/zun-tempest-plugin'],2,1
['openstack/python-openstackclient' 'openstack/osc-lib'],2,1
['openstack/puppet-tripleo' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-neutron'],2,2
"['openstack/tripleo-common' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-quickstart']",3,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/neutron']",3,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
"['openstack/ironic-tempest-plugin' 'openstack/ironic'
 'openstack/ironic-inspector']",3,1
['openstack/project-config' 'openstack/tripleo-heat-templates'],2,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'],2,1
['openstack/heat' 'openstack/heat-tempest-plugin'],2,1
"['openstack/project-config' 'openstack/rally'
 'openstack/openstack-zuul-jobs']",3,2
['openstack/murano-tempest-plugin' 'openstack/murano' 'openstack/nova'],3,2
['openstack/murano-tempest-plugin' 'openstack/murano'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/project-config' 'openstack/openstack-zuul-jobs'],2,1
['openstack/python-octaviaclient' 'openstack/octavia'],2,1
"['openstack/python-ironic-inspector-client'
 'openstack/openstack-zuul-jobs' 'openstack/dib-utils'
 'openstack/project-config']",4,3
['openstack/requirements' 'openstack/keystone'],2,2
"['openstack/project-config' 'openstack/designate-tempest-plugin'
 'openstack/neutron-tempest-plugin' 'openstack/neutron']",4,3
['openstack/puppet-ironic' 'openstack/ironic'],2,2
['openstack/puppet-designate' 'openstack/puppet-openstack-integration'],2,1
['openstack/manila' 'openstack/manila-tempest-plugin'],2,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/manila'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/puppet-tripleo' 'openstack/tripleo-heat-templates'],2,1
"['openstack/tripleo-quickstart-extras' 'openstack/python-tripleoclient'
 'openstack/tripleo-ci']",3,1
['openstack/tripleo-ui' 'openstack/tripleo-quickstart'],2,1
['openstack/tripleo-validations' 'openstack/tripleo-common'],2,1
['openstack/zaqar' 'openstack/zaqar-tempest-plugin'],2,1
['openstack/puppet-tripleo' 'openstack/tripleo-ci'],2,1
"['openstack/swift' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/freezer-api'],1,1
['openstack/barbican' 'openstack/openstack-zuul-jobs'],2,2
['openstack/freezer-web-ui' 'openstack/freezer'],2,1
"['openstack/searchlight-ui' 'openstack/project-config'
 'openstack/openstack-zuul-jobs']",3,1
['openstack/tripleo-ci' 'openstack/reviewday'],2,2
['openstack/ironic'],1,1
"['openstack/monasca-api' 'openstack/monasca-persister'
 'openstack/monasca-common']",3,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/charms.openstack' 'openstack/charm-layer-openstack'],2,1
"['openstack/networking-bagpipe' 'openstack/networking-bgpvpn'
 'openstack/neutron']",3,1
"['openstack/devstack-gate' 'openstack/nova' 'openstack/devstack'
 'openstack/project-config' 'openstack/tempest']",5,4
"['openstack/devstack' 'openstack/neutron' 'openstack/project-config'
 'openstack/tempest' 'openstack/neutron-lbaas']",5,4
['openstack/devstack' 'openstack/neutron'],2,2
['openstack/openstack-ansible-os_neutron' 'openstack/openstack-ansible'],2,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/project-config' 'openstack/openstack-zuul-jobs'],2,1
['openstack/networking-hyperv' 'openstack/os-win'],2,1
['openstack/instack-undercloud' 'openstack/puppet-ironic'],2,2
['openstack/neutron'],1,1
['openstack/oslo.messaging'],1,1
['openstack/keystone' 'openstack/tripleo-heat-templates'],2,2
['openstack/python-blazarclient' 'openstack/blazar'],2,1
['openstack/openstack-ansible' 'openstack/openstack-ansible-galera_client'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/networking-midonet']",3,2
['openstack/patrole'],1,1
['openstack/devstack' 'openstack/rally'],2,2
"['openstack/tripleo-heat-templates' 'openstack/puppet-vswitch'
 'openstack/puppet-neutron']",3,2
['openstack/cinder' 'openstack/openstack-ansible-os_cinder'],2,2
['openstack/networking-sfc'],1,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'],2,1
['openstack/monasca-events-api'],1,1
['openstack/python-swiftclient' 'openstack/glance_store'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/governance' 'openstack/project-config'],2,2
"['openstack/tripleo-quickstart' 'openstack/python-tripleoclient'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-ci']",4,1
['openstack/monasca-agent' 'openstack/monasca-statsd'],2,1
['openstack/swift' 'openstack/keystonemiddleware'],2,2
"['openstack/ironic-python-agent' 'openstack/ironic'
 'openstack/ironic-specs']",3,1
['openstack/ironic' 'openstack/ironic-python-agent'],2,1
['openstack/dib-utils' 'openstack/diskimage-builder'],2,2
"['openstack/ironic' 'openstack/networking-generic-switch'
 'openstack/neutron' 'openstack/nova' 'openstack/tempest']",5,4
['openstack/ironic' 'openstack/nova'],2,2
"['openstack/ironic' 'openstack/nova' 'openstack/python-ironicclient'
 'openstack/ironic-specs']",4,2
['openstack/diskimage-builder'],1,1
['openstack/ironic' 'openstack/devstack-gate'],2,2
['openstack/tacker' 'openstack/heat-translator'],2,2
['openstack/tacker' 'openstack/python-tackerclient'],2,1
['openstack/ironic' 'openstack/networking-baremetal'],2,1
['openstack/ironic'],1,1
['openstack/ironic'],1,1
['openstack/devstack-gate' 'openstack/ironic'],2,2
"['openstack/ironic' 'openstack/grenade' 'openstack/nova'
 'openstack/devstack']",4,3
['openstack/ironic' 'openstack/ironic-specs'],2,1
"['openstack/trove' 'openstack/nova' 'openstack/python-troveclient'
 'openstack/trove-integration']",4,2
['openstack/ironic' 'openstack/python-ironicclient'],2,1
['openstack/openstack-ansible-tests' 'openstack/openstack-ansible'],2,2
['openstack/vitrage'],1,1
['openstack/python-magnumclient' 'openstack/magnum'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/project-config' 'openstack/networking-midonet'],2,2
"['openstack/freezer' 'openstack/freezer-api' 'openstack/freezer-web-ui'
 'openstack/project-config' 'openstack/openstack-zuul-jobs']",5,2
['openstack/python-tripleoclient' 'openstack/tripleo-common'],2,1
['openstack/python-tripleoclient' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-octavia'],2,2
['openstack/tripleo-heat-templates' 'openstack/puppet-octavia'],2,2
"['openstack/neutron-lbaas-dashboard' 'openstack/octavia-dashboard'
 'openstack/openstack-zuul-jobs' 'openstack/project-config']",4,2
"['openstack/ironic' 'openstack/ironic-inspector'
 'openstack/ironic-tempest-plugin']",3,1
"['openstack/openstack-ansible' 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-haproxy_server']",3,1
"['openstack/python-ironic-inspector-client' 'openstack/ironic-inspector'
 'openstack/ironic-tempest-plugin']",3,1
"['openstack/charm-cinder' 'openstack/charm-cinder-ceph'
 'openstack/charm-glance' 'openstack/charm-ceph-mon']",4,3
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/tripleo-common' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/governance' 'openstack/murano'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/cloudkitty'],2,2
['openstack/horizon' 'openstack/openstack-zuul-jobs'],2,2
['openstack/openstack-manuals'],1,1
['openstack/senlin-dashboard' 'openstack/magnum-ui' 'openstack/horizon'],3,3
"['openstack/tempest' 'openstack/nova' 'openstack/python-cinderclient'
 'openstack/grenade' 'openstack/devstack-gate' 'openstack/devstack']",6,5
['openstack/networking-l2gw' 'openstack/networking-l2gw-tempest-plugin'],2,2
['openstack/manila'],1,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/puppet-ceph' 'openstack/puppet-openstack-integration'],2,1
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'
 'openstack/tripleo-quickstart']",3,1
['openstack/tripleo-ci' 'openstack/tripleo-quickstart'],2,1
['openstack/mistral' 'openstack/mistral-lib'],2,1
['openstack/openstack-helm' 'openstack/openstack-helm-infra'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
['openstack/ansible-role-redhat-subscription' 'openstack/project-config'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/ironic-python-agent' 'openstack/ironic'],2,1
['openstack/openstack-ansible-repo_server' 'openstack/openstack-ansible'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/mistral' 'openstack/mistral-lib'],2,1
['openstack/nova' 'openstack/ironic'],2,2
['openstack/monasca-api' 'openstack/project-config'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
"['openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_neutron']",2,1
['openstack/requirements' 'openstack/project-config'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/heat'],1,1
['openstack/kolla' 'openstack/kolla-ansible'],2,1
"['openstack/devstack-gate' 'openstack/ironic'
 'openstack/ironic-tempest-plugin']",3,2
['openstack/rpm-packaging'],1,1
['openstack/openstack-ansible-os_keystone'],1,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/instack-undercloud' 'openstack/puppet-ironic'],2,2
['openstack/heat-tempest-plugin' 'openstack/heat'],2,1
['openstack/rpm-packaging'],1,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
"['openstack/python-monascaclient' 'openstack/monasca-notification'
 'openstack/monasca-api']",3,1
['openstack/zun' 'openstack/devstack'],2,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/freezer-api' 'openstack/freezer-tempest-plugin'],2,1
['openstack/freezer' 'openstack/freezer-tempest-plugin'],2,1
"['openstack/project-config' 'openstack/openstack-zuul-jobs'
 'openstack/app-catalog' 'openstack/app-catalog-common'
 'openstack/app-catalog-ui' 'openstack/python-appcatalogclient']",6,1
['openstack/openstack-ansible' 'openstack/releases'],2,2
['openstack/zun'],1,1
['openstack/openstack-ansible' 'openstack/releases'],2,2
['openstack/openstack-ansible' 'openstack/releases'],2,2
"['openstack/openstack-ansible-repo_build'
 'openstack/openstack-ansible-repo_server']",2,1
['openstack/tripleo-ci' 'openstack/tripleo-heat-templates'],2,1
['openstack/python-openstackclient' 'openstack/osc-lib'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-octavia'],2,2
"['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'
 'openstack/puppet-octavia']",3,2
['openstack/congress' 'openstack/murano'],2,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/instack-undercloud' 'openstack/puppet-ironic'],2,2
['openstack/neutron-lbaas'],1,1
"['openstack/openstack-zuul-jobs' 'openstack/octavia-dashboard'
 'openstack/project-config']",3,2
['openstack/murano-tempest-plugin' 'openstack/murano'],2,1
"['openstack/tripleo-common' 'openstack/tripleo-heat-templates'
 'openstack/puppet-tripleo']",3,1
['openstack/project-config' 'openstack/i18n'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/freezer-api']",3,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/freezer-web-ui']",3,2
['openstack/project-config' 'openstack/nova-specs'],2,2
['openstack/nova' 'openstack/grenade' 'openstack/devstack'],3,2
['openstack/networking-sfc'],1,1
['openstack/neutron' 'openstack/neutron-tempest-plugin'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-common'],2,1
['openstack/tempest' 'openstack/nova'],2,2
['openstack/project-config' 'openstack/openstack-zuul-jobs'],2,1
['openstack/tripleo-common' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/octavia' 'openstack/devstack'],2,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'],2,1
['openstack/heat-templates' 'openstack/heat'],2,1
"['openstack/instack-undercloud' 'openstack/tripleo-heat-templates'
 'openstack/puppet-tripleo' 'openstack/puppet-ironic']",4,2
"['openstack/tripleo-heat-templates' 'openstack/tripleo-ci'
 'openstack/tripleo-common']",3,1
"['openstack/puppet-neutron' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates']",3,2
['openstack/neutron-lib' 'openstack/neutron'],2,1
['openstack/horizon' 'openstack/heat-dashboard'],2,2
['openstack/zun'],1,1
['openstack/nova' 'openstack/devstack'],2,2
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/tripleo-ci' 'openstack/puppet-nova'],2,2
['openstack/requirements' 'openstack/manila-ui'],2,2
"['openstack/openstack-ansible-tests' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-plugins']",3,2
"['openstack/congress-dashboard' 'openstack/python-congressclient'
 'openstack/congress']",3,1
['openstack/python-tripleoclient' 'openstack/tripleo-common'],2,1
['openstack/nova' 'openstack/devstack'],2,2
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
"['openstack/os-api-ref' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/congress-dashboard' 'openstack/python-congressclient'],2,1
"['openstack/openstack-ansible' 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-tests']",3,2
"['openstack/cliff' 'openstack/openstack-zuul-jobs'
 'openstack/python-openstackclient' 'openstack/project-config']",4,2
['openstack/governance' 'openstack/project-config'],2,2
"['openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-galera_server']",2,2
['openstack/bifrost' 'openstack/shade'],2,2
"['openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-lxc_container_create']",4,2
['openstack/networking-midonet' 'openstack/neutron'],2,1
['openstack/heat' 'openstack/python-zaqarclient'],2,2
"['openstack/cliff' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/project-config' 'openstack/openstack-zuul-jobs'],2,1
['openstack/openstack-ansible' 'openstack/releases'],2,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/freezer']",3,2
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
['openstack/python-neutronclient' 'openstack/networking-sfc'],2,1
"['openstack/tripleo-ci' 'openstack/tripleo-quickstart'
 'openstack/tripleo-heat-templates']",3,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'],2,1
['openstack/python-glanceclient' 'openstack/glance'],2,1
['openstack/openstack-manuals' 'openstack/project-config'],2,1
['openstack/glance' 'openstack/openstack-manuals'],2,2
['openstack/openstack-ansible-os_nova' 'openstack/openstack-ansible'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/openstack-ansible' 'openstack/openstack-ansible-tests'],2,2
['openstack/cliff' 'openstack/python-openstackclient'],2,1
"['openstack/puppet-sahara' 'openstack/openstack-ansible-os_sahara'
 'openstack/kolla-ansible' 'openstack/sahara']",4,4
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
['openstack/os-service-types'],1,1
"['openstack/ansible-role-k8s-keystone'
 'openstack/ansible-role-k8s-mariadb']",2,2
['openstack/governance' 'openstack/project-config'],2,2
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/blazar']",3,2
"['openstack/openstack-ansible' 'openstack/openstack-ansible-pip_install'
 'openstack/openstack-ansible-openstack_hosts']",3,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/openstacksdk' 'openstack/openstack-zuul-jobs'],2,2
['openstack/heat-templates' 'openstack/heat'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/puppet-tripleo' 'openstack/puppet-openstack-integration'],2,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ci'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-nova'],2,2
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'],2,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci']",3,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-ci']",3,1
['openstack/python-tripleoclient' 'openstack/tripleo-common'],2,1
['openstack/os-collect-config' 'openstack/tripleo-ci'],2,1
['openstack/project-config'],1,1
['openstack/python-ironic-inspector-client' 'openstack/mistral'],2,2
['openstack/neutron-lbaas' 'openstack/neutron-lib'],2,2
"['openstack/neutron-vpnaas' 'openstack/neutron-lbaas'
 'openstack/neutron-fwaas' 'openstack/networking-sfc'
 'openstack/networking-ovn' 'openstack/networking-odl'
 'openstack/networking-midonet' 'openstack/networking-bgpvpn'
 'openstack/networking-bagpipe' 'openstack/neutron']",10,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/python-designateclient']",3,2
['openstack/tripleo-heat-templates' 'openstack/puppet-ceilometer'],2,2
['openstack/magnum-tempest-plugin' 'openstack/project-config'],2,2
['openstack/rpm-packaging'],1,1
"['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'
 'openstack/tripleo-common']",3,1
['openstack/networking-ovn' 'openstack/tripleo-ci'],2,2
['openstack/project-config' 'openstack/openstack-zuul-jobs'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/project-config' 'openstack/openstack-zuul-jobs'
 'openstack/charm-ceph-mon']",3,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/openstacksdk' 'openstack/shade' 'openstack/os-client-config'],3,1
['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/manila'],1,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/python-cinderclient']",3,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/ironic-python-agent' 'openstack/puppet-tripleo'
 'openstack/puppet-ironic' 'openstack/ironic' 'openstack/project-config']",5,4
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/bandit']",3,1
['openstack/nova' 'openstack/ironic'],2,2
"['openstack/cinder' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/tempest' 'openstack/keystone' 'openstack/openstack-zuul-jobs'],3,3
['openstack/openstack-manuals' 'openstack/heat'],2,2
['openstack/tripleo-ci' 'openstack/tripleo-quickstart'],2,1
['openstack/designate' 'openstack/designate-tempest-plugin'],2,1
['openstack/openstack-ansible' 'openstack/releases'],2,2
['openstack/openstack-ansible' 'openstack/releases'],2,2
['openstack/project-config' 'openstack/governance'],2,2
"['openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-repo_build'
 'openstack/openstack-ansible-ops'
 'openstack/openstack-ansible-openstack_openrc'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_neutron' 'openstack/ansible-hardening'
 'openstack/openstack-ansible-repo_server'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-rsyslog_server'
 'openstack/openstack-ansible-plugins'
 'openstack/openstack-ansible-rsyslog_client'
 'openstack/openstack-ansible-apt_package_pinning'
 'openstack/openstack-ansible-pip_install'
 'openstack/openstack-ansible-ceph_client'
 'openstack/openstack-ansible-memcached_server'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-haproxy_server'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-tests']",36,2
['openstack/puppet-ironic' 'openstack/ironic'],2,2
['openstack/tripleo-ci' 'openstack/python-tripleoclient'],2,1
"['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'
 'openstack/puppet-cinder']",3,2
"['openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-tests']",2,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/manila'],1,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'],2,1
['openstack/paunch' 'openstack/tripleo-ci' 'openstack/tripleo-quickstart'],3,1
['openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/neutron' 'openstack/neutron-vpnaas'],2,1
['openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/tripleo-quickstart-extras'],1,1
['openstack/keystone' 'openstack/oslo.db'],2,2
['openstack/keystone' 'openstack/keystone-specs'],2,1
"['openstack/tripleo-heat-templates' 'openstack/tripleo-common'
 'openstack/puppet-tripleo']",3,1
['openstack/openstack-manuals' 'openstack/project-config'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-ci'],2,1
['openstack/zun' 'openstack/kuryr-libnetwork'],2,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/requirements' 'openstack/releases'],2,2
['openstack/manila'],1,1
"['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'
 'openstack/tripleo-common']",3,1
"['openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_neutron']",3,1
"['openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/patrole']",3,2
['openstack/governance' 'openstack/searchlight'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/monasca-log-api'],1,1
"['openstack/charm-manila-generic' 'openstack/charm-manila'
 'openstack/charm-interface-manila-plugin']",3,1
"['openstack/cinder' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/puppet-openstack-integration' 'openstack/puppet-tripleo'],2,2
"['openstack/openstack-zuul-jobs' 'openstack/murano'
 'openstack/project-config']",3,2
"['openstack/puppet-pacemaker' 'openstack/puppet-tripleo'
 'openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/instack-undercloud' 'openstack/tripleo-common'
 'openstack/python-tripleoclient' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'
 'openstack/tripleo-ci']",11,2
['openstack/rpm-packaging'],1,1
['openstack/nova' 'openstack/heat'],2,2
['openstack/rpm-packaging'],1,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-common'
 'openstack/puppet-tripleo' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci']",5,1
['openstack/openstack-helm' 'openstack/openstack-helm-infra'],2,1
['openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/tripleo-ci' 'openstack/puppet-tripleo'],2,1
['openstack/openstack-ansible' 'openstack/releases'],2,2
"['openstack/kuryr-kubernetes' 'openstack/zun'
 'openstack/devstack-plugin-container' 'openstack/kuryr-libnetwork']",4,3
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-common'],2,1
['openstack/python-magnumclient' 'openstack/magnum'],2,1
['openstack/puppet-tripleo' 'openstack/tripleo-ci'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/neutron' 'openstack/neutron-tempest-plugin'],2,1
['openstack/ovsdbapp' 'openstack/networking-ovn'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'],2,1
['openstack/kuryr-kubernetes' 'openstack/kuryr-tempest-plugin'],2,1
['openstack/rpm-packaging' 'openstack/requirements'],2,2
['openstack/rpm-packaging' 'openstack/requirements'],2,2
['openstack/rpm-packaging' 'openstack/releases'],2,2
['openstack/rpm-packaging' 'openstack/requirements'],2,2
['openstack/rpm-packaging' 'openstack/requirements'],2,2
['openstack/compute-hyperv' 'openstack/os-win'],2,1
['openstack/tripleo-ci'],1,1
"['openstack/ansible-role-k8s-keystone'
 'openstack/ansible-role-k8s-mariadb']",2,2
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/rpm-packaging' 'openstack/requirements'],2,2
['openstack/tripleo-common' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-heat-templates'],2,1
['openstack/sahara-dashboard' 'openstack/openstack-zuul-jobs'],2,2
['openstack/puppet-openstack-integration' 'openstack/puppet-nova'],2,1
['openstack/manila-tempest-plugin' 'openstack/project-config'],2,2
['openstack/governance' 'openstack/openstack-zuul-jobs'],2,2
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/python-tripleoclient' 'openstack/tripleo-common'],2,1
"['openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/mistral']",3,2
['openstack/kuryr-libnetwork' 'openstack/kuryr'],2,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/project-config'],1,1
['openstack/openstack-zuul-jobs' 'openstack/project-config'],2,1
['openstack/compute-hyperv' 'openstack/os-win'],2,1
