dev
34310
35458
34911
35540
35061
35460
35464
35457
34470
35553
34859
35038
35259
35408
35541
35263
35069
35491
35475
35119
35453
35532
35445
31203
35511
34823
35459
35495
35301
35392
31852
35465
35455
35360
35492
35421
34251
17397
34325
35456
35351
35447
35307
35390
35278
35409
35093
34526
18604
35233
35328
35229
35245
35352
30226
31080
33510
35316
22119
10961
32460
35327
35118
25610
35313
35319
34906
35117
32051
35320
35222
35250
31048
35238
30748
34307
35090
31728
34997
32799
34510
34458
34591
35076
35178
33575
35087
34327
35164
34791
35080
35043
34320
35143
34497
30568
34596
34583
29838
35107
34588
34982
33822
35020
35050
34949
33037
33055
32966
33249
34524
34489
34958
34740
33949
30102
29855
34064
34437
34915
34861
34629
31601
34902
34680
33670
34833
33271
34046
34807
34793
32406
34642
33237
34270
34309
34772
34780
34716
20248
34738
34734
34650
34703
34681
23474
34556
34183
34211
34255
33655
34369
29004
34500
34539
32655
34322
34235
16718
28982
34092
33991
34521
34061
34313
34459
34373
34532
34376
33229
34095
32618
32399
33811
34113
34306
32857
34360
34485
33453
33410
33855
33357
33675
31654
34377
34311
29925
21264
33938
32121
34278
32098
34187
34259
33296
29500
33860
33956
33710
34200
33524
34184
32543
34121
33854
34109
34070
33857
32371
34074
32845
34078
34094
34091
34075
26274
34053
30457
33833
33145
13145
33800
33268
33914
33669
32140
28690
33272
33592
31414
31843
33484
33766
29636
32777
32438
33776
32372
33762
33574
33767
33759
30641
29032
32441
31026
32435
33476
31511
32345
33350
33550
33503
31646
31321
33396
33420
31956
32948
33384
33321
33299
32085
33330
32126
33362
25051
31679
33280
33118
32410
33082
32269
33241
33146
31996
31557
33135
33166
30432
27775
31112
33046
30798
32693
32527
32929
33045
15108
27725
33018
11534
32834
32132
32999
32479
32605
32307
32898
32923
32415
32192
32858
32744
31549
32704
32461
30955
32096
32421
32662
32368
31216
32392
21341
32656
32653
32539
30837
32338
32590
32480
32538
6795
31693
32511
31735
32353
32483
32309
28211
32252
32455
22499
32389
32386
32394
25871
32364
20302
32068
28873
30601
27911
27839
32261
28285
31957
32254
28415
32246
31834
31795
32176
32065
30551
31354
32168
27582
31804
19149
9921
31763
31674
31869
31671
32080
30907
32079
31991
32057
32010
31286
31988
30575
31893
31470
31892
31898
30862
31921
31675
28917
31498
31694
31021
31577
29965
31781
29230
19102
26716
31729
31619
31252
31790
30933
30942
31738
31631
31103
20322
31670
25380
28375
31596
30713
31651
31574
29444
26839
31541
30366
31243
31536
28988
31113
27772
31467
22098
14980
31107
31429
29159
31074
13570
31347
30974
28744
