Source,Target,Source_repo,Target_repo,when_identified,is_cross,is_cross_service,is_source_bot,is_target_bot,Source_service,Target_service,same_dev,worked_revisions
156580,156573,openstack/glance,openstack/glance_store,0.15,True,False,0,0,glance,glance,True,13
156602,155374,openstack/neutron-vpnaas,openstack/neutron,118.22,True,False,0,0,neutron,neutron,True,6
156690,155212,openstack/neutron-vpnaas,openstack/neutron,130.66,True,False,0,0,neutron,neutron,True,13
156690,155906,openstack/neutron-vpnaas,openstack/neutron,91.86,True,False,0,0,neutron,neutron,True,13
156690,158585,openstack/neutron-vpnaas,openstack/networking-ofagent,0.0,True,False,0,0,neutron,neutron,False,1
156691,155906,openstack/neutron-vpnaas,openstack/neutron,91.86,True,False,0,0,neutron,neutron,True,13
156691,158585,openstack/neutron-vpnaas,openstack/networking-ofagent,0.0,True,False,0,0,neutron,neutron,False,1
156692,155906,openstack/neutron-fwaas,openstack/neutron,91.89,True,False,0,0,neutron,neutron,True,13
156692,158585,openstack/neutron-fwaas,openstack/networking-ofagent,0.0,True,False,0,0,neutron,neutron,False,1
156694,155906,openstack/neutron-lbaas,openstack/neutron,91.91,True,False,0,0,,neutron,True,13
156694,158585,openstack/neutron-lbaas,openstack/networking-ofagent,0.0,True,False,0,0,,neutron,False,1
156717,105510,openstack/openstack-specs,openstack/requirements,5378.92,True,False,0,0,,requirements,False,2
156719,156676,openstack/python-swiftclient,openstack/project-config,1.84,True,False,0,0,swift,,True,2
156863,155552,openstack/os-brick,openstack/cinder,119.94,True,False,0,0,cinder,cinder,True,12
157057,156264,openstack/devstack-gate,openstack/devstack,48.35,True,False,0,0,,qualityassurance,True,2
157355,147396,openstack/neutron,openstack/neutron-fwaas,846.22,True,False,0,0,neutron,neutron,True,14
157469,157723,openstack/ironic-python-agent,openstack/ironic,148.72,True,False,0,0,ironic,ironic,True,8
157557,157559,openstack/neutron-fwaas,openstack/neutron,0.35,True,False,0,0,neutron,neutron,True,2
157577,157580,openstack/devstack,openstack/devstack-gate,0.0,True,False,0,0,qualityassurance,,True,1
157930,170569,openstack/keystone,openstack/project-config,0.02,True,False,0,0,keystone,,True,2
157972,157973,openstack/trove,openstack/trove,0.0,False,False,0,0,trove,trove,True,1
157985,134052,openstack/requirements,openstack/hacking,2401.62,True,True,0,0,requirements,qualityassurance,True,16
158189,160625,openstack/neutron-lbaas,openstack/neutron-lbaas,63.36,False,False,0,0,,,False,10
158486,158468,openstack/neutron-fwaas,openstack/neutron,1.03,True,False,0,0,neutron,neutron,True,3
158487,158468,openstack/neutron-vpnaas,openstack/neutron,1.04,True,False,0,0,neutron,neutron,True,3
158525,158415,openstack/devstack-gate,openstack/project-config,6.14,True,False,0,0,,,True,11
158579,157304,openstack/fuel-web,openstack/fuel-library,117.4,True,False,0,0,,,True,11
158674,159032,openstack/fuel-main,openstack/fuel-web,0.0,True,False,0,0,,,True,1
158811,170983,openstack/neutron,openstack/neutron-lbaas,24.25,True,False,0,0,neutron,,False,4
159382,545729,openstack/nova,openstack/devstack,0.0,True,True,0,0,nova,qualityassurance,False,1
159646,159685,openstack/oslo.utils,openstack/nova,154.35,True,True,0,0,oslo,nova,True,9
159673,159674,openstack/os-client-config,openstack/shade,429.0,True,False,0,0,openstacksdk,openstacksdk,True,4
160068,150267,openstack/devstack,openstack/nova,765.45,True,True,0,0,qualityassurance,nova,False,15
160190,158463,openstack/project-config,openstack/shade,142.61,True,False,0,0,,openstacksdk,True,22
160389,160419,openstack/release-tools,openstack/project-config,0.0,True,False,0,0,,,True,1
160423,158852,openstack/nova,openstack/tempest,140.91,True,True,0,0,nova,tempest,True,5
160600,160560,openstack/project-config,openstack/openstack-ansible,1.82,True,False,0,0,,openstackansible,True,7
160600,160999,openstack/project-config,openstack/openstack-ansible,0.0,True,False,0,0,,openstackansible,True,1
160600,161000,openstack/project-config,openstack/openstack-ansible,0.0,True,False,0,0,,openstackansible,True,1
160644,160625,openstack/neutron-lbaas,openstack/neutron-lbaas,2.35,False,False,0,0,,,True,10
160661,157481,openstack/requirements,openstack/horizon,276.05,True,True,0,0,requirements,horizon,True,22
160866,164724,openstack/ceilometer,openstack/openstack-manuals,13.35,True,False,0,0,ceilometer,,True,3
160886,160893,openstack/devstack,openstack/project-config,0.05,True,False,0,0,qualityassurance,,True,2
160903,162214,openstack/python-muranoclient,openstack/murano-dashboard,256.67,True,False,0,0,murano,murano,True,10
161079,141825,openstack/requirements,openstack/glance,1884.12,True,True,0,0,requirements,glance,True,4
161080,167848,openstack/governance,openstack/project-config,45.45,True,False,0,0,technicalcommittee,,False,11
161085,160856,openstack/neutron,openstack/devstack,11.91,True,True,0,0,neutron,qualityassurance,False,7
161112,136869,openstack/nova,openstack/nova,2387.77,False,False,0,0,nova,nova,False,49
161112,140313,openstack/nova,openstack/nova,2034.95,False,False,0,0,nova,nova,False,32
161265,161274,openstack/release-tools,openstack/oslo-incubator,332.91,True,False,0,0,,,True,2
161421,161422,openstack/project-config,openstack/devstack-gate,0.0,True,False,0,0,,,True,1
161453,161066,openstack/ironic,openstack/ironic-python-agent,20.68,True,False,0,0,ironic,ironic,True,11
161662,162093,openstack/openstack-manuals,openstack/project-config,10.62,True,False,0,0,,,False,2
161723,129795,openstack/os-client-config,openstack/python-openstackclient,3247.75,True,False,0,0,openstacksdk,openstacksdk,False,17
161796,161797,openstack/project-config,openstack/devstack-gate,2.49,True,False,0,0,,,True,2
161877,160856,openstack/devstack,openstack/devstack,52.45,False,False,0,0,qualityassurance,qualityassurance,False,7
161885,167213,openstack/governance,openstack/project-config,80.34,True,False,0,0,technicalcommittee,,False,5
161886,161887,openstack/governance,openstack/project-config,1.0,True,False,0,0,technicalcommittee,,True,2
162063,167910,openstack/devstack,openstack/neutron,963.26,True,True,0,0,qualityassurance,neutron,True,7
162145,162146,openstack/governance,openstack/project-config,512.41,True,False,0,0,technicalcommittee,,True,11
162147,162148,openstack/os-client-config,openstack/shade,625.35,True,False,0,0,openstacksdk,openstacksdk,True,12
162757,164390,openstack/neutron-lbaas,openstack/project-config,84.87,True,False,0,0,,,True,6
162783,165885,openstack/devstack,openstack/grenade,820.83,True,False,0,0,qualityassurance,qualityassurance,True,2
162927,194532,openstack/cinder,openstack/cinder,1534.21,False,False,0,0,cinder,cinder,False,22
163079,163857,openstack/ironic-python-agent,openstack/ironic,91.06,True,False,0,0,ironic,ironic,True,3
163121,161970,openstack/requirements,openstack/glance,113.41,True,True,0,0,requirements,glance,True,6
163241,163242,openstack/devstack,openstack/devstack,0.0,False,False,0,0,qualityassurance,qualityassurance,True,1
163246,163255,openstack/governance,openstack/project-config,16.05,True,False,0,0,technicalcommittee,,True,2
163287,165235,openstack/heat,openstack/devstack,169.95,True,True,0,0,heat,qualityassurance,True,6
163549,163590,openstack/tempest,openstack/tempest-lib,3.1,True,False,0,0,tempest,tempest,False,2
163588,163193,openstack/tempest,openstack/devstack,22.36,True,True,0,0,tempest,qualityassurance,True,5
163734,163402,openstack/governance,openstack/project-config,20.12,True,False,0,0,technicalcommittee,,True,2
163739,164386,openstack/ironic-python-agent,openstack/ironic,82.39,True,False,0,0,ironic,ironic,True,8
163743,164184,openstack/heat,openstack/rally,0.0,True,True,0,0,heat,rally,True,1
163746,162848,openstack/project-config,openstack/python-neutronclient,55.35,True,False,0,0,,neutron,False,5
163929,163930,openstack/mistral,openstack/python-mistralclient,160.71,True,False,0,0,mistral,mistral,True,3
163967,164022,openstack/oslo.messaging,openstack/project-config,0.0,True,False,0,0,oslo,,True,1
164173,166763,openstack/ceilometer,openstack/heat,0.0,True,True,0,0,ceilometer,heat,True,1
164190,164427,openstack/tempest,openstack/devstack,0.01,True,True,0,0,tempest,qualityassurance,True,2
164211,164209,openstack/project-config,openstack/gnocchi,0.04,True,False,0,0,,telemetry,True,14
164280,164282,openstack/trove-integration,openstack/trove,121.09,True,False,0,0,trove,trove,True,4
164280,164765,openstack/trove-integration,openstack/devstack,0.0,True,True,0,0,trove,qualityassurance,True,1
164281,164282,openstack/python-troveclient,openstack/trove,121.09,True,False,0,0,trove,trove,True,4
164334,167712,openstack/barbican,openstack/barbican,180.1,False,False,0,0,barbican,barbican,True,4
164335,165205,openstack/barbican,openstack/barbican,369.2,False,False,0,0,barbican,barbican,True,10
164342,165224,openstack/governance,openstack/project-config,813.23,True,False,0,0,technicalcommittee,,True,6
164370,155868,openstack/governance,openstack/project-config,675.9,True,False,0,0,technicalcommittee,,True,8
164466,165226,openstack/neutron,openstack/neutron-vpnaas,400.82,True,False,0,0,neutron,neutron,True,11
164545,164205,openstack/python-muranoclient,openstack/murano-dashboard,55.59,True,False,0,0,murano,murano,True,13
164820,165922,openstack/project-config,openstack/project-config,145.25,False,False,0,0,,,True,4
164893,142432,openstack/zaqar,openstack/zaqar,2146.22,False,False,0,0,zaqar,zaqar,True,16
165063,162656,openstack/devstack,openstack/requirements,189.97,True,True,0,0,qualityassurance,requirements,False,6
165205,165207,openstack/barbican,openstack/barbican,369.2,False,False,0,0,barbican,barbican,True,10
165226,169876,openstack/neutron-vpnaas,openstack/neutron,45.35,True,False,0,0,neutron,neutron,True,6
165246,154289,openstack/tempest,openstack/neutron,863.92,True,True,0,0,tempest,neutron,False,10
165246,172234,openstack/tempest,openstack/neutron,0.0,True,True,0,0,tempest,neutron,False,1
165281,165616,openstack/devstack,openstack/tempest,122.05,True,True,0,0,qualityassurance,tempest,False,3
165404,166729,openstack/python-muranoclient,openstack/murano-dashboard,6.19,True,False,0,0,murano,murano,True,4
165411,163351,openstack/ec2-api,openstack/ec2-api,171.14,False,False,0,0,ecapi,ecapi,False,14
