Path,length,all_abandoned,is_cross,lag,is_cross_service,Path_merged,length_merged
"[859171, 859236, 859237, 859238, 859239, 859240, 859241, 859235, 857933, 857807]",10,False,Cross,288.44,Same,"[859240, 859239, 859238, 859237, 859236, 859235, 857807, 857933]",8
"[804578, 804579, 804589]",3,False,Cross,0.0,Same,"[804579, 804578]",2
"[825008, 863251, 803424, 827925]",4,False,Cross,434.14,Same,"[827925, 825008]",2
"[858369, 862356, 862359]",3,False,Cross,523.16,Cross,"[858369, 862359, 862356]",3
"[861154, 863814, 829711, 829713, 861363]",5,False,Cross,6306.26,Cross,"[829713, 829711, 863814]",3
"[864041, 863795, 857857, 857855]",4,False,Cross,0.06,Same,"[857857, 857855]",2
"[864138, 864147]",2,False,Same,3.75,Same,"[864147, 864138]",2
"[863880, 396297, 616594, 833941, 740501, 566047, 619300, 619301, 619302, 554532, 740011, 740269, 848430, 848431, 848432, 848433, 779310, 849715, 778670, 744116, 706875, 860859, 832832, 740422, 402121, 660687, 645210, 740058, 860639, 821855, 740067, 401254, 552938, 645104, 508149, 592757, 404343, 739961, 592380]",39,False,Cross,51841.3,Cross,"[860859, 849715, 848433, 848431, 848432, 848430, 833941, 832832, 821855, 779310, 740067, 744116, 740501, 740058, 740422, 740011, 706875, 660687, 645210, 645104, 616594, 619302, 619300, 619301, 508149, 592757, 592380, 566047, 552938, 554532, 396297]",31
"[861729, 861788, 853029, 861790]",4,False,Cross,1596.87,Cross,"[861729, 861788, 853029]",3
"[863161, 863158]",2,False,Cross,0.25,Cross,"[863161, 863158]",2
"[855288, 831018, 827163, 830883]",4,False,Cross,5066.64,Cross,"[855288, 827163, 830883]",3
"[836803, 836818, 836819, 836820, 836823, 836767]",6,False,Cross,1.7,Same,"[836803, 836767]",2
"[847329, 847010, 847357, 846474, 847437, 846287, 846159, 850676, 847222, 847257, 847323, 846557]",12,False,Cross,844.75,Same,"[850676, 847437, 847257, 847323, 847222, 846287, 846159]",7
