devs_nbr,projects_nbr,dev_status
1,293,Core
2,216,Core
3,62,Non core
4,33,Core
5,8,Non core
6,9,Non core
7,32,Non core
8,2,Non core
24,126,Non core
26,16,Non core
31,3,Non core
34,2,Non core
53,3,Non core
55,10,Core
67,16,Non core
88,2,Non core
91,14,Non core
97,6,Non core
100,9,Non core
105,30,Core
107,6,Core
112,11,Non core
113,1,Non core
114,7,Non core
124,4,Non core
126,4,Non core
128,9,Core
136,1,Core
141,3,Non core
143,3,Non core
144,9,Non core
154,2,Non core
156,4,Core
159,11,Non core
161,6,Non core
162,5,Non core
167,139,Core
170,26,Non core
177,13,Non core
186,2,Non core
191,2,Non core
192,2,Non core
209,10,Non core
215,5,Non core
216,16,Non core
217,2,Non core
220,9,Non core
221,1,Non core
233,4,Non core
236,3,Non core
261,19,Non core
271,5,Non core
287,5,Core
290,16,Non core
306,2,Non core
308,106,Core
321,9,Non core
330,16,Core
333,19,Core
335,3,Non core
356,6,Non core
357,2,Non core
360,78,Core
385,9,Core
395,15,Non core
396,4,Non core
406,8,Non core
425,26,Non core
428,3,Non core
436,2,Non core
438,2,Non core
447,6,Non core
449,1,Non core
452,2,Non core
455,20,Non core
475,8,Non core
490,11,Non core
494,5,Non core
512,1,Non core
518,13,Non core
519,2,Non core
532,3,Non core
538,66,Core
543,1,Non core
551,1,Non core
581,1,Non core
589,7,Non core
595,1,Non core
597,14,Core
612,28,Core
616,10,Non core
631,2,Non core
642,6,Non core
659,8,Non core
668,12,Core
679,9,Core
681,5,Core
688,7,Non core
693,4,Non core
694,8,Non core
704,14,Core
706,11,Non core
708,25,Core
736,1,Non core
739,13,Non core
740,2,Non core
741,25,Non core
745,2,Non core
748,40,Non core
752,8,Non core
780,1,Non core
782,25,Core
794,1,Non core
819,23,Non core
838,3,Non core
841,119,Core
842,2,Non core
845,2,Non core
860,9,Non core
864,1,Non core
866,25,Core
882,3,Non core
894,4,Non core
904,6,Non core
917,3,Non core
927,3,Non core
931,2,Non core
935,135,Non core
941,2,Non core
951,6,Non core
961,2,Non core
964,43,Core
970,32,Core
971,3,Non core
979,26,Non core
986,9,Core
994,5,Non core
995,2,Non core
998,1,Non core
1004,158,Core
1005,3,Non core
1007,6,Non core
1009,2,Non core
1011,13,Core
1030,9,Non core
1032,27,Non core
1037,6,Non core
1049,2,Non core
1054,4,Non core
1057,3,Non core
1063,14,Core
1071,3,Non core
1073,1,Non core
1075,3,Non core
1082,3,Non core
1091,10,Non core
1106,9,Core
1107,7,Core
1112,16,Non core
1119,4,Non core
1131,48,Core
1132,20,Non core
1136,1,Non core
1155,9,Non core
1160,1,Non core
1175,4,Non core
1176,1,Non core
1177,1,Non core
1179,11,Core
1184,1,Non core
1188,1,Non core
1192,7,Non core
1205,10,Non core
1207,6,Non core
1216,2,Non core
1226,1,Non core
1228,3,Non core
1247,39,Non core
1253,2,Non core
1257,1,Non core
1267,15,Non core
1269,3,Non core
1297,63,Core
1298,16,Non core
1313,22,Non core
1322,2,Non core
1333,2,Non core
1343,6,Non core
1375,10,Core
1387,3,Non core
1390,17,Non core
1394,1,Non core
1395,4,Non core
1407,1,Non core
1419,3,Non core
1420,39,Non core
1441,6,Non core
1446,17,Non core
1456,5,Non core
1464,6,Core
1468,2,Non core
1475,5,Non core
1501,7,Non core
1523,7,Non core
1525,5,Non core
1528,17,Core
1531,11,Core
1549,1,Non core
1555,2,Non core
1561,40,Core
1586,2,Non core
1603,1,Non core
1605,2,Non core
1607,29,Non core
1610,1,Non core
1613,4,Non core
1616,1,Non core
1627,2,Non core
1631,1,Non core
1633,9,Non core
1635,2,Non core
1636,2,Non core
1653,42,Non core
1669,67,Core
1678,7,Non core
1687,5,Non core
1689,6,Non core
1699,6,Non core
1706,9,Non core
1711,5,Non core
