devs_nbr,projects_nbr,dev_status
1726,24,Core
1736,70,Core
1742,1,Non core
1749,2,Non core
1761,1,Non core
1773,7,Non core
1779,16,Non core
1782,4,Non core
1783,4,Non core
1792,1,Non core
1794,1,Non core
1795,6,Non core
1801,4,Non core
1803,11,Non core
1806,2,Non core
1812,14,Non core
1814,4,Non core
1816,9,Non core
1822,1,Non core
1828,1,Non core
1836,1,Non core
1839,1,Non core
1849,57,Non core
1861,1,Non core
1865,9,Non core
1870,3,Non core
1872,5,Non core
1882,3,Non core
1894,13,Non core
1904,2,Non core
1916,28,Non core
1918,17,Non core
1921,39,Core
1923,8,Non core
1925,11,Core
1926,50,Core
1935,5,Non core
1941,32,Non core
1943,1,Non core
1952,2,Non core
1955,38,Core
1958,1,Non core
1970,6,Non core
1976,7,Non core
1981,3,Non core
1991,9,Core
1994,25,Non core
1998,6,Non core
2011,10,Non core
2023,7,Core
2031,12,Non core
2033,4,Core
2035,20,Non core
2036,5,Non core
2043,3,Non core
2062,23,Core
2064,3,Non core
2067,2,Non core
2069,4,Non core
2096,2,Non core
2101,4,Non core
2109,2,Non core
2135,2,Non core
2140,2,Non core
2170,5,Non core
2174,1,Non core
2185,1,Non core
2208,1,Non core
2214,1,Non core
2218,26,Non core
2226,1,Non core
2230,7,Non core
2238,1,Non core
2243,18,Core
2245,28,Core
2258,2,Non core
2264,3,Non core
2265,11,Non core
2271,31,Non core
2276,19,Non core
2284,19,Core
2322,3,Non core
2323,2,Non core
2325,2,Non core
2332,2,Non core
2340,27,Non core
2376,11,Non core
2383,1,Non core
2394,33,Core
2401,4,Non core
2404,5,Non core
2417,18,Non core
2419,18,Core
2424,64,Non core
2439,3,Non core
2443,1,Non core
2448,13,Core
2453,2,Non core
2455,4,Non core
2458,2,Non core
2459,1,Non core
2463,19,Non core
2467,6,Non core
2468,9,Non core
2472,656,Core
2475,7,Non core
2477,2,Non core
2481,12,Non core
2486,1,Non core
2506,11,Core
2510,2,Non core
2515,3,Non core
2531,3,Non core
2535,2,Non core
2537,13,Non core
2556,2,Non core
2559,2,Non core
2560,4,Non core
2561,1,Non core
2583,9,Non core
2589,5,Non core
2592,21,Non core
2622,11,Non core
2634,8,Non core
2649,4,Non core
2652,2,Non core
2654,2,Non core
2667,3,Non core
2672,2,Non core
2674,2,Non core
2681,2,Non core
2696,3,Non core
2697,2,Non core
2711,22,Non core
2733,10,Non core
2750,69,Core
2754,2,Non core
2759,9,Non core
2760,1,Non core
2763,3,Non core
2792,5,Non core
2799,77,Core
2804,1,Non core
2807,7,Non core
2813,55,Core
2814,1,Non core
2822,2,Non core
2828,1,Non core
2834,22,Non core
2835,8,Non core
2846,3,Non core
2847,2,Non core
2860,10,Non core
2861,8,Non core
2874,37,Core
2883,2,Non core
2888,14,Core
2889,28,Core
2903,39,Core
2907,1,Non core
2914,3,Non core
2928,7,Non core
2934,12,Non core
2949,2,Non core
2967,5,Non core
2976,6,Non core
3009,28,Core
3012,34,Core
3031,46,Non core
3032,1,Non core
3068,13,Core
3094,1,Non core
3098,13,Non core
3099,14,Core
3108,11,Non core
3114,3,Non core
3153,132,Core
3185,28,Core
3189,4,Non core
3191,12,Non core
3208,3,Non core
3211,6,Non core
3217,5,Non core
4108,1,Non core
4120,4,Non core
4126,1,Non core
4128,35,Non core
4146,56,Core
4148,2,Non core
4149,3,Non core
4159,4,Non core
4162,102,Core
4184,4,Non core
4187,15,Core
4190,56,Core
4200,4,Non core
4211,1,Non core
4214,3,Non core
4220,6,Non core
4234,3,Non core
4240,11,Non core
4257,52,Core
4264,31,Core
4268,8,Non core
4277,7,Non core
4284,2,Non core
4302,1,Non core
4303,3,Non core
4325,3,Non core
4326,1,Non core
4328,46,Non core
4330,19,Non core
4340,6,Non core
4355,11,Non core
4375,50,Non core
4381,1,Non core
4393,32,Core
4395,31,Non core
4405,2,Non core
4411,4,Non core
4418,4,Non core
4419,2,Non core
4428,42,Core
4435,1,Non core
4458,35,Non core
4460,25,Non core
4463,5,Non core
4468,2,Non core
4476,2,Non core
4491,19,Non core
4523,35,Core
4531,1,Non core
4567,1,Non core
4571,67,Core
4573,8,Non core
4582,2,Non core
4598,5,Non core
4601,4,Non core
4608,11,Core
4625,5,Core
4630,1,Non core
4634,1,Non core
4656,28,Non core
4690,29,Core
4693,2,Non core
4694,22,Core
4703,2,Non core
4715,31,Core
4726,3,Non core
4727,12,Non core
4894,6,Non core
4912,3,Non core
4919,3,Non core
4938,1,Non core
4950,2,Non core
4954,1,Non core
4978,30,Core
4987,5,Non core
4992,6,Non core
5003,6,Non core
5044,12,Non core
5046,66,Core
5055,6,Non core
5063,9,Non core
5090,2,Non core
5109,4,Non core
5112,22,Non core
5127,4,Non core
5149,3,Non core
5162,5,Non core
5174,10,Non core
5189,3,Non core
5196,47,Core
5200,1,Non core
5202,20,Core
5209,4,Non core
5215,2,Non core
5217,6,Non core
5222,1,Non core
5240,1,Non core
5241,37,Non core
5259,2,Non core
5263,316,Core
5271,1,Non core
5280,10,Non core
5291,14,Non core
5292,23,Non core
5293,18,Non core
5300,8,Non core
5311,1,Non core
5313,7,Non core
5314,42,Core
5319,9,Non core
5347,4,Non core
5367,40,Core
5371,17,Core
5387,8,Non core
5390,13,Non core
5400,1,Non core
5408,2,Non core
5410,1,Non core
5441,14,Non core
5464,2,Non core
5477,3,Non core
5484,2,Non core
5489,2,Non core
5499,3,Non core
5511,12,Non core
5520,1,Non core
5538,14,Non core
5545,4,Core
5557,2,Non core
5558,4,Non core
5559,6,Non core
5572,8,Non core
5574,1,Non core
5575,11,Non core
5586,6,Non core
5600,5,Non core
5619,6,Non core
5623,19,Core
5624,5,Non core
5638,159,Core
5639,4,Non core
5650,1,Non core
5652,11,Non core
5660,12,Core
5677,3,Non core
5678,3,Non core
5689,56,Core
5704,6,Non core
5706,1,Non core
5707,5,Non core
5718,2,Non core
5727,2,Non core
5733,17,Non core
5735,5,Non core
5754,16,Core
5756,27,Core
5792,26,Non core
5803,32,Core
5805,16,Core
5828,3,Non core
5889,1,Non core
5892,7,Non core
5930,4,Non core
5948,16,Core
5950,29,Core
5956,3,Non core
5957,3,Non core
5971,2,Non core
5995,2,Non core
5997,19,Core
6032,4,Non core
6039,13,Core
6043,3,Non core
6055,4,Non core
6059,1,Non core
6062,14,Non core
6072,12,Non core
6073,2,Non core
6088,4,Non core
6094,2,Non core
6116,17,Non core
6124,8,Non core
6133,33,Core
6139,2,Non core
6153,7,Non core
6156,5,Non core
6159,404,Core
6160,4,Non core
6162,9,Non core
6167,46,Core
6172,34,Core
6198,4,Non core
6223,5,Non core
6230,8,Non core
6237,1,Non core
6265,2,Non core
6268,9,Non core
6270,1,Non core
6282,18,Non core
6287,7,Core
6316,23,Non core
6348,32,Core
6369,6,Non core
6390,1,Non core
6413,32,Core
6414,10,Non core
6427,5,Core
6434,3,Non core
6437,5,Non core
6443,1,Non core
6447,3,Non core
6449,15,Core
6450,3,Non core
6455,1,Non core
6456,10,Core
6460,8,Core
6461,1,Non core
6463,2,Non core
6466,2,Non core
6469,44,Core
6473,3,Non core
6476,354,Non core
6482,84,Core
6484,39,Core
6486,47,Non core
6488,43,Core
6491,10,Non core
6493,5,Non core
6494,2,Non core
6495,2,Non core
6498,6,Non core
6506,3,Non core
6507,5,Non core
6508,3,Non core
6509,12,Non core
6522,7,Non core
6524,41,Non core
6525,11,Non core
6526,17,Non core
6529,2,Non core
6530,11,Non core
6536,4,Non core
6537,37,Core
6539,1,Non core
6540,2,Non core
6541,2,Non core
6542,2,Non core
6547,671,Core
6549,19,Non core
6550,10,Non core
6554,12,Non core
6558,12,Core
6565,2,Non core
6571,9,Non core
6574,1,Non core
6575,2,Non core
6577,21,Core
6578,1,Non core
6579,16,Non core
6582,3,Non core
6587,3,Non core
6588,2,Non core
6589,11,Non core
6593,132,Core
6598,11,Core
6601,24,Non core
6603,3,Non core
6604,3,Non core
6608,3,Non core
6609,22,Core
6610,45,Core
6618,35,Core
6620,4,Non core
6623,16,Core
6624,5,Non core
6631,2,Non core
6632,1,Non core
6633,4,Non core
6635,8,Non core
6637,27,Core
6638,8,Non core
6645,12,Non core
6648,3,Core
6650,7,Core
6655,2,Non core
6657,2,Non core
6659,14,Non core
6661,2,Non core
6662,7,Core
6670,3,Non core
6671,11,Non core
6672,2,Non core
6676,80,Non core
6677,15,Core
6678,7,Non core
6681,26,Non core
6683,6,Non core
6684,3,Non core
6685,7,Non core
6686,1,Non core
6687,4,Non core
6689,3,Non core
6690,2,Non core
6694,3,Non core
6695,6,Non core
6696,2,Non core
6697,5,Non core
6698,6,Non core
6699,5,Non core
6703,2,Non core
6704,2,Non core
6706,2,Non core
6714,14,Non core
6717,12,Non core
6719,15,Non core
6721,24,Non core
6722,21,Non core
6724,7,Non core
6728,3,Non core
6732,46,Core
6735,15,Non core
6737,51,Non core
6739,1,Non core
6743,6,Non core
6754,17,Non core
6758,5,Non core
6759,1,Non core
6760,3,Non core
6761,2,Non core
6763,37,Core
6767,1,Non core
6769,4,Non core
6772,12,Non core
6773,52,Core
6781,3,Non core
6783,7,Non core
6785,5,Non core
6786,58,Non core
6788,8,Non core
6794,23,Core
6796,44,Non core
6798,2,Non core
6799,2,Non core
6800,2,Non core
6802,6,Non core
6804,4,Non core
6807,6,Non core
6816,105,Core
6820,3,Non core
6823,4,Non core
6825,8,Non core
6828,4,Non core
6834,1,Non core
6835,14,Core
6836,12,Non core
6838,5,Non core
6843,6,Non core
6845,1,Non core
6847,1,Non core
6849,35,Non core
6850,6,Non core
6851,18,Non core
6854,47,Core
6857,2,Non core
6859,6,Non core
6873,93,Core
6876,10,Non core
6877,2,Non core
6880,1,Non core
6882,3,Core
6886,4,Non core
6889,10,Core
6890,3,Non core
6896,6,Non core
6899,21,Non core
6902,1,Non core
6904,12,Non core
6908,9,Non core
6912,2,Non core
6914,6,Core
6917,7,Non core
6918,4,Non core
6921,1,Non core
6923,14,Non core
6924,39,Non core
6926,49,Core
6928,98,Core
6938,9,Non core
6939,1,Non core
6943,1,Non core
6944,2,Non core
6948,3,Non core
6949,1,Non core
6950,1,Non core
6951,9,Non core
6962,11,Non core
6967,11,Non core
6968,31,Core
6969,8,Non core
6971,3,Non core
6981,9,Non core
6983,12,Non core
6984,6,Core
6987,2,Non core
6991,3,Non core
6992,2,Non core
6993,2,Non core
6994,24,Non core
6995,4,Core
6999,1,Non core
7002,29,Non core
7007,12,Core
7008,2,Non core
7010,4,Non core
7012,19,Core
7016,16,Non core
7018,12,Core
7020,5,Non core
7021,5,Non core
7028,2,Non core
7029,1,Non core
7037,6,Non core
7038,3,Non core
7039,1,Non core
7040,3,Non core
7042,12,Non core
7045,1,Non core
7049,10,Non core
7051,5,Non core
7052,8,Non core
7060,2,Non core
7063,13,Core
7065,29,Non core
7069,21,Core
7071,1,Non core
7073,10,Non core
7075,18,Non core
7080,15,Non core
7094,2,Non core
7096,2,Non core
7102,112,Core
7104,2,Non core
7109,14,Non core
7116,3,Non core
7118,295,Core
7121,8,Non core
7125,17,Non core
7126,11,Non core
7128,36,Non core
7130,23,Non core
7132,11,Non core
7133,5,Non core
7134,3,Non core
7135,9,Non core
7136,9,Non core
7138,2,Non core
7139,8,Non core
7141,12,Non core
7144,46,Non core
7145,2,Non core
7148,15,Non core
7150,1,Non core
7155,28,Non core
7156,39,Non core
7160,1,Non core
7162,1,Non core
7166,20,Core
7170,5,Non core
7173,10,Non core
7175,1,Non core
7179,13,Non core
7181,1,Non core
7183,7,Non core
7185,9,Non core
7186,10,Non core
7187,3,Non core
7189,1,Non core
7191,67,Non core
7193,4,Core
7195,18,Core
7198,20,Core
7201,1,Non core
7202,1,Non core
7203,16,Non core
7208,1,Non core
7217,29,Non core
7219,17,Non core
7220,5,Non core
7221,2,Non core
7224,1,Non core
7225,16,Core
7226,10,Core
7227,22,Non core
7229,3,Non core
7230,9,Core
7231,3,Non core
7233,13,Core
7236,10,Non core
7237,3,Non core
7239,1,Non core
7244,11,Non core
7248,3,Non core
7249,22,Core
7253,14,Non core
7256,10,Non core
7257,2,Non core
7260,2,Core
7262,2,Non core
7264,3,Non core
7270,1,Non core
7272,2,Core
7277,2,Non core
7282,3,Non core
7289,6,Non core
7293,29,Non core
7294,8,Non core
7302,3,Non core
7306,1,Non core
7307,54,Non core
7309,2,Non core
7317,1,Non core
7322,1,Non core
7324,1,Non core
7331,17,Non core
7336,5,Non core
7338,5,Non core
7349,3,Non core
7350,28,Non core
7353,126,Core
7355,3,Non core
7358,1,Non core
7364,1,Non core
7366,5,Non core
7368,7,Non core
7369,18,Core
7383,1,Non core
7385,66,Core
7386,8,Non core
7387,5,Non core
7389,3,Non core
7393,3,Non core
7395,2,Non core
7398,7,Non core
7399,2,Non core
7400,6,Non core
7404,17,Core
7405,3,Non core
7409,4,Non core
7411,2,Non core
7414,18,Core
7419,19,Core
7420,2,Non core
7423,26,Non core
7427,2,Non core
7428,10,Core
7431,13,Core
7433,1,Non core
7439,1,Non core
7441,3,Non core
7447,2,Non core
7448,16,Non core
7450,5,Core
7457,1,Non core
7461,2,Non core
7462,13,Non core
7466,3,Non core
7468,8,Non core
7471,7,Non core
7472,4,Non core
7473,10,Non core
7478,12,Non core
7479,4,Non core
7482,3,Non core
7485,4,Core
7488,41,Core
7491,27,Non core
7494,16,Non core
7498,4,Non core
7500,4,Non core
7504,2,Non core
7505,17,Non core
7509,12,Non core
7514,2,Core
7515,4,Non core
7531,2,Non core
7532,4,Non core
7534,5,Non core
7535,21,Core
7536,9,Non core
7537,2,Non core
7541,2,Non core
7543,19,Non core
7549,18,Non core
7553,4,Non core
7555,8,Non core
7562,16,Non core
7565,2,Core
7567,5,Non core
7575,13,Non core
7577,1,Non core
7579,4,Non core
7582,24,Non core
7585,7,Non core
7589,3,Non core
7590,2,Non core
7591,2,Non core
7593,3,Non core
7600,14,Non core
7602,2,Non core
7604,27,Non core
7613,19,Non core
7614,4,Non core
7616,3,Non core
7624,1,Non core
7625,1,Non core
7627,1,Non core
7629,4,Non core
7632,1,Non core
7634,62,Core
7639,1,Non core
7641,9,Non core
7642,10,Non core
7653,7,Non core
7654,6,Non core
7655,2,Non core
7658,3,Non core
7661,2,Non core
7662,17,Non core
7664,7,Non core
7665,17,Core
7675,2,Non core
7676,7,Non core
7677,13,Non core
7680,32,Non core
7687,3,Non core
7689,7,Non core
7693,3,Non core
7696,2,Non core
7700,15,Non core
7701,4,Non core
7703,4,Non core
7706,5,Non core
7708,6,Non core
7710,19,Non core
7711,15,Non core
7714,3,Non core
7715,11,Non core
7718,1,Non core
7725,16,Core
7727,2,Non core
7729,17,Non core
7730,50,Core
7731,1,Non core
7732,48,Core
7737,1,Non core
7740,1,Non core
7743,2,Non core
7744,2,Non core
7745,47,Core
7746,3,Non core
7750,1,Non core
7751,4,Non core
7752,2,Non core
7753,2,Non core
7761,18,Non core
7763,9,Non core
7764,7,Non core
7769,11,Core
7770,20,Non core
7774,23,Non core
7776,10,Non core
7780,3,Non core
7781,10,Non core
7784,6,Non core
7787,30,Core
7788,2,Non core
7789,3,Non core
7794,4,Non core
7795,3,Non core
7796,3,Non core
7802,1,Non core
7805,15,Non core
7806,21,Non core
7808,11,Non core
7812,3,Non core
7817,5,Non core
7822,22,Non core
7823,7,Non core
7827,2,Non core
7833,15,Non core
7837,2,Non core
7838,3,Non core
7839,1,Non core
7842,1,Non core
7847,11,Core
7848,1,Non core
7850,2,Non core
7858,17,Non core
7860,2,Non core
7870,3,Non core
7872,25,Non core
7874,5,Non core
7878,4,Non core
7882,17,Non core
7884,3,Non core
7888,18,Non core
7890,2,Non core
7891,1,Non core
7895,2,Non core
7906,1,Non core
7909,7,Non core
7913,1,Non core
7915,5,Non core
7916,4,Non core
7921,4,Core
7923,31,Non core
7924,2,Non core
7929,1,Non core
7930,11,Non core
7933,1,Non core
7934,1,Non core
7935,4,Non core
7937,1,Non core
7948,1,Non core
7952,2,Non core
7962,5,Non core
7973,31,Core
7975,4,Non core
7976,7,Non core
7979,7,Non core
7980,1,Non core
7984,4,Non core
7987,3,Non core
7992,3,Non core
7993,1,Non core
7996,20,Non core
8000,1,Core
8001,10,Non core
8003,17,Non core
8004,4,Non core
8005,17,Non core
8016,2,Non core
8021,11,Non core
8027,3,Non core
8035,8,Non core
8037,13,Non core
8040,15,Non core
8041,8,Non core
8042,28,Non core
8047,3,Non core
8052,5,Non core
8053,6,Non core
8054,4,Non core
8056,8,Core
8057,3,Non core
8064,37,Core
8067,2,Non core
8072,5,Non core
8074,3,Non core
8083,10,Non core
8084,7,Non core
8085,2,Non core
8090,9,Non core
8091,7,Non core
8092,5,Non core
8094,3,Non core
8097,2,Non core
8098,2,Non core
8099,42,Core
8103,2,Non core
8104,2,Non core
8105,1,Non core
8106,13,Non core
8107,2,Non core
8108,32,Non core
8112,19,Non core
8116,9,Non core
8119,47,Core
8122,54,Core
8124,38,Non core
8125,16,Core
8126,13,Core
8127,15,Core
8128,3,Non core
8129,2,Non core
8130,3,Non core
8133,1,Non core
8143,2,Non core
8148,6,Non core
8151,4,Non core
8153,4,Non core
8155,4,Non core
8157,46,Non core
8158,8,Non core
8161,7,Non core
8163,2,Non core
8172,6,Non core
8174,8,Non core
8175,48,Non core
8180,2,Non core
8181,2,Non core
8185,1,Non core
8188,10,Core
8190,15,Non core
8202,1,Non core
8205,9,Non core
8212,3,Non core
8213,39,Core
8214,7,Non core
8215,9,Core
8217,3,Non core
8228,2,Non core
8229,11,Non core
8241,1,Non core
8246,34,Core
8247,9,Non core
8253,1,Non core
8254,1,Non core
8255,3,Non core
8257,7,Non core
8259,17,Non core
8262,1,Non core
8264,8,Core
8276,32,Non core
8278,6,Non core
8279,6,Non core
8282,7,Non core
8286,5,Non core
8289,20,Non core
8290,48,Non core
8293,3,Non core
8296,1,Non core
8297,55,Core
8298,9,Non core
8300,11,Non core
8301,2,Non core
8302,7,Non core
8304,1,Non core
8305,1,Non core
8309,2,Non core
8311,4,Non core
8313,37,Core
8315,2,Non core
8318,32,Non core
8321,2,Non core
8328,8,Non core
8330,4,Core
8331,2,Non core
8334,13,Core
8336,2,Non core
8344,16,Core
8347,3,Non core
8350,2,Non core
8351,3,Non core
8358,43,Non core
8362,5,Non core
8367,31,Core
8369,3,Non core
8376,4,Non core
8378,1,Non core
8380,3,Non core
8392,8,Core
8399,8,Non core
8401,5,Non core
8406,2,Non core
8408,3,Non core
8410,11,Non core
8411,14,Non core
8412,5,Non core
8414,3,Non core
8415,10,Non core
8421,3,Non core
8426,3,Non core
8429,1,Non core
8430,2,Non core
8432,2,Non core
8434,2,Non core
8435,4,Non core
8436,2,Non core
8437,2,Non core
8439,2,Non core
8441,2,Non core
8443,8,Core
8446,7,Non core
8449,53,Core
8450,1,Non core
8458,2,Non core
8464,7,Non core
8467,2,Non core
8478,11,Non core
8482,80,Core
8486,2,Non core
8491,7,Core
8494,3,Non core
8495,2,Non core
8497,1,Non core
8503,1,Non core
8505,7,Non core
8507,6,Non core
8510,2,Non core
8511,1,Non core
8512,4,Non core
8514,5,Non core
8515,1,Non core
8517,3,Non core
8532,13,Non core
8533,14,Non core
8537,2,Non core
8542,2,Non core
8543,32,Core
8544,3,Non core
8545,1,Non core
8556,610,Core
8560,1,Core
8574,9,Non core
8576,4,Non core
8577,3,Non core
8580,13,Non core
8582,3,Non core
8584,2,Non core
8587,2,Non core
8592,15,Non core
8596,2,Non core
8600,1,Non core
8601,13,Core
8607,3,Non core
8614,3,Non core
8617,5,Non core
8622,5,Non core
8623,17,Core
8625,1,Non core
8627,5,Non core
8641,12,Non core
8642,3,Non core
8645,3,Non core
8646,9,Non core
8648,28,Core
8651,13,Non core
8652,7,Core
8655,30,Core
8660,1,Non core
8662,14,Non core
8674,7,Non core
8685,8,Non core
8686,17,Non core
8688,24,Non core
8689,2,Non core
8690,2,Non core
8702,2,Non core
8710,1,Core
8716,14,Core
8718,1,Non core
8726,28,Core
8731,17,Core
8732,1,Non core
8735,11,Core
8736,13,Non core
8740,2,Non core
8743,1,Non core
8745,30,Non core
8748,5,Non core
8749,15,Core
8757,3,Non core
8759,8,Non core
8766,3,Core
8767,12,Non core
8768,10,Non core
8770,30,Non core
8776,12,Core
8777,2,Core
8784,3,Non core
8786,22,Core
8787,14,Non core
8788,18,Non core
8789,10,Non core
8791,1,Non core
8792,2,Non core
8794,6,Non core
8797,16,Core
8802,2,Non core
8803,3,Non core
8804,1,Non core
8808,3,Non core
8823,1,Non core
8824,13,Non core
8826,2,Non core
8829,11,Non core
8831,4,Non core
8832,1,Non core
8833,65,Core
8837,5,Non core
8839,4,Non core
8840,1,Non core
8844,4,Non core
8846,17,Core
8851,22,Non core
8857,1,Non core
8859,5,Non core
8861,3,Non core
8863,22,Core
8864,18,Core
8865,4,Non core
8866,18,Non core
8873,20,Non core
8874,6,Non core
8876,6,Non core
8878,20,Core
8882,6,Core
8887,2,Non core
8888,1,Non core
8889,5,Non core
8890,6,Non core
8895,9,Non core
8898,5,Core
8907,17,Core
8910,2,Non core
8911,35,Core
8912,5,Non core
8921,2,Non core
8922,2,Non core
8930,2,Non core
8931,14,Non core
8932,29,Core
8933,1,Non core
8935,9,Non core
8940,3,Non core
8944,4,Non core
8949,2,Non core
8954,8,Non core
8959,7,Non core
8965,8,Non core
8967,4,Non core
8968,6,Non core
8970,2,Non core
8976,16,Non core
8978,9,Non core
8984,6,Non core
8988,12,Non core
8989,2,Non core
8992,74,Non core
8994,11,Non core
8996,16,Non core
8997,2,Non core
9000,2,Non core
9003,27,Core
9013,2,Non core
9014,3,Non core
9029,2,Non core
9030,1,Non core
9031,1,Core
9032,2,Non core
9037,12,Non core
9040,2,Core
9041,3,Non core
9043,2,Non core
9044,4,Non core
9046,2,Non core
9048,6,Non core
9051,9,Non core
9057,4,Non core
9060,13,Non core
9061,45,Non core
9062,2,Non core
9064,7,Non core
9066,4,Non core
9067,2,Non core
9068,4,Non core
9069,3,Non core
9073,1,Non core
9076,2,Core
9077,1,Non core
9086,1,Non core
9089,1,Non core
9090,2,Non core
9091,5,Non core
9093,4,Non core
9094,3,Non core
9095,4,Core
9096,10,Non core
9098,19,Core
9100,4,Non core
9101,9,Non core
9107,53,Non core
9113,2,Non core
9119,1,Non core
9121,1,Non core
9122,4,Non core
9124,1,Non core
9126,15,Non core
9129,1,Non core
9130,1,Non core
9139,4,Non core
9142,9,Non core
9143,1,Non core
9146,2,Non core
9152,5,Non core
9155,2,Non core
9162,7,Core
9166,3,Non core
9171,10,Core
9172,9,Non core
9173,2,Non core
9174,2,Non core
9176,16,Non core
9178,9,Non core
9180,5,Non core
9186,8,Non core
9188,2,Non core
9189,8,Non core
9190,1,Non core
9191,3,Non core
9194,3,Non core
9200,13,Core
9204,4,Non core
9205,1,Core
9207,3,Non core
9209,1,Non core
9212,5,Non core
9214,10,Non core
9215,2,Non core
9216,3,Non core
9218,6,Non core
9219,3,Non core
9223,11,Non core
9225,4,Non core
9234,7,Non core
9236,12,Core
9237,13,Core
9247,14,Non core
9248,3,Non core
9253,2,Non core
9257,16,Non core
9268,26,Non core
9272,6,Non core
9275,7,Non core
9276,9,Core
9285,4,Non core
9293,2,Non core
9294,2,Non core
9297,2,Non core
9300,3,Non core
9301,5,Non core
9303,32,Core
9311,27,Core
9312,6,Core
9313,2,Non core
9315,10,Non core
9317,18,Core
9323,27,Core
9327,2,Non core
9331,6,Non core
9335,11,Non core
9337,10,Non core
9347,1,Non core
9349,4,Non core
9352,2,Non core
9355,1,Non core
9361,5,Non core
9364,4,Non core
9366,4,Non core
9369,33,Core
9373,14,Non core
9375,1,Non core
9377,14,Non core
9380,4,Non core
9382,22,Core
9383,2,Non core
9387,10,Core
9392,3,Non core
9396,9,Non core
9397,6,Non core
9407,24,Non core
9408,6,Non core
9409,4,Non core
9410,33,Non core
9412,3,Non core
9414,216,Non core
9415,6,Non core
9416,2,Non core
9420,10,Non core
9423,8,Non core
9426,13,Non core
9429,1,Non core
9431,2,Non core
