reviewer,service,rev_status
1,41,Core
2,40,Core
3,57,Non core
4,27,Core
5,4,Non core
6,11,Non core
7,26,Non core
8,2,Non core
15,1,Non core
24,35,Non core
25,6,Non core
26,2,Non core
34,4,Non core
53,3,Non core
55,7,Core
67,13,Non core
73,2,Non core
85,1,Non core
88,3,Non core
91,6,Non core
97,4,Non core
99,1,Non core
100,7,Non core
105,19,Core
107,2,Core
112,8,Non core
113,2,Non core
114,3,Non core
124,3,Non core
126,5,Non core
128,12,Core
136,22,Core
141,1,Non core
143,1,Non core
144,7,Non core
152,1,Non core
154,1,Non core
156,5,Core
159,11,Non core
161,8,Non core
162,5,Non core
167,34,Core
170,20,Non core
177,11,Non core
180,1,Non core
186,2,Non core
191,6,Non core
209,6,Non core
215,3,Non core
216,6,Non core
217,5,Non core
220,12,Non core
221,1,Non core
230,2,Non core
233,3,Non core
236,9,Non core
261,14,Non core
271,4,Non core
277,1,Non core
287,9,Core
290,4,Non core
303,1,Non core
308,37,Core
321,6,Non core
330,13,Core
333,12,Core
335,4,Non core
351,2,Non core
356,4,Non core
357,5,Non core
358,1,Non core
360,23,Core
362,1,Non core
385,6,Core
395,11,Non core
396,4,Non core
406,2,Non core
425,11,Non core
428,6,Non core
436,1,Non core
438,2,Non core
447,9,Non core
449,3,Non core
452,2,Non core
455,12,Non core
475,10,Non core
490,7,Non core
494,5,Non core
512,1,Non core
518,8,Non core
532,8,Non core
537,1,Non core
538,10,Core
543,6,Non core
551,1,Non core
564,1,Non core
581,4,Non core
589,1,Non core
595,11,Non core
597,11,Core
612,17,Core
616,11,Non core
631,3,Non core
642,8,Non core
659,6,Non core
668,13,Core
669,1,Non core
679,7,Core
681,7,Core
688,9,Non core
693,7,Non core
694,6,Non core
704,14,Core
706,8,Non core
708,10,Core
736,2,Non core
739,10,Non core
740,1,Non core
741,17,Non core
745,1,Non core
748,21,Non core
752,6,Non core
780,1,Non core
782,16,Core
792,13,Non core
794,3,Non core
819,8,Non core
829,1,Non core
838,4,Non core
841,41,Core
842,2,Non core
860,7,Non core
864,3,Non core
866,19,Core
882,3,Non core
894,4,Non core
904,5,Non core
905,1,Non core
917,4,Non core
927,3,Non core
931,2,Non core
935,30,Non core
941,1,Non core
951,4,Non core
961,2,Non core
964,25,Core
965,1,Non core
970,23,Core
971,2,Non core
979,25,Non core
986,7,Core
994,4,Non core
995,1,Non core
998,2,Non core
1004,32,Core
1005,2,Non core
1007,6,Non core
1009,1,Non core
1011,13,Core
1026,3,Non core
1028,1,Non core
1030,11,Non core
1032,9,Non core
1037,1,Non core
1038,3,Non core
1043,5,Non core
1049,2,Non core
1053,2,Non core
1054,4,Non core
1063,21,Core
1073,1,Non core
1075,1,Non core
1082,4,Non core
1091,13,Non core
1106,9,Core
1107,5,Core
1112,10,Non core
1119,8,Non core
1127,1,Non core
1131,19,Core
1132,10,Non core
1136,1,Non core
1137,1,Non core
1148,1,Non core
1155,5,Non core
1160,1,Non core
1175,3,Non core
1176,1,Non core
1177,3,Non core
1179,12,Core
1184,2,Non core
1188,1,Non core
1192,11,Non core
1205,6,Non core
1206,4,Non core
1207,12,Non core
1215,9,Non core
1216,1,Non core
1226,1,Non core
1228,3,Non core
1247,19,Non core
1253,2,Non core
1267,8,Non core
1269,3,Non core
1271,2,Non core
1297,28,Core
1298,2,Non core
1313,17,Non core
1315,4,Non core
1322,1,Non core
1330,2,Non core
1333,5,Non core
1343,2,Non core
1375,5,Core
1387,2,Non core
1390,12,Non core
1394,1,Non core
1395,2,Non core
1397,1,Non core
1419,1,Non core
1420,22,Non core
1422,1,Non core
1441,5,Non core
1446,8,Non core
1452,1,Non core
1456,5,Non core
1464,1,Core
1468,2,Non core
1475,5,Non core
1501,9,Non core
1523,5,Non core
1525,5,Non core
1528,9,Core
1531,9,Core
1534,4,Non core
1549,1,Non core
1555,1,Non core
1561,25,Core
1580,5,Non core
1586,3,Non core
1603,1,Non core
1605,4,Non core
1607,12,Non core
1610,1,Non core
1613,4,Non core
1616,2,Non core
1627,1,Non core
1631,1,Non core
1633,7,Non core
1635,1,Non core
1636,3,Non core
1653,21,Non core
1669,29,Core
1670,2,Non core
1678,8,Non core
1687,3,Non core
1689,7,Non core
1690,1,Non core
1699,6,Non core
1706,5,Non core
1711,6,Non core
1726,15,Core
1736,44,Core
1742,1,Non core
1749,1,Non core
1761,1,Non core
1773,3,Non core
1775,1,Non core
1779,16,Non core
1782,1,Non core
1783,1,Non core
1792,1,Non core
1794,1,Non core
1795,8,Non core
1801,10,Non core
1802,1,Non core
1803,6,Non core
1805,1,Non core
1812,15,Non core
1814,4,Non core
1816,11,Non core
1821,3,Non core
1822,1,Non core
1826,1,Non core
1828,1,Non core
1836,1,Non core
1839,3,Non core
1849,23,Non core
1861,1,Non core
1865,7,Non core
1870,2,Non core
1872,2,Non core
1882,4,Non core
1894,14,Non core
1904,1,Non core
1914,1,Non core
1916,29,Non core
1918,11,Non core
1921,29,Core
1923,11,Non core
1925,7,Core
1926,19,Core
1935,4,Non core
1941,23,Non core
1943,1,Non core
1952,2,Non core
1955,31,Core
1958,2,Non core
1970,8,Non core
1976,5,Non core
1978,2,Non core
1981,2,Non core
1991,9,Core
1994,22,Non core
1998,7,Non core
1999,1,Non core
2011,6,Non core
2023,5,Core
2031,11,Non core
2033,9,Core
2035,12,Non core
2036,3,Non core
2039,1,Non core
2043,1,Non core
2062,14,Core
2064,8,Non core
2067,4,Non core
2069,3,Non core
2096,1,Non core
2101,6,Non core
2106,1,Non core
2109,7,Non core
2115,2,Non core
2135,1,Non core
2140,2,Non core
2146,1,Non core
2147,1,Non core
2170,6,Non core
2174,1,Non core
2185,1,Non core
2208,1,Non core
2214,1,Non core
2218,24,Non core
2222,2,Non core
2226,2,Non core
2230,6,Non core
2238,2,Non core
2243,19,Core
2245,13,Core
2258,1,Non core
2261,1,Non core
2264,1,Non core
2265,5,Non core
2270,2,Non core
2271,20,Non core
2276,11,Non core
2284,20,Core
2308,1,Non core
2310,1,Non core
2322,3,Non core
2323,1,Non core
2325,9,Non core
2340,15,Non core
2350,2,Non core
2353,3,Non core
2367,1,Non core
2376,6,Non core
2383,1,Non core
2394,16,Core
2401,3,Non core
2404,4,Non core
2417,10,Non core
2419,10,Core
2424,24,Non core
2437,1,Non core
2439,3,Non core
2448,15,Core
2453,1,Non core
2455,8,Non core
2458,5,Non core
2459,1,Non core
2463,11,Non core
2467,15,Non core
2468,8,Non core
2472,51,Core
2475,3,Non core
2477,1,Non core
2481,8,Non core
2486,1,Non core
2505,1,Non core
2506,11,Core
2510,1,Non core
2515,2,Non core
2531,4,Non core
2535,3,Non core
2537,11,Non core
2556,6,Non core
2559,2,Non core
2560,2,Non core
2561,1,Non core
2574,1,Non core
2583,7,Non core
2589,1,Non core
2592,18,Non core
2607,4,Non core
2622,10,Non core
2634,5,Non core
2649,6,Non core
2652,1,Non core
2654,1,Non core
2661,1,Non core
2667,3,Non core
2672,1,Non core
2696,4,Non core
2697,1,Non core
2711,16,Non core
2726,2,Non core
2732,1,Non core
2733,5,Non core
2737,1,Non core
2741,1,Non core
2750,36,Core
2754,2,Non core
2756,1,Non core
2759,9,Non core
2763,2,Non core
2769,2,Non core
2792,4,Non core
2793,1,Non core
2799,17,Core
2804,1,Non core
2807,10,Non core
2813,21,Core
2822,1,Non core
2828,3,Non core
2834,17,Non core
2835,4,Non core
2846,3,Non core
2847,1,Non core
2860,10,Non core
2861,7,Non core
2872,1,Non core
2874,29,Core
2883,1,Non core
2888,12,Core
2889,14,Core
2903,22,Core
2907,1,Non core
2914,1,Non core
2928,8,Non core
2933,1,Non core
2934,7,Non core
2949,1,Non core
2967,7,Non core
2976,5,Non core
2983,1,Non core
3009,6,Core
3012,23,Core
3031,19,Non core
3059,1,Non core
3068,9,Core
3085,6,Non core
3094,2,Non core
3098,9,Non core
3099,12,Core
3108,10,Non core
3109,1,Non core
3114,1,Non core
3131,1,Non core
3152,1,Non core
3153,35,Core
3185,20,Core
3189,6,Non core
3191,4,Non core
3208,3,Non core
3211,7,Non core
3217,8,Non core
4108,2,Non core
4120,5,Non core
4126,1,Non core
4128,6,Non core
4141,1,Non core
4146,36,Core
4149,6,Non core
4159,5,Non core
4162,31,Core
4184,5,Non core
4187,8,Core
4190,27,Core
4196,1,Non core
4200,3,Non core
4211,1,Non core
4214,1,Non core
4217,1,Non core
4219,2,Non core
4220,8,Non core
4234,3,Non core
4240,11,Non core
4257,32,Core
4264,23,Core
4268,2,Non core
4277,6,Non core
4284,1,Non core
4295,1,Non core
4299,5,Non core
4302,1,Non core
4303,2,Non core
4325,4,Non core
4326,1,Non core
4328,25,Non core
4330,8,Non core
4340,5,Non core
4355,8,Non core
4362,3,Non core
4375,21,Non core
4381,3,Non core
4393,21,Core
4395,21,Non core
4405,2,Non core
4411,2,Non core
4418,2,Non core
4419,6,Non core
4428,19,Core
4435,1,Non core
4453,1,Non core
4455,1,Non core
4458,18,Non core
4460,12,Non core
4461,1,Non core
4463,10,Non core
4468,4,Non core
4471,1,Non core
4473,1,Non core
4475,1,Non core
4476,1,Non core
4491,15,Non core
4523,13,Core
4531,2,Non core
4556,4,Non core
4567,1,Non core
4571,22,Core
4573,6,Non core
4582,2,Non core
4592,2,Non core
4598,9,Non core
4601,5,Non core
4606,1,Non core
4608,6,Core
4610,1,Non core
4612,1,Non core
4625,4,Core
4630,1,Non core
4634,1,Non core
4642,1,Non core
4650,1,Non core
4656,16,Non core
4690,18,Core
4693,1,Non core
4694,16,Core
4703,2,Non core
4715,22,Core
4720,1,Non core
4726,3,Non core
4727,10,Non core
4894,5,Non core
4912,5,Non core
4919,2,Non core
4922,4,Non core
4938,1,Non core
4950,1,Non core
4953,1,Non core
4954,2,Non core
4978,13,Core
4987,2,Non core
4992,14,Non core
5003,3,Non core
5021,1,Non core
5044,7,Non core
5046,39,Core
5052,1,Non core
5055,5,Non core
5057,1,Non core
5063,2,Non core
5070,1,Non core
5090,1,Non core
5094,2,Non core
5109,2,Non core
5112,8,Non core
5118,2,Non core
5127,5,Non core
5149,3,Non core
5162,3,Non core
5164,9,Non core
5174,10,Non core
5189,2,Non core
5196,33,Core
5200,2,Non core
5202,13,Core
5203,1,Non core
5208,6,Non core
5209,4,Non core
5215,6,Non core
5217,4,Non core
5220,2,Non core
5222,1,Non core
5230,2,Non core
5240,1,Non core
5241,14,Non core
5258,2,Non core
5259,2,Non core
5262,3,Non core
5263,40,Core
5271,1,Non core
5280,8,Non core
5291,4,Non core
5292,12,Non core
5293,13,Non core
5300,1,Non core
5311,1,Non core
5313,10,Non core
5314,20,Core
5319,5,Non core
5334,1,Non core
5343,2,Non core
5347,3,Non core
5367,20,Core
5371,10,Core
5387,7,Non core
5390,5,Non core
5400,1,Non core
5410,1,Non core
5441,12,Non core
5447,1,Non core
5452,1,Non core
5460,4,Non core
5464,1,Non core
5477,1,Non core
5484,1,Non core
5489,1,Non core
5490,2,Non core
