owner_account_id,service,dev_status
1870,1,Non core
1872,3,Non core
1882,3,Non core
1894,8,Non core
1904,1,Non core
1916,17,Non core
1918,5,Non core
1921,21,Core
1923,5,Non core
1925,3,Core
1926,16,Core
1935,3,Non core
1941,12,Non core
1943,1,Non core
1952,2,Non core
1955,23,Core
1958,1,Non core
1970,5,Non core
1976,3,Non core
1981,2,Non core
1991,6,Core
1994,19,Non core
1998,4,Non core
2011,4,Non core
2023,2,Core
2031,6,Non core
2033,3,Core
2035,10,Non core
2036,4,Non core
2043,1,Non core
2062,12,Core
2064,1,Non core
2067,1,Non core
2069,2,Non core
2096,1,Non core
2101,3,Non core
2109,2,Non core
2135,1,Non core
2140,2,Non core
2170,4,Non core
2174,1,Non core
2185,1,Non core
2208,1,Non core
2214,1,Non core
2218,12,Non core
2226,1,Non core
2230,6,Non core
2238,1,Non core
2243,9,Core
2245,13,Core
2258,2,Non core
2264,3,Non core
2265,3,Non core
2271,20,Non core
2276,10,Non core
2284,14,Core
2322,3,Non core
2323,1,Non core
2325,1,Non core
2332,1,Non core
2340,11,Non core
2376,7,Non core
2383,1,Non core
2394,9,Core
2401,3,Non core
2404,4,Non core
2417,7,Non core
2419,6,Core
2424,22,Non core
2439,3,Non core
2443,1,Non core
2448,3,Core
2453,1,Non core
2455,4,Non core
2458,2,Non core
2459,1,Non core
2463,8,Non core
2467,4,Non core
2468,6,Non core
2472,57,Core
2475,3,Non core
2477,2,Non core
2481,7,Non core
2486,1,Non core
2506,6,Core
2510,1,Non core
2515,2,Non core
2531,3,Non core
2535,2,Non core
2537,7,Non core
2556,2,Non core
2559,1,Non core
2560,4,Non core
2561,1,Non core
2583,5,Non core
2589,1,Non core
2592,11,Non core
2622,6,Non core
2634,4,Non core
2649,4,Non core
2652,1,Non core
2654,2,Non core
2667,1,Non core
2672,1,Non core
2674,1,Non core
2696,2,Non core
2697,1,Non core
2711,10,Non core
2733,6,Non core
2750,21,Core
2754,2,Non core
2759,5,Non core
2763,2,Non core
2792,2,Non core
2799,11,Core
2804,1,Non core
2807,4,Non core
2813,20,Core
2822,1,Non core
2828,1,Non core
2834,10,Non core
2835,4,Non core
2846,3,Non core
2847,1,Non core
2860,7,Non core
2861,5,Non core
2874,15,Core
2883,1,Non core
2888,6,Core
2889,9,Core
2903,16,Core
2907,1,Non core
2914,2,Non core
2928,7,Non core
2934,7,Non core
2967,3,Non core
2976,4,Non core
3009,3,Core
3012,19,Core
3031,20,Non core
3068,10,Core
3094,1,Non core
3098,6,Non core
3099,7,Core
3108,5,Non core
3114,1,Non core
3153,30,Core
3185,16,Core
3189,4,Non core
3191,7,Non core
3208,3,Non core
3211,5,Non core
3217,2,Non core
4108,1,Non core
4120,4,Non core
4126,1,Non core
4128,9,Non core
4146,25,Core
4148,1,Non core
4149,2,Non core
4159,3,Non core
4162,26,Core
4184,3,Non core
4187,4,Core
4190,24,Core
4200,3,Non core
4211,1,Non core
4214,1,Non core
4220,2,Non core
4234,3,Non core
4240,4,Non core
4257,20,Core
4264,14,Core
4268,2,Non core
4277,3,Non core
4284,1,Non core
4302,1,Non core
4303,2,Non core
4325,3,Non core
4326,1,Non core
4328,15,Non core
4330,5,Non core
4340,3,Non core
4355,4,Non core
4375,23,Non core
4381,1,Non core
4393,13,Core
4395,15,Non core
4405,2,Non core
4411,3,Non core
4418,1,Non core
4419,1,Non core
4428,17,Core
4435,1,Non core
4458,21,Non core
4460,13,Non core
4463,3,Non core
4468,2,Non core
4476,2,Non core
4491,9,Non core
4523,12,Core
4531,1,Non core
4567,1,Non core
4571,15,Core
4573,4,Non core
4582,2,Non core
4598,2,Non core
4601,3,Non core
4608,4,Core
4625,1,Core
4630,1,Non core
4634,1,Non core
4656,9,Non core
4690,11,Core
4693,1,Non core
4694,8,Core
4703,1,Non core
4715,13,Core
4726,3,Non core
4727,7,Non core
4894,3,Non core
4912,1,Non core
4919,3,Non core
4938,1,Non core
4950,1,Non core
4954,1,Non core
4978,11,Core
4987,2,Non core
4992,4,Non core
5003,5,Non core
5044,7,Non core
5046,30,Core
5055,5,Non core
5063,7,Non core
5090,2,Non core
5109,2,Non core
5112,12,Non core
5127,2,Non core
5149,2,Non core
5162,4,Non core
5174,5,Non core
5189,1,Non core
5196,19,Core
5200,1,Non core
5202,7,Core
5209,3,Non core
5215,2,Non core
5217,2,Non core
5240,1,Non core
5241,7,Non core
5259,2,Non core
5263,46,Core
5271,1,Non core
5280,8,Non core
5291,9,Non core
5292,12,Non core
5293,7,Non core
5300,2,Non core
5311,1,Non core
5313,4,Non core
5314,14,Core
5319,3,Non core
5347,2,Non core
5367,14,Core
5371,7,Core
5387,6,Non core
5390,5,Non core
5400,1,Non core
5408,2,Non core
5410,1,Non core
5441,6,Non core
5464,1,Non core
5477,1,Non core
5484,2,Non core
5489,2,Non core
5499,2,Non core
5511,6,Non core
5520,1,Non core
5538,8,Non core
5545,1,Core
5557,1,Non core
5558,2,Non core
5559,3,Non core
5572,5,Non core
5574,1,Non core
5575,8,Non core
5586,4,Non core
5600,4,Non core
5619,5,Non core
5623,8,Core
5624,3,Non core
5638,30,Core
5639,1,Non core
5652,7,Non core
5660,6,Core
5677,1,Non core
5678,3,Non core
5689,23,Core
5704,4,Non core
5707,2,Non core
5718,2,Non core
5727,1,Non core
5733,10,Non core
5735,2,Non core
5754,7,Core
5756,8,Core
5792,12,Non core
5803,17,Core
5805,5,Core
5828,2,Non core
5892,3,Non core
5930,3,Non core
5948,6,Core
5950,10,Core
5956,1,Non core
5957,2,Non core
5971,1,Non core
5995,1,Non core
5997,9,Core
6032,3,Non core
6039,7,Core
6043,1,Non core
6055,3,Non core
6059,1,Non core
6062,8,Non core
6072,7,Non core
6073,1,Non core
6088,1,Non core
6094,1,Non core
6116,9,Non core
6124,7,Non core
6133,11,Core
6139,1,Non core
6153,3,Non core
6156,1,Non core
6159,48,Core
6160,2,Non core
6162,5,Non core
6167,23,Core
6172,18,Core
6198,4,Non core
6223,3,Non core
6230,3,Non core
6237,1,Non core
6265,2,Non core
6268,4,Non core
6282,10,Non core
6287,3,Core
6316,11,Non core
6348,14,Core
6369,5,Non core
6390,1,Non core
6413,16,Core
6414,2,Non core
6427,3,Core
6434,2,Non core
6437,3,Non core
6443,1,Non core
6447,2,Non core
6449,4,Core
6450,2,Non core
6455,1,Non core
6456,4,Core
6460,4,Core
6461,1,Non core
6463,2,Non core
6466,1,Non core
6469,16,Core
6473,3,Non core
6476,38,Non core
6482,32,Core
6484,22,Core
6486,13,Non core
6488,17,Core
6491,5,Non core
6493,3,Non core
6494,1,Non core
6495,2,Non core
6498,4,Non core
6506,1,Non core
6507,4,Non core
6508,1,Non core
6509,8,Non core
6522,5,Non core
6524,13,Non core
6525,5,Non core
6526,6,Non core
6529,2,Non core
6530,4,Non core
6536,4,Non core
6537,14,Core
6540,2,Non core
6541,1,Non core
6542,1,Non core
6547,58,Core
6549,10,Non core
6550,7,Non core
6554,6,Non core
6558,7,Core
6565,2,Non core
6571,2,Non core
6574,1,Non core
6575,2,Non core
6577,12,Core
6578,1,Non core
6579,7,Non core
6582,2,Non core
6587,1,Non core
6588,2,Non core
6589,8,Non core
6593,34,Core
6598,3,Core
6601,10,Non core
6603,3,Non core
6604,2,Non core
6608,2,Non core
6609,5,Core
6610,22,Core
6618,10,Core
6620,3,Non core
6623,5,Core
6624,5,Non core
6632,1,Non core
6633,2,Non core
6635,3,Non core
6637,10,Core
6638,5,Non core
6645,7,Non core
6648,3,Core
6650,5,Core
6655,1,Non core
6659,4,Non core
6661,2,Non core
6662,3,Core
6670,2,Non core
6671,6,Non core
6672,1,Non core
6676,32,Non core
6677,2,Core
6678,6,Non core
6681,7,Non core
6683,4,Non core
6684,1,Non core
6685,4,Non core
6687,2,Non core
6689,3,Non core
6690,2,Non core
6694,1,Non core
6695,4,Non core
6696,2,Non core
6697,4,Non core
6698,5,Non core
6699,3,Non core
6703,1,Non core
6704,2,Non core
6706,2,Non core
6714,3,Non core
6717,6,Non core
6719,3,Non core
6721,4,Non core
