developer,intersect_dev
Core,2.605091770278271
Non core,3.5523978685612785
Core,7.258064516129033
Non core,12.903225806451612
Core,1.6314199395770397
Non core,1.7522658610271902
Core,4.528301886792453
Non core,8.194070080862534
Core,8.116735066119471
Non core,22.617419060647517
Core,3.969957081545064
Non core,8.690987124463518
Core,8.395989974937343
Non core,19.21470342522974
Core,3.33889816360601
Non core,6.121313299944352
Core,3.65990990990991
Non core,7.657657657657657
Core,8.04480651731161
Non core,18.482688391038696
Core,1.7868145409735057
Non core,1.6635859519408502
Core,8.017334777898158
Non core,20.043336944745395
Core,4.379977246871445
Non core,6.996587030716723
Core,6.720160481444333
Non core,13.7913741223671
Core,3.391812865497076
Non core,4.152046783625731
Core,3.7895927601809953
Non core,5.542986425339366
Core,3.8372093023255816
Non core,5.348837209302325
Core,2.113526570048309
Non core,3.5024154589371985
Core,2.5285972305839857
Non core,4.695966285370258
Core,4.037610619469026
Non core,6.415929203539823
Core,4.110360360360361
Non core,6.644144144144144
Core,4.252937884722999
Non core,7.10688304420817
Core,1.931200965600483
Non core,3.379601689800845
Core,2.9983342587451416
Non core,5.941143808995003
Core,2.3423423423423424
Non core,3.123123123123123
Core,2.54287403903016
Non core,4.021289178001183
Core,1.8983466013472137
Non core,1.9595835884874464
Core,6.022340942204954
Non core,13.355998057309373
Core,0.0612745098039215
Non core,0.2450980392156862
Core,5.135284373274434
Non core,11.54058531198233
Core,2.549889135254989
Non core,4.1019955654102
Core,3.048065650644783
Non core,5.4513481828839385
Core,1.887905604719764
Non core,3.1268436578171093
Core,0.49109883364027
Non core,0.798035604665439
Core,2.378121284185493
Non core,3.804994054696789
Core,3.6937901498929335
Non core,5.942184154175589
Core,8.53966649823143
Non core,15.361293582617485
Core,0.9140767824497258
Non core,1.218769043266301
Core,2.485549132947977
Non core,3.1791907514450863
Core,2.430751837196156
Non core,3.278688524590164
Core,1.16421568627451
Non core,0.4901960784313725
Core,8.207452165156093
Non core,10.725075528700906
Core,6.0546875
Non core,8.69140625
Core,1.6939890710382512
Non core,1.8032786885245904
Core,1.72209026128266
Non core,0.8907363420427553
Core,3.825717321997875
Non core,5.154091392136025
Core,0.8144269924374636
Non core,5.177428737638161
Core,0.93841642228739
Non core,3.401759530791789
Core,0.794135613927917
Non core,0.4276114844227244
Core,4.714142427281845
Non core,6.318956870611836
Core,0.3703703703703704
Non core,0.6172839506172839
Core,5.032067094227923
Non core,6.758756783423779
Core,9.49748743718593
Non core,16.381909547738694
Core,10.16949152542373
Non core,15.980629539951574
Core,9.83425414364641
Non core,4.696132596685083
Core,9.665621734587251
Non core,9.717868338557992
Core,9.478935698447891
Non core,4.767184035476718
Core,3.997682502896872
Non core,7.184241019698725
Core,0.3674219228413962
Non core,0.4286589099816289
Core,1.812688821752266
Non core,2.114803625377644
Core,4.018912529550828
Non core,7.210401891252956
Core,6.837606837606838
Non core,7.6923076923076925
Core,4.444444444444445
Non core,6.3247863247863245
Core,2.9456193353474323
Non core,4.607250755287009
Core,5.565217391304348
Non core,8.695652173913043
Core,2.5879230258792303
Non core,4.37956204379562
Core,5.701754385964912
Non core,9.210526315789473
Core,5.603448275862069
Non core,9.482758620689657
Core,3.4482758620689653
Non core,5.433646812957157
Core,5.092592592592593
Non core,4.166666666666666
Core,3.6556603773584895
Non core,4.952830188679245
Core,5.777777777777778
Non core,8.666666666666668
Core,4.685714285714285
Non core,5.0285714285714285
Core,10.0
Non core,13.750000000000002
Core,7.177033492822966
Non core,10.047846889952153
Core,6.830601092896176
Non core,12.021857923497269
Core,7.0588235294117645
Non core,12.941176470588236
Core,7.142857142857142
Non core,7.82312925170068
Core,7.249466950959488
Non core,10.874200426439232
Core,6.3457330415754925
Non core,8.315098468271334
Core,6.237006237006238
Non core,7.484407484407485
Core,7.874015748031496
Non core,11.023622047244094
Core,6.726457399103139
Non core,9.641255605381168
Core,7.6923076923076925
Non core,12.692307692307692
Core,8.108108108108109
Non core,13.175675675675674
Core,6.306306306306306
Non core,7.657657657657657
Core,2.398331595411887
Non core,3.441084462982273
Core,0.0
Non core,0.0
Core,4.383116883116883
Non core,4.383116883116883
Core,5.188679245283019
Non core,8.254716981132075
Core,9.509202453987731
Non core,15.644171779141104
Core,8.0
Non core,14.545454545454543
Core,3.1413612565445024
Non core,5.235602094240837
Core,6.206896551724138
Non core,12.06896551724138
Core,3.79746835443038
Non core,5.605786618444846
Core,4.211663066954643
Non core,4.751619870410368
Core,3.3175355450236967
Non core,7.109004739336493
Core,6.363636363636363
Non core,10.303030303030305
Core,5.149051490514905
Non core,10.569105691056912
Core,7.142857142857142
Non core,3.061224489795918
Core,4.311377245508982
Non core,5.748502994011976
Core,3.2490974729241877
Non core,5.896510228640193
Core,1.643192488262911
Non core,4.225352112676056
Core,4.104477611940299
Non core,2.238805970149253
Core,3.963963963963964
Non core,5.585585585585585
Core,2.272727272727273
Non core,5.3977272727272725
Core,2.507836990595611
Non core,2.8213166144200628
Core,0.4716981132075472
Non core,0.4716981132075472
Core,2.7739251040221915
Non core,4.160887656033287
Core,2.808988764044944
Non core,5.617977528089887
Core,3.3156498673740056
Non core,5.835543766578249
Core,3.60082304526749
Non core,5.658436213991769
Core,3.604436229205176
Non core,3.789279112754159
Core,5.739130434782608
Non core,3.826086956521739
Core,4.475703324808184
Non core,3.1969309462915603
Core,6.1946902654867255
Non core,3.185840707964602
Core,6.235011990407674
Non core,7.913669064748201
Core,1.5151515151515151
Non core,1.0101010101010102
Core,5.349794238683128
Non core,8.641975308641975
Core,2.599009900990099
Non core,3.7128712871287126
Core,5.7407407407407405
Non core,8.981481481481483
Core,5.872093023255814
Non core,11.27906976744186
Core,5.887939221272555
Non core,12.630579297245964
Core,6.764069264069264
Non core,12.445887445887449
Core,5.030800821355236
Non core,9.44558521560575
Core,5.993690851735016
Non core,12.302839116719245
Core,7.579102281089035
Non core,12.582781456953644
Core,2.926208651399491
Non core,2.2900763358778624
Core,7.086614173228346
Non core,11.968503937007874
Core,6.050955414012739
Non core,11.358811040339702
Core,7.410296411856475
Non core,13.57254290171607
Core,5.0691244239631335
Non core,8.640552995391705
Core,6.406080347448426
Non core,10.966340933767643
Core,6.235827664399093
Non core,10.090702947845804
Core,3.4482758620689653
Non core,7.0197044334975365
Core,4.156769596199525
Non core,6.175771971496437
Core,6.591143151390319
Non core,11.328527291452112
Core,6.60377358490566
Non core,10.272536687631026
Core,6.639427987742594
Non core,9.601634320735444
Core,3.5452322738386304
Non core,5.623471882640587
Core,4.895833333333333
Non core,10.729166666666666
Core,4.146341463414634
Non core,6.097560975609756
Core,4.648390941597139
Non core,8.581644815256258
Core,3.1645569620253164
Non core,3.670886075949367
Core,5.738880918220947
Non core,9.469153515064562
Core,0.1275510204081632
Non core,0.0
Core,5.69620253164557
Non core,8.318264014466546
Core,4.707112970711297
Non core,7.426778242677824
Core,5.44611819235226
Non core,10.312862108922364
Core,3.699284009546539
Non core,7.040572792362769
Core,0.7712082262210797
Non core,1.7994858611825193
Core,4.436450839328537
Non core,7.553956834532374
Core,4.307116104868914
Non core,7.677902621722846
Core,7.703595011005136
Non core,9.684519442406456
Core,2.1711366538952745
Non core,3.065134099616858
Core,3.859250851305335
Non core,6.9239500567536885
Core,4.366812227074235
Non core,6.768558951965066
Core,2.176696542893726
Non core,1.1523687580025608
Core,9.054805401111992
Non core,10.881652104845116
Core,7.822580645161291
Non core,12.983870967741936
Core,1.9289340101522845
Non core,3.857868020304569
Core,3.489771359807461
Non core,1.9253910950661852
Core,4.788732394366197
Non core,7.793427230046948
Core,1.3114754098360657
Non core,4.699453551912568
Core,1.3437849944008955
Non core,2.463605823068309
Core,1.0075566750629723
Non core,0.3778337531486146
Core,5.921601334445372
Non core,7.673060884070058
Core,0.7832898172323759
Non core,1.5665796344647518
Core,6.419753086419753
Non core,9.958847736625517
Core,8.455882352941178
Non core,13.088235294117649
Core,9.004092769440655
Non core,10.572987721691678
Core,11.132437619961612
Non core,6.046065259117082
Core,9.9009900990099
Non core,8.333333333333332
Core,10.239234449760763
Non core,5.454545454545454
Core,5.100956429330499
Non core,8.289054197662061
Core,0.7692307692307693
Non core,1.0256410256410255
Core,2.9887920298879203
Non core,5.1058530510585305
Core,1.858736059479554
Non core,3.3457249070631967
Core,1.4660493827160492
Non core,2.083333333333333
Core,2.621722846441948
Non core,5.056179775280898
Core,1.1502029769959403
Non core,2.3680649526387008
Core,3.4229828850855744
Non core,4.645476772616137
Core,2.631578947368421
Non core,5.502392344497608
Core,1.7410228509249184
Non core,2.720348204570185
Core,8.823529411764707
Non core,4.411764705882353
Core,2.386934673366834
Non core,3.015075376884422
Core,3.258145363408521
Non core,5.263157894736842
Core,1.7878426698450536
Non core,2.860548271752086
Core,5.673758865248227
Non core,5.673758865248227
Core,4.336043360433604
Non core,6.233062330623306
Core,3.987730061349693
Non core,4.294478527607362
Core,5.699481865284974
Non core,10.362694300518134
Core,4.824561403508771
Non core,7.456140350877193
Core,3.4013605442176877
Non core,3.6281179138322
Core,3.902439024390244
Non core,3.902439024390244
Core,2.995391705069124
Non core,4.147465437788019
Core,6.382978723404255
Non core,10.638297872340424
Core,3.4653465346534658
Non core,4.702970297029703
Core,5.853658536585367
Non core,6.829268292682928
Core,4.958677685950414
Non core,9.50413223140496
Core,5.263157894736842
Non core,7.236842105263158
Core,1.0964912280701753
Non core,1.2061403508771928
Core,0.0
Non core,0.9009009009009008
Core,1.96078431372549
Non core,2.8520499108734403
Core,3.234501347708895
Non core,4.31266846361186
Core,6.643356643356643
Non core,7.3426573426573425
Core,5.405405405405405
Non core,9.45945945945946
Core,4.464285714285714
Non core,7.142857142857142
Core,5.263157894736842
Non core,9.210526315789473
Core,1.7892644135188869
Non core,2.1868787276341948
Core,2.359550561797753
Non core,1.7977528089887642
Core,6.153846153846154
Non core,10.0
Core,5.204460966542751
Non core,7.434944237918216
Core,3.1055900621118013
Non core,4.037267080745342
Core,6.504065040650407
Non core,2.4390243902439024
Core,2.515723270440252
Non core,2.767295597484277
Core,1.7902813299232736
Non core,3.70843989769821
Core,1.7241379310344829
Non core,4.310344827586207
Core,4.25531914893617
Non core,3.723404255319149
Core,2.0120724346076457
Non core,3.8229376257545273
Core,2.909090909090909
Non core,5.090909090909091
Core,2.479338842975207
Non core,2.479338842975207
Core,1.550387596899225
Non core,0.7751937984496124
Core,1.6666666666666667
Non core,2.727272727272727
Core,5.05050505050505
Non core,7.07070707070707
Core,1.6973125884016973
Non core,3.111739745403112
Core,2.267818574514039
Non core,3.563714902807776
Core,1.932367149758454
Non core,2.415458937198068
Core,4.911591355599214
Non core,2.75049115913556
Core,2.1828103683492497
Non core,1.5006821282401093
Core,4.356435643564356
Non core,1.782178217821782
Core,3.899721448467967
Non core,5.8495821727019495
Core,4.545454545454546
Non core,5.454545454545454
Core,5.325443786982249
Non core,10.059171597633137
Core,4.8569527611443775
Non core,9.713905522288757
Core,4.963680387409201
Non core,10.653753026634384
Core,4.335090802577621
Non core,7.5571177504393665
Core,4.252400548696845
Non core,8.50480109739369
Core,5.955678670360111
Non core,9.2797783933518
Core,7.11743772241993
Non core,12.099644128113878
Core,2.935420743639922
Non core,1.5655577299412915
Core,6.997084548104956
Non core,11.467444120505345
Core,7.173601147776183
Non core,9.469153515064562
Core,6.753006475485661
Non core,9.620721554116558
Core,5.374592833876222
Non core,7.654723127035831
Core,5.97667638483965
Non core,8.892128279883382
Core,6.132075471698113
Non core,9.119496855345911
Core,4.25925925925926
Non core,7.592592592592593
Core,3.812824956672444
Non core,6.412478336221837
Core,5.033112582781457
Non core,7.81456953642384
Core,6.03085553997195
Non core,9.256661991584853
Core,6.584362139917696
Non core,9.327846364883404
Core,3.052064631956912
Non core,4.66786355475763
Core,4.2995839112343965
Non core,9.015256588072122
Core,4.496402877697841
Non core,5.39568345323741
Core,4.421768707482993
Non core,7.312925170068027
Core,3.3073929961089497
Non core,3.891050583657588
Core,4.922279792746114
Non core,8.46286701208981
Core,0.2044989775051125
Non core,0.408997955010225
Core,6.31704410011919
Non core,9.058402860548272
Core,4.56490727532097
Non core,6.562054208273895
Core,5.016181229773463
Non core,9.223300970873789
Core,3.2758620689655173
Non core,6.206896551724138
Core,1.2170385395537524
Non core,1.2170385395537524
Core,4.577464788732395
Non core,8.274647887323944
Core,4.146341463414634
Non core,5.975609756097561
Core,5.344827586206897
Non core,7.327586206896551
Core,3.4343434343434343
Non core,3.8383838383838382
Core,3.508771929824561
Non core,5.422647527910686
Core,4.420731707317073
Non core,6.097560975609756
Core,3.2586558044806515
Non core,1.4256619144602851
Core,6.350710900473934
Non core,9.004739336492891
Core,4.828226555246054
Non core,7.056638811513463
Core,1.3986013986013983
Non core,3.3566433566433567
Core,2.127659574468085
Non core,1.2411347517730498
Core,3.6057692307692304
Non core,5.288461538461538
Core,1.7133956386292832
Non core,3.738317757009345
Core,1.6474464579901154
Non core,2.800658978583196
Core,0.3968253968253968
Non core,1.1904761904761905
Core,4.383282364933741
Non core,4.587155963302752
Core,1.0460251046025104
Non core,1.6736401673640169
Core,4.317958783120707
Non core,5.691854759568204
Core,6.5420560747663545
Non core,9.005947323704333
Core,6.3962558502340086
Non core,7.48829953198128
Core,8.414634146341465
Non core,4.7560975609756095
Core,7.263681592039801
Non core,6.169154228855722
Core,8.32313341493268
Non core,3.79436964504284
Core,5.481481481481482
Non core,9.185185185185183
Core,0.6072874493927125
Non core,0.8097165991902834
Core,3.984819734345351
Non core,5.123339658444023
Core,5.077574047954866
Non core,16.99576868829337
Core,6.238779174147218
Non core,14.31777378815081
Core,3.3839779005524857
Non core,6.975138121546961
Core,4.213483146067416
Non core,8.707865168539326
Core,7.1976401179941005
Non core,17.640117994100297
Core,1.8239492466296592
Non core,2.061855670103093
Core,8.269720101781171
Non core,18.638676844783717
Core,4.751619870410368
Non core,9.64722822174226
Core,6.41399416909621
Non core,12.186588921282798
Core,3.321033210332104
Non core,5.166051660516605
Core,3.952011291460833
Non core,6.422018348623854
Core,4.050073637702504
Non core,7.069219440353461
Core,2.311248073959938
Non core,4.006163328197227
Core,2.7418126428027416
Non core,4.798172124904799
Core,4.08997955010225
Non core,6.8847989093387865
Core,4.647887323943662
Non core,7.887323943661972
Core,4.96156533892383
Non core,8.315863032844165
Core,2.248062015503876
Non core,4.418604651162791
Core,3.417015341701534
Non core,7.670850767085077
Core,2.5974025974025974
Non core,3.361344537815126
Core,3.10841546626232
Non core,5.534495830174375
Core,2.125984251968504
Non core,2.3622047244094486
Core,5.658263305322129
Non core,11.372549019607844
Core,0.0791765637371338
Non core,0.3167062549485352
Core,5.214521452145215
Non core,9.9009900990099
Core,2.624309392265193
Non core,4.765193370165746
Core,3.4866468842729974
Non core,6.454005934718101
Core,2.2539444027047333
Non core,3.756574004507888
Core,0.3952569169960474
Non core,0.8695652173913043
Core,2.5660377358490565
Non core,4.377358490566038
Core,4.026402640264026
Non core,6.798679867986798
Core,7.559145989613388
Non core,12.637045585689554
Core,1.098901098901099
Non core,1.4913657770800628
Core,2.342606149341142
Non core,4.465592972181552
Core,2.571428571428571
Non core,4.642857142857143
Core,1.584786053882726
Non core,0.6339144215530903
Core,7.11743772241993
Non core,11.091340450771057
Core,5.031446540880504
Non core,8.233276157804461
Core,1.7832647462277091
Non core,2.8120713305898493
Core,1.818181818181818
Non core,1.1363636363636365
Core,3.3744321868916285
Non core,5.775470473718364
Core,0.8759124087591241
Non core,5.182481751824818
Core,1.0294117647058822
Non core,2.647058823529412
Core,0.7081038552321007
Non core,0.6294256490952006
Core,4.387019230769231
Non core,6.490384615384616
Core,0.3993610223642172
Non core,0.7987220447284344
Core,4.705882352941177
Non core,6.88235294117647
Core,8.108108108108109
Non core,14.72110408280621
Core,7.589524318546231
Non core,11.918760021378942
Core,8.206485771012574
Non core,4.56651224354732
Core,8.116293155663234
Non core,7.934585099939431
Core,8.02139037433155
Non core,5.080213903743315
Core,3.937007874015748
Non core,7.015032211882606
Core,0.3152088258471237
Non core,0.3152088258471237
Core,2.006172839506173
Non core,2.2376543209876543
Core,4.016538688718252
Non core,9.332545776727702
Core,5.314685314685315
Non core,10.909090909090908
Core,6.976744186046512
Non core,15.261627906976743
Core,5.235602094240837
Non core,12.478184991273997
Core,3.3663366336633667
Non core,4.158415841584159
Core,5.9330143540669855
Non core,11.578947368421051
Core,6.973293768545995
Non core,14.985163204747776
Core,5.871388630009319
Non core,12.208760484622552
Core,6.543624161073826
Non core,11.409395973154362
Core,6.056129985228951
Non core,11.669128508124077
Core,6.891025641025641
Non core,12.01923076923077
Core,4.814814814814815
Non core,8.703703703703704
Core,5.178571428571429
Non core,10.0
Core,6.267029972752043
Non core,11.035422343324251
Core,7.758620689655173
Non core,11.637931034482758
Core,7.735583684950773
Non core,12.37693389592124
Core,4.036697247706423
Non core,7.706422018348624
Core,5.714285714285714
Non core,12.285714285714286
Core,5.474452554744526
Non core,7.664233576642336
Core,6.548672566371681
Non core,11.327433628318584
Core,4.940711462450593
Non core,5.731225296442688
Core,4.514480408858603
Non core,8.091993185689947
Core,0.2008032128514056
Non core,0.4016064257028112
Core,5.4245283018867925
Non core,9.787735849056604
Core,4.748201438848921
Non core,8.633093525179856
Core,7.082630691399664
Non core,13.490725126475548
Core,4.569420035149385
Non core,8.611599297012303
Core,1.2072434607645874
Non core,2.2132796780684103
Core,5.114638447971781
Non core,9.523809523809524
Core,4.305043050430505
Non core,7.872078720787208
Core,5.928509154315606
Non core,8.805579773321709
Core,2.982107355864811
Non core,4.3737574552683895
